Sample,TotalKmers
BA3073,6886081160
BA3078,12930846174
BA3079,7646813160
BA3083,10898309294
BA3084,7536665780
BA3085,8865049760
BA3087,13523013154
BA3089,8903125980
BA3094,12405219960
BA3095,9686832260
BA3098,7679781060
BA3099,11431781620
BA3103,9003873480
BA3108,9072296660
BA3109,9216000220
BA3110,9270890160
BA3114,9273772900
BA3116,8673759640
BA3117,12552316206
BA3118,8683805060
BA3119,10819947162
BA3123,8557945340
BA3124,8443221500
BA3126,9377846660
BA3128,9263615480
BA3130,9036583920
BA3133,8504459320
BA3135,8084012720
BA3136,12574242520
BA3137,8449282240
BA3138,12982271900
BA3139,13120783620
BA3141,11158577260
BA3142,11267704420
BA3145,8264258520
BA3146,8414149380
BA3149,8684668020
BA3152,9697777040
BA3153,11865798280
BA3154,9394752360
BA3156,8747320680
BA3157,8793963080
BA3158,7963118940
BA3162,8331035440
BA3163,7716695980
BA3164,9523930360
BA3167,6552646380
BA3169,7659302000
BA3171,9406259940
BA3173,9625211960
BA3174,8755676160
BA3175,7396633020
BA3176,10280940722
BA3177,12198101608
BA3178,7166336660
BA3180,8947255520
BA3181,7815738700
BA3182,11947168012
BA3183,12151363728
BA3185,11798494864
BA3186,10502903460
BA3187,9689104040
BA3189,11835305808
BA3190,11048507380
BA3191,7673257200
BA3192,9318383760
BA3194,13823448100
BA3195,8965945660
BA3197,7501581640
BA3199,12334715122
BA3200,8634397800
BA3202,9691246740
BA3203,9370573100
BA3206,9269706180
BA3207,12702108314
BA3208,7852002200
BA3210,8025250940
BA3211,8830583720
BA3212,9220262380
BA3213,12131281662
BA3214,10612863876
BA3216,8260288680
BA3217,9361310840
BA3219,11373748120
BA3221,9148745060
BA3222,12863800040
BA3225,12269373680
BA3226,7759275160
BA3227,8628494140
BA3228,12540361960
BA3229,12601408588
BA3230,8115898980
BA3232,7421623860
BA3234,14621506900
BA3235,8682317140
BA3237,8000378260
BA3240,10888276568
BA3242,8168212640
BA3243,8929424000
BA3245,9354306920
BA3249,7789919060
BA3250,11086939920
BA3251,8840810720
BA3255,8951200160
BA3258,11536125156
BA3260,12852078774
BA3261,8578250800
BA3264,11405404642
BA3266,11950065948
BA3268,12397489346
BA3269,9623215700
BA3270,12960972326
BA3271,10310846420
BA3273,11202282588
BA3275,11823357502
BA3277,8901401880
BA3280,8063054720
BA3283,11600640868
BA3285,11992067500
BA3286,9427317340
BA3289,6844100060
BA3290,12933259606
BA3293,12081750784
BA3295,12512460520
BA3296,11506658452
BA3297,11505274378
BA3299,9476463220
BA3300,8147961360
BA3302,13339228840
BA3305,9840911264
BA3306,9280433960
BA3308,8243533900
BA3310,8566527900
BA3311,13063373120
BA3312,11349199196
BA3315,9651606662
BA3317,9330645940
BA3318,10719455740
BA3319,11178444480
BA3322,8524355000
BA3324,11301158400
BA3325,8030638280
BA3326,10874970174
BA3328,11119974134
BA3329,13249999268
BA3332,12692437546
BA3333,13449110920
BA3334,8174919480
BA3335,11066648164
BA3339,11812897924
BA3341,8305332000
BA3345,9900148300
BA3347,8843945040
BA3351,12224468310
BA3352,6721034180
BA3353,12698866170
BA3357,12339343754
BA3362,8923147100
BA3367,12674423426
BA3369,12641417460
BA3371,9376137540
BA3373,11854531614
BA3374,5072798920
BA3375,6363310380
BA3376,9067227400
BA3379,9820734342
BA3380,9634918020
BA3381,12497289928
BA3384,7614978420
BA3385,8005593960
BA3386,12310391800
BA3388,8230549180
BA3390,9848941760
BA3394,11694014104
BA3395,6762999880
BA3397,11737474482
BA3399,8420969340
BA3400,9754594920
BA3403,13222398000
BA3405,9354164260
BA3406,8833060600
BA3407,8557809820
BA3408,9221331420
BA3410,9109860060
BA3411,11021490200
BA3412,12857542880
BA3413,8908069800
BA3415,12151638924
BA3416,8157286620
BA3417,11258743580
BA3418,9253960800
BA3421,7402556140
BA3422,12464789536
BA3423,8167037760
BA3427,10727664912
BA3430,5793403560
BA3431,7661637200
BA3433,8738210180
BA3434,10719341440
BA3435,9495128160
BA3436,8403008320
BA3438,9745327480
BA3445,12857762324
BA3446,8273833820
BA3447,4579619380
BA3448,7774888940
BA3449,7373008160
BA3450,9835947800
BA3451,9101450680
BA3452,11509059530
BA3453,7489153980
BA3454,12594145714
BA3075,7050318940
BA3076,7766620120
BA3077,9771466880
