	DNMT3A	NF1
BA2420	0.2310167770745552	92.4940177792892
BA2421	0.1248639661925869	91.31185986416747
BA2423	0.1345809588727959	84.67758172475536
BA2425	0.4554703213617888	162.79491087118302
BA2426	0.4718236560602522	55.81249060280109
BA2427	0.1490400221697363	49.06504183977397
BA2429	0.329031989925242	151.06596918946528
BA2440	0.1622128696814486	135.89464622431606
BA2441	1.6139302908224038	303.9044042244336
BA2442	0.3804119201097979	213.18153533200555
BA2446	0.2001238359012414	68.07249241660844
BA2449	0.2287970587036531	171.94192740645337
BA2450	1.4455575219911612	203.05409982012395
BA2452	0.3308325464918646	193.1247259182125
BA2454	2.200586435986676	131.56553160502267
BA2455	0.345850794601501	82.35449417281512
BA2456	0.1109490055855878	61.180971099669165
BA2459	0.1343229897677482	87.45011280306524
BA2461	0.3576983560536166	85.85159772017813
BA2463	0.4722574616693779	41.31280183229365
BA2464	0.3978457402927364	107.24054284277707
BA2469	0.0707174080469741	251.0946035683642
BA2470	0.829096922119146	124.4127267962813
BA2472	0.1427092567573498	96.75468631074348
BA2473	0.14440797310754	135.90179155823498
BA2474	0.6927629557403411	90.10814805826662
BA2477	0.681689466720368	251.96199370434655
BA2479	0.1776972071235237	58.5148987250125
BA2480	0.3190556321984708	185.00097066910075
BA2481	0.0963988557689032	45.24202580176599
BA2482	0.3960059195757783	179.89138144862451
BA2483	1.2695197781603915	170.9383763555678
BA2485	0.4396756763186226	174.4791578442435
BA2488	0.2479588444473664	125.0322329857764
BA2489	0.0987155128266856	60.39576113585825
BA2492	0.0661047669468101	63.18416194926038
BA2494	0.4360524146066351	95.09040528581576
BA2496	0.1166748542849611	45.25937170899411
BA2497	0.0989981411296462	42.28054193054178
BA2499	0.2037565437747856	101.23626725514532
BA2500	0.4721345142772626	199.5066088787393
BA2501	0.4816688295202621	120.03527020920772
BA2502	0.1638465093407732	129.68288700469952
BA2505	0.2124773452250946	175.77268062103064
BA2507	0.7322819781538245	148.35611675642977
BA2510	0.1988790031605586	37.039426921791566
BA2511	0.1227612292575707	43.14309877006726
BA2512	0.3319279693979129	84.18061058654125
BA2514	0.1504328415425985	136.22047089526455
BA2515	0.0942200510207396	63.079763869883294
BA2520	0.4753243867453362	91.07509546057814
BA2521	0.4124049363037384	188.9495712148245
BA2523	0.2414343473868867	231.1519510714657
BA2524	0.1617041942440691	89.18268298048588
