#Boxplots d'expressions du gène TET2 en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23094.000, p-value = 0.01862
#Tableau des résultats :
Sample Feature  ExpressionGene
BA3136     yes        0.215134
BA3234     yes        0.348379
BA3087     yes        0.000000
BA3454     yes        0.189526
BA3302     yes        0.077453
BA3117     yes        0.214425
BA3266     yes        0.282687
BA3268     yes        0.003580
BA3229     yes        0.295186
BA3353     yes        0.348665
BA3312     yes        0.298085
BA3119     yes        0.281209
BA3219     yes        0.356318
BA3351     yes        0.193480
BA3357     yes        0.002986
BA3208     yes        0.088056
BA3310     yes        0.003827
BA3200     yes        0.163023
BA3146     yes        0.004692
BA3211     yes        0.004433
BA3130     yes        0.191250
BA3376     yes        0.005338
BA3137     yes        0.321178
BA3300     yes        0.003016
BA3375     yes        0.005033
BA3385     yes        0.171895
BA3416     yes        0.083831
BA3123      no        0.277426
