	RAD21	NRAS
BA2281	16.67272759945315	7.249787793480649
BA2282	8.901841543428535	3.9354517472565504
BA2286	13.39494709097916	7.059774929748949
BA2288	10.082944575583005	5.030989192075231
BA2292	18.590565422674203	11.60869444588134
BA2294	8.922417194971139	5.909367305235669
BA2296	9.253808222732571	7.903710370609955
BA2300	15.91951318108498	9.118918702903615
BA2301	7.975873603129876	10.608034425539255
BA2302	9.987074162137658	8.506829643624565
BA2304	5.843656849489537	3.867613301263115
BA2306	11.005838226949349	8.171764479984272
BA2308	6.875562225380477	6.25244413003803
BA2309	11.791282340863557	5.340910135111962
BA2311	8.572661186048336	5.303064363651437
BA2312	7.674918446231897	4.504811534567072
BA2316	7.282340044737987	3.980454039341224
BA2322	5.18753456585531	11.139315392217648
BA2325	5.008815555223583	6.662575697948401
BA2329	5.409638321457206	3.680005567553983
BA2334	6.602282118293289	5.594381798618988
BA2339	8.06670173891155	12.149194506134686
BA2344	10.584311463633012	3.796331221454245
BA2347	8.719695984514088	6.099881569035103
BA2348	4.327835996869017	4.830109248163483
BA2350	4.588882690076493	6.296603883376644
BA2354	12.00451486898158	7.369975374515866
BA2355	20.65281023706665	17.61423414703916
BA2357	11.108352146056484	4.593511698633455
BA2360	8.805045872014531	4.667607518740139
BA2361	12.820670415669928	8.444729251070648
BA2363	3.870061482063049	1.6533242062313365
BA2369	12.850566536925276	11.716427856399315
BA2374	9.087586819222311	8.90851954300139
BA2375	7.831872915187479	7.273261731939739
BA2376	8.201038447211358	4.743354931372759
BA2377	15.515745904212263	28.34113352214924
BA2379	8.82297591175788	11.42833948400689
BA2385	9.25356836754013	8.467507384741557
BA2386	10.908254139241263	8.51453741814126
BA2387	10.729442600106111	6.104785433248432
BA2394	11.860730450178448	7.782469280669589
BA2399	9.462752231839673	7.305345578102778
BA2400	17.491428972560485	10.792542274348248
BA2402	8.029770309000423	6.539774219391059
BA2405	6.783514065467473	4.2085783786362825
BA2406	4.789139318834035	6.187537522321613
BA2409	5.9648479891895	4.23851063470181
BA2410	12.216570162803489	15.783475205843052
BA2412	7.434423162851566	1.821471695037475
BA2413	7.014678596936963	7.186157530211142
BA2414	7.232459983658254	7.19776843499985
BA2415	11.629542912695369	4.410196232178046
BA2417	6.087635035150938	8.310107650022767
BA2418	5.170131502585171	4.558479498388771
BA2420	9.57814254684074	3.2908094863614687
BA2421	32.82849295268981	9.876949670328226
BA2423	7.4386621718513055	12.01254110805784
BA2425	7.4966187289404544	5.349058291782689
BA2426	5.078771875409028	11.943840560288384
BA2427	6.27947651756106	9.648382190778756
BA2429	8.178058606915211	4.13021983655467
BA2440	16.32951560083481	13.846950790370837
BA2441	8.542129804765835	13.52081720654136
BA2442	14.204882194839056	6.131416527699035
BA2446	10.364804794975528	5.154975512648711
BA2449	14.089617863871435	14.358495504230818
BA2450	6.47225667494796	6.755089743124651
BA2452	8.272702521925646	7.104364218344255
BA2454	6.942160543769251	7.167375452938487
BA2455	7.8038560766564276	6.319838521599662
BA2456	7.882438568555351	9.966741377451772
BA2459	9.797272940458363	5.197367691181537
BA2461	8.219969197680816	6.292183057089055
BA2463	12.690477923250375	11.631023555962196
BA2464	8.325017469373892	5.935835116649162
