	DNMT3A	IDH2
BA3029	5.38508153742644	7.69921272259806
BA2733	5.37965871348939	8.22650342209935
BA2995	6.74268846032395	8.41846114844672
BA2069	4.77701262518198	8.65565049707964
BA2100	4.98409448643986	7.63755645913212
BA2681	6.51154576024005	8.51679913189176
BA2248	6.0444352624309	8.30473182450184
BA2832	6.12682630802195	8.3695120975799
BA2308	6.22113787930576	8.26607857536642
BA2413	6.16609369248211	8.32449794408229
BA2701	5.64618047026692	7.60395254604328
BA2634	6.25091484872834	7.81249915728454
BA2677	5.69566002369261	8.27670009201677
BA2937	5.79045455115976	8.23061160269424
BA2600	5.50315192004078	8.16254296358662
BA2019	5.65448355973944	8.7332018546727
BA2412	4.71932990142095	7.24218373520164
BA2334	6.20697852343694	8.12230223339654
BA2050	5.92596043186298	8.72731998420373
BA3230	5.17381001168529	8.51934782702254
BA2953	5.84669771952697	9.03786515454843
BA2481	5.03079434015524	8.41135949860071
BA2731	5.42234890079115	7.72809482559201
BA2294	7.17520302946663	8.69249597847146
BA2418	6.01373604526196	7.83704881770087
BA2816	5.11433165880832	8.27244095196937
BA2656	6.45897655908302	8.50412364911741
BA2814	5.02974000658284	8.7332018546727
BA2631	6.2167212997473	8.03722226484621
BA2023	4.72738279030256	7.84567146798846
BA2375	6.08536052540414	7.84127876561754
BA2485	6.78074983432615	8.52886682883828
BA2455	4.69855961142677	7.18644077892568
BA2025	5.23673966789925	8.672544374331
BA2636	5.92637395893393	8.25554427681065
BA2325	4.04879675825088	7.05796014084047
BA2169	6.19606446047222	8.85577669200061
BA2156	6.79640967556144	8.78108213178214
BA2511	5.26710389157619	7.46784096415085
BA2939	6.0158165147387	7.72545959564587
BA2168	6.41510646424492	8.29820901257083
BA2505	5.62195033213407	8.14705635633251
BA2860	6.33509433573957	8.42321613548815
BA2707	6.18632897661868	8.66689198102969
BA2871	5.96907627794874	7.80682500789732
BA2655	4.77872894002383	8.7420670822246
BA2227	6.55232565838748	8.0301567645062
BA2125	6.10829331712153	8.3695120975799
BA2523	5.74395799798389	8.58992566833602
BA2603	5.47138243938151	7.97230357086309
BA2808	6.31675170697475	8.20213208675208
BA2282	4.80111971961835	7.09119041085949
BA2482	6.17641644366945	8.43037965011906
BA2812	4.99775683802712	8.25764420926654
BA2822	5.98054442725547	9.45324250904435
BA2594	5.81201009033099	8.40194775982719
BA2747	6.18950223686314	8.55813210635661
BA2561	5.94641278080618	8.07789379739417
BA2567	5.34433907396084	6.56478809528508
BA2906	4.74957774721697	8.95099667095566
BA2956	5.64166399423883	7.83985748399556
BA2474	6.09936975927192	7.82988769642495
BA2737	5.70872171926613	8.0301567645062
BA2110	4.74182984575756	7.17595663951225
BA2992	5.05504885396523	8.37180321609369
BA2220	5.65448355973944	8.79022656584331
BA2772	6.0781745380856	8.22445433533228
BA2935	5.28177179122875	8.03369173116136
BA2260	5.01183343730558	8.23267071257109
BA2676	5.36293986474154	8.5555137585582
BA2948	5.85542200416075	7.3014086607396
BA2524	5.52135062216325	8.30037965468589
BA2811	6.24912819394912	8.49156043324924
BA2540	3.86156811832603	7.64636707538027
BA2928	5.34151860321391	9.16398396797258
BA2302	5.53940253028108	8.06706072393759
BA2595	5.14967422759909	8.86857724833819
BA2792	5.02056262861089	8.38795127420314
BA2651	6.03566200297907	7.83268389248944
BA2619	6.44227342376241	8.57129520837751
BA3013	6.16865049658773	9.13342062895717
BA2405	5.67317843136018	8.57394218930808
BA2735	5.32233498083344	8.01965582601105
BA2856	4.20674974606089	6.83661488155882
BA2377	4.1940893457466	8.70296361717243
BA2499	5.81959741153124	8.30909856685695
BA2463	6.22329037773919	8.46370355203629
BA3023	5.20440021667154	8.57129520837751
BA2095	6.14672505812723	9.33883912107995
BA2901	5.08758890657065	7.69288267465993
BA2275	5.75302384911337	8.24717893447311
BA2387	4.47173241334974	7.88494695067266
BA2962	5.58010200112807	8.59529250724368
BA2195	5.51500276467509	8.20012237793382
BA2688	4.72354417544082	7.81385914418798
BA2787	4.78223236558204	6.53792906948021
BA2420	5.5603638318114	8.65006116973985
BA2756	4.01681712942243	8.77804587995587
BA2122	4.87096387518994	7.22786001580346
BA2053	5.84787957757678	8.13938594647296
BA2080	5.86901047120639	8.7420670822246
BA2081	5.77033121359801	8.62242404966029
BA2354	6.23533588980149	8.03197078783115
BA3273	4.71789490848166	8.71530617987172
BA2893	6.19299832162761	7.97069985635942
BA2044	5.54245080282141	8.60067902691643
BA2489	4.74182984575756	8.3311533449718
BA2309	4.97387498404503	8.77501554362266
BA2720	4.52153193566258	7.72941398094
BA2908	6.4243136710677	8.46065657230778
BA2054	5.07550246590364	7.90191887122195
BA2872	5.31756660169569	8.7420670822246
BA2526	4.92943275175156	7.97556074370465
BA2041	4.60901148734067	9.11460476788528
BA2464	6.09645228197541	8.03197078783115
BA2902	5.39890865222561	7.84883391972247
BA2541	6.22378350328208	8.09989277486394
BA2143	5.09390910729551	7.95296500400789
BA2094	5.80146381261149	8.51679913189176
BA2769	5.91953516934334	8.45696872743274
BA2843	7.04918884608735	9.00955709168753
BA2592	5.39347949789235	8.77804587995587
BA2497	4.53554304554111	8.52190108216259
BA2718	7.87584460904621	9.77539354132974
BA2575	4.84562521936661	8.0044307958278
BA2096	4.66610967820232	8.90103696609653
BA2593	5.2635303158332	7.29348678773891
BA2791	5.91758639573652	7.98067391429632
BA2620	5.72903451515424	7.72809482559201
BA2629	6.23533588980149	8.34906675857089
BA2870	6.38599164256093	8.60608533344799
BA2423	4.43352231435234	7.46260985261637
BA2682	5.44640808199127	8.11478606741055
BA2276	5.42530018626189	8.5872495962732
BA2348	4.75764062057754	7.57949702449786
BA2709	5.2868395453686	8.36722488709977
BA2789	5.88684341274268	8.77501554362266
BA2694	6.22675882110798	7.95452812467512
BA2538	6.25807759133934	8.78108213178214
BA2583	6.36648969189247	8.68676863894814
BA2415	4.81585561124571	7.4333053034535
BA2722	5.89048099649459	8.55813210635661
BA2806	5.91595003127845	8.20012237793382
BA2221	4.65687977223113	8.33560901482561
BA3025	7.31039812260742	9.00255657247606
BA2514	5.17241204196236	8.09800077099819
BA2520	6.93890773932704	8.96458579397726
BA2441	6.92239609110895	8.31347995218337
BA2153	6.39926285688665	7.85777881958234
BA2479	5.61780736228049	7.08297551023298
BA2281	6.1921407741856	8.48906113697349
BA2657	6.04691526295528	7.76200686781066
BA2932	6.14718029862126	8.48906113697349
BA2123	4.48731198029739	9.3735473533766
BA2844	5.36000471761652	8.96800104667789
BA2660	5.62419273985357	8.65565049707964
BA2836	5.62530338833762	8.06147774301482
BA3027	5.36514025423526	7.12040364606583
BA2714	5.21363189314042	7.85633367820174
BA2139	4.53197710730373	6.79931174111644
BA2251	7.54970729199318	9.4000752436972
BA2952	4.36608295505138	7.71347289714959
BA2440	4.78017722753487	7.89883083701412
BA2036	6.25807759133934	7.88793681406652
BA2828	5.75062167266173	8.0095286113404
BA2292	4.11937931431274	9.64008823387741
BA2410	5.75415496254133	8.30255392241405
BA2051	4.68591344454784	7.5032888272442
BA2532	4.96266025809675	7.76614073791854
BA2986	5.59662502172316	8.4424022836884
BA2494	5.24647301398251	8.41135949860071
BA2515	5.18055221298724	8.77804587995587
BA2748	6.79158437688518	8.85577669200061
BA2970	5.58383676402354	8.42798766039968
BA2622	4.81831316874204	7.29431703031285
BA2839	4.66151584498319	8.62516478231551
BA2052	6.34832965907228	8.74800571415782
BA3011	5.11433165880832	7.85205086731265
BA2868	7.18812871773308	8.84624370479657
BA2510	5.21924696123963	8.79942491234482
BA2065	6.17379906817959	8.24509615455004
BA2691	4.77982414410044	7.21224786715344
BA2374	5.51691886633525	9.14863087419242
BA2804	5.82541777312417	8.83362186336888
BA2670	5.45893049861312	6.96289154217268
BA2675	6.34832965907228	8.34456564828853
BA2589	7.27555120012057	7.41008797800013
BA2031	5.12702075468941	7.68134464101013
BA2198	6.54928934120065	8.64171611871059
BA2066	4.56478976898356	7.64377441186557
BA2344	6.75597489483719	8.97142354261209
BA2459	5.41754429750073	8.80432724529814
BA2229	6.2290430058542	7.46065818949753
BA2559	5.02728430921221	7.72417589543797
BA2093	6.36086030376613	8.51679913189176
BA2000	5.82859548893421	9.25517667754352
BA2425	6.12637853560869	8.29571260021178
BA2905	5.90555861314736	8.42798766039968
BA2304	4.5391313162393	7.59101188148724
BA2976	5.89878476046271	8.13938594647296
BA2386	5.76181699229763	8.05626383418968
BA2035	7.38848640256579	8.904319577833
BA2760	5.22317063501282	7.83268389248944
BA2201	4.76005725019894	7.88494695067266
BA2355	5.02764204989782	7.42415546195164
BA2113	5.95559861955689	9.00613487905274
BA2155	6.54150806703429	9.23089240757758
BA2955	4.80814964517647	7.60765864505298
BA2502	4.91792245118013	7.56321071069528
BA2322	6.24013217204255	8.41608983118813
BA2376	4.81549079833473	6.9944372976249
BA2020	5.67811655623058	8.87824586229709
BA2226	5.69683059962592	7.35863482899504
BA2200	6.16950493399515	7.94145634611773
BA2121	5.97608438156721	8.45696872743274
BA2944	7.24218373520164	8.7420670822246
BA2033	4.56407532031905	6.87847286019697
BA2867	6.13725593051751	8.68391306436784
BA2089	4.27079096532492	7.5725144548201
BA2224	6.16479221189801	8.09804401257278
BA2046	4.60401552568644	9.16784487350203
BA2972	6.61484329859941	8.54249270039127
BA2978	5.38151536241943	7.48490734822992
BA2829	5.66740335166233	7.62925234894777
BA2851	6.02615955253131	7.99068122497693
BA2587	5.97523061949623	8.42083657982967
BA2461	5.15668163101419	7.51191595859432
BA2695	4.65902094233579	7.10693286579065
BA2623	6.63758201438047	8.50918028997297
BA2024	5.40260210506482	7.248181873002
BA2426	5.91240742486635	8.38795127420314
BA2271	5.10834862967978	8.0301567645062
BA3004	6.38888273500531	8.34007975821985
BA2579	5.66051919592254	7.81538872947805
BA3010	5.53426887614694	8.03884116383771
BA2662	5.34255610443151	8.43758065182973
BA2674	6.40360502181603	7.58991392876001
BA2280	6.36182238595201	7.90803356905227
BA2512	4.68695768946558	7.00146186913291
BA2658	5.76371292639746	7.49358396361658
BA2394	6.73922514739457	7.93502206043898
BA2950	6.02576365304124	7.67625068419832
BA2981	5.64089444218065	8.20818067427413
BA2934	5.56441490975965	6.47279065497325
BA2539	4.88365938121125	7.49256176412129
BA2249	5.48468121276611	7.74263536016322
BA2034	6.11503718341623	7.96905854853838
BA2109	4.87023108953253	7.73332620572976
BA2242	6.03404286985942	7.66613976188412
BA2277	5.97691207859612	7.81538872947805
BA2727	7.10771088589405	7.94145634611773
BA2132	5.91874058491338	8.60067902691643
BA2618	5.46299801814277	7.70961368830257
BA2521	5.49396648422183	8.13747585819058
BA2846	6.49002795768883	8.63341745058943
BA2885	4.92595904339551	7.45866975783138
BA2639	6.29137386576201	8.73910632748104
BA2775	5.60579685194834	8.11853831041796
BA2402	5.17065533146209	7.68775219309565
BA2097	5.66740335166233	7.9003747386446
BA2786	5.58682786591739	8.7332018546727
BA2399	6.16697408993369	8.31787605128572
BA2850	5.53758769155616	7.5552619353094
BA2174	5.56931523967556	8.11104544817006
BA2004	5.79282325358751	7.17275321082541
BA3001	6.55713498264667	8.23061160269424
BA2311	4.78361272995645	7.9609725092348
BA2483	6.25534556152395	8.00271116464237
BA3040	5.54431492495241	9.05581138653334
BA2837	6.13249003882685	8.37639721534742
BA2724	4.79523149626919	7.66369633945432
BA2911	6.13505858445244	7.8210975174081
BA2256	6.07438042977308	8.7420670822246
BA2821	6.06121727575126	8.41372261793503
BA2233	6.75074032756909	8.74800571415782
BA2744	6.69580577134555	8.3972661940189
BA2880	5.14825734566663	8.3311533449718
BA2621	5.31756660169569	7.28438406463884
BA3002	6.11593110685268	8.55997698305646
BA2501	5.71368801694621	8.34681429629083
BA2993	5.68833994254818	7.77713213848426
BA2301	4.60295748096679	7.75780436658957
BA2852	5.42453578520679	7.53734841909383
BA2133	5.51345714323729	6.96975356458038
BA2866	6.36930495814156	8.99906762077278
BA2212	5.89086317810063	8.64171611871059
BA2685	5.40778946397742	9.08862153045619
BA2273	5.9773343667847	8.71853926395486
BA2477	6.16697408993369	8.48407580140491
BA2659	5.05963791860408	8.15090969693391
BA2124	6.63383351459938	8.70296361717243
BA2363	6.0344495153559	7.80235955590607
BA2369	5.84631034661227	8.62242404966029
BA2534	7.56679847925559	8.74800571415782
BA2400	5.92432462638165	8.09804401257278
BA2762	6.03732004077161	8.16840116234166
BA2312	6.01745471553114	7.54970729199318
BA2813	5.79446889536676	8.04060780611373
BA2211	6.67837784799198	8.61335419813792
BA2171	5.78002501253586	8.29387857030758
BA2746	4.56145114497437	7.28712238553665
BA2798	4.85230183637924	8.39493145233583
BA2809	6.37079667059363	7.88191833711993
BA2288	6.21760589006463	8.17565360284926
BA2801	5.10733697094661	7.5932544466496
BA3030	5.98792432171399	8.02685700006077
BA2588	6.3730951356739	7.83407017601998
BA2296	6.57772759538865	8.64449262965366
BA2300	6.17423728477739	8.34232080533324
BA2903	5.46260848821559	7.15557221270197
BA2473	4.66541353379402	9.20081280674415
BA2545	5.29014927757584	8.10545619155905
BA2840	5.20757281722967	7.36527517561591
BA2528	5.49025573477232	7.81249915728454
BA2646	6.24227196022735	8.27244095196937
BA3407	4.41937585941747	8.23267071257109
BA2240	5.87772009379433	8.01121552663761
BA2926	5.48685812816546	8.34456564828853
BA2272	5.16389532747044	7.33250978911574
BA2306	6.16229657509821	8.34906675857089
BA2765	5.10733697094661	7.00642277827321
BA2904	6.23081198982986	8.01121552663761
BA2883	5.00552413095077	8.52445890903765
BA2726	5.10142924510394	6.93827202821145
BA2234	4.09352976766015	8.2960419873451
BA2022	6.00392077224602	8.66407371953991
BA2228	4.73692025392607	8.79022656584331
BA2037	6.37031994316104	8.46185834013681
BA2184	7.44644074627456	9.1872873383188
BA3009	6.32314377198831	8.07064998624987
BA2842	4.54377637973889	7.21053357648558
BA2442	5.54393492602013	8.01616932095142
BA2882	5.05929023106165	7.51299557490928
BA2758	4.51398396735729	6.90161368403515
BA2705	5.54355794441881	7.53303259081949
BA2663	5.4040564998537	7.25790347094091
BA2570	6.3129901827468	9.21888429779212
BA2764	4.16479586623105	8.04060780611373
BA2209	6.20525292176704	8.22240857358487
BA2989	6.26705656087935	8.68676863894814
BA2855	5.04138595893264	7.77444024847
BA2261	5.32664570587017	7.99739906746641
BA2721	5.42748213274228	7.80956394588893
BA2930	4.32076840742144	6.82612058067876
BA2728	5.46114309064973	8.15671254170946
BA2715	5.13442321095142	8.06884590575294
BA2469	4.04753383160948	7.12664090320603
BA2269	4.81095988420945	6.99377561399407
BA2098	3.59566377043115	7.65632337592004
BA2778	3.69392175101973	6.68355614720783
BA2951	6.93021683662514	8.49908497066643
BA2163	7.03196402344294	8.23473317956582
BA2379	5.14161615451425	7.06166102601644
BA2817	4.73585764384443	6.97794904447586
BA3153	6.35855944709052	9.30065851731011
BA2820	4.82534093200762	7.60280427832536
BA2723	4.46663819123563	7.51299557490928
BA2704	6.19169062886434	9.01658796485945
BA2088	4.23317948236661	8.46430959418229
BA2116	5.36689692587537	7.1940059259717
BA2584	6.19479612483736	8.98864564355709
BA3079	5.95765278561263	7.71867822819813
BA2417	5.79321150053106	8.95099667095566
BA2361	5.50498484264806	8.13747585819058
BA2450	6.67894286315779	8.1017443875296
BA2492	4.23203632866019	7.47524977931761
BA2552	5.91595003127845	9.0307417478067
BA2472	4.56799936889978	7.93502206043898
BA2994	6.38599164256093	8.49406416345013
BA2047	5.70146183160515	8.45209623715645
BA2101	5.79045455115976	7.70330320958059
BA2082	5.53865932247819	8.94761722776196
BA2879	5.11922365704846	6.90877033903166
BA2577	6.7058515766051	9.16398396797258
BA2456	4.85371906563251	7.34929269675225
BA2175	4.99738222665924	8.4424022836884
BA2824	6.40454724548096	7.878761730409
BA2507	6.74039110508618	8.46922505155083
BA2563	6.49406704275497	8.5373170330564
BA2244	4.96127415225726	7.34929269675225
BA2470	6.2918184227424	8.26607857536642
BA2984	5.62868512576849	7.77015373984418
BA2414	6.58623483162294	8.95777690896205
BA2697	4.61150443110127	6.89968682755392
BA2079	5.08758890657065	6.39786567345431
BA2999	6.39738498406032	8.41846114844672
BA2644	5.65485837851428	7.66495366812555
BA2011	5.32664570587017	7.31127241928996
BA2217	7.20800173217813	9.00955709168753
BA2454	7.33073792117204	8.86216405394702
BA2776	6.74039110508618	8.91751782379931
BA2218	5.91717313414898	8.09619809378225
BA2135	6.06255807626612	7.95296500400789
BA2914	5.77070270325106	7.50002964161751
BA2500	5.48059363504872	8.32893113987774
BA2830	6.85144834736251	8.66407371953991
BA2406	5.29272133823875	7.8894951557827
BA3108	4.66717493535737	9.37793858616158
BA2924	5.31255258978501	7.61362919863888
BA2303	5.28256921751163	7.20465709297985
BA2160	6.655181196516	8.32007964073217
BA2038	4.35906524158071	8.43998936441936
BA2602	4.62321630772693	7.83268389248944
BA2964	4.39407415685903	8.50160207030541
BA2898	5.13692147172974	7.92215119859177
BA3003	5.2450731397095	7.98220941306141
BA2111	5.12563283342855	8.24717893447311
BA2827	5.11569183564456	8.34681429629083
BA2912	5.81007696621955	7.99739906746641
BA2437	5.1122048652643	8.49908497066643
BA2283	5.36221790332293	7.86671215518685
BA2057	5.19592591955162	8.09619809378225
BA2633	5.44569104780308	8.50412364911741
BA3034	5.06279777386113	8.05288390011611
BA2607	4.98230143047781	8.40664550150058
BA2761	5.67432622931416	7.87281860469351
BA2795	5.22927128390671	7.96577419756633
BA2182	5.25109490120941	8.1336646480907
BA2152	5.23965795443685	8.22036612888066
BA2381	6.38306782429477	9.34313727945847
BA2931	5.49691431965408	8.21020338316209
BA2040	4.54056013941107	7.92364245319313
BA2590	6.56990345420697	9.28812805203208
BA3195	6.86838819773824	8.47910806756512
BA2516	5.78615399709568	8.32191640184945
BA2353	7.26851020715081	8.68676863894814
BA3036	6.3850340445232	8.0095286113404
BA2971	6.23664169060856	8.14502683997756
BA3410	5.66279307581164	7.98220941306141
BA3118	5.42234890079115	8.30691336971867
BA3206	6.83601210531875	8.09804401257278
BA3202	4.24693083065817	8.6279105840654
BA3217	6.01664395833904	8.27670009201677
BA3405	5.35117907046834	7.92364245319313
BA3306	5.44067594846619	8.37180321609369
BA3371	4.97317547511932	8.62516478231551
BA3413	6.83843057067482	8.81487669872437
BA3411	5.73738411344192	7.98898804212453
BA3133	6.15921420802907	8.34232080533324
BA3164	5.78192253760815	8.30255392241405
BA3451	4.90254409754431	7.51413414557592
BA3286	5.8761890408473	8.7361512573159
BA3212	6.15834977750935	8.57865830342714
BA3103	5.4040564998537	8.7361512573159
BA3271	5.49289037233673	7.97894297933459
BA3152	5.21327609576147	7.94314055717551
BA3095	6.20098661255903	8.46430959418229
BA3192	5.35415056636227	8.43998936441936
BA3251	6.35399476116952	8.42798766039968
BA3362	5.60540886857144	8.88653621315296
BA3400	5.490635893289	8.02508710399741
BA3135	5.89003355654074	8.83676787171411
BA3408	5.12063498746829	7.02274319881886
BA3187	5.39277292171201	8.53215993801742
BA3098	6.18590754539494	8.73025810259064
BA3435	5.67887021391384	7.96744532914178
BA3261	6.47915200705891	8.66407371953991
BA3203	5.61405116349114	8.15090969693391
BA3174	5.21397119518206	7.617186143553
BA3317	6.81883552060849	8.42559982560594
BA3299	4.41640814943071	7.92868137841977
BA3221	5.50684581649132	7.07556396699123
BA3347	4.5651470965606	7.68134464101013
BA3235	4.59152669861806	6.732801148639
BA3126	4.09434749658679	7.15557221270197
BA3380	5.84353133766961	8.41608983118813
BA3089	6.50598160592548	7.89883083701412
BA3109	5.19197507986882	7.04851156959908
BA3114	4.61788631559245	7.58991392876001
BA3418	6.25221507266163	8.19611264417946
BA3245	5.72099925846855	8.05457002396872
BA3085	6.88232132236019	8.11104544817006
BA3128	5.6290939324601	8.78717245605116
BA3423	5.86057748465192	8.29820901257083
BA3173	5.93735639042332	8.84307877151568
BA3171	6.34878143548061	7.27205163282357
BA3277	5.44424859687628	8.56601564488201
BA3210	5.82971849546372	7.80094268898657
BA3157	6.43193622663115	8.51934782702254
BA3433	5.85578814032464	8.27244095196937
BA3322	5.08223929101889	8.17625565039323
BA3374	5.35519815996299	8.43758065182973
BA3450	5.34219904385068	8.52190108216259
BA3167	4.81095988420945	8.40900046313029
BA3269	4.99738222665924	7.24647814947882
BA3110	5.37014622702408	8.54953218061743
BA3156	5.45234424595149	7.51732737025111
BA3226	6.25000151049301	7.87430709609213
BA3421	4.8864219540017	7.45670028367566
BA3232	6.27426778231287	8.16840116234166
BA3289	4.85971090955896	6.86648111845466
BA3430	5.25385282871793	7.16953610700443
BA3145	6.73922514739457	8.21629115879124
BA3399	4.74148796294472	7.41107466475047
BA3449	4.95086713745968	8.19012213724112
BA3384	5.9563978434584	8.16059641320183
BA3427	5.25714318052804	7.3548407117676
BA3163	4.59152669861806	7.550843282623
BA3158	6.79581543973709	8.81487669872437
BA3436	6.93827202821145	8.18416035809344
BA3154	6.2850706491728	7.9003747386446
BA3162	5.92513526908082	8.3558471237735
BA3352	6.18861040169558	8.70008120144039
BA3084	5.89359904116522	8.8717935877338
BA3149	5.35709573192361	7.40108920011618
BA3169	4.99738222665924	8.25974759702626
BA3180	5.90885007986137	8.81487669872437
BA3255	5.37928711694374	8.01284698319857
BA3438	5.831768285151	8.57394218930808
BA3345	4.94207214987635	7.574849932275
BA3403	5.24180259489468	7.99413751864958
BA3431	5.5327793179831	7.06807720975175
BA3181	5.01499035740301	7.3445927403943
BA3341	4.25037031677199	7.9003747386446
BA3191	5.50721271315311	7.47212920454885
BA3197	6.83344544574865	8.78412431760784
BA3448	6.60051001058414	8.37180321609369
BA3453	4.81972624226558	8.23473317956582
BA3406	5.89003355654074	7.99246857024867
BA3308	6.62952631509886	8.69824500910271
BA3186	6.7037023558772	8.55765692487222
BA3334	4.61468245344628	8.08518191159815
BA3447	7.53734841909383	8.22036612888066
BA3116	4.92736106288858	8.28956252610494
BA3280	5.34471469248409	7.69790613813162
BA3185	6.0765385205626	8.60337970015667
BA3094	5.44318329987226	7.97720455656684
BA3318	4.65263126814038	8.21629115879124
BA3216	5.88406214865442	7.72417589543797
BA3332	5.83917770608647	8.97829037472744
BA3214	6.52836297577895	8.59445024196475
BA3099	5.81839607751016	8.24926512843891
BA3141	6.6430484484285	8.30691336971867
BA3373	7.08521741719084	8.59260663428802
BA3319	4.99665147897099	7.78401208165605
BA3328	5.75023036618314	7.99915514777274
BA3339	5.90720734250747	7.35673455123978
BA3240	7.46784096415085	9.43158515365849
BA3142	6.49002795768883	7.7605970351598
BA3333	6.66451367219681	8.61968837224666
BA3381	5.12596382526423	8.58992566833602
BA3290	5.67811655623058	7.82549928808227
BA3207	3.30852387884075	6.40170617544637
BA3296	5.02619905861961	7.7045927999637
BA3305	5.71368801694621	8.25554427681065
BA3434	6.20525292176704	8.25554427681065
BA3189	6.72005859768329	8.30909856685695
BA3264	6.11294027816034	8.7361512573159
BA3329	6.39359148087619	9.25691151442812
BA3417	5.51691886633525	8.12986534537924
BA3367	5.03748167961273	7.43931413643912
BA3225	4.30837790148871	7.00991256129177
BA3183	5.77294291662078	8.19411260375688
BA3222	5.4780108909795	8.79635277497105
BA3139	6.25445222164076	10.1620355969132
BA3397	6.5518017021576	9.07395764638915
BA3311	5.23032944318066	6.91793209354363
BA3422	6.54042498941119	8.37409825216549
BA3228	6.11633596300958	8.40429460371975
BA3213	5.8546289142141	8.42083657982967
BA3270	5.36939086109841	7.35764711965898
BA3415	6.08148760261427	9.74736666094391
BA3324	6.40503611780804	8.53215993801742
BA3194	6.77720928573593	8.85577669200061
BA3335	6.11633596300958	7.63878607715114
BA3199	7.06166102601644	9.50125973784097
BA3326	5.30886708091399	7.66495366812555
BA3285	6.35713479831954	9.89455064759087
BA3297	6.17989946486144	8.18217944661747
BA3227	7.03623900558414	8.58457840504288
BA3394	6.21933467933948	7.31937809888862
BA3412	6.21454243325922	8.90103696609653
BA3293	5.91637612602088	8.31751248525734
BA3250	5.83256616777847	8.3926007250059
BA3177	5.6412866944169	8.9076089453561
BA3315	4.798374704262	7.91895915389096
BA3182	5.85810717843667	8.45453034732936
BA3260	6.02077165309049	7.54625616208849
BA3369	5.69992958447881	8.32893113987774
BA3078	5.48023322260474	8.65749029731641
BA3386	6.57509033573893	8.57129520837751
BA3445	4.87235166783045	8.04765964150367
BA3452	5.46001022094073	8.40429460371975
BA3176	6.55914586158058	8.16644533071452
BA3258	4.16634381840989	7.69023500088856
BA3295	5.68573255517546	8.38100696139026
