	ASXL1	CBL
BA3027	6.30464556196735	6.15101372135618
BA2714	5.69757983119209	7.08148396341999
BA2139	5.39929335398575	6.732801148639
BA2251	6.31251579014812	6.03404286985942
BA2952	5.88406214865442	7.78816074108162
BA2440	6.27158031478995	6.29962436721057
BA2036	6.40025463094879	6.68070832768596
BA2828	5.49725940478877	6.57509033573893
BA2292	6.51154576024005	4.49200541523704
BA2410	6.26033254809805	5.50870400018428
BA2051	5.94836876055586	6.39259211057253
BA2532	6.37031994316104	6.25990865941117
BA2986	6.52020957672534	6.36930495814156
BA2494	6.57247167015578	4.96547907948064
BA2515	6.17598273714894	5.78229337378321
BA2748	6.37975842200095	6.4059839800287
BA2970	6.02937141783307	5.67772909120233
BA2622	6.13597197195766	7.14921380328589
BA2839	6.41651938191685	5.95765278561263
BA2052	7.04775148018528	5.83841841477399
BA3011	6.35627429889414	5.76722856076773
BA2868	6.02819468374248	6.38694021270264
BA2510	5.81726345497192	6.75771576783705
BA2065	6.26517604030033	6.65572341906315
BA2691	5.85381815948029	7.05132427456444
BA2374	6.2877927663973	6.08318959151969
BA2804	6.05361973784087	6.3208153422885
BA2670	5.67924435783264	6.34832965907228
BA2675	5.99436956978052	6.06596741795533
BA2589	6.71837477507922	5.50870400018428
BA2031	5.68872421112857	6.7472714933791
BA2198	5.85182499561048	6.65792194443728
BA2066	5.37928711694374	6.95960331595656
BA2344	5.683055970914	5.77409344818299
BA2459	6.93219471408877	5.99520828398439
BA2229	6.84719227215285	5.92274484517742
BA2559	6.06078122712208	5.15922305350231
BA2093	7.15557221270197	6.74962731666034
BA2000	5.88606180557595	6.1368245443414
BA2425	5.99112678530118	5.61586637721502
BA2905	6.47426873472503	6.45599883472476
BA2304	5.36584838994078	6.74039110508618
BA2976	5.9785222997962	6.03812571980279
BA2386	6.1180523945273	5.66700121364047
BA2035	6.42953951724595	6.51004595939563
BA2760	5.88961440143981	6.57095981156775
BA2201	5.773700485866	6.89968682755392
BA2355	6.6656439229699	4.87201227243281
BA2113	6.18950223686314	6.98756290986723
BA2155	6.82309107200081	5.13976221148527
BA2955	5.96945929693027	6.78802478417111
BA2502	5.70452449404762	6.99377561399407
BA2322	5.61780736228049	5.91045865628191
BA2376	5.46990488253098	6.67668520784891
BA2020	6.30050208589508	5.14508451414971
BA2226	5.65258967329686	6.67837784799198
BA2200	6.00841658197255	5.84631034661227
BA2121	6.05448659537988	6.83780188259357
BA2944	6.23533588980149	6.11118909883084
BA2033	5.98917879350321	5.46734103839207
BA2867	6.53145543602281	5.90514668195897
BA2089	5.42234890079115	6.52630500155159
BA2224	5.99849937933433	6.78255354390321
BA2046	6.50002459426286	5.45162820453411
BA2972	5.96023036518701	5.8972652873143
BA2978	5.69449320412197	6.88993208075706
BA2829	5.75606111415072	6.24314863798514
BA2851	5.96505632745959	6.38023120196824
BA2587	5.70872171926613	6.55863333147361
BA2461	5.92917652580144	6.62466206493959
BA2695	5.81839607751016	6.79100301901869
BA2623	6.02245886806957	6.3037231448191
BA2024	5.52061119799639	6.96975356458038
BA2426	5.68872421112857	6.2290430058542
BA2271	5.73401055203652	6.56685915377229
BA3004	6.33046496181519	6.10621461216555
BA2579	6.50152491798344	6.40688318423783
BA3010	5.82392380814807	6.38837422038712
BA2662	5.59174174629251	6.26927993913723
BA2674	6.01784200578308	6.04066918000608
BA2280	5.9207696282738	6.31675170697475
BA2512	5.45674649791294	6.65403117957095
BA2658	5.77182174756257	6.50748244706823
BA2394	6.07695623288107	6.47571845442986
BA2950	5.79603390583248	6.32729837510952
BA2981	5.84787957757678	5.26459476589721
BA2934	5.95891123308455	6.31539551726359
BA2539	5.57116929470375	6.38550593619779
BA2249	6.04898713449574	6.43929618119963
BA2034	6.1058059803294	5.48394657614029
BA2109	5.58836680284654	6.24682640662524
BA2242	6.07305710536308	5.56705100056312
BA2277	5.89124416348565	6.27289277243206
BA2727	6.29137386576201	6.16950493399515
BA2132	6.02077165309049	5.79603390583248
BA2618	5.57784205345213	5.94473215258657
BA2521	5.71669470584693	6.20356343645269
BA2846	5.99605530428902	6.10234706288177
BA2885	5.46663574912202	6.90096747490557
BA2639	5.92274484517742	6.66232694076894
BA2775	5.92513526908082	5.99929451210714
BA2402	6.05529649425473	6.28908084563445
BA2097	6.12261931153674	5.96823920514463
BA2786	5.69683059962592	7.01271335596315
BA2399	5.95848988053113	5.38622445069567
BA2850	5.89400600049609	5.21397119518206
BA2174	5.69295647546023	6.32959875231621
BA2004	6.02412758639857	7.02125424605895
BA3001	6.19521896796153	6.28823715765654
BA2311	5.72290783455204	6.86903485569995
BA2483	5.66740335166233	6.42189529871828
BA3040	6.40264148496757	5.51092026987085
BA2837	5.75987481048265	6.34322095252985
BA2724	5.7171416432858	6.03193635166747
BA2911	6.04856537740908	6.25896920678185
BA2256	5.80732189831465	5.72137751467021
BA2821	5.93038956442244	6.40454724548096
BA2233	6.24100946664766	6.14026668002857
BA2744	6.04154865344481	5.47763005492427
BA2880	5.68986590376939	6.89839628157059
BA2621	5.84710176754198	7.00924527251429
BA3002	5.53462725078282	7.00490622738367
BA2501	6.06036727608855	6.06345159600226
BA2993	5.74510782456024	5.78501009572694
BA2301	5.91953516934334	6.46528423305325
BA2852	6.69247942029726	5.0417365543682
BA2133	6.57670086749662	5.7683712705426
BA2866	6.26561634633026	6.0158165147387
BA2212	6.1180523945273	5.69796250727745
BA2685	6.60106588860888	4.69855961142677
BA2273	6.36276922003241	5.06174326636484
BA2477	6.05488922575061	6.32868471625961
BA2659	5.70032456019922	6.44710159988793
BA2124	6.19874995357892	5.85893495391356
BA2363	5.74665789517333	6.38694021270264
BA2369	6.16992972400798	6.17121351437265
BA2534	6.10105446354612	6.14325138176865
BA2400	6.25896920678185	5.65448355973944
BA2762	5.78815697396801	5.67849879072138
BA2312	5.87096179619199	6.16092602046833
BA2813	5.84669771952697	5.44354227055874
BA2211	6.40122033716978	5.55025760092161
BA2171	6.24592732813786	5.88127605322844
BA2746	5.57675252591336	6.85962983110872
BA2798	6.37079667059363	5.53239656043462
BA2809	6.15101372135618	6.32959875231621
BA2288	6.54255345963774	5.0487198592787
BA2801	5.7857780349214	6.33691799113473
BA3030	5.77649310558936	6.82851443258156
BA2588	6.13597197195766	6.11633596300958
BA2296	6.07479305709891	6.50248754607679
BA2300	5.90968137145394	7.69666948274062
BA2903	5.30561743364852	6.92432887364054
BA2473	6.46136172333021	4.92698857880871
BA2545	5.78039940452266	6.88232132236019
BA2840	6.16651995068436	3.82818188872895
BA2528	6.04021038079235	6.33826437905032
BA2646	6.12593955851946	6.16309999506727
BA3407	6.23533588980149	5.81916047874321
BA2240	5.77728199716427	6.2886543814572
BA2926	5.87260128091849	5.88368970993683
BA2272	5.64203067730003	6.27468820513848
BA2306	5.86210066626784	7.15327818681819
BA2765	5.58345571866186	8.45696872743274
BA2904	5.85182499561048	6.3811905938473
BA2883	6.6100656847185	6.36982886713941
BA2726	5.55133978188627	6.97383568837724
BA2234	5.5977589538239	6.45198017318936
BA2022	6.13165710493441	6.06387711588008
BA2228	6.33600766569699	5.94263228316548
BA2037	6.36182238595201	6.14149524736616
BA2184	6.3144421792923	6.30187774864901
BA3009	6.36695225743452	5.95076318092024
BA2842	5.82697757198733	6.00051445317703
BA2442	5.96345262806037	6.34145730932297
BA2882	5.59137657391383	6.93292476022611
BA2758	6.07520173413689	6.801788717217
BA2705	5.97648507555777	6.1821095995856
BA2663	5.73552904725917	6.49555684686711
BA2570	6.45599883472476	6.62413100331839
BA2764	6.09808877325888	5.59289705404599
BA2209	7.36435791540221	6.48952236006017
BA2989	6.63915578339387	6.08966256500214
BA2855	6.0515207109664	6.48756519390035
BA2261	6.09174069183038	5.78856545869923
BA2721	5.50315192004078	6.89058644352535
BA2930	5.81482124558208	6.9462008471637
BA2728	5.96823920514463	6.94358580230343
BA2715	6.70193954968785	5.86298515288613
BA2469	5.80971219847918	6.49555684686711
BA2269	5.63974092739285	5.98792432171399
BA2098	5.91084110589567	6.13984081619634
BA2778	5.30422441487673	6.43289690445385
BA2951	5.98747577885065	6.1821095995856
BA2163	5.98792432171399	6.3548930381601
BA2379	6.12991458455326	6.40170617544637
BA2817	6.85707363149716	6.25854276374572
BA3153	6.44995385247277	5.48092950225755
BA2820	5.48685812816546	6.89180239315318
BA2723	6.21316864027758	6.22989744594561
BA2704	6.41753927442656	6.08923274175156
BA2088	6.45847746962255	5.42530018626189
BA2116	6.4369045674542	6.56633757408764
BA2584	5.86781157381666	6.87150487669772
BA3079	6.25311199468293	6.32779672565029
BA2417	6.20227272504612	6.14800492227439
BA2361	6.2445717796939	6.39979504855395
BA2450	6.05529649425473	6.04525873101195
BA2492	5.64878460317562	6.48120572889895
BA2552	6.07349886728139	5.40185770956234
BA2472	5.89840678151491	5.30886708091399
BA2994	5.74740223582238	5.80340144842646
BA2047	6.17989946486144	6.03024497150621
BA2101	6.59148541753236	6.07138778077856
BA2082	5.96264354381231	5.64618047026692
BA2879	6.25896920678185	5.81242563536261
BA2577	6.2877927663973	5.76526823165432
BA2456	6.30418081628279	6.37358566074055
BA2175	6.19776851107361	5.1280622240178
BA2824	6.01215704616716	5.97812067314416
BA2507	5.96987848742324	6.15608719552673
BA2563	5.93293802015649	6.07391847012236
BA2244	5.43952524273383	6.63707820351379
BA2470	5.95848988053113	6.47715255483626
BA2984	6.19120375825818	6.13165710493441
BA2414	5.83483518369012	6.0506842235686
BA2697	5.60656322510578	6.89441914208329
BA2079	5.22500574588553	6.64742815938269
BA2999	6.00093229876932	6.14067117674287
BA2644	5.51382815263466	6.28997086497795
BA2011	5.65258967329686	5.41501101930325
BA2217	6.19822146547957	6.00599295147661
BA2454	5.96063563466876	6.56170699951925
BA2776	6.1281715906941	5.89003355654074
BA2218	6.31205444786469	5.29910819649826
BA2135	6.32267289165303	5.47763005492427
BA2914	5.54431492495241	6.79754404909056
BA2500	5.82392380814807	6.19345543409726
BA2830	5.9361114629243	6.01125817232664
BA2406	5.85542200416075	6.38550593619779
BA3108	6.39073862378253	6.20740227072508
BA2924	5.65411500641845	6.22067774239525
BA2303	5.6147813580075	6.82430487390793
BA2160	6.0765385205626	6.28373604828764
BA2038	6.43095537419459	5.616270357549
BA2602	6.26033254809805	5.45966163922215
BA2964	6.42858727965842	6.52938873500607
BA2898	6.05488922575061	6.6952290990594
BA3003	6.10323904488586	6.79520689964912
BA2111	5.89241706426442	6.48902852435197
BA2827	6.00881830211778	6.47426873472503
BA2912	6.4338606092369	6.65242333740906
BA2437	6.11847233502019	6.24365480544028
BA2283	6.05279557201734	6.57974013566299
BA2057	6.13853683580785	6.50200644713267
BA2633	6.26972531039322	6.36555750928785
BA3034	6.1368245443414	6.81811142246577
BA2607	5.98996157877142	6.0844698592588
BA2761	6.20964310204874	6.36086030376613
BA2795	6.07098245209084	6.40503611780804
BA2182	6.26604717378172	6.73745939965324
BA2152	6.00800870736247	6.68810200399149
BA2381	6.08362235286883	5.91320591729895
BA2931	6.18549348202673	6.47182200391892
BA2040	5.99072677808467	6.09808877325888
BA2590	6.00638246473167	6.2877927663973
BA3195	6.43590316276273	6.54822006852651
BA2516	5.94757169388019	6.82908216215166
BA2353	6.15311168314809	6.67112647924208
BA3036	5.90396043152694	6.29962436721057
BA2971	5.97890641593254	6.00051445317703
BA3410	5.90720734250747	6.1725191860544
BA3118	5.8446879817315	6.33235435623274
BA3206	6.29871693912713	6.77775850085893
BA3202	6.48705929163371	4.98055399385871
BA3217	5.46410131409376	5.99929451210714
BA3405	5.6705066725732	6.98821538280907
BA3306	5.86781157381666	5.49289037233673
BA3371	6.26385719339892	5.98428829955698
BA3413	6.16479221189801	5.77884237694475
BA3411	5.81726345497192	6.6441169206914
BA3133	6.20398896796611	6.43046914091516
BA3164	6.19438001519865	6.14889515620208
BA3451	5.46734103839207	7.1045805500083
BA3286	5.6864679763228	6.63170598568284
BA3212	6.91733301258099	3.29595206047076
BA3103	5.83256616777847	5.82781183106441
BA3271	5.84826511265661	6.67231936736834
BA3152	5.99520828398439	6.7270321335196
BA3095	6.10408615184211	6.38599164256093
BA3192	6.04647904010288	5.83800900717186
BA3251	5.76568700898176	6.34367856158157
BA3362	5.84669771952697	7.07770710445007
BA3400	6.31492475633183	5.42383455525135
BA3135	5.96141985766576	5.76293182295601
BA3408	6.98137959105818	5.88798351527577
BA3187	6.0756397245943	6.34099882607851
BA3098	5.7225158734594	7.62320575204897
BA3435	6.18251802139279	7.02125424605895
BA3261	6.07182186589842	5.8546289142141
BA3203	5.78459303638823	4.92875656907511
BA3174	6.0840496796786	6.5518017021576
BA3317	6.1058059803294	6.39359148087619
BA3299	6.01867856463796	5.78229337378321
BA3221	5.87965665517008	6.63008743018599
BA3347	5.75302384911337	6.47182200391892
BA3235	5.23710808006626	6.88932432366148
BA3126	5.32164044187742	6.90032088066256
BA3380	5.65522675909671	5.95439094102815
BA3089	6.021192542846	6.22761949631351
BA3109	5.94431286144935	6.51402356062823
BA3114	6.17641644366945	5.8649508957416
BA3418	6.51302546929391	6.44275689894875
BA3245	6.22284672145603	5.32810180055979
BA3085	6.12947427780454	6.36039084913799
BA3128	5.89203625853857	5.87015044982701
BA3423	6.44756726036546	5.64240286737973
BA3173	6.20825574796756	6.12342757436463
BA3171	6.14934626765103	7.11072300969941
BA3277	6.55285609284704	5.44717957482301
BA3210	6.81145766315316	6.17379906817959
BA3157	5.96505632745959	6.13941173642868
BA3433	6.25091484872834	5.30199591850581
BA3322	6.46633469347968	6.41897137635364
BA3374	5.44790183156178	7.34082017175962
BA3450	6.41555515164963	6.43046914091516
BA3167	5.84710176754198	6.35260588947101
BA3269	6.10538403903875	6.15921420802907
BA3110	6.57095981156775	5.51015899119849
BA3156	6.56583781452914	4.54878748959104
BA3226	6.11633596300958	6.19521896796153
BA3421	5.99807250561422	6.36695225743452
BA3232	5.93534312096623	6.27064006981264
BA3289	5.9931420196416	6.35306835134338
BA3430	5.95983280142242	6.75251712721233
BA3145	6.3249851051031	6.47329372187665
BA3399	6.02456199069166	5.86901047120639
BA3449	6.21363363803942	5.64956635618765
BA3384	5.81161565339235	6.68423874907307
BA3427	6.16391479568772	6.54204262926234
BA3163	5.68268021308212	7.25976697827341
BA3158	6.19438001519865	6.59895239127683
BA3436	6.436391484782	6.04113685727626
BA3154	6.21013178100069	6.54204262926234
BA3162	5.98343537244457	6.58673582096521
BA3352	6.25896920678185	6.08318959151969
BA3084	5.77331420543403	6.39551228028091
BA3149	6.18507158781402	6.60315866621686
BA3169	5.79282325358751	6.40217435211346
BA3180	6.03363601462633	6.37454386361439
BA3255	5.78933652729381	6.44128835620157
BA3438	5.11638292117158	9.21888429779212
BA3345	6.11294027816034	6.2290430058542
BA3403	5.42893594031004	7.11661408634118
BA3431	5.6098838682387	6.82369230677028
BA3181	5.7664756489083	6.44078936377997
BA3341	6.15101372135618	5.12596382526423
BA3191	5.55999957718043	6.68593691853273
BA3197	6.16141096550525	6.64072538795855
BA3448	6.19345543409726	6.10829331712153
BA3453	6.14547247746584	5.68455719692803
BA3406	6.08028059153902	6.31539551726359
BA3308	6.30050208589508	6.62086223855277
BA3186	6.57720688521491	5.43585497001994
BA3334	6.32314377198831	5.60617377123055
BA3447	6.22157033382946	4.71824544190638
BA3116	5.58682786591739	5.69838933100617
BA3280	6.16609369248211	5.5116799396294
BA3185	6.48952236006017	5.68910215065219
BA3094	5.17950354207122	7.48695721637732
BA3318	5.78115226086829	6.50446999422617
BA3216	5.91874058491338	5.54988252588324
BA3332	6.49799553338119	4.76286314942469
BA3214	6.32126637219132	5.87890505700567
BA3099	6.00599295147661	6.3129901827468
BA3141	6.25265344537738	5.93777047922961
BA3373	6.36326165874901	6.15101372135618
BA3319	5.56112145786682	6.67112647924208
BA3328	5.91554817043997	6.68355614720783
BA3339	6.65737778697747	6.52020957672534
BA3240	6.35713479831954	6.40785243829132
BA3142	6.55965463360655	6.41510646424492
BA3333	6.17121351437265	5.89918966262517
BA3381	5.76488394506669	6.8036454676491
BA3290	5.85694980213458	6.54150806703429
BA3207	5.47615849761807	6.25807759133934
BA3296	5.71553086944073	6.87337102503918
BA3305	5.93982972127244	6.73637438056
BA3434	5.99685177199163	6.86209164981008
BA3189	5.83756838624294	6.53347844553203
BA3264	6.25445222164076	6.26836425592886
BA3329	6.6100656847185	4.35610894196015
BA3417	6.11971599118053	6.11593110685268
BA3367	5.50055254025843	6.67502657403681
BA3225	5.48685812816546	6.52170608095191
BA3183	6.0311101011047	6.27289277243206
BA3222	5.67963455085071	7.26938021173089
BA3139	6.01784200578308	5.79678897670541
BA3397	6.3811905938473	6.78739149461742
BA3311	5.53130217583918	7.50647222464875
BA3422	6.21316864027758	5.48358277984793
BA3228	5.94021025458643	6.61484329859941
BA3213	5.63359431703311	6.51154576024005
BA3270	5.79603390583248	6.57456923029337
BA3415	6.00921196587346	6.13808979720021
BA3324	6.08362235286883	7.63041516939983
BA3194	6.22157033382946	6.70531293865616
BA3335	6.04856537740908	5.11991931002217
BA3199	6.12904074966952	6.01005588113279
BA3326	5.56256719374486	6.85962983110872
BA3285	6.12385981288499	6.02857515716086
BA3297	6.04856537740908	6.70531293865616
BA3227	6.34322095252985	6.24726489639171
BA3394	5.78541513449237	6.50854787129231
BA3412	5.74090562795813	7.26238233832031
BA3293	6.20356343645269	5.74782936628199
BA3250	5.89003355654074	6.71095851013656
BA3177	5.72441309220803	6.22329037773919
BA3315	6.59785150913547	6.76476869070353
BA3182	5.74822587560422	6.82734034498185
BA3260	5.79243605583809	6.97794904447586
BA3369	5.70566190016674	6.59622051144561
BA3078	5.92875292821339	6.14846279197281
BA3386	6.05025616147561	5.1280622240178
BA3445	5.91835525147628	5.80853079818309
BA3452	6.06680993243889	6.73745939965324
BA3176	6.2751197185023	6.23342882640082
BA3258	5.67546263774049	6.75018333539215
BA3295	5.59699754908342	6.87971926016812
