	ASXL1	NF1
BA2695	0.0152378239817715	60.81625844565557
BA2697	0.0118199943036172	87.08814851074648
BA2701	0.0084021646254628	152.1665461230095
BA2704	0.0213614354884648	201.20381554401783
BA2705	0.0254913130162346	341.2926798773445
BA2707	0.028909142694389	86.74408613423792
BA2709	0.0084021646254628	89.34929908737492
BA2712	0.0123896325833095	121.8668429618196
BA2714	0.0152378239817715	192.9030108214692
BA2715	0.0226431216177727	155.77432060481345
BA2718	0.0220734833380803	139.00641014037672
BA2720	0.0142409569923098	43.36677119694078
BA2721	0.0213614354884648	265.52723888228604
BA2722	0.0149530048419253	167.37349745602896
BA2723	0.023070350327542	160.4939192604911
BA2724	0.0116775847336941	109.31239860907291
BA2726	0.0129592708630019	67.6526031910199
BA2727	0.0229279407576189	94.5353950808028
BA2728	0.0205069780689262	183.55938591740525
BA2731	0.0068356593563087	107.27800255164831
BA2733	0.0109655368840786	56.24385956314274
BA2735	0.0160922814013101	147.8262491538163
BA2737	0.0093990316149245	78.27415765988898
BA2742	0.0140985474223867	129.95283163495762
BA2744	0.004414696667616	33.77381747949175
BA2746	0.0146681857020791	83.86915751314284
BA2747	0.0121048134434634	62.27748732776638
BA2748	0.0200797493591569	199.25488871332868
BA2751	0.014525776132156	119.3254783695873
BA2756	0.013101680432925	85.26857123717195
BA2758	0.0199373397892338	57.32248577768649
BA2760	0.017373967530618	145.6582421432596
BA2762	0.0162346909712332	191.9918527694903
BA2764	0.0172315579606949	112.03677400504952
BA2765	0.0135289091426943	151.23552413719125
BA2769	0.0160922814013101	139.97004102912095
BA2772	0.0106807177442324	119.91695093878694
BA2775	0.0203645684990031	142.37797575702365
BA2776	0.0253489034463115	210.7570629268887
BA2778	0.0112503560239248	104.64943656261444
BA2782	0.0152378239817715	95.5382653865288
BA2786	0.0178011962403873	100.28994245785098
BA2787	0.007262888066078	41.04953227327876
BA2789	0.0180860153802335	180.57875038543253
BA2791	0.0149530048419253	88.89145755618246
BA2792	0.0112503560239248	43.79211018690363
BA2798	0.0252064938763884	216.74514018367236
BA2801	0.0138137282825405	95.49222064689803
BA2802	0.0199373397892338	181.44247096762143
BA2804	0.0112503560239248	159.40234247738303
BA2806	0.0140985474223867	220.58941345398543
BA2808	0.0162346909712332	48.49155366434125
BA2809	0.0257761321560808	192.4826987219994
BA2811	0.0175163771005411	103.90778382500056
BA2812	0.013101680432925	63.29461370691892
BA2813	0.0122472230133865	135.21858205685575
BA2814	0.0098262603246938	42.45775692519901
BA2816	0.018798063229849	108.00098695013564
BA2817	0.034605525491313	166.47145168901284
BA2820	0.0166619196810025	138.81448881402198
BA2821	0.0294787809740814	351.9780878770896
BA2822	0.0186556536599259	26.705595800531245
