	IDH1	NRAS
BA2720	3.85948948082755	7.46997411625783
BA2908	6.09727224274201	7.09047728148948
BA2054	6.44947039282618	6.40264148496757
BA2872	5.47433300541024	6.68070832768596
BA2526	3.54989691248403	8.33784249776874
BA2041	3.74848704611698	8.11666073243668
BA2464	6.04982213026608	7.20465709297985
BA2902	5.08617132532278	8.16644533071452
BA2541	6.29556241973791	7.38062061343463
BA2143	5.1308809152012	8.0179995830141
BA2094	7.53511002571526	7.02554920178684
BA2769	4.72632902528561	7.6160759273921
BA2843	4.576912820314	8.30909856685695
BA2592	4.04795438154792	7.69288267465993
BA2497	7.27462693268534	6.76359470107912
BA2718	6.75597489483719	7.03549223810054
BA2575	7.35298985161002	6.88614746987226
BA2096	5.90476239808708	7.41990509181254
BA2593	7.86375133258917	6.50152491798344
BA2791	3.89144729146833	7.91111348596979
BA2620	7.07695814218809	7.11817234858432
BA2629	6.1725191860544	7.06956103001791
BA2870	7.69160326863138	6.8958209414819
BA2423	5.07164095305392	7.76614073791854
BA2682	5.90076617867574	7.53974354156668
BA2276	4.91022290966011	7.27555120012057
BA2348	4.81265842584299	7.62437772428186
BA2709	6.54150806703429	7.76614073791854
BA2789	5.91554817043997	6.98275640527684
BA2694	4.4543011664344	7.69023500088856
BA2538	4.37307759807115	8.83992016748168
BA2583	5.2008194787507	7.67625068419832
BA2415	6.07987511764245	6.43590316276273
BA2722	4.94450171912077	7.16795764916514
BA2806	6.08879387607679	7.86375133258917
BA2221	5.57935496877716	7.1743962727285
BA3025	5.87927912302444	7.22705513643141
BA2514	4.5993645555515	8.12411003652868
BA2520	4.59723676314568	8.37409825216549
BA2441	5.83369852515391	7.66613976188412
BA2153	4.98513676810276	7.59565623174131
BA2479	2.61422648503115	7.35390839708449
BA2281	5.98958134739074	7.41702873174962
BA2657	6.58623483162294	6.85580435382138
BA2932	7.48594354331146	6.88034277223335
BA2123	4.52334899104318	7.99915514777274
BA2844	5.43657703696705	7.7071077714624
BA2660	6.80545390529169	6.98553956904008
BA2836	4.62427313618414	8.23473317956582
BA3027	4.19644815920318	7.64255001400601
BA2714	7.14998539597838	6.99377561399407
BA2139	7.28622892412638	7.00288610035202
BA2251	6.17773554711095	7.18812871773308
BA2952	7.21378004978512	6.85335943019892
BA2440	5.27576605306409	7.70064711748054
BA2036	6.68593691853273	6.801788717217
BA2828	6.34322095252985	7.44741351807287
BA2292	5.09390910729551	7.4576754868774
BA2410	4.9819516092596	8.11104544817006
BA2051	4.798374704262	8.51934782702254
BA2532	5.86821930876448	7.47416545591404
BA2986	6.7892246921242	7.07770710445007
BA2494	3.75076608161682	7.99915514777274
BA2515	4.05242084925905	7.71215406681609
BA2748	6.45455803457724	7.04988485075939
BA2970	4.23547754378357	7.69023500088856
BA2622	5.88961440143981	7.1743962727285
BA2839	5.32846021235263	7.99739906746641
BA2052	4.36867112545861	7.68013043810275
BA3011	4.83233699169056	7.52879493976561
BA2868	6.88867708372879	7.1445927897216
BA2510	4.67922683289374	8.05801802157941
BA2065	6.91069984449294	7.03474280183588
BA2691	6.43193622663115	7.05647487229206
BA2374	7.58991392876001	6.93420850135559
BA2804	5.2695794873648	7.20800173217813
BA2670	4.93263432505861	7.18812871773308
BA2675	7.41008797800013	7.22951525991334
BA2589	3.43461282312155	8.15090969693391
BA2031	6.82612058067876	6.75597489483719
BA2198	6.5550219238791	7.13044392794916
BA2066	6.1842076331656	7.18078818168097
BA2344	5.95439094102815	6.65069612456278
BA2459	5.73516831539579	7.61833712147791
BA2229	4.10073895515048	7.72941398094
BA2559	5.07408997846094	7.58415033094325
BA2093	5.34151860321391	6.84039491318719
BA2000	7.95765939482996	6.5550219238791
BA2425	4.80920574953976	7.14764743423536
BA2905	3.14612847066654	7.75227162313381
BA2304	7.6112304020112	6.91918219556931
BA2976	6.03067265261494	6.74898905678908
BA2386	4.25981249131916	7.41008797800013
BA2035	5.46628439479905	7.550843282623
BA2760	5.35302745757832	7.68399828509427
BA2201	7.15481965297646	6.84277692729058
BA2355	2.57374882661096	8.16059641320183
BA2113	6.24956354515351	7.06807720975175
BA2155	4.31592922692549	7.29872623007905
BA2955	6.58727608652663	6.87337102503918
BA2502	6.82247572050957	7.08227901596389
BA2322	5.6147813580075	7.80956394588893
BA2376	6.97110220501606	6.88034277223335
BA2020	5.92833030401015	7.10851364264035
BA2226	6.57772759538865	7.30676049708217
BA2200	6.44374763893835	6.95751613947387
BA2121	5.63513768849615	7.47524977931761
BA2944	4.64167507429005	7.44644074627456
BA2033	5.27249782330272	8.7332018546727
BA2867	3.686686945389	7.91426996698012
BA2089	6.66232694076894	7.15951987646114
BA2224	4.84073982458941	7.18556384102574
BA2046	4.41752853740495	8.04242466385173
BA2972	5.58233779466511	7.70840071464408
BA2978	5.90476239808708	6.92898560318184
BA2829	6.5851771545889	7.28800386009291
BA2851	6.52531304614774	7.26066025557169
BA2587	6.46680230521735	7.04635072837336
BA2461	4.97525881373139	6.94225752405198
BA2695	4.76744564892536	8.26157753766667
BA2623	5.17806224044823	7.41600983782201
BA2024	5.21467303087656	6.76359470107912
BA2426	5.06916581711999	8.46676516104844
BA2271	5.61291824722341	7.53303259081949
BA3004	5.9059700222253	7.20712924024302
BA2579	5.11604418341834	6.95344802847081
