	CBL	IDH1
BA3030	6.82851443258156	6.26927993913723
BA2588	6.11633596300958	5.36902005012398
BA2296	6.50248754607679	6.11380852099068
BA2300	7.69666948274062	6.53199378857673
BA2903	6.92432887364054	4.16090429067131
BA2473	4.92698857880871	4.30837790148871
BA2545	6.88232132236019	6.06036727608855
BA2840	3.82818188872895	5.51015899119849
BA2528	6.33826437905032	5.79603390583248
BA2646	6.16309999506727	5.43474590254893
BA3407	5.81916047874321	3.81612780124423
BA2240	6.2886543814572	7.58879646153396
BA2926	5.88368970993683	6.29737759041703
BA2272	6.27468820513848	7.51732737025111
BA2306	7.15327818681819	5.95520312741494
BA2765	8.45696872743274	6.76656262392125
BA2904	6.3811905938473	6.22067774239525
BA2883	6.36982886713941	3.93840673561022
BA2726	6.97383568837724	8.89122942781574
BA2234	6.45198017318936	6.97176870633362
BA2022	6.06387711588008	6.70701242644057
BA2228	5.94263228316548	3.49799064045743
BA2037	6.14149524736616	6.27917243235478
BA2184	6.30187774864901	6.13418245991914
BA3009	5.95076318092024	5.36619555084966
BA2842	6.00051445317703	4.61468245344628
BA2442	6.34145730932297	7.79521409988635
BA2882	6.93292476022611	6.1556592421586
BA2758	6.801788717217	5.82658327453077
BA2705	6.1821095995856	5.31976332499236
BA2663	6.49555684686711	4.59368397646332
BA2570	6.62413100331839	5.17593956338375
BA2764	5.59289705404599	4.81656126290881
BA2209	6.48952236006017	3.07362208775687
BA2989	6.08966256500214	3.71113954261245
BA2855	6.48756519390035	3.55318791593181
BA2261	5.78856545869923	4.47248648313274
BA2721	6.89058644352535	5.89765135115317
BA2930	6.9462008471637	6.7928687930301
BA2728	6.94358580230343	5.97772537420238
BA2715	5.86298515288613	2.69222768564293
BA2469	6.49555684686711	5.04768274106503
BA2269	5.98792432171399	4.44772389189131
BA2098	6.13984081619634	6.97450183109637
BA2778	6.43289690445385	7.01613705435711
BA2951	6.1821095995856	5.24328117345542
BA2163	6.3548930381601	5.11328125236518
BA2379	6.40170617544637	4.17369897600356
BA2817	6.25854276374572	3.22116841470907
BA3153	5.48092950225755	4.27041928872006
BA2820	6.89180239315318	7.11889170682512
BA2723	6.22989744594561	3.55417797609775
BA2704	6.08923274175156	5.97361430412984
BA2088	5.42530018626189	3.90594846339568
BA2116	6.56633757408764	3.45550886376031
BA2584	6.87150487669772	5.72791281354614
BA3079	6.32779672565029	5.57561187049385
BA2417	6.14800492227439	6.31720357778214
BA2361	6.39979504855395	4.20061838096406
BA2450	6.04525873101195	7.08974258985974
BA2492	6.48120572889895	6.50152491798344
BA2552	5.40185770956234	5.03783692041918
BA2472	5.30886708091399	4.06768255183074
BA2994	5.80340144842646	5.68192875741287
BA2047	6.03024497150621	7.53093612416627
BA2101	6.07138778077856	4.13397604746354
BA2082	5.64618047026692	4.30539842621614
BA2879	5.81242563536261	4.31740166637701
BA2577	5.76526823165432	6.38217571781426
BA2456	6.37358566074055	5.4921500734543
BA2175	5.1280622240178	4.79347559452987
BA2824	5.97812067314416	7.42202383501609
BA2507	6.15608719552673	4.69788797442376
BA2563	6.07391847012236	6.31632447129761
BA2244	6.63707820351379	6.99175546936536
BA2470	6.47715255483626	4.49704564233128
BA2984	6.13165710493441	4.98548688523347
BA2414	6.0506842235686	6.115497606055
BA2697	6.89441914208329	4.99665147897099
BA2079	6.64742815938269	5.8733548574054
BA2999	6.14067117674287	5.43185845277898
BA2644	6.28997086497795	5.72213373131707
BA2011	5.41501101930325	3.33268141494615
BA2217	6.00599295147661	6.01254264145456
BA2454	6.56170699951925	4.35980493218316
BA2776	5.89003355654074	6.83464418679852
BA2218	5.29910819649826	5.90885007986137
BA2135	5.47763005492427	3.53525438523798
BA2914	6.79754404909056	6.58888481686372
BA2500	6.19345543409726	6.13505858445244
BA2830	6.01125817232664	4.69647295762567
BA2406	6.38550593619779	6.52836297577895
BA3108	6.20740227072508	5.43621855884092
BA2924	6.22067774239525	5.90436368867117
BA2303	6.82430487390793	8.27031665707811
BA2160	6.28373604828764	6.00261866586335
BA2038	5.616270357549	3.20723913331244
BA2602	5.45966163922215	3.27264514939603
BA2964	6.52938873500607	4.15738946871551
BA2898	6.6952290990594	5.92875292821339
BA3003	6.79520689964912	5.7225158734594
BA2111	6.48902852435197	5.82541777312417
BA2827	6.47426873472503	5.56256719374486
BA2912	6.65242333740906	5.17381001168529
BA2437	6.24365480544028	5.57601310486413
BA2283	6.57974013566299	5.93038956442244
BA2057	6.50200644713267	5.50092424285105
BA2633	6.36555750928785	5.57412698420844
BA3034	6.81811142246577	5.77144374108322
BA2607	6.0844698592588	5.81442547259646
BA2761	6.36086030376613	5.71331402808145
BA2795	6.40503611780804	5.86701172235977
BA2182	6.73745939965324	5.75491739673993
BA2152	6.68810200399149	5.98343537244457
BA2381	5.91320591729895	5.73095557356358
BA2931	6.47182200391892	5.57710363902521
BA2040	6.09808877325888	4.35354406259827
BA2590	6.2877927663973	5.57116929470375
BA3195	6.54822006852651	5.02654059802702
BA2516	6.82908216215166	5.99273740349983
BA2353	6.67112647924208	6.57871147435603
BA3036	6.29962436721057	5.5372259675426
BA2971	6.00051445317703	4.859362912485
BA3410	6.1725191860544	4.72146237134338
BA3118	6.33235435623274	5.37928711694374
BA3206	6.77775850085893	6.69750566900229
BA3202	4.98055399385871	4.30578132576709
BA3217	5.99929451210714	6.20920563257666
BA3405	6.98821538280907	6.89968682755392
BA3306	5.49289037233673	4.18905337629139
BA3371	5.98428829955698	4.43026354617328
BA3413	5.77884237694475	6.41603346705047
BA3411	6.6441169206914	6.04775659278267
