	NF1	RAD21
BA2133	80.18133477228218	6.955488449442417
BA2134	49.273239517076505	6.682310630032674
BA2135	15.131785600875178	6.849923340263783
BA2139	41.481996912376765	6.787244348233263
BA2143	96.97194172507986	13.400617340713
BA2148	89.68429975044664	5.204481045400393
BA2153	146.4827052853341	9.114530887927913
BA2155	71.92339924235235	5.233148408171361
BA2156	168.64129625232474	8.392648810880598
BA2162	147.29495642603302	9.1097160557551
BA2163	217.2043669052266	14.314580633635316
BA2168	130.512102414608	6.647345389277667
BA2169	178.1356567294738	8.745864067224826
BA2171	234.8583259532597	10.679439120860676
BA2172	185.11095536230036	13.50883390157314
BA2174	238.4854486070038	12.234477537030015
BA2175	31.956107621459708	21.02068584637091
BA2184	330.1887594161088	18.03765970365849
BA2195	94.9760301511449	9.349963706871057
BA2198	126.84489183593952	10.951500923300072
BA2200	253.9343726061422	8.66317838616753
BA2201	76.38543599082593	5.432057146746553
BA2209	207.73969039082704	10.51849185881264
BA2211	193.69321339903547	9.646568993096242
BA2212	150.1149855232797	12.173442452420591
BA2217	173.74162856094	4.573645652451456
BA2218	85.42607037036069	4.492958654425742
BA2220	105.89447496974996	11.27168233076358
BA2221	87.92724303286738	9.893553288678971
BA2224	99.58333873414824	9.397529949966035
BA2226	286.37231184395824	10.908716981211048
BA2227	327.7142740138492	8.563166687493254
BA2228	148.83302195542166	13.65711061030867
BA2229	230.9272500432621	10.125749233382871
BA2233	198.79246681895413	6.323547682627363
BA2234	133.53026760274443	11.823723239347228
BA2235	137.30408373585547	8.606492986201966
BA2236	236.6977944710083	7.780395565488438
BA2239	93.44595003721206	6.552249451867215
BA2240	349.65596137257995	11.228756861285458
BA2242	288.5091193991156	9.596092148295025
BA2244	189.13614877568463	5.341309648977824
BA2245	206.20598869395417	9.699043191258031
BA2248	103.99306477060202	5.445572536474128
BA2249	131.64751962240132	6.731132320283495
BA2251	168.5185793587882	11.377710091638932
BA2256	177.37594734399633	9.18485529321266
BA2260	91.46311349201132	8.648831228976123
BA2261	95.638364990932	13.913285434019771
BA2269	127.34637686870389	5.517119433614601
BA2271	178.74582923309202	11.19055154461345
BA2272	155.30969220772613	9.716425007365958
BA2273	82.10327672445598	9.913637199534788
BA2275	179.28463600626125	13.934400427780313
BA2276	77.65718078840119	9.978364843676667
