	DNMT3A	GATA2
BA2106	5.67317843136018	7.01200936090574
BA2427	5.48059363504872	4.33903266779967
BA2841	5.45711106423954	5.94099029232779
BA2446	4.90083067720818	2.31812232252383
BA2645	6.82793872143045	9.64008823387741
BA2525	4.89058431526758	5.24865361107735
BA2876	5.44640808199127	5.79758031043752
BA2357	5.02235718099048	5.50571962151203
BA2546	5.51500276467509	3.0112376490771
BA2742	4.92841190922266	3.66797907398221
BA2316	4.98581237116735	3.22495437973645
BA2421	4.63033110918827	2.45065051871032
BA2087	5.13368956327964	2.55585093682386
BA2910	6.40025463094879	10.2053241381792
BA2148	6.0688553647905	8.16059641320183
BA2063	5.18021866658889	3.02935460711532
BA2329	5.09075247446604	7.2245944685398
BA3178	4.99923632979666	-0.106092733460167
BA2072	5.4391470099726	5.14543140849029
BA3029	5.38508153742644	8.92748837970555
BA2733	5.37965871348939	5.32125964978542
BA2995	6.74268846032395	1.87147539953468
BA2069	4.77701262518198	1.06756511195893
BA2100	4.98409448643986	6.69027313849037
BA2681	6.51154576024005	7.58759859001841
BA2248	6.0444352624309	6.88553914900191
BA2832	6.12682630802195	8.69249597847146
BA2308	6.22113787930576	7.87732006412967
BA2413	6.16609369248211	7.29077391107671
BA2701	5.64618047026692	5.76256437697443
BA2634	6.25091484872834	6.61275930528802
BA2677	5.69566002369261	7.25790347094091
BA2937	5.79045455115976	8.40664550150058
BA2600	5.50315192004078	6.59949061589029
BA2019	5.65448355973944	9.64527993925034
BA2412	4.71932990142095	6.57041549701901
BA2334	6.20697852343694	7.64511152399424
BA2050	5.92596043186298	7.30591810989836
BA3230	5.17381001168529	7.22951525991334
BA2953	5.84669771952697	5.74281190993701
BA2481	5.03079434015524	6.26652649814407
BA2731	5.42234890079115	4.76216052725516
BA2294	7.17520302946663	7.90950778255697
BA2418	6.01373604526196	7.77713213848426
BA2816	5.11433165880832	1.63244056607344
BA2656	6.45897655908302	8.15865294170913
BA2814	5.02974000658284	5.88643954120856
BA2631	6.2167212997473	8.0760787079227
