#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature manuscript_inhibitor, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.038567 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression manuscript_inhibitor
 21.379310 7.345463e+09              2.910546                  yes
 37.413793 6.702371e+09              5.582173                   no
 31.000000 7.495806e+09              4.135646                  yes
 58.896552 6.421663e+09              9.171542                  yes
 33.137931 7.449994e+09              4.448048                   no
 44.896552 9.500869e+09              4.725521                  yes
106.034483 1.279018e+10              8.290306                  yes
 45.551724 7.312465e+09              6.229325                   no
 32.068966 6.410103e+09              5.002878                  yes
 52.379310 8.100468e+09              6.466208                  yes
 31.000000 1.092589e+10              2.837297                  yes
 11.758621 6.993952e+09              1.681256                  yes
 15.931034 8.292092e+09              1.921232                  yes
 39.793103 7.137673e+09              5.575081                   no
 25.655172 5.743500e+09              4.466819                  yes
 31.482759 6.255084e+09              5.033147                  yes
 25.965517 9.119252e+09              2.847330                   no
 29.931034 8.098345e+09              3.695945                  yes
 45.965517 8.331447e+09              5.517111                  yes
 65.206897 9.118767e+09              7.150846                   no
 26.655172 6.835010e+09              3.899800                   no
 34.448276 7.799221e+09              4.416887                   no
 34.206897 7.153630e+09              4.781754                   no
 49.517241 7.211399e+09              6.866523                   no
 24.586207 8.854002e+09              2.776847                   no
 22.344828 6.436533e+09              3.471562                   no
 41.689655 7.345157e+09              5.675802                  yes
 63.172414 6.740566e+09              9.371974                   no
 28.862069 1.152272e+10              2.504797                  yes
 19.241379 8.909130e+09              2.159737                   no
 28.862069 7.223086e+09              3.995808                  yes
 46.000000 8.901559e+09              5.167634                  yes
 42.620690 4.942945e+09              8.622530                  yes
 75.344828 1.019272e+10              7.392020                  yes
 94.793103 8.134305e+09             11.653497                  yes
 28.896552 9.313760e+09              3.102566                  yes
 50.241379 6.930774e+09              7.249029                  yes
 21.379310 7.348317e+09              2.909416                   no
 13.965517 6.346827e+09              2.200393                   no
 37.344828 6.065394e+09              6.157032                  yes
 65.517241 6.529792e+09             10.033587                   no
 12.827586 8.305371e+09              1.544493                  yes
 50.206897 8.514264e+09              5.896798                   no
 44.896552 9.138029e+09              4.913155                   no
 87.896552 1.293085e+10              6.797432                  yes
 80.620690 7.536666e+09             10.697129                  yes
 46.206897 1.240522e+10              3.724795                  yes
 37.413793 9.686832e+09              3.862335                  yes
 33.689655 7.679781e+09              4.386799                  yes
 47.413793 9.072297e+09              5.226217                   no
 23.689655 8.673760e+09              2.731186                   no
 44.413793 1.255232e+10              3.538295                  yes
 34.206897 8.683805e+09              3.939160                  yes
 59.551724 1.081995e+10              5.503883                  yes
 81.896552 9.036584e+09              9.062778                  yes
 55.724138 8.504459e+09              6.552343                  yes
 10.689655 8.084013e+09              1.322320                  yes
 64.344828 8.449282e+09              7.615419                  yes
 49.275862 1.126770e+10              4.373194                  yes
 43.241379 8.414149e+09              5.139127                  yes
 59.931034 8.684668e+09              6.900786                   no
 23.000000 9.394752e+09              2.448175                  yes
 33.137931 7.963119e+09              4.161426                  yes
 90.000000 8.331035e+09             10.802979                  yes
 94.758621 6.552646e+09             14.461122                  yes
 24.620690 7.659302e+09              3.214482                  yes
 60.931034 1.219810e+10              4.995124                  yes
 38.172414 8.947256e+09              4.266382                   no
 68.689655 7.815739e+09              8.788633                  yes
 21.379310 1.179849e+10              1.812037                  yes
 40.000000 7.673257e+09              5.212910                  yes
 66.379310 1.233472e+10              5.381503                  yes
 78.206897 8.634398e+09              9.057597                  yes
 14.655172 9.370573e+09              1.563957                  yes
 47.724138 9.269706e+09              5.148398                  yes
 31.379310 7.852002e+09              3.996345                  yes
 19.103448 8.260289e+09              2.312685                  yes
 30.724138 9.361311e+09              3.282034                  yes
146.137931 1.137375e+10             12.848705                  yes
 64.931034 8.628494e+09              7.525187                  yes
 82.724138 1.260141e+10              6.564674                  yes
 40.551724 8.115899e+09              4.996578                  yes
 81.620690 7.421624e+09             10.997686                  yes
 36.758621 1.088828e+10              3.375982                  yes
 15.310345 8.929424e+09              1.714595                  yes
 21.379310 9.354307e+09              2.285504                  yes
 53.448276 1.108694e+10              4.820832                  yes
110.137931 1.153613e+10              9.547221                  yes
138.482759 1.195007e+10             11.588451                  yes
117.068966 1.296097e+10              9.032422                  yes
 23.517241 8.901402e+09              2.641971                  yes
 52.103448 6.844100e+09              7.612900                  yes
191.862069 1.150666e+10             16.674004                  yes
 44.896552 1.333923e+10              3.365753                  yes
 31.000000 8.566528e+09              3.618736                  yes
252.275862 1.306337e+10             19.311694                  yes
 31.000000 1.269244e+10              2.442399                  yes
 27.793103 1.106665e+10              2.511429                  yes
 97.758621 8.843945e+09             11.053735                  yes
 52.413793 1.222447e+10              4.287613                  yes
 45.965517 1.233934e+10              3.725118                  yes
 67.103448 1.264142e+10              5.308222                  yes
 42.689655 1.185453e+10              3.601125                  yes
 13.103448 5.072799e+09              2.583081                  yes
 59.379310 9.067227e+09              6.548784                  yes
 46.551724 8.005594e+09              5.814899                  yes
 73.724138 1.231039e+10              5.988773                  yes
 96.620690 9.354164e+09             10.329163                   no
 27.793103 9.109860e+09              3.050881                   no
 21.379310 8.908070e+09              2.399994                   no
 54.034483 1.215164e+10              4.446683                  yes
 20.310345 8.157287e+09              2.489841                  yes
 48.758621 7.402556e+09              6.586728                  yes
 24.586207 5.793404e+09              4.243828                   no
 21.724138 8.738210e+09              2.486108                  yes
 45.620690 9.495128e+09              4.804642                   no
 31.206897 9.745327e+09              3.202242                  yes
 44.620690 7.774889e+09              5.739077                  yes
 11.758621 9.835948e+09              1.195474                   no
 73.344828 9.101451e+09              8.058587                  yes
 27.310345 7.895416e+09              3.459013                  yes
 42.965517 9.399235e+09              4.571172                  yes
 22.172414 6.912981e+09              3.207359                   no
