	ABL1	NRAS
BA2273	0.0184607065609228	7.552778219519516
BA2275	0.0184697188175919	9.07696022230184
BA2276	0.0092519826964671	5.116600598379707
BA2277	0.0193421052631578	8.611863781165656
BA2280	0.0273449891852919	13.919750344527678
BA2281	0.0179271809661139	7.1667474784459975
BA2282	0.0063031723143475	3.905537068117536
BA2286	0.0208507570295602	6.908728404052461
BA2288	0.0124134823359769	4.959313276357603
BA2292	0.0175486661860129	11.505505981398986
BA2294	0.0140573179524152	5.6751978268581045
BA2296	0.0239365537130497	7.704803278314213
BA2300	0.0072584715212689	8.869296724520618
BA2301	0.0100739005046863	10.358451270781687
BA2302	0.0157948810382119	8.456122577340766
BA2304	0.0063734679163662	3.785687464684545
BA2306	0.0136121124729632	8.058938679788833
BA2308	0.0117321557317952	6.14578641913653
BA2309	0.0130984138428262	5.283273143231066
BA2311	0.0107876712328767	5.171637403976026
BA2312	0.009127613554434	4.376040656343817
BA2316	0.0084282624369142	3.963884966064166
BA2322	0.0178568853640951	10.74775410451755
BA2325	0.0081506849315068	6.577425675197492
BA2329	0.0087815428983417	3.579256714615613
BA2334	0.0099639509733237	5.4810145592995925
BA2339	0.0048882480173035	11.854025149400316
BA2344	0.0139077144917087	3.695180180775156
BA2347	0.0055064888248017	6.014967609769295
BA2348	0.0043727469358327	4.839228804804746
BA2350	0.0045818312905551	6.265421580849513
BA2354	0.0157534246575342	7.1688243648530685
BA2355	0.0216312184571016	17.234787055585542
BA2357	0.0130569574621485	4.542263976746962
BA2360	0.0196322999279019	4.577079903977603
BA2361	0.0122873107426099	8.272793274503808
BA2363	0.0046250901225666	1.6100000330731188
BA2369	0.0189221341023792	11.423872651267402
BA2374	0.0208489545782263	8.635033509428869
BA2375	0.0116131939437635	7.188005444338755
BA2376	0.0086265320836337	4.661878257532099
BA2377	0.0481254506128334	28.02512784043744
BA2379	0.0132227829848594	11.194649040979964
BA2385	0.0062310742609949	8.379101352351753
BA2386	0.0189491708723864	8.357569391572175
BA2387	0.0169881038211968	6.012543938758273
BA2394	0.0097242249459264	7.644960746595171
BA2399	0.0148125450612833	7.227968075923526
BA2400	0.0313842826243691	10.550579065457676
BA2402	0.0125630857966834	6.368016510372939
BA2405	0.0074134823359769	4.18577539752294
BA2406	0.0122512617159336	5.978705197103129
BA2409	0.0120385724585436	4.1406966899813975
BA2410	0.0260958904109589	15.721901324039504
BA2412	0.0044754866618601	1.8068308131069035
BA2413	0.0136788031723143	7.066265493293305
BA2414	0.0243258832011535	6.978470299007344
BA2415	0.0047260273972602	4.345658735066563
BA2417	0.0171773612112472	8.123182727226824
BA2418	0.0077685652487382	4.44606115640728
BA2420	0.0105136986301369	3.269459620588878
BA2421	0.0181596971881759	9.73208166388001
BA2423	0.0107894736842105	11.89507607775013
BA2425	0.0087941600576784	5.265170759167846
BA2426	0.0100558759913482	11.779038024115518
BA2427	0.0086571737563085	9.552388861848012
BA2429	0.0106452775775054	4.085455065545484
BA2440	0.01405010814708	13.734788837867113
BA2441	0.0184354722422494	13.164269100669188
BA2442	0.0116095890410958	5.98150095942812
BA2446	0.0115392934390771	5.088063396787202
BA2449	0.0213698630136986	14.233054107693196
BA2450	0.0162040374909877	6.57430016398477
BA2452	0.0252541456380677	7.01056261208237
BA2454	0.0121611391492429	7.0003050165597465
BA2455	0.0087148521989906	6.224310280900999
BA2456	0.0047837058399423	9.78035837730293
BA2459	0.0067934390771449	5.0740859595386185
BA2461	0.0103262436914203	6.183958797634913
BA2463	0.0140356885364095	11.44798486723688
BA2464	0.0198936553713049	5.821466393332759
BA2469	0.0165843547224224	2.391663462204415
BA2470	0.0112599134823359	6.315131617868007
BA2472	0.0163428262436914	6.917858384999805
BA2473	0.0219412400865176	11.896764861470611
BA2474	0.0123521989906272	3.802776386908117
BA2477	0.025086517664023	6.398357015412996
BA2479	0.0077253064167267	5.70178793164569
BA2480	0.023895097332372	6.821188329964181
BA2481	0.0052072819033886	1.947437037489563
BA2482	0.0118006488824801	5.1420631351534425
BA2483	0.0151604181687094	7.009866488334789
BA2485	0.0216672674837779	4.505339876317183
BA2488	0.0136697909156452	5.897135312882732
BA2489	0.0131038211968276	8.353409622286321
BA2492	0.007577505407354	10.84170772749324
BA2494	0.0152487382840663	13.53560498497164
BA2496	0.0059769286229271	3.2425581842519717
BA2497	0.0092682047584715	3.5365770706468176
BA2499	0.0128262436914203	6.445302311878812
