	NPM1	SUZ12
BA2813	956.1876397957584	1.5452284718273128
BA2814	292.92542751260964	2.487338226545351
BA2816	751.735240132557	1.6077898526622405
BA2817	351.466447693497	1.3445518491816024
BA2820	864.9211133492273	2.621339966229356
BA2821	2368.0972957935314	5.343387072774964
BA2822	215.09595990312312	0.957193219340488
BA2824	575.4304511182471	2.042492689193478
BA2828	478.5242470631485	1.732127544899765
BA2829	782.8986428799258	2.639622927995981
BA2830	1139.5572352373538	1.7221056490992823
BA2832	406.77833419830574	2.5571678089250933
BA2836	606.31108243187	1.3937078919637609
BA2837	1414.4278362174755	2.438865267004707
BA2839	1031.7349631035208	1.776619832680444
BA2840	733.1034845088849	1.90923825910962
BA2841	1035.6599321537274	1.3154535383251733
BA2842	228.17158173718903	0.9092971437169872
BA2843	615.0665209458472	1.7809965939313757
BA2844	1035.935132632706	2.1206104520041915
BA2846	985.9857015872244	1.856882390380544
BA2850	692.2431064672905	1.617863888852045
BA2851	919.37662155295	2.802693562858027
BA2852	502.1760089038096	1.3087034697193558
BA2855	365.6997907848002	1.3002963388467923
BA2856	277.16175692113075	2.1206589932589512
BA2858	739.1818848559551	2.043740078726683
BA2860	555.6940166885612	1.638586144768034
BA2861	719.6234072019765	2.236845737221775
BA2865	935.5207895305904	0.9032265964582236
BA2866	1144.4032637571156	3.9997204309231336
BA2867	599.1445737307881	2.2078788633903432
BA2868	1261.2430804640578	3.309804877520195
BA2870	1653.638735134638	3.738584148262593
BA2871	757.0156570816912	2.309238490771179
BA2872	632.0389651010667	5.192477015902934
BA2876	487.2383254891148	0.7024124392323595
BA2879	328.0760054709504	1.433838265436658
BA2880	579.6172882033982	3.762856777656033
BA2882	348.2327707363618	2.204463034650087
BA2883	979.3831896938536	2.9759502319301583
BA2885	583.6435163560876	2.7600127825799627
BA2887	831.9369645091011	3.826445815732204
BA2889	11.096241640852648	0.002977622411231
BA2893	978.1620407888548	2.0572561722026017
BA2901	502.0742446304135	1.287438524239864
BA2902	676.7777450169481	1.2265799290906445
BA2903	91.926374111376	1.6444481759461065
BA2904	902.9180070495252	3.273383068000783
BA2905	900.5493842477714	2.118961392685442
BA2906	538.9536053887781	2.812704904374405
BA2908	1625.8994007903684	3.170452368423088
BA2909	293.2362985614428	1.8119799174723856
BA2910	883.0583790957795	2.639855610921634
BA2911	1305.4111269455125	2.942921661397253
BA2914	484.6472481713943	2.484040926749492
BA2915	193.40122712012848	0.2115464913358273
BA2921	516.5545776177578	0.7747336401738909
BA2922	1083.0371638041483	2.04037717377636
BA2923	190.9176332192651	1.1989635988129774
BA2926	1143.5630600777397	3.2837500308174703
BA2928	624.6365392400136	3.4863633802762903
BA2930	489.7437718419047	2.0659060438742967
BA2932	1050.7566343923838	2.395469130156888
BA2934	267.241312590214	1.6131126319055622
BA2935	464.9088278542738	1.2350417754175382
BA2937	437.48340007136017	2.1005734083389345
BA2939	838.9056317812485	1.3930420584084413
BA2944	2698.337102950637	4.350468493836928
BA2947	808.8363659265746	0.8203008331416218
BA2948	448.3459530725442	2.065348930890897
BA2950	1527.9173758034783	2.7693493068114425
BA2951	1225.5905918789902	2.261770063990231
BA2952	868.2035326148657	3.451819740828945
BA2953	773.6017261281132	1.3391164135418665
BA2955	255.83240869946	1.2631929932669597
BA2956	182.43355660433457	0.6166736629526356
BA2962	1448.9492234980564	3.022447465247259
BA2970	945.5326477562074	2.01748366635904
BA2972	1025.0073895619455	2.107499279900343
BA2976	682.0966436313704	2.308047111493128
BA2978	463.7697548343848	2.176374119642161
BA2981	620.2075130962227	0.8894216292207059
BA2984	519.9562388513167	1.986031213662467
BA2986	831.3159558755951	1.8144071721597173
BA2989	918.7735847970288	1.0783765945016617
BA2992	1040.0243023186663	1.975502861534953
BA2993	490.2168793417561	1.457984332566452
BA2994	783.4573074760644	2.130989953198337
BA2995	448.89376179200656	1.4522354134587196
BA2999	551.318378149716	2.5955141147246734
BA3001	1127.8882983776364	2.5069756054884262
BA3002	658.5376207582564	3.4506469965230795
BA3004	607.1595518577985	1.7514232448445308
BA3006	685.9478445103986	2.0099523102644765
BA3008	11.502818985603614	0.0076267174077165
BA3009	967.4619845386184	2.651445822097596
BA3010	786.927717035091	1.8827161107769768
BA3011	1173.5226977948612	2.90745070444426
BA3013	1321.290876995518	3.3349838477450158
BA3023	1015.7452736286136	0.7424748994131767
BA3025	796.68252407056	2.4900005482635392
BA3027	339.48845342934527	1.193531364723204
BA3029	409.49845003703166	0.959153786448544
BA3030	1040.9582844218469	2.205741919511328
BA3037	796.8167148834721	2.598632365609078
BA3038	712.6495139882256	3.940013201392861
BA3040	659.1284817517854	3.078506353971753
BA3042	930.6569966806684	2.110307657672711
BA3043	279.3242529341486	1.4016424828511695
BA3049	207.05831119544595	0.6328514428826121
BA3051	339.05996434691883	1.495153714824904
BA3053	1159.914784973267	2.9241808690325106
BA3064	811.7129054909528	2.9510019897659747
BA3067	416.1485327851571	3.211676293613392
BA3068	473.2820363883077	4.091328330037431
BA3070	339.2050705493115	1.878426220680133
BA3071	651.3380244516886	3.35664601554784
BA3072	802.8031381469049	2.943216816698309
BA3075	495.5792932364566	1.0345478995103543
BA3076	81.10637218410939	1.0028763209729108
BA3077	291.70705449866745	3.877955766857684
BA2040	349.01179584488875	1.9735780198754205
BA2160	743.0925136584549	2.306191713148515
BA2303	465.3506401336382	2.414668053704183
BA2353	1483.0301806981408	3.747792334972045
BA2516	1350.9859271639175	3.3427258844459677
BA2590	1522.0878930840054	3.2333928416921185
BA2647	869.0202300015676	3.184577064161077
BA2891	336.46402777102026	1.9000015937133072
BA2924	974.9096307108452	2.164089002403928
BA2971	504.3848558415371	1.4521981020802457
BA3036	1024.0701671559168	2.591954736863349
BA3059	509.7243617530828	1.6683961038489634
BA3073	1092.6461944187656	3.0304135468395854
BA3078	1752.2812406677583	4.828232524854314
BA3079	431.2270461408715	1.428555523392915
BA3083	724.4524761132466	3.62037986543036
BA3084	552.0035124907421	2.144582988557303
BA3085	820.8800895732983	2.1161445406708315
BA3087	552.9716823524008	8.442720777991775
BA3089	1439.473474832006	3.344073001853104
BA3094	665.2058175556962	2.5622567916477226
BA3095	574.7167668683135	2.6900061136767155
BA3098	808.7351486941619	2.946239643322152
BA3099	1438.6175286116652	5.125180610155194
BA3103	879.3752567562454	1.8127992996042044
BA3108	1114.4842264173385	3.6879390062829223
BA3109	463.60528194856647	1.219304854460349
BA3110	812.5846052698445	2.854261373179738
BA3114	701.3618263081356	2.5822127560463226
BA3116	596.0115959551728	1.1304533786269022
BA3117	2013.0868083599587	4.784275498839013
BA3118	762.0598576309488	1.552737175616819
BA3119	1297.1689066208232	4.136281300786254
BA3123	1253.3905845807856	2.725016181341718
BA3124	476.7455394130081	2.437414350308926
