	NPM1	MYD88
BA2514	8.62153057515291	7.35673455123978
BA2520	9.08127310626888	6.97250726431014
BA2441	7.40108920011618	7.85345354435312
BA2153	9.57909169555586	6.85085774455995
BA2479	8.22832881693221	7.13359161213086
BA2281	9.01658796485945	6.62191624581517
BA2657	8.33560901482561	8.80250309714617
BA2932	9.12210512882866	7.06094242567649
BA2123	9.57909169555586	5.91161593377364
BA2844	9.22687989289351	7.45167143306165
BA2660	9.06304565250042	7.90803356905227
BA2836	8.74800571415782	7.66132793104992
BA3027	7.63041516939983	8.5529001392332
BA2714	8.89122942781574	8.42083657982967
BA2139	6.80299244523417	9.05942450247106
BA2251	8.32671267592458	7.75921826167611
BA2952	8.16254296358662	7.18556384102574
BA2440	8.39493145233583	6.54456958822718
BA2036	8.75695672842528	7.45053981568106
BA2828	8.09804401257278	8.83992016748168
BA2292	8.98173476670244	6.71443140013608
BA2410	9.34313727945847	7.10693286579065
BA2051	7.46363654414575	8.46922505155083
BA2532	7.45571345371651	6.37878971540536
BA2986	8.95099667095566	7.14921380328589
BA2494	8.39027400222105	7.39139112472357
BA2515	8.66407371953991	7.16215175411855
BA2748	9.33883912107995	7.52428329559334
BA2970	8.8589671548512	6.92959860586943
BA2622	8.65006116973985	8.39027400222105
BA2839	8.72438748273975	7.28622892412638
BA2052	9.10713869224013	6.81453593095305
BA3011	8.50277388292747	6.88932432366148
BA2868	9.00255657247606	7.74263536016322
BA2510	9.01658796485945	7.54085820588458
BA2065	9.20696376307392	7.12266775163133
BA2691	8.11104544817006	8.73910632748104
BA2374	8.21222936163239	5.82113079754453
BA2804	8.8879736022598	7.45670028367566
BA2670	7.93824432889201	8.54508752883457
BA2675	9.08494318011795	7.17116786854616
BA2589	8.38563253120242	7.39540604135448
BA2031	8.87824586229709	7.77581260088951
BA2198	9.39118419839355	7.81249915728454
BA2066	8.28097335559112	8.08518191159815
BA2344	9.57411368730524	6.72991592484699
BA2459	9.38404554334867	6.34594713892537
BA2229	8.53473617000875	7.76614073791854
BA2559	8.68391306436784	8.1073163967498
BA2093	9.23491479941431	6.3878866435171
BA2000	8.08701091285537	7.49042755149826
BA2425	8.47600328572046	6.9462008471637
BA2905	9.22687989289351	7.05721925341645
BA2304	7.16215175411855	8.56338303703764
BA2976	8.65285322774346	8.48158973981744
BA2386	9.09970659968869	7.50436087643108
BA2035	9.33455230246716	6.95085389521077
BA2760	8.29820901257083	8.76897254396233
BA2201	8.89776108628452	7.8894951557827
BA2355	8.59260663428802	7.19985683529985
BA2113	8.50026123971081	7.63393532286626
BA2155	8.99906762077278	7.1173855294893
BA2955	8.07971165578759	8.72438748273975
BA2502	8.05457002396872	8.76595984417136
BA2322	8.93082572022568	7.83840005803793
BA2376	6.97993778438247	8.9076089453561
BA2020	9.15245565249128	6.90877033903166
BA2226	8.81487669872437	8.08884271670006
BA2200	9.30065851731011	6.93954050250455
BA2121	8.92748837970555	7.61833712147791
BA2944	9.90525526471174	6.93827202821145
BA2033	7.17761745050204	7.26150324021213
BA2867	8.66126072825912	7.39349126897836
BA2089	7.65513327960109	8.35811493599106
BA2224	8.38331776349613	7.12814379144502
BA2046	9.3217592552912	6.88492067829042
BA2972	9.160132157513	7.51630069461518
BA2978	7.85205086731265	8.76595984417136
BA2829	8.79635277497105	7.52657913903788
BA2851	8.5529001392332	7.24138386390375
BA2587	8.72438748273975	7.94936162159169
BA2461	7.94314055717551	8.55813210635661
BA2695	7.68652733200955	8.89957072227792
BA2623	9.57411368730524	7.68273154484305
BA2024	7.58759859001841	8.58992566833602
BA2426	8.88148184246882	7.78681257977187
BA2271	7.95452812467512	8.1981158996604
BA3004	8.57129520837751	7.8894951557827
BA2579	7.85633367820174	8.11478606741055
BA3010	9.00605305286098	8.10917947996904
BA2662	8.34232080533324	7.91895915389096
BA2674	9.15245565249128	6.837182643361
BA2280	8.50160207030541	7.69160326863138
BA2512	6.81629782268832	9.04501990946176
BA2658	9.070312190258	8.22855584188171
BA2394	8.21222936163239	8.37870011521958
BA2950	9.49651930986164	8.17036010262912
BA2981	8.63894476137773	7.08068398565122
BA2934	7.22625304922136	8.13556876112887
BA2539	7.8925772722697	8.61151153389318
BA2249	8.63894476137773	8.15090969693391
BA2034	8.94268168369866	7.11145591609312
BA2109	7.61245153291675	8.20616122712402
BA2242	8.12041880838799	7.46679247570854
BA2277	8.68676863894814	8.00107447892983
BA2727	9.83304132704525	7.32489473499785
BA2132	8.672544374331	8.21832699326225
BA2618	8.61151153389318	7.69790613813162
BA2521	8.672544374331	7.8503248353151
BA2846	9.1755941413251	7.82406690467398
BA2885	8.02142525655183	8.26607857536642
BA2639	9.04860912314158	7.81686981561798
BA2775	8.84941498844258	7.88342196520891
BA2402	9.26335235036244	7.38062061343463
BA2097	9.44070228005406	7.63278489020753
BA2786	9.34313727945847	7.24390327644845
BA2399	9.44070228005406	6.6963494054774
BA2850	8.91090509269608	6.51105136156458
BA2174	8.34232080533324	8.87824586229709
BA2004	7.48933909555342	7.92699657991781
BA3001	9.69817061599593	6.47131885810123
BA2311	7.93028682049466	9.14481502348153
BA2483	8.48343527695382	7.69288267465993
BA3040	9.00605305286098	6.53396722315737
BA2837	9.37793858616158	7.43535782218911
BA2724	8.5607551950315	8.21425861754816
BA2911	9.35176787188011	7.38257507273258
BA2256	9.43613726309062	6.3282334089858
BA2821	9.69817061599593	7.2808607611199
BA2233	9.19906475607931	7.47830743039593
BA2744	9.34313727945847	7.06885426902192
BA2880	8.34906675857089	7.82549928808227
BA2621	8.28097335559112	8.39960495989321
BA3002	8.42744390017979	7.85777881958234
BA2501	8.48407580140491	6.79699042284113
BA2993	8.84624370479657	6.4238257457666
BA2301	8.06147774301482	7.71215406681609
BA2852	8.29820901257083	7.16953610700443
BA2133	7.83554388846121	8.04242466385173
BA2866	9.19906475607931	7.22705513643141
BA2212	9.33455230246716	6.79158437688518
BA2685	9.39562360946183	6.91069984449294
BA2273	8.83362186336888	6.94758145894243
BA2477	9.29229417829056	7.01543819204674
BA2659	8.45453034732936	8.21020338316209
BA2124	9.49819442110274	7.34644203598481
BA2363	8.84941498844258	8.49406416345013
BA2369	8.79328666582968	8.21832699326225
BA2534	9.0271917203024	6.49352400697531
BA2400	9.46836798648192	7.20152351501227
BA2762	8.96117775713075	7.41795204933222
BA2312	8.79635277497105	7.97720455656684
BA2813	9.54457000922792	6.4930085337883
BA2211	9.17734760232419	7.74808252538179
BA2171	9.17171491689544	7.46260985261637
BA2746	7.89401548128851	8.47663077360064
BA2798	9.67679810675791	6.94819581980106
BA2809	9.1872873383188	6.98208266015901
BA2288	8.55505298542423	6.77304018403642
BA2801	8.32449794408229	7.48382605156173
BA3030	8.66873090783595	8.68575056053729
BA2588	9.44070228005406	7.51732737025111
BA2296	9.28397254525379	7.68775219309565
BA2300	8.69249597847146	7.60989112051761
BA2903	6.47376016789819	8.75396729152058
BA2473	9.13518361120238	7.05570452227078
BA2545	8.25764420926654	8.27670009201677
BA2840	8.5971359914493	5.45234424595149
BA2528	9.14863087419242	7.25976697827341
BA2646	8.84941498844258	7.10235206017353
BA3407	8.40429460371975	7.62080780455831
BA2240	8.25554427681065	7.12590219224429
BA2926	9.48238177689826	7.22543117773692
BA2272	8.26607857536642	8.268195867683
BA2306	8.87501645157825	8.01457218763256
BA2765	7.08068398565122	9.08494318011795
BA2904	8.52958832512444	8.52445890903765
BA2883	9.05581138653334	7.03474280183588
BA2726	6.49846429425474	8.67537853618004
BA2234	7.19816924570359	8.10545619155905
BA2022	8.91751782379931	6.68810200399149
BA2228	8.48906113697349	7.70064711748054
BA2037	9.49651930986164	7.35764711965898
BA2184	9.2592593958878	7.27805701193436
BA3009	9.06304565250042	7.39444593270682
BA2842	7.37484847247432	7.73462168625585
BA2442	8.86536741111737	6.93954050250455
BA2882	7.69790613813162	8.78717245605116
BA2758	8.01121552663761	8.56601564488201
BA2705	8.4594113881339	8.5373170330564
BA2663	7.58640399756741	8.70690950167434
BA2570	9.070312190258	7.37675245327076
BA2764	7.86519796261888	7.57724219112205
BA2209	8.23267071257109	6.76777472760262
BA2989	8.87824586229709	6.55713498264667
BA2855	7.70582137825133	8.51425498508966
BA2261	7.49565796423242	7.89401548128851
BA2721	8.41608983118813	8.78108213178214
BA2930	7.75371580805874	8.62516478231551
BA2728	7.74132890165977	9.17171491689544
BA2715	7.71215406681609	6.58673582096521
BA2469	7.96260346447077	6.25091484872834
BA2269	7.15633759792086	7.60395254604328
BA2098	8.09251475928632	7.52310081760665
BA2778	6.98621603600523	8.96117775713075
BA2951	9.78674968596522	6.62952631509886
BA2163	7.09568366825665	7.57003408038875
BA2379	7.31397253852267	8.40664550150058
BA2817	7.86671215518685	7.63278489020753
BA3153	7.92699657991781	8.10545619155905
BA2820	8.20414503388581	8.14513423086413
BA2723	8.22445433533228	7.18474506245045
BA2704	9.23491479941431	7.5098325342709
BA2088	8.3972661940189	7.53093612416627
BA2116	6.78491577385659	7.2588778562729
BA2584	7.87430709609213	7.65148276489013
BA3079	8.24717893447311	8.03197078783115
BA2417	8.47910806756512	7.39043320737024
BA2361	8.09067732991193	7.45670028367566
BA2450	8.75995195431454	7.71999782727612
BA2492	7.35202275514424	8.08153228980509
BA2552	9.4270458724936	7.62925234894777
BA2472	8.04060780611373	6.76065503993724
BA2994	9.04501990946176	7.29162764738793
BA2047	8.54249270039127	6.34737367069021
BA2101	8.5117153749805	7.78123623973778
BA2082	8.97829037472744	7.97720455656684
BA2879	7.48057619109315	8.31128742473223
BA2577	9.4000752436972	7.2456266527422
BA2456	8.22445433533228	8.3603866090308
BA2175	6.84399982384708	7.42928783450574
BA2824	8.58457840504288	7.26851020715081
BA2507	9.15245565249128	7.28268371584317
BA2563	9.21888429779212	7.32779530563549
BA2244	8.44966638628301	8.0760787079227
BA2470	8.66407371953991	6.15353258469632
BA2984	8.74503353869987	7.47830743039593
BA2414	9.11835064360706	7.18320770184298
BA2697	7.00782899353321	8.93262964269805
BA2079	6.63915578339387	9.33455230246716
BA2999	8.59529250724368	7.10160504306164
BA2644	8.30909856685695	8.63894476137773
BA2011	8.00619097456886	8.47415784691615
BA2217	9.35176787188011	7.23126576681474
BA2454	9.13720994130471	6.54042498941119
BA2776	9.1872873383188	7.83985748399556
BA2218	9.47302564786274	6.13289457953367
BA2135	9.53000194332933	7.10771088589405
BA2914	7.96905854853838	8.93082572022568
BA2500	7.68775219309565	7.44544500262934
BA2830	9.79819104218496	7.40406179513594
BA2406	8.13176351189552	8.44966638628301
BA3108	9.44528028465592	6.96156655492073
BA2924	8.76595984417136	7.02978091514104
BA2303	7.93352218493006	8.21832699326225
BA2160	8.82110029202306	7.88494695067266
BA2038	8.40194775982719	7.10925539195399
BA2602	8.32893113987774	7.29162764738793
BA2964	7.878761730409	7.59565623174131
BA2898	7.94635895319707	8.15671254170946
BA3003	7.88191833711993	7.96422079504262
BA2111	8.01457218763256	7.7605970351598
BA2827	8.18020169656618	8.03884116383771
BA2912	8.18217944661747	7.82549928808227
BA2437	8.21832699326225	7.60510330404292
BA2283	7.92868137841977	8.14898150925669
BA2057	7.89563066633541	7.92364245319313
BA2633	8.3603866090308	7.77444024847
BA3034	7.97720455656684	7.95296500400789
BA2607	8.18813169577028	8.0044307958278
BA2761	8.40194775982719	7.86231924501854
BA2795	8.00271116464237	8.29820901257083
BA2182	8.19411260375688	7.90654028957083
BA2152	7.89401548128851	7.92699657991781
BA2381	9.55927298456459	7.01271335596315
BA2931	8.34456564828853	7.95936662330483
BA2040	7.72277870826456	8.39493145233583
BA2590	9.34744684153524	7.58290428004672
BA3195	9.4045391740165	7.04424068249485
BA2516	9.40177461105289	6.84399982384708
BA2353	9.62461563502098	7.63278489020753
BA3036	9.44070228005406	7.14070376063247
BA2971	8.05801802157941	9.14657546028189
BA3410	7.99739906746641	6.99787187673434
BA3118	8.8525926437112	8.02856358263369
BA3206	9.09600320401444	7.35026488029426
BA3202	8.84307877151568	7.41795204933222
BA3217	9.33455230246716	7.13671405241938
BA3405	7.61245153291675	9.36480042798147
