#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature totalDrug, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000868 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression totalDrug
 38.482759 6.764061e+09              5.689298         y
314.068966 1.047339e+10             29.987330         y
322.413793 1.019550e+10             31.623162         y
 40.551724 6.960387e+09              5.826073         n
158.724138 7.820031e+09             20.297123         n
 37.413793 5.476180e+09              6.832097         y
176.827586 1.227116e+10             14.410014         y
 14.965517 8.352852e+09              1.791666         y
 23.517241 5.791858e+09              4.060397         y
 44.896552 4.687717e+09              9.577488         y
413.241379 9.825842e+09             42.056587         y
 98.793103 6.586311e+09             14.999763         y
 21.379310 6.278038e+09              3.405413         y
 29.137931 6.807601e+09              4.280206         y
 84.482759 8.776193e+09              9.626356         n
170.689655 9.666895e+09             17.657134         n
158.206897 9.360787e+09             16.901025         n
 25.275862 7.400454e+09              3.415447         n
189.931034 1.027704e+10             18.481099         n
 37.413793 6.464380e+09              5.787684         y
285.034483 5.575294e+09             51.124562         y
136.931034 9.607272e+09             14.252852         n
111.793103 6.058733e+09             18.451565         y
230.413793 1.213015e+10             18.995135         n
 89.793103 8.033235e+09             11.177701         y
141.103448 7.004248e+09             20.145410         n
499.965517 8.254983e+09             60.565303         y
158.103448 7.863224e+09             20.106694         y
112.344828 4.761447e+09             23.594682         y
476.482759 7.761540e+09             61.390234         y
111.137931 9.299576e+09             11.950860         n
123.344828 6.892596e+09             17.895263         y
174.103448 8.690531e+09             20.033696         y
346.206897 8.954781e+09             38.661681         n
236.344828 8.178035e+09             28.899953         y
 25.655172 7.967963e+09              3.219791         y
 78.034483 1.142118e+10              6.832437         y
 32.068966 6.261959e+09              5.121236         y
 69.724138 8.864826e+09              7.865257         n
144.551724 7.420922e+09             19.478944         y
103.931034 1.058903e+10              9.814975         y
 84.448276 4.643957e+09             18.184553         n
188.137931 8.137579e+09             23.119645         y
 72.103448 9.451593e+09              7.628709         n
420.862069 1.011317e+10             41.615258         y
235.724138 6.586923e+09             35.786686         y
232.241379 6.979146e+09             33.276475         y
 38.689655 6.971020e+09              5.550071         y
 55.551724 7.175056e+09              7.742340         y
421.344828 8.405221e+09             50.128943         n
 17.172414 6.891861e+09              2.491695         y
132.379310 9.795604e+09             13.514155         y
137.655172 6.648353e+09             20.705154         y
 21.103448 5.190688e+09              4.065636         y
 73.758621 6.701910e+09             11.005611         n
529.448276 1.782699e+10             29.699247         n
109.275862 5.823718e+09             18.763934         y
282.344828 8.385407e+09             33.670976         n
266.793103 9.291569e+09             28.713460         y
 94.275862 7.283525e+09             12.943714         y
138.448276 4.572093e+09             30.281158         y
176.413793 8.914914e+09             19.788613         y
 20.310345 1.126676e+10              1.802678         y
248.724138 7.201539e+09             34.537637         y
 76.758621 9.577118e+09              8.014793         y
244.758621 8.732492e+09             28.028496         y
292.206897 6.302852e+09             46.361061         y
 82.310345 6.401509e+09             12.857961         y
220.275862 8.897694e+09             24.756513         y
 62.482759 8.167692e+09              7.649990         n
200.517241 9.534414e+09             21.030894         n
 56.655172 5.843420e+09              9.695550         n
 64.965517 9.576597e+09              6.783779         n
 35.241379 6.543111e+09              5.386028         y
 24.517241 5.760585e+09              4.256033         y
121.862069 6.970849e+09             17.481667         y
 12.827586 5.697277e+09              2.251529         y
161.413793 7.309448e+09             22.082898         y
 18.172414 1.061768e+10              1.711524         n
 60.931034 1.079015e+10              5.646912         y
 58.275862 6.503777e+09              8.960311         y
 21.379310 5.872176e+09              3.640782         y
185.482759 7.654277e+09             24.232563         y
 66.896552 7.276187e+09              9.193902         y
225.551724 1.077170e+10             20.939290         y
 28.862069 6.077615e+09              4.748914         y
157.655172 7.451200e+09             21.158361         n
304.275862 8.107873e+09             37.528444         y
337.103448 8.251345e+09             40.854365         n
 29.689655 5.277299e+09              5.625918         y
 17.103448 5.270370e+09              3.245208         n
 38.482759 6.751816e+09              5.699616         y
 17.689655 6.739097e+09              2.624930         y
168.068966 8.138126e+09             20.652048         y
 92.241379 3.358283e+09             27.466826         y
175.793103 8.656098e+09             20.308585         y
133.827586 6.486987e+09             20.630162         y
374.275862 7.990536e+09             46.839894         y
256.275862 6.623305e+09             38.693049         y
 24.517241 5.589964e+09              4.385939         n
 88.724138 8.651741e+09             10.255062         y
 95.000000 8.378561e+09             11.338462         n
101.689655 8.512017e+09             11.946600         y
154.931034 1.003814e+10             15.434237         y
106.482759 9.064199e+09             11.747619         y
 32.310345 8.954176e+09              3.608411         n
 37.000000 5.068153e+09              7.300491         n
170.793103 1.000280e+10             17.074534         y
545.068966 8.038761e+09             67.805096         y
 58.896552 8.457004e+09              6.964234         y
100.551724 8.864156e+09             11.343632         n
 18.172414 7.270150e+09              2.499593         n
140.206897 8.577040e+09             16.346770         y
 66.655172 6.259413e+09             10.648789         y
 65.655172 5.867656e+09             11.189336         n
 95.551724 8.592370e+09             11.120532         n
 24.586207 9.639814e+09              2.550486         y
121.965517 7.467696e+09             16.332417         y
117.896552 5.709512e+09             20.649146         y
114.413793 7.345463e+09             15.576118         y
302.724138 9.806173e+09             30.870773         y
212.379310 5.682211e+09             37.376175         n
163.413793 7.495806e+09             21.800696         y
156.620690 5.990584e+09             26.144478         y
