	ABL1	PMS2
BA2377	0.0481254506128334	1.9593092154197305
BA2379	0.0132227829848594	0.2253917768511707
BA2385	0.0062310742609949	0.2093019866358171
BA2386	0.0189491708723864	0.8076911061389005
BA2387	0.0169881038211968	1.3143152061683216
BA2394	0.0097242249459264	1.1347204506564
BA2399	0.0148125450612833	0.6537119718954103
BA2400	0.0313842826243691	1.6679835637063405
BA2402	0.0125630857966834	0.7672998960840188
BA2405	0.0074134823359769	0.323692960671714
BA2406	0.0122512617159336	0.2457894259853396
BA2409	0.0120385724585436	0.5957091569214618
BA2410	0.0260958904109589	1.1530355269426755
BA2412	0.0044754866618601	0.5398135635560127
BA2413	0.0136788031723143	0.2224894338271859
BA2414	0.0243258832011535	1.1294265946938364
BA2415	0.0047260273972602	0.370175728740239
BA2417	0.0171773612112472	0.2828551482810747
BA2418	0.0077685652487382	0.5068043214233001
BA2420	0.0105136986301369	0.6877633177663685
BA2421	0.0181596971881759	0.31850060975792
BA2423	0.0107894736842105	0.5110597167919256
BA2425	0.0087941600576784	0.9282028791958084
BA2426	0.0100558759913482	0.3770243887226611
BA2427	0.0086571737563085	0.2487293492662832
BA2429	0.0106452775775054	0.690325889549999
BA2440	0.01405010814708	0.5356840844484928
BA2441	0.0184354722422494	0.7302029319961062
BA2442	0.0116095890410958	1.0969196671436352
BA2446	0.0115392934390771	0.5564223790571079
BA2449	0.0213698630136986	0.4952481504863896
BA2450	0.0162040374909877	0.793522306332011
BA2452	0.0252541456380677	0.6322369881459458
BA2454	0.0121611391492429	0.994389302729212
BA2455	0.0087148521989906	0.3577336988671979
BA2456	0.0047837058399423	0.3510363620273707
BA2459	0.0067934390771449	0.2003764536503072
BA2461	0.0103262436914203	0.719928002806462
BA2463	0.0140356885364095	0.3282410442924443
BA2464	0.0198936553713049	0.9177460068560526
BA2469	0.0165843547224224	0.5135137764408566
BA2470	0.0112599134823359	0.7672646146274057
BA2472	0.0163428262436914	0.7883291727131246
BA2473	0.0219412400865176	0.4703795964573515
BA2474	0.0123521989906272	0.6384770931686569
BA2477	0.025086517664023	1.2128954864546306
BA2479	0.0077253064167267	0.5288333230379059
BA2480	0.023895097332372	0.7129529240627814
BA2481	0.0052072819033886	0.3219708108678858
BA2482	0.0118006488824801	0.7972993071568157
BA2483	0.0151604181687094	0.8684767656080312
BA2485	0.0216672674837779	0.7320926238652525
BA2488	0.0136697909156452	0.7345506643399472
BA2489	0.0131038211968276	0.2668519445854856
BA2492	0.007577505407354	0.1051667324217301
BA2494	0.0152487382840663	0.5719062500987909
BA2496	0.0059769286229271	0.4211246388024476
BA2497	0.0092682047584715	0.6113297504038312
BA2499	0.0128262436914203	0.3720931616293734
BA2500	0.0246304974765681	1.018973911617543
BA2501	0.0150558759913482	1.006922056652005
BA2502	0.0097837058399423	0.457046248273282
BA2505	0.0148648161499639	0.2725442137789134
BA2507	0.0108904109589041	0.4306115348165766
BA2510	0.016472602739726	0.4277787422567118
BA2511	0.0059480894015861	0.2695213549158898
BA2512	0.0125036049026676	1.089067834547099
BA2514	0.0112743330930064	0.2114212053901412
BA2515	0.0118655371304974	0.2576043140953101
BA2520	0.0036265320836337	0.2855548033479121
BA2521	0.0162959625090122	1.0599041036164918
BA2523	0.0194394376351838	0.7146994945863259
BA2524	0.0125360490266762	0.2003427434768929
BA2525	0.0119700793078586	0.6350839730146429
BA2526	0.0263968997837058	0.4402627215039099
BA2528	0.0154992790194664	1.0358889345180222
BA2532	0.0165176640230713	0.7338815702471899
BA2534	0.0232516222062004	0.971164536063506
BA2538	0.012586517664023	0.4355024892285144
BA2539	0.0068961788031723	0.5521599156491248
BA2540	0.0125937274693583	0.3420284688236063
BA2541	0.0059012256669069	0.7003002661233856
BA2545	0.0118186733958183	0.9079909490013598
BA2546	0.0096431146359048	0.6976918075216345
BA2552	0.0384967555875991	0.7873654495619674
BA2559	0.014059120403749	0.4326969729810573
BA2561	0.0080064888248017	0.5138199013847893
BA2563	0.0161067051189617	0.8555311270743183
BA2564	0.0097710886806056	0.4183635097903768
BA2567	0.0041636625811103	0.3423724239601633
BA2570	0.0145692141312184	0.6288829014699105
BA2575	0.0071935832732516	0.3370436746872612
BA2577	0.0213626532083633	0.9915352569546696
BA2579	0.0098648161499639	0.8802031472592037
BA2583	0.0164635904830569	0.2942112369985424
BA2584	0.0166005767844268	0.7627274336072438
BA2587	0.0186751982696467	1.205057301701156
BA2588	0.0140032444124008	0.9722987309732074
BA2589	0.0179704397981254	0.4181398492972104
BA2592	0.0183543619322278	0.6232858021238245
BA2593	0.0048125450612833	0.142818224052095
BA2594	0.0085021629416005	0.4805549428710522
BA2595	0.0101045421773612	0.4172510125105226
BA2597	0.0188248017303532	0.3776884747206824
BA2600	0.011598774333093	0.5397947650624235
BA2603	0.0146557317952415	1.050684693512998
BA2618	0.0207354001441961	1.0652722703309483
BA2619	0.0106759192501802	0.5515001950443476
BA2620	0.0146971881759192	0.5660127303006282
BA2621	0.009030281182408	0.1777115279686306
BA2622	0.0153731074260994	0.629693774067245
BA2623	0.0129217736121124	1.2645804085155237
BA2629	0.0102992069214131	0.67021252589461
BA2631	0.0144736842105263	0.997579073367638
BA2634	0.0064221341023792	0.3801522691369703
BA2636	0.008720259552992	0.3648361745398496
BA2639	0.0137959625090122	0.9477159722358126
BA2644	0.0111986301369863	0.9369820242252476
BA2645	0.0217844268204758	0.7414638575034888
BA2646	0.0225540735400144	1.0115930670733926
BA2649	0.0211121124729632	0.7115730787543636
BA2651	0.007761355443403	0.4592931484415491
BA2653	0.0130948089401586	0.4685050059870663
BA2655	0.0299783705839942	0.8593074678730177
BA2656	0.0079307858687815	0.5131652253248281
BA2657	0.0115537130497476	0.8470708016676068
BA2658	0.0126622206200432	0.8312391261618608
BA2659	0.0140519105984138	0.7734950272071314
BA2660	0.0080857966834895	0.3270017406662108
BA2662	0.0143330930064888	0.7627041231627456
BA2663	0.0116925018024513	0.4003506937216603
BA2667	0.0136445565969718	0.6129425718475765
BA2670	0.0059354722422494	0.4813783207691252
BA2674	0.0104379956741167	0.7687181571249073
BA2675	0.0151568132660418	0.8113595053711042
BA2676	0.0147981254506128	0.7193573525550655
BA2677	0.0095962509012256	0.5667215161278862
BA2681	0.0056380677721701	0.4483933448827679
BA2682	0.012732516222062	0.4748755832850639
BA2685	0.0221935832732516	0.4359618044479379
BA2688	0.0081380677721701	0.3715147055981204
BA2691	0.0082858687815428	0.5298562346016258
BA2694	0.0088482335976928	0.2415941298993631
BA2695	0.0070007209805335	0.2316621035192917
BA2697	0.0056218457101658	0.1575267063777224
BA2701	0.009388968997837	0.1618452152018476
BA2704	0.0232498197548666	0.7676063837391645
BA2705	0.0289185291997116	0.7736576649148497
BA2707	0.0052000720980533	0.6329757990340414
BA2709	0.008352559480894	0.2196434548768774
BA2712	0.0131182408074981	0.5471131137244087
BA2714	0.0148071377072819	0.8424220046636015
BA2715	0.0302505407354001	0.1437277798333531
BA2718	0.0331092285508291	1.0085745504043628
BA2720	0.0045331651045421	0.1712315941785472
BA2721	0.0158417447728911	1.0725682104889478
BA2722	0.0155623648161499	1.1069268131308236
BA2723	0.0153586878154289	0.1826604590740332
BA2724	0.008516582552271	0.3057249289627851
BA2726	0.008866258111031	0.5840164287445309
BA2727	0.0105082912761355	0.9825929682147588
BA2728	0.0145583994232155	0.7447206363185603
BA2731	0.0071449170872386	0.1865904817526001
BA2733	0.006016582552271	0.2574362455210003
BA2735	0.0094772891131939	0.6349829222408891
BA2737	0.0095133381398702	0.2506253326900557
BA2742	0.0109138428262436	0.7736266007962072
BA2744	0.0048918529199711	0.2817998694368267
BA2746	0.0107534246575342	0.631905850504119
BA2747	0.0102829848594087	0.3679079139684447
BA2748	0.0250684931506849	1.342212825544966
BA2751	0.0057804614275414	0.8229442526420047
BA2756	0.015416366258111	0.507571593859747
BA2758	0.0097909156452775	0.4598669904371535
BA2760	0.0199783705839942	0.6835505669211622
BA2762	0.0134895457822638	0.4825485109624962
BA2764	0.0110994953136265	0.6133337317726092
BA2765	0.0068673395818312	0.6306370432960933
BA2769	0.0132498197548666	0.4652807279971225
BA2772	0.0075180245133381	0.3841522518220695
BA2775	0.0131074260994953	1.1907239752641958
BA2776	0.0300306416726748	0.9423248130050992
BA2778	0.0114708002883922	0.3401668603916654
BA2782	0.0080569574621485	0.7494688209924599
BA2786	0.0120547945205479	0.4776643616979977
BA2787	0.0031254506128334	0.290641283315997
