	SRSF2	SF3B1
BA2248	9.36916799017741	9.01658796485945
BA2832	9.60422004710875	8.90103696609653
BA2308	9.75851596885508	9.16784487350203
BA2413	9.62975620855742	9.08494318011795
BA2701	9.05581138653334	9.1410080593907
BA2634	9.3561004357089	8.75098362594822
BA2677	9.48238177689826	8.40664550150058
BA2937	9.27156918109996	8.53215993801742
BA2600	9.04860912314158	9.00605305286098
BA2019	9.52036350053221	8.09804401257278
BA2412	8.75995195431454	8.65285322774346
BA2334	9.56420444046175	9.02011485988608
BA2050	9.94905102299885	8.68676863894814
BA3230	9.08494318011795	8.54249270039127
BA2953	9.20696376307392	8.54508752883457
BA2481	9.8155160837716	8.27670009201677
BA2731	8.78108213178214	8.55813210635661
BA2294	9.60929418124753	8.74800571415782
BA2418	9.45909303825332	9.08494318011795
BA2816	9.36916799017741	8.66407371953991
BA2656	9.94905102299885	8.8879736022598
BA2814	9.10713869224013	8.28956252610494
BA2631	9.26745559419095	8.79942491234482
BA2023	9.01306871894599	8.18614443860235
BA2375	9.27156918109996	8.3558471237735
BA2485	9.67842749251503	8.89630209786589
BA2455	8.8589671548512	8.75695672842528
BA2025	9.09600320401444	8.26396477173174
BA2636	9.04860912314158	8.672544374331
BA2325	8.45209623715645	8.27883495411433
BA2169	9.50601427714714	9.160132157513
BA2156	9.38675693832204	8.70980864868103
BA2511	9.36916799017741	8.92415796681604
BA2939	9.13342062895717	9.27569316532541
BA2168	9.73079295605488	9.47302564786274
BA2505	9.39118419839355	8.82734862624236
BA2860	8.71271331389775	8.58457840504288
BA2707	9.20696376307392	9.00955709168753
BA2871	8.99211218550823	8.8879736022598
BA2655	9.60422004710875	8.60608533344799
BA2227	9.59916222255831	8.94424486652991
BA2125	9.41800548205558	8.76595984417136
BA2523	9.53000194332933	8.50664971851981
BA2603	9.12586826213153	8.60067902691643
BA2808	9.17948259034573	8.48906113697349
BA2282	9.02364943472175	8.60608533344799
BA2482	8.91090509269608	8.8525926437112
BA2812	9.70356008854553	8.67537853618004
BA2822	9.31672506964559	8.57233967558565
BA2594	9.22287720595147	8.61151153389318
BA2747	9.47769688223901	9.03429954865997
BA2561	9.93012293296997	8.3603866090308
BA2567	10.0007468429699	8.71271331389775
BA2906	9.91143332054624	9.160132157513
BA2956	9.90525526471174	9.18338030789918
BA2474	9.00955709168753	9.14863087419242
BA2737	9.80971908397822	9.02011485988608
BA2110	8.73025810259064	8.67537853618004
BA2992	9.14481502348153	8.69536777456055
BA2220	9.40901547409309	8.20818067427413
BA2772	8.71853926395486	9.12210512882866
BA2935	9.17171491689544	8.824221356442
BA2260	9.12964008242639	8.39960495989321
BA2676	9.23089240757758	8.70980864868103
BA2948	8.6697155276332	8.73910632748104
BA2524	8.98864564355709	8.71562351354988
BA2811	9.24704173883127	8.65285322774346
BA2540	9.04501990946176	8.97142354261209
BA2928	9.36916799017741	8.51679913189176
BA2302	9.39562360946183	9.1755941413251
BA2595	8.68106286594684	8.59798330037588
BA2792	9.54457000922792	8.48407580140491
BA2651	8.92748837970555	8.92415796681604
BA2619	8.7332018546727	8.8879736022598
BA3013	9.50601427714714	8.84624370479657
BA2405	8.70980864868103	8.81798541280226
BA2735	8.59798330037588	9.28812805203208
BA2856	8.92415796681604	8.61151153389318
BA2377	7.83840005803793	8.11098473910268
BA2499	8.81487669872437	8.8525926437112
BA2463	9.52684328251404	9.1314039045803
BA3023	9.00605305286098	8.77199110438686
BA2095	9.61438474364243	8.43517613550052
BA2901	8.45209623715645	8.13938594647296
BA2275	8.70401585675217	8.21629115879124
BA2387	9.30065851731011	8.8525926437112
BA2962	9.36480042798147	8.59798330037588
BA2195	8.97142354261209	8.74800571415782
BA2688	9.00264729477778	8.99569456808485
BA2787	8.94424486652991	8.43517613550052
BA2420	9.4000752436972	8.91420804405317
BA2756	8.61423212805534	8.86536741111737
BA2122	8.73025810259064	8.57659398663682
BA2053	8.71562351354988	8.46922505155083
BA2080	9.34313727945847	8.75695672842528
BA2081	9.50601427714714	8.79022656584331
BA2354	9.03608369232641	8.38979342299319
BA3273	9.00443312215534	9.1087191158229
BA2893	9.85077214115986	9.11460476788528
BA2044	9.3735473533766	8.54508752883457
BA2489	9.57411368730524	8.5872495962732
BA2309	9.39562360946183	8.57394218930808
BA2720	8.46249696810185	8.83907321261343
BA2908	8.66493693752935	8.50277388292747
BA2054	9.3217592552912	8.3695120975799
BA2872	9.13720994130471	8.3156761580726
BA2526	9.31328611186612	8.34906675857089
BA2041	9.88079564639631	8.83676787171411
BA2464	8.85577669200061	8.18416035809344
BA2902	10.0680496747685	8.99906762077278
BA2541	9.04860912314158	8.94087956106744
BA2143	9.0307417478067	8.77804587995587
BA2094	9.45909303825332	8.34007975821985
BA2769	8.97485330936457	8.59529250724368
BA2843	9.29229417829056	9.4045391740165
BA2592	9.86871412745455	8.81798541280226
BA2497	8.61423212805534	8.15284092667829
BA2718	9.30906602396076	8.63894476137773
BA2575	8.55813210635661	8.21629115879124
BA2096	10.0958725482412	8.5529001392332
BA2593	10.111511463709	9.64691731252063
BA2791	9.61438474364243	8.90103696609653
BA2620	8.8717935877338	8.44966638628301
BA2629	9.55435683089665	9.40901547409309
BA2870	9.53484314535953	8.47910806756512
BA2423	8.69824500910271	8.71562351354988
BA2682	9.51078302100883	8.84624370479657
BA2276	9.1410080593907	8.70401585675217
BA2348	8.38563253120242	8.03550248502968
BA2709	8.68676863894814	8.63894476137773
BA2789	9.09600320401444	9.21490111990201
BA2694	9.42251934116338	9.09600320401444
BA2538	9.00955709168753	9.1872873383188
BA2583	9.67679810675791	8.79635277497105
BA2415	8.94424486652991	8.63341745058943
BA2722	8.95099667095566	8.59529250724368
BA2806	9.66622107740225	9.11835064360706
BA2221	9.47769688223901	8.40664550150058
BA3025	9.50125973784097	8.97142354261209
BA2514	9.49819442110274	8.66029258022104
BA2520	9.53000194332933	8.88148184246882
BA2441	9.62461563502098	9.30065851731011
BA2153	9.11460476788528	9.19512951707567
BA2479	9.67313133431446	9.26099325755712
BA2281	9.64527993925034	8.57394218930808
BA2657	8.99211218550823	8.51425498508966
BA2932	9.47769688223901	8.75995195431454
BA2123	9.82717700787936	8.94761722776196
BA2844	9.66095938066438	8.73025810259064
BA2660	9.16784487350203	8.70112769787832
BA2836	9.14481502348153	8.61423212805534
BA3027	9.29647098090766	8.79328666582968
BA2714	8.89449191470128	8.60879594020241
BA2139	8.42559982560594	8.68676863894814
BA2251	9.3260124319477	9.08127310626888
BA2952	8.99211218550823	7.98067391429632
BA2440	9.83892848550566	8.60337970015667
BA2036	9.65571538111022	8.97829037472744
BA2828	9.06304565250042	8.82110029202306
BA2292	9.94271473100152	8.44966638628301
BA2410	9.64527993925034	9.07761127342397
BA2051	8.88472441482659	8.71271331389775
BA2532	8.94424486652991	9.05220627117217
BA2986	9.67150060698144	8.8879736022598
BA2494	9.52036350053221	8.88148184246882
BA2515	9.48238177689826	8.824221356442
BA2748	9.45909303825332	8.74800571415782
BA2970	9.11835064360706	8.79328666582968
BA2622	9.01306871894599	8.7332018546727
BA2839	9.29229417829056	9.07761127342397
BA2052	9.55435683089665	8.86216405394702
BA3011	9.07750677038397	8.47784635337876
BA2868	9.47769688223901	8.8717935877338
BA2510	8.99211218550823	9.00255657247606
BA2065	9.09600320401444	8.67821802831458
BA2691	8.86536741111737	8.56601564488201
BA2374	9.67679810675791	8.41372261793503
BA2804	9.08494318011795	8.08518191159815
BA2670	8.28526081080175	7.92868137841977
BA2675	9.13342062895717	8.75396729152058
BA2589	9.03786515454843	8.41135949860071
BA2031	8.60608533344799	8.42559982560594
BA2198	9.07395764638915	8.64449262965366
BA2066	8.90103696609653	8.31787605128572
BA2344	9.43613726309062	8.67537853618004
BA2459	8.31312330931764	8.37364430583731
BA2229	9.38675693832204	8.56865303112435
BA2559	8.86857724833819	8.56338303703764
BA2093	9.22287720595147	8.21629115879124
BA2000	9.58408544068247	8.46430959418229
BA2425	9.50768698561149	8.62153057515291
BA2905	9.16784487350203	8.58457840504288
BA2304	8.61695773628636	8.3695120975799
BA2976	8.97485330936457	8.21222936163239
BA2386	8.79328666582968	8.93752128537319
BA2035	9.22287720595147	9.08862153045619
BA2760	8.49657233882556	8.34232080533324
BA2201	9.08494318011795	8.03884116383771
BA2355	9.52517542791568	9.01306871894599
BA2113	9.44407804044761	8.13348180994884
BA2155	9.88687313292775	8.5373170330564
BA2955	9.09600320401444	8.6697155276332
BA2502	9.14863087419242	8.51934782702254
BA2322	9.160132157513	8.36266215228094
BA2376	8.61423212805534	8.59798330037588
BA2020	9.83892848550566	8.43037965011906
BA2226	8.93417001363455	8.57129520837751
BA2200	9.73079295605488	8.85577669200061
BA2121	8.92415796681604	8.36722488709977
BA2944	9.2389471182711	8.49657233882556
BA2033	9.53484314535953	8.5117153749805
BA2867	9.30065851731011	8.17036010262912
BA2089	8.18416035809344	8.15090969693391
BA2224	9.12964008242639	8.7629529869435
BA2046	9.1872873383188	9.0307417478067
BA2972	9.44070228005406	8.77804587995587
BA2978	8.40194775982719	8.13747585819058
BA2829	8.97485330936457	8.68106286594684
BA2851	9.2592593958878	8.55029123602985
BA2587	9.02364943472175	8.20414503388581
BA2461	9.21490111990201	8.46676516104844
BA2695	9.0468018581655	8.54953218061743
BA2623	9.3217592552912	8.45453034732936
BA2024	9.17171491689544	8.08335570616425
BA2426	9.0307417478067	8.60879594020241
BA2271	9.12964008242639	8.55813210635661
BA3004	9.80971908397822	8.92415796681604
BA2579	8.85577669200061	8.81177412986094
BA3010	8.87824586229709	8.56338303703764
BA2662	9.06304565250042	8.20414503388581
BA2674	9.25517667754352	8.672544374331
BA2280	9.22287720595147	8.60608533344799
BA2512	8.54249270039127	8.42798766039968
BA2658	9.30065851731011	9.05942450247106
BA2394	9.26335235036244	8.99211218550823
BA2950	9.31751716888528	8.5529001392332
BA2981	8.89449191470128	8.6306614688285
BA2934	9.3260124319477	8.98518651350313
BA2539	9.11835064360706	8.44966638628301
BA2249	9.22687989289351	8.81487669872437
BA2034	8.99390471507907	8.55213631852216
BA2109	8.65285322774346	8.27244095196937
BA2242	9.45909303825332	9.26745559419095
BA2277	9.2389471182711	8.83362186336888
BA2727	8.92415796681604	8.62242404966029
BA2132	9.8991027074875	8.99906762077278
BA2618	8.70690950167434	8.35358316301659
BA2521	9.09970659968869	8.69249597847146
BA2846	9.30906602396076	8.77501554362266
BA2885	8.57925061313916	8.17625565039323
BA2639	9.4270458724936	8.48158973981744
BA2775	9.44987135785787	8.8879736022598
BA2402	8.84307877151568	8.74800571415782
BA2097	9.28812805203208	9.03429954865997
BA2786	9.42251934116338	8.57659398663682
BA2399	9.63491369950168	9.160132157513
BA2850	9.89297540900361	9.2429894144776
BA2174	9.04860912314158	8.61695773628636
BA2004	8.48407580140491	8.824221356442
BA3001	9.67679810675791	8.8717935877338
BA2311	8.78412431760784	8.672544374331
BA2483	8.63525880753156	8.61063875058243
BA3040	9.43158515365849	8.43998936441936
BA2837	9.0271917203024	8.47168927654288
BA2724	8.88472441482659	8.79328666582968
BA2911	8.99558616821901	8.86857724833819
BA2256	9.27569316532541	8.86857724833819
BA2821	9.34313727945847	8.67537853618004
BA2233	9.65571538111022	8.85577669200061
BA2744	9.14863087419242	8.96117775713075
BA2880	9.160132157513	8.38563253120242
BA2621	8.9076089453561	8.69536777456055
BA3002	8.69720423583871	8.34640463577494
BA2501	9.40901547409309	8.68106286594684
BA2993	9.35176787188011	9.18338030789918
BA2301	9.0307417478067	8.6361785433996
BA2852	9.3561004357089	9.10341841676742
BA2133	9.2389471182711	8.97829037472744
BA2866	9.8991027074875	8.73025810259064
BA2212	9.33027676031699	8.80250309714617
BA2685	9.26745559419095	8.68391306436784
BA2273	9.98114720830101	8.99558616821901
BA2477	9.26335235036244	8.48906113697349
BA2659	8.52958832512444	8.15865294170913
BA2124	9.87632246618632	8.84806156927188
BA2363	8.26607857536642	8.8525926437112
BA2369	9.25110414260315	8.2960419873451
BA2534	9.34313727945847	8.51425498508966
BA2400	9.43613726309062	8.89122942781574
BA2762	9.34313727945847	9.04143859741613
BA2312	9.53484314535953	8.99558616821901
BA2813	9.78106105276028	9.12210512882866
BA2211	9.85831326849695	8.96297616127633
BA2171	9.64008823387741	8.68106286594684
BA2746	8.98518651350313	8.81487669872437
BA2798	9.27569316532541	8.99906762077278
BA2809	9.39118419839355	9.0271917203024
BA2288	9.98087822775469	9.05931205682652
BA2801	8.83362186336888	8.42798766039968
BA3030	8.61063875058243	8.52630444852913
BA2588	9.60929418124753	8.77501554362266
BA2296	9.36916799017741	8.75396729152058
BA2300	9.88687313292775	8.83362186336888
BA2903	8.3926007250059	8.34906675857089
BA2473	9.93797001113285	8.94941812849735
BA2545	9.17171491689544	8.59260663428802
BA2840	9.22062772367926	8.50849537330422
BA2528	9.30485684547982	8.80250309714617
BA2646	8.95099667095566	8.38563253120242
BA3407	9.38234175781362	8.824221356442
BA2240	9.28812805203208	8.86216405394702
BA2926	9.26745559419095	8.824221356442
BA2272	8.97485330936457	8.86216405394702
BA2306	8.7420670822246	8.80250309714617
BA2765	8.55029123602985	8.18614443860235
BA2904	9.13720994130471	8.8525926437112
BA2883	9.01306871894599	8.69536777456055
BA2726	8.54249270039127	8.268195867683
BA2234	8.97142354261209	8.2409408040855
BA2022	9.75851596885508	8.47663077360064
BA2228	9.25517667754352	8.50918028997297
BA2037	9.23089240757758	8.3156761580726
BA2184	9.45447558148811	8.91420804405317
BA3009	9.76974697360105	9.4917929010063
BA2842	8.61968837224666	8.5529001392332
BA2442	8.9076089453561	8.62516478231551
BA2882	8.5607551950315	8.73910632748104
BA2758	8.76897254396233	8.79328666582968
BA2705	9.20696376307392	9.12964008242639
BA2663	8.62516478231551	8.31787605128572
BA2570	8.79022656584331	8.68391306436784
BA2764	8.18813169577028	8.36722488709977
BA2209	8.67821802831458	9.18338030789918
BA2989	9.10341841676742	8.92083445647999
BA2855	8.81487669872437	8.43277580504712
BA2261	8.53400537696188	8.0688412152041
BA2721	8.97829037472744	8.92415796681604
BA2930	8.43517613550052	8.44481942009045
BA2728	8.5373170330564	8.16059641320183
BA2715	9.56420444046175	8.66407371953991
BA2469	8.35811493599106	7.79384765019346
BA2269	8.18416035809344	7.70582137825133
BA2098	9.14863087419242	8.268195867683
BA2778	8.52190108216259	8.3972661940189
BA2951	9.14863087419242	8.82734862624236
BA2163	9.36044459889599	9.09970659968869
BA2379	8.65845299235754	8.09067732991193
BA2817	8.68189146093676	8.64817132846837
BA3153	9.47302564786274	9.2389471182711
BA2820	8.86216405394702	8.52702131941912
BA2723	9.09600320401444	9.08127310626888
BA2704	9.58408544068247	9.09600320401444
BA2088	9.4917929010063	8.50664971851981
BA2116	8.77199110438686	8.48407580140491
BA2584	10.0475291689068	8.63341745058943
BA3079	10.0007468429699	8.6472743085318
BA2417	9.65571538111022	8.6279105840654
BA2361	9.1755941413251	8.5555137585582
BA2450	9.24704173883127	8.93417001363455
BA2492	8.19611264417946	8.60337970015667
BA2552	9.00955709168753	9.13720994130471
BA2472	8.68106286594684	8.7214605815193
BA2994	9.23491479941431	9.11835064360706
BA2047	9.58909503454725	8.46676516104844
BA2101	9.48238177689826	9.27569316532541
BA2082	8.77804587995587	8.46185834013681
BA2879	9.17171491689544	8.96458579397726
BA2577	9.54457000922792	8.62242404966029
BA2456	8.80250309714617	9.07761127342397
BA2175	9.59412059033195	8.79942491234482
BA2824	9.19512951707567	8.28311530497155
BA2507	9.88079564639631	8.58992566833602
BA2563	9.68211371581436	8.77501554362266
BA2244	8.84624370479657	8.11478606741055
BA2470	9.76974697360105	8.57394218930808
BA2984	9.6874475749889	8.66126072825912
BA2414	9.64008823387741	8.63894476137773
BA2697	9.44696832329653	8.33299115221922
BA2079	8.68391306436784	8.37870011521958
BA2999	9.03429954865997	8.23267071257109
BA2644	9.3735473533766	8.54768703664719
BA2011	9.09600320401444	8.66126072825912
BA2217	9.69279982690398	8.60067902691643
BA2454	9.86270964606403	8.89449191470128
BA2776	9.80971908397822	8.61151153389318
BA2218	9.59916222255831	8.79635277497105
BA2135	9.94271473100152	8.92415796681604
BA2914	8.83362186336888	8.3156761580726
BA2500	9.0307417478067	8.38100696139026
BA2830	9.44987135785787	9.26745559419095
BA2406	9.4270458724936	8.41846114844672
BA3108	9.43613726309062	8.71271331389775
BA2924	9.09230819306279	9.0307417478067
BA2303	8.83676787171411	8.65285322774346
BA2160	9.55927298456459	9.0307417478067
BA2038	9.0307417478067	8.43277580504712
BA2602	8.56338303703764	8.34007975821985
BA2964	8.8717935877338	8.11291430832213
BA2898	9.44987135785787	8.7629529869435
BA3003	9.48238177689826	8.67821802831458
BA2111	9.58408544068247	8.66126072825912
BA2827	9.58909503454725	8.62516478231551
BA2912	9.55927298456459	8.92083445647999
BA2437	9.55927298456459	8.66126072825912
BA2283	9.58909503454725	8.65285322774346
BA2057	9.54457000922792	8.69536777456055
BA2633	9.58909503454725	8.7214605815193
BA3034	9.55435683089665	8.64449262965366
BA2607	9.3735473533766	8.68391306436784
BA2761	9.4270458724936	8.83048212173684
BA2795	9.54457000922792	8.76595984417136
BA2182	9.54457000922792	8.66689198102969
BA2152	9.49651930986164	8.52702131941912
BA2381	9.80971908397822	8.22240857358487
BA2931	9.53000194332933	8.58457840504288
BA2040	9.34313727945847	8.43277580504712
BA2590	9.60929418124753	8.8717935877338
BA3195	9.3561004357089	8.86536741111737
BA2516	8.94268168369866	8.71164372414843
BA2353	9.2429894144776	8.86857724833819
BA3036	9.11086746340759	9.17171491689544
BA2971	9.02543573403374	8.67155422607777
BA3410	9.47302564786274	8.69824500910271
BA3118	9.22287720595147	8.86536741111737
BA3206	9.57411368730524	8.93417001363455
BA3202	9.48238177689826	8.7214605815193
BA3217	9.4045391740165	8.99906762077278
BA3405	8.22445433533228	8.52958832512444
BA3306	9.00255657247606	9.23089240757758
BA3371	9.10341841676742	8.20616122712402
BA3413	9.58909503454725	8.51425498508966
BA3411	9.07395764638915	8.16644533071452
BA3133	9.3561004357089	8.32671267592458
BA3164	9.13342062895717	8.51934782702254
BA3451	8.52958832512444	8.30909856685695
BA3286	9.36916799017741	8.47415784691615
BA3212	9.56098320131876	8.44735380092582
BA3103	8.91751782379931	8.98864564355709
BA3271	9.1872873383188	8.63894476137773
BA3152	9.3735473533766	8.58191208164573
BA3095	9.79245962144758	8.72438748273975
BA3192	9.11086746340759	9.06667487040862
BA3251	9.40901547409309	8.60608533344799
BA3362	9.00434706477645	8.0301567645062
BA3400	9.65048894475304	9.26745559419095
BA3135	9.4000752436972	9.11086746340759
BA3408	9.63491369950168	9.23491479941431
BA3187	9.27569316532541	8.52958832512444
BA3098	9.12964008242639	8.41608983118813
BA3435	9.19120372633416	8.63894476137773
BA3261	9.54457000922792	8.75995195431454
BA3203	9.76974697360105	8.84624370479657
BA3174	8.89776108628452	8.60608533344799
BA3317	9.33883912107995	8.67821802831458
BA3299	8.75098362594822	8.48158973981744
BA3221	8.78108213178214	8.7361512573159
BA3347	9.43158515365849	8.75695672842528
BA3235	8.20012237793382	8.02685700006077
BA3126	8.26607857536642	8.40900046313029
BA3380	9.04143859741613	9.19512951707567
BA3089	9.2389471182711	8.92415796681604
BA3109	8.46185834013681	8.75098362594822
BA3114	9.17171491689544	8.72438748273975
BA3418	8.97829037472744	8.80558734868936
BA3245	9.56915130536806	9.47302564786274
BA3085	9.07761127342397	8.78717245605116
BA3128	9.45909303825332	9.14481502348153
BA3423	9.67679810675791	9.03786515454843
BA3173	9.98114720830101	8.83676787171411
BA3171	8.83048212173684	8.68962960513866
BA3277	9.43158515365849	8.59529250724368
BA3210	9.19120372633416	8.42321613548815
BA3157	9.56420444046175	8.92748837970555
BA3433	9.53969913371194	9.16784487350203
BA3322	9.53484314535953	8.81177412986094
BA3374	8.79328666582968	8.17428733914348
BA3450	9.60422004710875	8.59260663428802
BA3167	8.47663077360064	8.70690950167434
BA3269	9.60929418124753	9.28397254525379
BA3110	9.66259277874038	9.11263542064792
BA3156	9.2592593958878	9.50125973784097
BA3226	9.39118419839355	8.97142354261209
BA3421	8.95777690896205	8.64171611871059
BA3232	9.27569316532541	8.70690950167434
BA3289	8.61423212805534	8.20213208675208
BA3430	8.38747453651413	8.15658900411538
BA3145	9.30906602396076	9.1755941413251
BA3399	8.96117775713075	7.64636707538027
BA3449	9.09230819306279	8.8717935877338
BA3384	9.17948259034573	8.7361512573159
BA3427	9.28812805203208	9.09230819306279
BA3163	8.52958832512444	8.21222936163239
BA3158	9.55927298456459	8.80250309714617
BA3436	9.61438474364243	8.95777690896205
BA3154	9.62258533258528	9.19601450198036
BA3162	8.12230223339654	8.61151153389318
BA3352	8.92264013919218	8.58909343968652
BA3084	9.31751716888528	8.5529001392332
BA3149	8.71853926395486	8.35811493599106
BA3169	8.9076089453561	8.5373170330564
BA3180	9.2109276242084	8.91090509269608
BA3255	9.41350421836705	8.7629529869435
BA3438	9.62975620855742	8.38100696139026
BA3345	8.94087956106744	8.58457840504288
BA3403	8.47415784691615	7.86231924501854
BA3431	8.42559982560594	8.47415784691615
BA3181	8.03722226484621	8.49908497066643
BA3341	8.96458579397726	9.00605305286098
BA3191	8.77804587995587	8.672544374331
BA3197	9.16398396797258	8.95777690896205
BA3448	9.38234175781362	9.07395764638915
BA3453	9.12586826213153	8.68106286594684
BA3406	9.82133532639013	9.0271917203024
BA3308	9.17948259034573	8.7420670822246
BA3186	9.40240975182614	8.47905668041636
BA3334	8.65565049707964	8.23679901175147
BA3447	9.52036350053221	8.73025810259064
BA3116	8.97485330936457	8.53990253916599
BA3280	9.53969913371194	9.08494318011795
BA3185	9.19906475607931	9.41350421836705
BA3094	8.6697155276332	9.17171491689544
BA3318	8.42559982560594	8.52702131941912
BA3216	9.40901547409309	9.53000194332933
BA3332	9.41800548205558	8.69824500910271
BA3214	9.25691151442812	9.09777439177087
BA3099	9.4045391740165	8.68962960513866
BA3141	9.39562360946183	8.78717245605116
BA3373	9.3217592552912	9.13342062895717
BA3319	8.43037965011906	8.50412364911741
BA3328	9.28812805203208	9.06304565250042
BA3339	9.732408696693	9.18513198239908
BA3240	9.08127310626888	8.99558616821901
BA3142	9.44070228005406	8.92083445647999
BA3333	9.46372381175102	8.8879736022598
BA3381	8.74800571415782	8.39027400222105
BA3290	8.8879736022598	8.68106286594684
BA3207	7.93502206043898	8.34232080533324
BA3296	8.8879736022598	8.43998936441936
BA3305	8.82110029202306	8.68676863894814
BA3434	9.27569316532541	8.96117775713075
BA3189	9.08862153045619	7.60510330404292
BA3264	9.55435683089665	8.7420670822246
BA3329	9.48406046211483	8.93932401235183
BA3417	9.23491479941431	8.6279105840654
BA3367	8.60436299215519	8.51286918159344
BA3225	8.11666073243668	8.31787605128572
BA3183	9.04143859741613	8.75396729152058
BA3222	9.08494318011795	8.15671254170946
BA3139	8.88653621315296	8.40613768193266
BA3397	9.64527993925034	9.12964008242639
BA3311	8.07971165578759	8.20616122712402
BA3422	10.0888662099127	8.91420804405317
BA3228	8.68391306436784	8.53215993801742
BA3213	9.26335235036244	8.49908497066643
BA3270	8.8717935877338	8.79942491234482
BA3415	9.34744684153524	8.18813169577028
BA3324	8.8525926437112	8.5373170330564
BA3194	9.68211371581436	8.87824586229709
BA3335	9.96822468421139	9.63491369950168
BA3199	9.4917929010063	8.8879736022598
BA3326	9.27569316532541	8.93082572022568
BA3285	8.72329447406972	8.54693273074337
BA3297	9.09230819306279	8.66689198102969
BA3227	9.11460476788528	8.91090509269608
BA3394	8.65006116973985	8.6472743085318
BA3412	8.93752128537319	8.13176351189552
BA3293	9.44239146973819	8.8385871543889
BA3250	9.21888429779212	8.56601564488201
BA3177	9.47769688223901	8.24509615455004
BA3315	8.96117775713075	8.7214605815193
BA3182	8.91751782379931	8.49657233882556
BA3260	8.43758065182973	7.69023500088856
BA3369	9.24704173883127	8.67537853618004
BA3078	9.20475662343021	8.57843825701648
BA3386	9.71984209806913	9.10341841676742
BA3445	9.4000752436972	8.51934782702254
BA3452	8.57129520837751	8.66689198102969
BA3176	9.29229417829056	8.904319577833
BA3258	8.64449262965366	8.46430959418229
BA3295	8.76897254396233	8.3972661940189
