	JAK2	NPM1
BA2511	6.6963494054774	8.46430959418229
BA2939	6.03732004077161	9.41350421836705
BA2168	5.08188769059011	9.20300948929151
BA2505	6.97318609681243	9.09230819306279
BA2860	6.35352478320916	8.97485330936457
BA2707	6.50698545533974	9.12210512882866
BA2871	6.50103892537921	8.66689198102969
BA2655	5.63974092739285	9.36916799017741
BA2227	5.4168131671987	9.42251934116338
BA2125	6.48317228455133	7.76334677298606
BA2523	5.76686556527581	9.33455230246716
BA2603	6.41510646424492	8.99558616821901
BA2808	5.90396043152694	8.70112769787832
BA2282	6.91733301258099	7.26503778677364
BA2482	6.87718695252014	9.04501990946176
BA2812	5.97648507555777	8.81487669872437
BA2822	5.15597615770657	7.14998539597838
BA2594	6.59148541753236	8.42798766039968
BA2747	5.96305194548373	9.35176787188011
BA2561	6.18119276601149	9.09970659968869
BA2567	6.12432253652151	7.54085820588458
BA2906	6.56840033593867	8.80250309714617
BA2956	6.33555481831586	8.11104544817006
BA2474	6.35117266997331	9.08127310626888
BA2737	7.32309525533159	8.02685700006077
BA2110	7.58290428004672	7.71347289714959
BA2992	6.84776495812423	9.18338030789918
BA2220	5.64166399423883	9.00955709168753
BA2772	6.12385981288499	9.42251934116338
BA2935	6.90423057855148	8.55029123602985
BA2260	7.13121480456278	8.75098362594822
BA2676	6.02203823110219	8.7361512573159
BA2948	6.70639038824238	7.55189787670547
BA2524	6.14846279197281	9.2592593958878
BA2811	6.01912446509313	8.83676787171411
BA2540	6.43146976668751	8.86857724833819
BA2928	6.55763968463611	8.7214605815193
BA2302	5.77571318535643	9.38234175781362
BA2595	5.85542200416075	9.09230819306279
BA2792	6.19732726364109	8.66689198102969
BA2651	5.6655125977295	9.17948259034573
BA2619	6.34099882607851	7.88191833711993
BA3013	5.72866766844001	9.54457000922792
BA2405	5.87733009897837	9.64008823387741
BA2735	5.32629384115804	9.08494318011795
BA2856	5.75062167266173	7.56206988956539
BA2377	6.52938873500607	8.74389874448259
BA2499	6.15698094792798	9.66095938066438
BA2463	6.95017040445475	8.4179334910987
BA3023	5.26887133584046	9.17948259034573
BA2095	5.38803577864658	9.13342062895717
BA2901	6.20050527440426	8.51425498508966
BA2275	6.57560815980456	6.9401836518602
BA2387	6.4243136710677	8.68106286594684
BA2962	5.68039540990515	9.73079295605488
BA2195	6.38023120196824	8.69249597847146
BA2688	6.01664395833904	8.77262692606308
BA2787	7.63278489020753	6.35352478320916
BA2420	6.73527749858946	9.09970659968869
BA2756	5.20013137153335	9.56420444046175
BA2122	5.88327701539732	7.70840071464408
BA2053	5.5722787954592	9.16784487350203
BA2080	5.35965803846691	8.92748837970555
BA2081	6.6568137663596	9.00255657247606
BA2354	6.27784077147234	9.30238239860393
BA3273	5.09286972713313	7.24904224136933
BA2893	5.37965871348939	9.50601427714714
BA2044	6.82550917357801	8.43758065182973
BA2489	5.84150393894181	9.15628939970288
BA2309	6.96912043899967	9.05942450247106
BA2720	6.78739149461742	7.7605970351598
BA2908	5.76994542170869	9.83621907237271
BA2054	7.01917646703683	8.54508752883457
BA2872	6.80425051325387	8.00271116464237
BA2526	6.3282334089858	9.09600320401444
BA2041	5.25419658542836	9.02011485988608
BA2464	5.36035690673449	9.07395764638915
BA2902	5.75832214709053	8.82734862624236
BA2541	6.21584775215817	9.18338030789918
BA2143	6.34278372708773	7.22867709025789
BA2094	6.21976021821158	7.79956921933088
BA2769	6.75309739437635	8.904319577833
BA2843	5.89603275873882	8.88148184246882
BA2592	5.60348204059795	9.57909169555586
BA2497	6.22284672145603	8.09067732991193
BA2718	6.26203648745747	8.61151153389318
BA2575	7.37577438257785	7.3614587281193
BA2096	5.67695923349879	9.4000752436972
BA2593	6.19690129645258	10.3090915070605
BA2791	5.75793531082724	9.14481502348153
BA2620	6.92625028034322	8.61695773628636
BA2629	6.02456199069166	9.4000752436972
BA2870	5.45598777768521	9.26745559419095
BA2423	7.36910502551481	7.73861349646242
BA2682	6.23969161748368	9.14863087419242
BA2276	6.02937141783307	8.91090509269608
BA2348	6.82851443258156	7.52987979374564
