	ABL1	MSH2
BA3068	0.0234066330209084	0.06212641815235
BA3070	0.0086355443403028	0.0110437601296596
BA3071	0.0194971160778659	0.0312998379254457
BA3072	0.021346431146359	0.0274910858995137
BA3075	0.0129073540014419	0.0062042139384116
BA3076	0.0033759913482335	0.0008006482982171
BA3077	0.0144196106705118	0.0164213938411669
BA2040	0.0086806056236481	0.0103047001620745
BA2160	0.0166672674837779	0.0334586709886547
BA2303	0.0109228550829127	0.0157957860615883
BA2353	0.0162563085796683	0.0553063209076175
BA2516	0.0162851478010093	0.0420064829821718
BA2590	0.0327685652487382	0.0342820097244732
BA2647	0.0120223503965392	0.0126774716369529
BA2891	0.009543979812545	0.0054781199351701
BA2924	0.0133219178082191	0.0152739059967585
BA2971	0.0093204758471521	0.0077698541329011
BA3036	0.0145259552992069	0.0244149108589951
BA3059	0.015571377072819	0.0035105348460291
BA3073	0.0136878154289834	0.0360129659643436
BA3078	0.0171070656092285	0.0550178282009724
BA3079	0.0097873107426099	0.0125186385737439
BA3083	0.0143294881038211	0.0419448946515397
BA3084	0.0100558759913482	0.0342949756888168
BA3085	0.0095872386445565	0.0183695299837925
BA3087	0.0460724585436193	0.0994100486223662
BA3089	0.0248864455659697	0.0430729335494327
BA3094	0.0194214131218457	0.0151377633711507
BA3095	0.0163680605623648	0.0351539708265802
BA3098	0.0141834895457822	0.0303403565640194
BA3099	0.0234228550829127	0.0856564019448946
BA3103	0.0260598413842826	0.0086936790923824
BA3108	0.0228857245854361	0.0586839546191248
BA3109	0.0128082191780821	0.003095623987034
BA3110	0.0175684931506849	0.0107811993517017
BA3114	0.0120421773612112	0.0222982171799027
BA3116	0.0108183129055515	0.008353322528363
BA3117	0.030697548666186	0.093708265802269
BA3118	0.0119214131218457	0.0074878444084278
BA3119	0.0342880317231434	0.068158833063209
BA3123	0.0154091564527757	0.0275040518638573
BA3124	0.0086968276856524	0.0185348460291734
BA3126	0.0155641672674837	0.0114359805510534
BA3128	0.0190338860850757	0.0154327390599675
BA3130	0.0098792357606344	0.0094716369529983
BA3133	0.0151586157173756	0.0701620745542949
BA3135	0.0262274693583273	0.0152965964343598
BA3136	0.015542537851478	0.0378184764991896
BA3137	0.0138572458543619	0.0259448946515397
BA3138	0.0158543619322278	0.0157017828200972
BA3139	0.0150522710886806	0.1699319286871961
BA3141	0.0224477289113193	0.0476823338735818
BA3142	0.0263806777217015	0.0360129659643436
BA3145	0.0116618601297764	0.0342820097244732
BA3146	0.0169232155731795	0.0376661264181523
BA3149	0.0144826964671953	0.0052382495948136
BA3152	0.0138248017303532	0.0420259319286872
BA3153	0.0316888968997837	0.007290113452188
BA3154	0.0201856524873828	0.0415980551053484
BA3156	0.0050630857966834	0.0457504051863857
BA3157	0.0243006488824801	0.0557374392220421
BA3158	0.015192862292718	0.0320907617504051
BA3162	0.0246665465032444	0.0111183144246353
BA3163	0.0108471521268925	0.0177050243111831
BA3164	0.0192736121124729	0.0783338735818476
BA3167	0.0217844268204758	0.0056564019448946
BA3169	0.0142862292718096	0.003030794165316
BA3171	0.0217898341744772	0.0384051863857374
BA3173	0.0176514059120403	0.0204246353322528
BA3174	0.0074242970439798	0.0055299837925445
BA3175	0.0070782263878875	0.0145348460291734
BA3176	0.0175648882480173	0.0458022690437601
BA3177	0.0181578947368421	0.0656077795786061
BA3178	0.018866258111031	0.0260453808752025
BA3180	0.0314023071377072	0.0280194489465153
BA3181	0.0079632299927901	0.0135429497568881
BA3182	0.0166888968997837	0.0372706645056726
BA3183	0.0248089401586157	0.0370567260940032
BA3185	0.0126496034607065	0.0094262560777957
BA3186	0.0253749098774333	0.0618541329011345
BA3187	0.0107930785868781	0.0169627228525121
BA3189	0.0150558759913482	0.1005445705024311
BA3190	0.0103731074260994	0.0170113452188006
BA3191	0.0097116077865897	0.0167196110210696
BA3192	0.016888968997837	0.0235072933549432
BA3194	0.0324909877433309	0.0595688816855753
BA3195	0.0149477289113193	0.021643435980551
BA3197	0.0242429704397981	0.0290729335494327
BA3199	0.025270367700072	0.1205834683954619
BA3200	0.0230785868781542	0.0416499189627228
BA3202	0.0192880317231434	0.0312706645056726
BA3203	0.0158597692862292	0.0061847649918962
BA3206	0.0162743330930064	0.0350826580226904
BA3207	0.0133020908435472	0.0225867098865478
BA3208	0.0090915645277577	0.0248103727714748
BA3210	0.0217123287671232	0.0078800648298217
BA3211	0.0179812545061283	0.0323273905996758
BA3212	0.0332281903388608	0.0707163695299838
BA3213	0.0166149963950973	0.0394262560777957
BA3214	0.009592645998558	0.0190275526742301
BA3216	0.0157137707281903	0.0143176661264181
BA3217	0.0261878154289834	0.0224927066450567
BA3219	0.0107354001441961	0.0132674230145867
BA3221	0.0088698630136986	0.0119902755267423
BA3222	0.0215771449170872	0.0711799027552674
BA3225	0.0116240086517664	0.0099643435980551
BA3226	0.0166204037490987	0.0393614262560777
BA3227	0.0285291997116077	0.0466742301458671
BA3228	0.0207173756308579	0.0661361426256077
BA3229	0.0180821917808219	0.0396596434359805
BA3230	0.0169899062725306	0.0443987034035656
BA3232	0.0152343186733958	0.0459481361426256
BA3234	0.0154217736121124	0.0212803889789303
BA3235	0.0098558038932948	0.01535170178282
BA3237	0.013042537851478	0.0297828200972447
BA3240	0.0435886806056236	0.0819902755267423
BA3242	0.0128731074260994	0.0240064829821718
BA3243	0.0143330930064888	0.0345445705024311
BA3245	0.0212076423936553	0.0065445705024311
BA3249	0.0218637346791636	0.0170502431118314
BA3250	0.0191041816870944	0.0394716369529983
BA3251	0.0130353280461427	0.019996758508914
BA3255	0.0108309300648882	0.0385056726094003
BA3258	0.0105461427541456	0.019481361426256
BA3260	0.0103064167267483	0.0077147487844408
BA3261	0.0220511896178803	0.0341296596434359
BA3264	0.029127613554434	0.0592414910858995
BA3266	0.0226856524873828	0.0601231766612641
BA3268	0.0360526315789473	0.063870340356564
BA3269	0.0187328767123287	0.0055915721231766
BA3270	0.0144881038211968	0.0414132901134521
BA3271	0.02060021629416	0.0461037277147487
BA3273	0.0321178803172314	0.0031539708265802
BA3275	0.028923936553713	0.026482982171799
BA3277	0.0209318673395818	0.0083695299837925
BA3280	0.020474044700793	0.0091766612641815
BA3283	0.0126387887527036	0.0109529983792544
BA3285	0.0137274693583273	0.1556466774716369
BA3286	0.0178496755587599	0.0491085899513776
BA3289	0.00443763518385	0.0030534846029173
BA3290	0.012072819033886	0.0364602917341977
BA3293	0.0246773612112472	0.0682074554294975
BA3295	0.0183255227108868	0.0519319286871961
BA3296	0.0086697909156452	0.0289951377633711
