	ABL1	WRN
BA2418	0.0077685652487382	1.6753132549202816
BA2420	0.0105136986301369	2.304518727777641
BA2421	0.0181596971881759	1.4774586817829969
BA2423	0.0107894736842105	0.8921538686882767
BA2425	0.0087941600576784	2.1259762153909474
BA2426	0.0100558759913482	1.0580320842568716
BA2427	0.0086571737563085	0.4501407609393465
BA2429	0.0106452775775054	2.0527143942492634
BA2440	0.01405010814708	3.351151363524744
BA2441	0.0184354722422494	3.6107920508491023
BA2442	0.0116095890410958	4.453284957537657
BA2446	0.0115392934390771	1.869597940764324
BA2449	0.0213698630136986	3.4141510734888088
BA2450	0.0162040374909877	2.841285947345243
BA2452	0.0252541456380677	2.514920417590074
BA2454	0.0121611391492429	1.948592753596774
BA2455	0.0087148521989906	0.7380505395807718
BA2456	0.0047837058399423	1.954422447044232
BA2459	0.0067934390771449	0.0577424339474465
BA2461	0.0103262436914203	1.6702614988581246
BA2463	0.0140356885364095	2.4527939384054083
BA2464	0.0198936553713049	3.723669786872114
BA2469	0.0165843547224224	1.920126737435068
BA2470	0.0112599134823359	1.71235657444372
BA2472	0.0163428262436914	2.768215020324478
BA2473	0.0219412400865176	4.716088563305515
BA2474	0.0123521989906272	2.2380824099369203
BA2477	0.025086517664023	4.592004990871772
BA2479	0.0077253064167267	0.9256885261093222
BA2480	0.023895097332372	1.9848958008665727
BA2481	0.0052072819033886	1.8892040205095333
BA2482	0.0118006488824801	1.7596540848305875
BA2483	0.0151604181687094	2.339759090804105
BA2485	0.0216672674837779	4.341604440553271
BA2488	0.0136697909156452	3.9959858649550544
BA2489	0.0131038211968276	3.357537931495954
BA2492	0.007577505407354	1.2605227923720637
BA2494	0.0152487382840663	3.4363356058021104
BA2496	0.0059769286229271	1.016715356755373
BA2497	0.0092682047584715	1.1769822593363173
BA2499	0.0128262436914203	2.940103500224704
BA2500	0.0246304974765681	3.895218727394901
BA2501	0.0150558759913482	2.08389204206671
BA2502	0.0097837058399423	0.8394094141451336
BA2505	0.0148648161499639	0.7230000313627833
BA2507	0.0108904109589041	3.235986192012541
BA2510	0.016472602739726	1.7716470149255306
BA2511	0.0059480894015861	1.6193551985067138
BA2512	0.0125036049026676	1.3608128873179206
BA2514	0.0112743330930064	2.7558135326126694
BA2515	0.0118655371304974	2.008500798480517
BA2520	0.0036265320836337	1.94595068113286
BA2521	0.0162959625090122	3.055129610786099
BA2523	0.0194394376351838	3.3323073407370445
BA2524	0.0125360490266762	0.2938523501070743
BA2525	0.0119700793078586	3.347647294535823
BA2526	0.0263968997837058	3.763540081044441
BA2528	0.0154992790194664	1.7925861013476307
BA2532	0.0165176640230713	0.5852122846056909
BA2534	0.0232516222062004	2.838752592003036
BA2538	0.012586517664023	1.0335152746306873
BA2539	0.0068961788031723	2.2110120824981334
BA2540	0.0125937274693583	2.125785197666362
BA2541	0.0059012256669069	1.8182555655562505
BA2545	0.0118186733958183	2.5668267890752503
BA2546	0.0096431146359048	1.672066872052982
BA2552	0.0384967555875991	6.115453460479183
BA2559	0.014059120403749	1.4278599580819948
BA2561	0.0080064888248017	1.7730601070347884
BA2563	0.0161067051189617	3.230643330884574
BA2564	0.0097710886806056	1.4812283947427032
BA2567	0.0041636625811103	1.426301854312132
BA2570	0.0145692141312184	3.1115909548919114
BA2575	0.0071935832732516	0.356702661611038
BA2577	0.0213626532083633	5.165668610084006
BA2579	0.0098648161499639	2.181544103351591
BA2583	0.0164635904830569	1.562199408005484
BA2584	0.0166005767844268	3.043352517186332
BA2587	0.0186751982696467	1.5779151515018386
BA2588	0.0140032444124008	1.8927676474508668
BA2589	0.0179704397981254	3.1616676086241733
BA2592	0.0183543619322278	6.410379807585013
BA2593	0.0048125450612833	1.2861672438466192
BA2594	0.0085021629416005	1.4761796818272908
BA2595	0.0101045421773612	2.186736898710992
BA2597	0.0188248017303532	5.840293347181981
BA2600	0.011598774333093	1.8987059585977744
BA2603	0.0146557317952415	4.213301538448299
BA2618	0.0207354001441961	2.718260556777823
BA2619	0.0106759192501802	2.392280490627442
BA2620	0.0146971881759192	0.8841006360538101
BA2621	0.009030281182408	1.4267614015855072
BA2622	0.0153731074260994	1.4537615773306465
BA2623	0.0129217736121124	3.5071478200544832
BA2629	0.0102992069214131	3.716154993663018
BA2631	0.0144736842105263	3.495028504081009
BA2634	0.0064221341023792	1.696902647762517
BA2636	0.008720259552992	1.493448098005723
BA2639	0.0137959625090122	2.2000162589446988
BA2644	0.0111986301369863	1.7138474091106624
BA2645	0.0217844268204758	2.2928460814836207
BA2646	0.0225540735400144	2.6846546248118943
BA2649	0.0211121124729632	2.39071622004165
BA2651	0.007761355443403	1.7161140707279248
BA2653	0.0130948089401586	4.457251843121231
BA2655	0.0299783705839942	10.498554353295544
BA2656	0.0079307858687815	2.9588154953222725
BA2657	0.0115537130497476	1.294133520920335
BA2658	0.0126622206200432	2.94470467736965
BA2659	0.0140519105984138	2.0690218415013586
BA2660	0.0080857966834895	1.2784929009120294
BA2662	0.0143330930064888	1.9501768807055735
BA2663	0.0116925018024513	1.0056430559033045
BA2667	0.0136445565969718	3.6846480701298288
BA2670	0.0059354722422494	0.6434061582121556
BA2674	0.0104379956741167	3.062275626528196
BA2675	0.0151568132660418	1.9279215692071352
BA2676	0.0147981254506128	3.979687276187933
BA2677	0.0095962509012256	2.214232883860212
BA2681	0.0056380677721701	1.9895867675035888
BA2682	0.012732516222062	1.399529843853121
BA2685	0.0221935832732516	5.656468360854538
BA2688	0.0081380677721701	3.611441909057543
BA2691	0.0082858687815428	1.8417772370522607
BA2694	0.0088482335976928	2.3207100852941798
BA2695	0.0070007209805335	1.0836891946100724
BA2697	0.0056218457101658	0.5226659604342084
BA2701	0.009388968997837	0.3728351118815082
BA2704	0.0232498197548666	3.805645703905276
BA2705	0.0289185291997116	2.6480830213276687
BA2707	0.0052000720980533	1.8186887416443245
BA2709	0.008352559480894	0.5170937541122997
BA2712	0.0131182408074981	1.3200157363186062
BA2714	0.0148071377072819	2.080929271089178
BA2715	0.0302505407354001	0.6615581820490823
BA2718	0.0331092285508291	5.00611274570003
BA2720	0.0045331651045421	5.521354666977374
BA2721	0.0158417447728911	2.461904686805897
BA2722	0.0155623648161499	3.761675355274196
BA2723	0.0153586878154289	4.594540063385263
BA2724	0.008516582552271	0.4974604548636419
BA2726	0.008866258111031	1.1085762017327627
BA2727	0.0105082912761355	1.540995197930649
BA2728	0.0145583994232155	2.432318528993432
BA2731	0.0071449170872386	0.7419374051028294
BA2733	0.006016582552271	0.9813713287880964
BA2735	0.0094772891131939	2.925062359258453
BA2737	0.0095133381398702	1.491409506059837
BA2742	0.0109138428262436	1.870274107320933
BA2744	0.0048918529199711	1.553352520341105
BA2746	0.0107534246575342	0.2329353362543232
BA2747	0.0102829848594087	3.060740469293105
BA2748	0.0250684931506849	2.852402270483479
BA2751	0.0057804614275414	2.935638021130815
BA2756	0.015416366258111	1.2741129410465932
BA2758	0.0097909156452775	1.4895791968884626
BA2760	0.0199783705839942	2.811110762344686
BA2762	0.0134895457822638	3.5833398882037653
BA2764	0.0110994953136265	1.3921466320418228
BA2765	0.0068673395818312	1.518044508967736
BA2769	0.0132498197548666	1.2543881101039198
BA2772	0.0075180245133381	0.7238692334664933
BA2775	0.0131074260994953	4.173769961021056
