	SRSF2	IDH2
BA2953	9.20696376307392	9.03786515454843
BA2481	9.8155160837716	8.41135949860071
BA2731	8.78108213178214	7.72809482559201
BA2294	9.60929418124753	8.69249597847146
BA2418	9.45909303825332	7.83704881770087
BA2816	9.36916799017741	8.27244095196937
BA2656	9.94905102299885	8.50412364911741
BA2814	9.10713869224013	8.7332018546727
BA2631	9.26745559419095	8.03722226484621
BA2023	9.01306871894599	7.84567146798846
BA2375	9.27156918109996	7.84127876561754
BA2485	9.67842749251503	8.52886682883828
BA2455	8.8589671548512	7.18644077892568
BA2025	9.09600320401444	8.672544374331
BA2636	9.04860912314158	8.25554427681065
BA2325	8.45209623715645	7.05796014084047
BA2169	9.50601427714714	8.85577669200061
BA2156	9.38675693832204	8.78108213178214
BA2511	9.36916799017741	7.46784096415085
BA2939	9.13342062895717	7.72545959564587
BA2168	9.73079295605488	8.29820901257083
BA2505	9.39118419839355	8.14705635633251
BA2860	8.71271331389775	8.42321613548815
BA2707	9.20696376307392	8.66689198102969
BA2871	8.99211218550823	7.80682500789732
BA2655	9.60422004710875	8.7420670822246
BA2227	9.59916222255831	8.0301567645062
BA2125	9.41800548205558	8.3695120975799
BA2523	9.53000194332933	8.58992566833602
BA2603	9.12586826213153	7.97230357086309
BA2808	9.17948259034573	8.20213208675208
BA2282	9.02364943472175	7.09119041085949
BA2482	8.91090509269608	8.43037965011906
BA2812	9.70356008854553	8.25764420926654
BA2822	9.31672506964559	9.45324250904435
BA2594	9.22287720595147	8.40194775982719
BA2747	9.47769688223901	8.55813210635661
BA2561	9.93012293296997	8.07789379739417
BA2567	10.0007468429699	6.56478809528508
BA2906	9.91143332054624	8.95099667095566
BA2956	9.90525526471174	7.83985748399556
BA2474	9.00955709168753	7.82988769642495
BA2737	9.80971908397822	8.0301567645062
BA2110	8.73025810259064	7.17595663951225
BA2992	9.14481502348153	8.37180321609369
BA2220	9.40901547409309	8.79022656584331
BA2772	8.71853926395486	8.22445433533228
BA2935	9.17171491689544	8.03369173116136
BA2260	9.12964008242639	8.23267071257109
BA2676	9.23089240757758	8.5555137585582
BA2948	8.6697155276332	7.3014086607396
BA2524	8.98864564355709	8.30037965468589
BA2811	9.24704173883127	8.49156043324924
BA2540	9.04501990946176	7.64636707538027
BA2928	9.36916799017741	9.16398396797258
BA2302	9.39562360946183	8.06706072393759
BA2595	8.68106286594684	8.86857724833819
BA2792	9.54457000922792	8.38795127420314
BA2651	8.92748837970555	7.83268389248944
BA2619	8.7332018546727	8.57129520837751
BA3013	9.50601427714714	9.13342062895717
BA2405	8.70980864868103	8.57394218930808
BA2735	8.59798330037588	8.01965582601105
BA2856	8.92415796681604	6.83661488155882
BA2377	7.83840005803793	8.70296361717243
BA2499	8.81487669872437	8.30909856685695
BA2463	9.52684328251404	8.46370355203629
BA3023	9.00605305286098	8.57129520837751
BA2095	9.61438474364243	9.33883912107995
BA2901	8.45209623715645	7.69288267465993
BA2275	8.70401585675217	8.24717893447311
BA2387	9.30065851731011	7.88494695067266
BA2962	9.36480042798147	8.59529250724368
BA2195	8.97142354261209	8.20012237793382
BA2688	9.00264729477778	7.81385914418798
BA2787	8.94424486652991	6.53792906948021
BA2420	9.4000752436972	8.65006116973985
BA2756	8.61423212805534	8.77804587995587
BA2122	8.73025810259064	7.22786001580346
BA2053	8.71562351354988	8.13938594647296
BA2080	9.34313727945847	8.7420670822246
BA2081	9.50601427714714	8.62242404966029
BA2354	9.03608369232641	8.03197078783115
BA3273	9.00443312215534	8.71530617987172
BA2893	9.85077214115986	7.97069985635942
BA2044	9.3735473533766	8.60067902691643
BA2489	9.57411368730524	8.3311533449718
BA2309	9.39562360946183	8.77501554362266
BA2720	8.46249696810185	7.72941398094
BA2908	8.66493693752935	8.46065657230778
BA2054	9.3217592552912	7.90191887122195
BA2872	9.13720994130471	8.7420670822246
BA2526	9.31328611186612	7.97556074370465
BA2041	9.88079564639631	9.11460476788528
BA2464	8.85577669200061	8.03197078783115
BA2902	10.0680496747685	7.84883391972247
BA2541	9.04860912314158	8.09989277486394
BA2143	9.0307417478067	7.95296500400789
BA2094	9.45909303825332	8.51679913189176
BA2769	8.97485330936457	8.45696872743274
BA2843	9.29229417829056	9.00955709168753
BA2592	9.86871412745455	8.77804587995587
BA2497	8.61423212805534	8.52190108216259
BA2718	9.30906602396076	9.77539354132974
BA2575	8.55813210635661	8.0044307958278
BA2096	10.0958725482412	8.90103696609653
BA2593	10.111511463709	7.29348678773891
BA2791	9.61438474364243	7.98067391429632
BA2620	8.8717935877338	7.72809482559201
BA2629	9.55435683089665	8.34906675857089
BA2870	9.53484314535953	8.60608533344799
BA2423	8.69824500910271	7.46260985261637
BA2682	9.51078302100883	8.11478606741055
BA2276	9.1410080593907	8.5872495962732
BA2348	8.38563253120242	7.57949702449786
BA2709	8.68676863894814	8.36722488709977
BA2789	9.09600320401444	8.77501554362266
BA2694	9.42251934116338	7.95452812467512
BA2538	9.00955709168753	8.78108213178214
BA2583	9.67679810675791	8.68676863894814
BA2415	8.94424486652991	7.4333053034535
BA2722	8.95099667095566	8.55813210635661
BA2806	9.66622107740225	8.20012237793382
BA2221	9.47769688223901	8.33560901482561
BA3025	9.50125973784097	9.00255657247606
BA2514	9.49819442110274	8.09800077099819
BA2520	9.53000194332933	8.96458579397726
BA2441	9.62461563502098	8.31347995218337
BA2153	9.11460476788528	7.85777881958234
BA2479	9.67313133431446	7.08297551023298
BA2281	9.64527993925034	8.48906113697349
BA2657	8.99211218550823	7.76200686781066
BA2932	9.47769688223901	8.48906113697349
BA2123	9.82717700787936	9.3735473533766
BA2844	9.66095938066438	8.96800104667789
BA2660	9.16784487350203	8.65565049707964
BA2836	9.14481502348153	8.06147774301482
BA3027	9.29647098090766	7.12040364606583
BA2714	8.89449191470128	7.85633367820174
BA2139	8.42559982560594	6.79931174111644
BA2251	9.3260124319477	9.4000752436972
BA2952	8.99211218550823	7.71347289714959
BA2440	9.83892848550566	7.89883083701412
BA2036	9.65571538111022	7.88793681406652
BA2828	9.06304565250042	8.0095286113404
BA2292	9.94271473100152	9.64008823387741
BA2410	9.64527993925034	8.30255392241405
BA2051	8.88472441482659	7.5032888272442
BA2532	8.94424486652991	7.76614073791854
BA2986	9.67150060698144	8.4424022836884
BA2494	9.52036350053221	8.41135949860071
BA2515	9.48238177689826	8.77804587995587
BA2748	9.45909303825332	8.85577669200061
BA2970	9.11835064360706	8.42798766039968
BA2622	9.01306871894599	7.29431703031285
BA2839	9.29229417829056	8.62516478231551
BA2052	9.55435683089665	8.74800571415782
BA3011	9.07750677038397	7.85205086731265
BA2868	9.47769688223901	8.84624370479657
BA2510	8.99211218550823	8.79942491234482
BA2065	9.09600320401444	8.24509615455004
BA2691	8.86536741111737	7.21224786715344
BA2374	9.67679810675791	9.14863087419242
BA2804	9.08494318011795	8.83362186336888
BA2670	8.28526081080175	6.96289154217268
BA2675	9.13342062895717	8.34456564828853
BA2589	9.03786515454843	7.41008797800013
BA2031	8.60608533344799	7.68134464101013
BA2198	9.07395764638915	8.64171611871059
BA2066	8.90103696609653	7.64377441186557
BA2344	9.43613726309062	8.97142354261209
BA2459	8.31312330931764	8.80432724529814
BA2229	9.38675693832204	7.46065818949753
BA2559	8.86857724833819	7.72417589543797
BA2093	9.22287720595147	8.51679913189176
BA2000	9.58408544068247	9.25517667754352
BA2425	9.50768698561149	8.29571260021178
BA2905	9.16784487350203	8.42798766039968
BA2304	8.61695773628636	7.59101188148724
BA2976	8.97485330936457	8.13938594647296
BA2386	8.79328666582968	8.05626383418968
BA2035	9.22287720595147	8.904319577833
BA2760	8.49657233882556	7.83268389248944
BA2201	9.08494318011795	7.88494695067266
BA2355	9.52517542791568	7.42415546195164
BA2113	9.44407804044761	9.00613487905274
BA2155	9.88687313292775	9.23089240757758
BA2955	9.09600320401444	7.60765864505298
BA2502	9.14863087419242	7.56321071069528
BA2322	9.160132157513	8.41608983118813
BA2376	8.61423212805534	6.9944372976249
BA2020	9.83892848550566	8.87824586229709
BA2226	8.93417001363455	7.35863482899504
BA2200	9.73079295605488	7.94145634611773
BA2121	8.92415796681604	8.45696872743274
BA2944	9.2389471182711	8.7420670822246
BA2033	9.53484314535953	6.87847286019697
BA2867	9.30065851731011	8.68391306436784
BA2089	8.18416035809344	7.5725144548201
BA2224	9.12964008242639	8.09804401257278
BA2046	9.1872873383188	9.16784487350203
BA2972	9.44070228005406	8.54249270039127
BA2978	8.40194775982719	7.48490734822992
BA2829	8.97485330936457	7.62925234894777
BA2851	9.2592593958878	7.99068122497693
BA2587	9.02364943472175	8.42083657982967
BA2461	9.21490111990201	7.51191595859432
BA2695	9.0468018581655	7.10693286579065
BA2623	9.3217592552912	8.50918028997297
BA2024	9.17171491689544	7.248181873002
BA2426	9.0307417478067	8.38795127420314
BA2271	9.12964008242639	8.0301567645062
BA3004	9.80971908397822	8.34007975821985
BA2579	8.85577669200061	7.81538872947805
BA3010	8.87824586229709	8.03884116383771
BA2662	9.06304565250042	8.43758065182973
BA2674	9.25517667754352	7.58991392876001
BA2280	9.22287720595147	7.90803356905227
BA2512	8.54249270039127	7.00146186913291
BA2658	9.30065851731011	7.49358396361658
BA2394	9.26335235036244	7.93502206043898
BA2950	9.31751716888528	7.67625068419832
BA2981	8.89449191470128	8.20818067427413
BA2934	9.3260124319477	6.47279065497325
BA2539	9.11835064360706	7.49256176412129
BA2249	9.22687989289351	7.74263536016322
BA2034	8.99390471507907	7.96905854853838
BA2109	8.65285322774346	7.73332620572976
BA2242	9.45909303825332	7.66613976188412
BA2277	9.2389471182711	7.81538872947805
BA2727	8.92415796681604	7.94145634611773
BA2132	9.8991027074875	8.60067902691643
BA2618	8.70690950167434	7.70961368830257
BA2521	9.09970659968869	8.13747585819058
BA2846	9.30906602396076	8.63341745058943
BA2885	8.57925061313916	7.45866975783138
BA2639	9.4270458724936	8.73910632748104
BA2775	9.44987135785787	8.11853831041796
BA2402	8.84307877151568	7.68775219309565
BA2097	9.28812805203208	7.9003747386446
BA2786	9.42251934116338	8.7332018546727
BA2399	9.63491369950168	8.31787605128572
BA2850	9.89297540900361	7.5552619353094
BA2174	9.04860912314158	8.11104544817006
BA2004	8.48407580140491	7.17275321082541
BA3001	9.67679810675791	8.23061160269424
BA2311	8.78412431760784	7.9609725092348
BA2483	8.63525880753156	8.00271116464237
BA3040	9.43158515365849	9.05581138653334
BA2837	9.0271917203024	8.37639721534742
BA2724	8.88472441482659	7.66369633945432
BA2911	8.99558616821901	7.8210975174081
BA2256	9.27569316532541	8.7420670822246
BA2821	9.34313727945847	8.41372261793503
BA2233	9.65571538111022	8.74800571415782
BA2744	9.14863087419242	8.3972661940189
BA2880	9.160132157513	8.3311533449718
BA2621	8.9076089453561	7.28438406463884
BA3002	8.69720423583871	8.55997698305646
BA2501	9.40901547409309	8.34681429629083
BA2993	9.35176787188011	7.77713213848426
BA2301	9.0307417478067	7.75780436658957
BA2852	9.3561004357089	7.53734841909383
BA2133	9.2389471182711	6.96975356458038
BA2866	9.8991027074875	8.99906762077278
BA2212	9.33027676031699	8.64171611871059
BA2685	9.26745559419095	9.08862153045619
BA2273	9.98114720830101	8.71853926395486
BA2477	9.26335235036244	8.48407580140491
BA2659	8.52958832512444	8.15090969693391
BA2124	9.87632246618632	8.70296361717243
BA2363	8.26607857536642	7.80235955590607
BA2369	9.25110414260315	8.62242404966029
BA2534	9.34313727945847	8.74800571415782
BA2400	9.43613726309062	8.09804401257278
BA2762	9.34313727945847	8.16840116234166
BA2312	9.53484314535953	7.54970729199318
BA2813	9.78106105276028	8.04060780611373
BA2211	9.85831326849695	8.61335419813792
BA2171	9.64008823387741	8.29387857030758
BA2746	8.98518651350313	7.28712238553665
BA2798	9.27569316532541	8.39493145233583
BA2809	9.39118419839355	7.88191833711993
BA2288	9.98087822775469	8.17565360284926
BA2801	8.83362186336888	7.5932544466496
BA3030	8.61063875058243	8.02685700006077
BA2588	9.60929418124753	7.83407017601998
BA2296	9.36916799017741	8.64449262965366
BA2300	9.88687313292775	8.34232080533324
BA2903	8.3926007250059	7.15557221270197
BA2473	9.93797001113285	9.20081280674415
BA2545	9.17171491689544	8.10545619155905
BA2840	9.22062772367926	7.36527517561591
BA2528	9.30485684547982	7.81249915728454
BA2646	8.95099667095566	8.27244095196937
BA3407	9.38234175781362	8.23267071257109
BA2240	9.28812805203208	8.01121552663761
BA2926	9.26745559419095	8.34456564828853
BA2272	8.97485330936457	7.33250978911574
BA2306	8.7420670822246	8.34906675857089
BA2765	8.55029123602985	7.00642277827321
BA2904	9.13720994130471	8.01121552663761
BA2883	9.01306871894599	8.52445890903765
BA2726	8.54249270039127	6.93827202821145
BA2234	8.97142354261209	8.2960419873451
BA2022	9.75851596885508	8.66407371953991
BA2228	9.25517667754352	8.79022656584331
BA2037	9.23089240757758	8.46185834013681
BA2184	9.45447558148811	9.1872873383188
BA3009	9.76974697360105	8.07064998624987
BA2842	8.61968837224666	7.21053357648558
BA2442	8.9076089453561	8.01616932095142
BA2882	8.5607551950315	7.51299557490928
BA2758	8.76897254396233	6.90161368403515
BA2705	9.20696376307392	7.53303259081949
BA2663	8.62516478231551	7.25790347094091
BA2570	8.79022656584331	9.21888429779212
BA2764	8.18813169577028	8.04060780611373
BA2209	8.67821802831458	8.22240857358487
BA2989	9.10341841676742	8.68676863894814
BA2855	8.81487669872437	7.77444024847
BA2261	8.53400537696188	7.99739906746641
BA2721	8.97829037472744	7.80956394588893
BA2930	8.43517613550052	6.82612058067876
BA2728	8.5373170330564	8.15671254170946
BA2715	9.56420444046175	8.06884590575294
BA2469	8.35811493599106	7.12664090320603
BA2269	8.18416035809344	6.99377561399407
BA2098	9.14863087419242	7.65632337592004
BA2778	8.52190108216259	6.68355614720783
BA2951	9.14863087419242	8.49908497066643
BA2163	9.36044459889599	8.23473317956582
BA2379	8.65845299235754	7.06166102601644
BA2817	8.68189146093676	6.97794904447586
BA3153	9.47302564786274	9.30065851731011
BA2820	8.86216405394702	7.60280427832536
BA2723	9.09600320401444	7.51299557490928
BA2704	9.58408544068247	9.01658796485945
BA2088	9.4917929010063	8.46430959418229
BA2116	8.77199110438686	7.1940059259717
BA2584	10.0475291689068	8.98864564355709
BA3079	10.0007468429699	7.71867822819813
BA2417	9.65571538111022	8.95099667095566
BA2361	9.1755941413251	8.13747585819058
BA2450	9.24704173883127	8.1017443875296
BA2492	8.19611264417946	7.47524977931761
BA2552	9.00955709168753	9.0307417478067
BA2472	8.68106286594684	7.93502206043898
BA2994	9.23491479941431	8.49406416345013
BA2047	9.58909503454725	8.45209623715645
BA2101	9.48238177689826	7.70330320958059
BA2082	8.77804587995587	8.94761722776196
BA2879	9.17171491689544	6.90877033903166
BA2577	9.54457000922792	9.16398396797258
BA2456	8.80250309714617	7.34929269675225
BA2175	9.59412059033195	8.4424022836884
BA2824	9.19512951707567	7.878761730409
BA2507	9.88079564639631	8.46922505155083
BA2563	9.68211371581436	8.5373170330564
BA2244	8.84624370479657	7.34929269675225
BA2470	9.76974697360105	8.26607857536642
BA2984	9.6874475749889	7.77015373984418
BA2414	9.64008823387741	8.95777690896205
BA2697	9.44696832329653	6.89968682755392
BA2079	8.68391306436784	6.39786567345431
BA2999	9.03429954865997	8.41846114844672
BA2644	9.3735473533766	7.66495366812555
BA2011	9.09600320401444	7.31127241928996
BA2217	9.69279982690398	9.00955709168753
BA2454	9.86270964606403	8.86216405394702
BA2776	9.80971908397822	8.91751782379931
BA2218	9.59916222255831	8.09619809378225
BA2135	9.94271473100152	7.95296500400789
BA2914	8.83362186336888	7.50002964161751
BA2500	9.0307417478067	8.32893113987774
BA2830	9.44987135785787	8.66407371953991
BA2406	9.4270458724936	7.8894951557827
BA3108	9.43613726309062	9.37793858616158
BA2924	9.09230819306279	7.61362919863888
BA2303	8.83676787171411	7.20465709297985
BA2160	9.55927298456459	8.32007964073217
BA2038	9.0307417478067	8.43998936441936
BA2602	8.56338303703764	7.83268389248944
BA2964	8.8717935877338	8.50160207030541
BA2898	9.44987135785787	7.92215119859177
BA3003	9.48238177689826	7.98220941306141
BA2111	9.58408544068247	8.24717893447311
BA2827	9.58909503454725	8.34681429629083
BA2912	9.55927298456459	7.99739906746641
BA2437	9.55927298456459	8.49908497066643
BA2283	9.58909503454725	7.86671215518685
BA2057	9.54457000922792	8.09619809378225
BA2633	9.58909503454725	8.50412364911741
BA3034	9.55435683089665	8.05288390011611
BA2607	9.3735473533766	8.40664550150058
BA2761	9.4270458724936	7.87281860469351
BA2795	9.54457000922792	7.96577419756633
BA2182	9.54457000922792	8.1336646480907
BA2152	9.49651930986164	8.22036612888066
BA2381	9.80971908397822	9.34313727945847
BA2931	9.53000194332933	8.21020338316209
BA2040	9.34313727945847	7.92364245319313
BA2590	9.60929418124753	9.28812805203208
BA3195	9.3561004357089	8.47910806756512
BA2516	8.94268168369866	8.32191640184945
BA2353	9.2429894144776	8.68676863894814
BA3036	9.11086746340759	8.0095286113404
BA2971	9.02543573403374	8.14502683997756
BA3410	9.47302564786274	7.98220941306141
BA3118	9.22287720595147	8.30691336971867
BA3206	9.57411368730524	8.09804401257278
BA3202	9.48238177689826	8.6279105840654
BA3217	9.4045391740165	8.27670009201677
BA3405	8.22445433533228	7.92364245319313
BA3306	9.00255657247606	8.37180321609369
BA3371	9.10341841676742	8.62516478231551
BA3413	9.58909503454725	8.81487669872437
BA3411	9.07395764638915	7.98898804212453
BA3133	9.3561004357089	8.34232080533324
BA3164	9.13342062895717	8.30255392241405
BA3451	8.52958832512444	7.51413414557592
BA3286	9.36916799017741	8.7361512573159
BA3212	9.56098320131876	8.57865830342714
BA3103	8.91751782379931	8.7361512573159
BA3271	9.1872873383188	7.97894297933459
BA3152	9.3735473533766	7.94314055717551
BA3095	9.79245962144758	8.46430959418229
BA3192	9.11086746340759	8.43998936441936
BA3251	9.40901547409309	8.42798766039968
BA3362	9.00434706477645	8.88653621315296
BA3400	9.65048894475304	8.02508710399741
BA3135	9.4000752436972	8.83676787171411
BA3408	9.63491369950168	7.02274319881886
BA3187	9.27569316532541	8.53215993801742
BA3098	9.12964008242639	8.73025810259064
BA3435	9.19120372633416	7.96744532914178
BA3261	9.54457000922792	8.66407371953991
BA3203	9.76974697360105	8.15090969693391
BA3174	8.89776108628452	7.617186143553
BA3317	9.33883912107995	8.42559982560594
BA3299	8.75098362594822	7.92868137841977
BA3221	8.78108213178214	7.07556396699123
BA3347	9.43158515365849	7.68134464101013
BA3235	8.20012237793382	6.732801148639
BA3126	8.26607857536642	7.15557221270197
BA3380	9.04143859741613	8.41608983118813
BA3089	9.2389471182711	7.89883083701412
BA3109	8.46185834013681	7.04851156959908
BA3114	9.17171491689544	7.58991392876001
BA3418	8.97829037472744	8.19611264417946
BA3245	9.56915130536806	8.05457002396872
BA3085	9.07761127342397	8.11104544817006
BA3128	9.45909303825332	8.78717245605116
BA3423	9.67679810675791	8.29820901257083
BA3173	9.98114720830101	8.84307877151568
BA3171	8.83048212173684	7.27205163282357
BA3277	9.43158515365849	8.56601564488201
BA3210	9.19120372633416	7.80094268898657
BA3157	9.56420444046175	8.51934782702254
BA3433	9.53969913371194	8.27244095196937
BA3322	9.53484314535953	8.17625565039323
BA3374	8.79328666582968	8.43758065182973
BA3450	9.60422004710875	8.52190108216259
BA3167	8.47663077360064	8.40900046313029
BA3269	9.60929418124753	7.24647814947882
BA3110	9.66259277874038	8.54953218061743
BA3156	9.2592593958878	7.51732737025111
BA3226	9.39118419839355	7.87430709609213
BA3421	8.95777690896205	7.45670028367566
BA3232	9.27569316532541	8.16840116234166
BA3289	8.61423212805534	6.86648111845466
BA3430	8.38747453651413	7.16953610700443
BA3145	9.30906602396076	8.21629115879124
BA3399	8.96117775713075	7.41107466475047
BA3449	9.09230819306279	8.19012213724112
BA3384	9.17948259034573	8.16059641320183
BA3427	9.28812805203208	7.3548407117676
BA3163	8.52958832512444	7.550843282623
BA3158	9.55927298456459	8.81487669872437
BA3436	9.61438474364243	8.18416035809344
BA3154	9.62258533258528	7.9003747386446
BA3162	8.12230223339654	8.3558471237735
BA3352	8.92264013919218	8.70008120144039
BA3084	9.31751716888528	8.8717935877338
BA3149	8.71853926395486	7.40108920011618
BA3169	8.9076089453561	8.25974759702626
BA3180	9.2109276242084	8.81487669872437
BA3255	9.41350421836705	8.01284698319857
BA3438	9.62975620855742	8.57394218930808
BA3345	8.94087956106744	7.574849932275
BA3403	8.47415784691615	7.99413751864958
BA3431	8.42559982560594	7.06807720975175
BA3181	8.03722226484621	7.3445927403943
BA3341	8.96458579397726	7.9003747386446
BA3191	8.77804587995587	7.47212920454885
BA3197	9.16398396797258	8.78412431760784
BA3448	9.38234175781362	8.37180321609369
BA3453	9.12586826213153	8.23473317956582
BA3406	9.82133532639013	7.99246857024867
BA3308	9.17948259034573	8.69824500910271
BA3186	9.40240975182614	8.55765692487222
BA3334	8.65565049707964	8.08518191159815
BA3447	9.52036350053221	8.22036612888066
BA3116	8.97485330936457	8.28956252610494
BA3280	9.53969913371194	7.69790613813162
BA3185	9.19906475607931	8.60337970015667
BA3094	8.6697155276332	7.97720455656684
BA3318	8.42559982560594	8.21629115879124
BA3216	9.40901547409309	7.72417589543797
BA3332	9.41800548205558	8.97829037472744
BA3214	9.25691151442812	8.59445024196475
BA3099	9.4045391740165	8.24926512843891
BA3141	9.39562360946183	8.30691336971867
BA3373	9.3217592552912	8.59260663428802
BA3319	8.43037965011906	7.78401208165605
BA3328	9.28812805203208	7.99915514777274
BA3339	9.732408696693	7.35673455123978
BA3240	9.08127310626888	9.43158515365849
BA3142	9.44070228005406	7.7605970351598
BA3333	9.46372381175102	8.61968837224666
BA3381	8.74800571415782	8.58992566833602
BA3290	8.8879736022598	7.82549928808227
BA3207	7.93502206043898	6.40170617544637
BA3296	8.8879736022598	7.7045927999637
BA3305	8.82110029202306	8.25554427681065
BA3434	9.27569316532541	8.25554427681065
BA3189	9.08862153045619	8.30909856685695
BA3264	9.55435683089665	8.7361512573159
BA3329	9.48406046211483	9.25691151442812
BA3417	9.23491479941431	8.12986534537924
BA3367	8.60436299215519	7.43931413643912
BA3225	8.11666073243668	7.00991256129177
BA3183	9.04143859741613	8.19411260375688
BA3222	9.08494318011795	8.79635277497105
BA3139	8.88653621315296	10.1620355969132
BA3397	9.64527993925034	9.07395764638915
BA3311	8.07971165578759	6.91793209354363
BA3422	10.0888662099127	8.37409825216549
BA3228	8.68391306436784	8.40429460371975
BA3213	9.26335235036244	8.42083657982967
BA3270	8.8717935877338	7.35764711965898
BA3415	9.34744684153524	9.74736666094391
BA3324	8.8525926437112	8.53215993801742
BA3194	9.68211371581436	8.85577669200061
BA3335	9.96822468421139	7.63878607715114
BA3199	9.4917929010063	9.50125973784097
BA3326	9.27569316532541	7.66495366812555
BA3285	8.72329447406972	9.89455064759087
BA3297	9.09230819306279	8.18217944661747
BA3227	9.11460476788528	8.58457840504288
BA3394	8.65006116973985	7.31937809888862
BA3412	8.93752128537319	8.90103696609653
BA3293	9.44239146973819	8.31751248525734
BA3250	9.21888429779212	8.3926007250059
BA3177	9.47769688223901	8.9076089453561
BA3315	8.96117775713075	7.91895915389096
BA3182	8.91751782379931	8.45453034732936
BA3260	8.43758065182973	7.54625616208849
BA3369	9.24704173883127	8.32893113987774
BA3078	9.20475662343021	8.65749029731641
BA3386	9.71984209806913	8.57129520837751
BA3445	9.4000752436972	8.04765964150367
BA3452	8.57129520837751	8.40429460371975
BA3176	9.29229417829056	8.16644533071452
BA3258	8.64449262965366	7.69023500088856
BA3295	8.76897254396233	8.38100696139026
