#Boxplots d'expressions du gène CEBPA en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23005.000, p-value = 0.02252
#Tableau des résultats :
Sample Feature  ExpressionGene
BA3270     yes        0.021277
BA3324     yes        0.017346
BA3335     yes        0.012161
BA3199     yes        0.063161
BA3326     yes        0.015558
BA3297     yes        0.050777
BA3227     yes        0.041291
BA3412     yes        0.018544
BA3250     yes        0.012700
BA3177     yes        0.017442
BA3315     yes        0.028411
BA3182     yes        0.012176
BA3369     yes        0.014892
BA3078     yes        0.006016
BA3386     yes        0.016872
BA3176     yes        0.014187
BA3258     yes        0.019319
BA3295     yes        0.010631
BA3136     yes        0.027221
BA3234     yes        0.024314
BA3087     yes        0.019702
BA3454     yes        0.031285
BA3302     yes        0.013209
BA3117     yes        0.125186
BA3266     yes        0.022491
BA3268     yes        0.015185
BA3229     yes        0.018149
BA3353     yes        0.024044
BA3312     yes        0.056205
BA3119     yes        0.043497
BA3219     yes        0.013098
BA3351     yes        0.048331
BA3357     yes        0.036376
BA3208     yes        0.014514
BA3310     yes        0.016255
BA3200     yes        0.069462
BA3146     yes        0.017982
BA3211     yes        0.015989
BA3130     yes        0.005122
BA3376     yes        0.026810
BA3137     yes        0.012153
BA3300     yes        0.000048
BA3375     yes        0.024144
BA3385     yes        0.021766
BA3416     yes        0.069568
BA3123      no        0.029588
