	STAG2	PTPN11
BA2292	0.0400065051227841	17.152450737298953
BA2294	0.0391933647747601	18.795163976802144
BA2296	0.061961294519434	22.58795543731145
BA2300	0.0894454382826475	43.71814488147894
BA2301	0.0448853472109286	17.314482693030055
BA2302	0.0378923402179216	15.142153148377648
BA2304	0.0250447227191413	12.000004837689753
BA2306	0.0469995121157911	21.901854935746787
BA2308	0.031387217433729	20.691473643918133
BA2309	0.0398438770531793	15.600943225492763
BA2311	0.0343145226866157	16.07649015451271
BA2312	0.0419580419580419	14.384739574554802
BA2316	0.0307367051553098	11.94031516572484
BA2322	0.050577329647097	19.00203463588738
BA2325	0.023581070092698	13.13339354976582
BA2329	0.0302488209464953	14.170386468930648
BA2334	0.0221174174662546	12.738862324221753
BA2339	0.0391933647747601	10.111131706915842
BA2344	0.033176126199382	17.66258635942158
BA2347	0.0538298910391933	10.673249895339008
BA2348	0.017401203447715	6.14653811673649
BA2350	0.0234184420230931	9.248559385393913
BA2354	0.0603350138233859	27.095243432620222
BA2355	0.0790372418279395	28.38735945750639
BA2357	0.0222800455358594	12.19949693229595
BA2360	0.0411449016100178	17.5735034231662
BA2361	0.0365913156610831	15.736424512490592
BA2363	0.017401203447715	7.3033212222808
BA2369	0.0426085542364612	17.51039441139099
BA2374	0.063750203285087	22.40617777937685
BA2375	0.0609855261018051	20.87206313122356
BA2376	0.0434216945844852	14.73696075905255
BA2377	0.090746462839486	56.988741119585946
BA2379	0.0629370629370629	14.2605358780457
BA2385	0.0598471296145714	15.9001120635316
BA2386	0.0591966173361522	18.71535873465833
BA2387	0.0460237436981623	18.12250880428911
BA2394	0.0660269962595544	24.469601260335928
BA2399	0.0307367051553098	16.904555001239643
BA2400	0.0611481541714099	33.63200594550555
BA2402	0.050577329647097	21.70324629391715
BA2405	0.0169133192389006	9.100792336674967
BA2406	0.0312245893641242	17.82816007822995
BA2409	0.0452106033501382	16.29375622363415
BA2410	0.0346397788258253	23.596659384354837
BA2412	0.0351276630346397	12.137813809796492
BA2413	0.0304114490161001	21.05224232672534
BA2414	0.0652138559115303	23.349309244236707
BA2415	0.0365913156610831	8.984070955203252
BA2417	0.0476500243942104	12.270477073849374
BA2418	0.0178890876565295	10.111819360859618
BA2420	0.0424459261668564	17.04322984051619
BA2421	0.0609855261018051	17.112086130843036
BA2423	0.023581070092698	14.830693302761253
BA2425	0.0367539437306879	26.81439645289756
BA2426	0.0305740770857049	14.6887218048444
BA2427	0.0248820946495365	13.203350202140005
BA2429	0.0583834769881281	13.885097753812143
BA2440	0.040982273540413	29.80936471999719
BA2441	0.094324280370792	41.50471871701896
BA2442	0.0466742559765815	21.30032633561693
BA2446	0.0367539437306879	17.23831681496286
BA2449	0.0681411611644169	27.270894277896847
BA2450	0.045373231419743	17.891294519534323
BA2452	0.0390307367051553	25.78173682741561
BA2454	0.0588713611969425	35.41917436013228
BA2455	0.0213042771182306	12.375452361398644
BA2456	0.038380224426736	14.09237807271488
BA2459	0.0372418279395023	13.594127000583486
BA2461	0.070743210278094	17.820350143922077
BA2463	0.0388681086355504	8.57460656098495
BA2464	0.0520409822735404	18.745323554263607
BA2469	0.0630996910066677	16.132452295663036
BA2470	0.042771182306066	18.268118383788824
BA2472	0.0458611156285574	12.66426899861456
BA2473	0.0565945682224751	17.639401643995793
BA2474	0.0320377297121483	12.088986615383838
BA2477	0.0683037892340217	27.90380716097536
BA2479	0.0260204911367702	9.06853194700168
BA2480	0.040982273540413	15.24397502944484
BA2481	0.0196779964221824	7.960993949896547
BA2482	0.0456984875589526	19.0233231637945
BA2483	0.0515530980647259	23.22264853955544
BA2485	0.0278093999024231	17.055978788879546
BA2488	0.0590339892665474	18.77808934875976
BA2489	0.0196779964221824	14.508873336495364
BA2492	0.0535046348999837	23.63457575454264
BA2494	0.0361034314522686	27.91420931790605
BA2496	0.0271588876240039	11.399676017741184
BA2497	0.0294356805984712	15.612483715841416
BA2499	0.0154496666124573	21.457586308448946
BA2500	0.090746462839486	23.138866635530075
BA2501	0.064563343633111	27.833890878616558
BA2502	0.0494389331598633	15.548455223976305
BA2505	0.0211416490486257	22.69831014365209
BA2507	0.0308993332249146	13.273383072831717
BA2510	0.0177264595869247	16.669318455579262
BA2511	0.0175638315173198	7.663551368635486
BA2512	0.070743210278094	18.55404802224241
BA2514	0.0276467718328183	14.1127716506682
BA2515	0.0297609367376809	13.656362083325709
BA2520	0.0138233859164091	10.18459988094212
BA2521	0.0606602699625955	22.854875728416364
BA2523	0.0346397788258253	17.466454904239125
BA2524	0.0299235648072857	15.143161519049126
BA2525	0.0369165718002927	10.739344125649188
BA2526	0.0315498455033338	16.511510597344866
BA2528	0.0237436981623028	14.604392734699395
BA2532	0.0647259717027158	27.09788474706269
BA2534	0.0528541226215644	26.77316300242771
BA2538	0.0219547893966498	19.34789198139
BA2539	0.061961294519434	15.054660968382327
BA2540	0.0273215156936087	12.01969277063214
BA2541	0.0356155472434542	16.52564398579619
BA2545	0.0630996910066677	20.94124669628399
BA2546	0.0403317612619938	18.99909180138973
BA2552	0.049764189299073	16.970131640737755
BA2559	0.0626118067978533	14.081354688308627
