ID Sample	Abundance	TotalKmers	NormalizedExpression	specimenType
BA2044	145.9655172413793	6829887820.0	21.371583412241066	Bone Marrow Aspirate
BA2046	23.517241379310345	8350758220.0	2.8161803706622397	Bone Marrow Aspirate
BA2047	191.8275862068965	9483174120.0	20.228204584194277	Peripheral Blood
BA2051	22.448275862068964	11929386420.0	1.8817628226405434	Bone Marrow Aspirate
BA2052	46.75862068965517	8977505180.0	5.208420351995293	Bone Marrow Aspirate
BA2053	40.62068965517241	7030049320.0	5.77815144761636	Peripheral Blood
BA2054	23.517241379310345	8531157040.0	2.756629759485748	Bone Marrow Aspirate
BA2063	44.58620689655172	8812339060.0	5.059520133415261	Peripheral Blood
BA2066	642.5862068965517	11825556680.0	54.33877019788228	Bone Marrow Aspirate
BA2068	59.241379310344826	7467501300.0	7.933226514516285	Bone Marrow Aspirate
BA2069	209.51724137931035	6916062160.0	30.294297033806643	Bone Marrow Aspirate
BA2072	183.1034482758621	5751398940.0	31.836332375138994	Bone Marrow Aspirate
BA2081	230.24137931034485	5850997600.0	39.35079024991308	Bone Marrow Aspirate
BA2082	83.41379310344827	9492673400.0	8.787176129271263	Bone Marrow Aspirate
BA2087	66.37931034482759	5578304760.0	11.899548913284471	Peripheral Blood
BA2089	182.7586206896552	11437437620.0	15.978982947201002	Leukapheresis
BA2093	67.44827586206897	5986453060.0	11.26681779445356	Bone Marrow Aspirate
BA2095	321.6551724137931	5860218840.0	54.8879113896356	Peripheral Blood
BA2097	225.20689655172413	14589031940.0	15.436726540727836	Peripheral Blood
BA2098	50.89655172413793	7965645520.0	6.389507491432776	Bone Marrow Aspirate
BA2101	70.37931034482759	8340797920.0	8.437958936286948	Peripheral Blood
BA2104	55.58620689655172	5411533960.0	10.271802285160513	Peripheral Blood
BA2109	22.06896551724138	8011330880.0	2.754719015829912	Peripheral Blood
BA2110	37.41379310344828	6152349560.0	6.081220310805662	Bone Marrow Aspirate
BA2113	404.6551724137931	8617071400.0	46.95970981670096	Bone Marrow Aspirate
BA2121	181.79310344827587	8579946200.0	21.18814025293957	Bone Marrow Aspirate
BA2123	161.0	7958002640.0	20.231207161298453	Bone Marrow Aspirate
BA2124	440.1724137931034	9070957280.0	48.52546431495303	Bone Marrow Aspirate
BA2125	255.27586206896552	7232958740.0	35.29342157825796	Bone Marrow Aspirate
BA2134	115.20689655172414	5670167440.0	20.318076630154	Peripheral Blood
BA2135	91.51724137931036	8731694580.0	10.481040139554487	Bone Marrow Aspirate
BA2139	149.51724137931035	6124993700.0	24.411003292837734	Peripheral Blood
BA2156	205.24137931034485	7132607020.0	28.77508584656958	Bone Marrow Aspirate
BA2162	107.96551724137932	7355165580.0	14.678869709603372	Peripheral Blood
BA2171	155.9655172413793	9344985860.0	16.689754225201074	Bone Marrow Aspirate
BA2174	282.2758620689655	10033961980.0	28.13204421459902	Bone Marrow Aspirate
BA2184	717.2758620689655	14287959700.0	50.201419735874914	Bone Marrow Aspirate
BA2195	25.655172413793103	6109572840.0	4.19917612665587	Peripheral Blood
BA2198	183.8275862068965	6639298820.0	27.687801255930896	Bone Marrow Aspirate
BA2201	107.96551724137932	4588512180.0	23.529526130925365	Bone Marrow Aspirate
BA2211	437.7241379310345	8749190660.0	50.03024336093671	Bone Marrow Aspirate
BA2212	103.48275862068964	9008421240.0	11.487335667785628	Bone Marrow Aspirate
BA2217	348.4482758620689	7588826980.0	45.91595997383892	Bone Marrow Aspirate
BA2220	320.86206896551727	5350323580.0	59.970591342349664	Bone Marrow Aspirate
BA2226	273.82758620689657	14192323180.0	19.294063609880155	Bone Marrow Aspirate
BA2227	302.13793103448273	12345120060.0	24.474280490268697	Bone Marrow Aspirate
BA2229	47.03448275862069	9053482760.0	5.195181125922936	Peripheral Blood
BA2233	39.27586206896552	7814986760.0	5.025710634596843	Bone Marrow Aspirate
BA2234	377.86206896551727	9414386800.0	40.13666285365684	Bone Marrow Aspirate
BA2235	251.1379310344828	6590221680.0	38.107660596097396	Bone Marrow Aspirate
BA2239	189.79310344827587	6142994060.0	30.89586309127505	Bone Marrow Aspirate
BA2260	63.06896551724138	6968782240.0	9.050213271873075	Peripheral Blood
BA2272	250.41379310344828	8745010260.0	28.63504852005151	Leukapheresis
