	IDH2	PTPN11
BA2709	8.36722488709977	6.80966373142259
BA2789	8.77501554362266	6.89441914208329
BA2694	7.95452812467512	6.37687982809383
BA2538	8.78108213178214	6.90492530830845
BA2583	8.68676863894814	7.47634089236666
BA2415	7.4333053034535	6.25354722820146
BA2722	8.55813210635661	7.79240622395492
BA2806	8.20012237793382	6.95550948162844
BA2221	8.33560901482561	6.65792194443728
BA3025	9.00255657247606	7.25696535562506
BA2514	8.09800077099819	6.6886775034689
BA2520	8.96458579397726	6.74670042339904
BA2441	8.31347995218337	7.29872623007905
BA2153	7.85777881958234	7.37002936753922
BA2479	7.08297551023298	6.11118909883084
BA2281	8.48906113697349	7.33529770605395
BA2657	7.76200686781066	6.83029032072815
BA2932	8.48906113697349	6.88492067829042
BA2123	9.3735473533766	7.53867754134672
BA2844	8.96800104667789	6.7316871446616
BA2660	8.65565049707964	7.15633759792086
BA2836	8.06147774301482	6.7058515766051
BA3027	7.12040364606583	6.26203648745747
BA2714	7.85633367820174	6.60106588860888
BA2139	6.79931174111644	6.47376016789819
BA2251	9.4000752436972	6.88553914900191
BA2952	7.71347289714959	7.06094242567649
BA2440	7.89883083701412	7.23974353995359
BA2036	7.88793681406652	6.96567270429015
BA2828	8.0095286113404	6.71443140013608
BA2292	9.64008823387741	6.71155130794723
BA2410	8.30255392241405	6.87847286019697
BA2051	7.5032888272442	6.75309739437635
BA2532	7.76614073791854	7.166329054571
BA2986	8.4424022836884	6.95017040445475
BA2494	8.41135949860071	7.28268371584317
BA2515	8.77804587995587	6.91918219556931
BA2748	8.85577669200061	6.92898560318184
BA2970	8.42798766039968	6.71950765088023
BA2622	7.29431703031285	6.41603346705047
BA2839	8.62516478231551	7.39444593270682
BA2052	8.74800571415782	6.83661488155882
BA3011	7.85205086731265	6.52889213798317
BA2868	8.84624370479657	6.8867637487898
BA2510	8.79942491234482	6.81145766315316
BA2065	8.24509615455004	7.08068398565122
BA2691	7.21224786715344	6.91457416198527
BA2374	9.14863087419242	6.87025397395673
BA2804	8.83362186336888	6.53989151011847
