	KRAS	PTPN11
BA2775	5.812760930604475	18.18390614086486
BA2776	4.4488934839978524	21.07864268018424
BA2778	3.240793912197436	11.051841624231852
BA2782	4.7248443208520605	14.017978111035076
BA2786	2.8206943341122037	18.56146342152403
BA2787	2.066862180946478	5.728153752635701
BA2789	4.500457340382659	23.09779193452756
BA2791	1.5544306048272218	20.34342406980938
BA2792	2.2792448121159423	11.65470263502648
BA2798	5.91550464000847	16.931625688947495
BA2801	3.8694395842404994	7.134981041288424
BA2802	4.931508671554627	21.039563120997773
BA2804	3.589438287733232	11.705154389579103
BA2806	3.401415561281073	20.0582471817414
BA2808	0.819064482576983	24.08299046294555
BA2809	5.328799203342974	25.421071006514072
BA2811	3.4074422496398213	22.694716050439283
BA2812	2.51465628861175	11.366252530998253
BA2813	1.972065667664031	13.26185634034608
BA2814	3.700862782404347	11.078194670442564
BA2816	3.515171700617542	14.79225518895096
BA2817	9.31293008506607	19.255577896687427
BA2820	4.846588130075457	17.60046886126625
BA2821	5.077237519978352	41.38697743446033
BA2822	3.126246711724653	27.94999463915676
BA2824	3.815565072493221	15.698469004065108
BA2828	5.866666273141892	16.62048013308828
BA2829	4.412533121502556	23.16697090575833
BA2830	1.6191667403234706	10.54731633196385
BA2832	2.749069369981953	21.6788491811367
BA2836	4.618965161186066	12.468306580047503
BA2837	5.744869449535215	22.898407857056828
BA2839	4.354311439221131	31.642496415707715
BA2840	4.099946945684317	20.531917229600012
BA2841	3.792521694833046	17.333596721579227
BA2842	4.233499753894433	9.895489999364507
BA2843	2.862490859764802	10.858547637453205
BA2844	2.977508842935708	17.590131498344554
BA2846	3.580528100094352	18.50294150486064
BA2850	2.921987811842809	13.43052749037221
BA2851	3.902461648473896	25.04537941152953
BA2852	4.085427724822098	9.456579436181348
BA2855	6.025173019281862	17.107630110616615
BA2856	6.161656320919922	12.066697755388164
BA2858	3.630395410097828	12.633864070958204
BA2860	2.546393016914249	14.530015277964637
BA2861	2.5337914004570834	17.408068930780058
BA2865	4.257434320541161	16.238963350670986
BA2866	2.9389008838841657	21.19259899057649
BA2867	5.641646527484107	17.232068759781303
BA2868	5.964604552568509	23.494536189676637
BA2870	3.836261463527445	23.69065911934278
BA2871	3.5250437921854045	23.15316795763132
BA2872	4.26359661627193	18.935171480130546
BA2876	7.261962142224723	13.157898270250502
BA2879	7.596005217099052	15.50509527096519
BA2880	3.159207686119105	19.49215324075317
BA2882	3.300934826843552	16.603411924717445
BA2883	11.775412944537448	28.20025393371597
BA2885	3.907464597219572	20.57041289985666
BA2887	3.146872952406261	27.307116773219036
BA2889	0.0498731079218884	0.0893690876800253
BA2893	2.336482779603907	12.4974117886675
BA2901	1.9424594081937123	8.975530107617864
BA2902	2.4312505625627203	9.87114034234456
BA2903	3.6921945453996257	5.87011599834422
