#Boxplots d'expressions du gène KRAS en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 2.856, p-value = 0.036
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2618       NonMut        5.640894
   BA2521       NonMut        6.093454
   BA2846       NonMut        5.319397
   BA2885       NonMut        6.213169
   BA2639       NonMut        6.366009
   BA2775       NonMut        6.207402
   BA2402       NonMut        6.306508
   BA2097       NonMut        6.745578
   BA2786       NonMut        6.698617
   BA2399       NonMut        5.649566
   BA2850       NonMut        6.485600
   BA2174       NonMut        5.864555
   BA2004       NonMut        6.780092
   BA3001       NonMut        5.707994
   BA2311       NonMut        6.459458
   BA2483       NonMut        6.500025
   BA3040       NonMut        5.765687
   BA2724       NonMut        6.272453
   BA2911       NonMut        6.100208
   BA2256       NonMut        5.830114
   BA2233       NonMut        5.734011
   BA2744       NonMut        5.630562
   BA2880       NonMut        6.097675
   BA2621       NonMut        5.820387
   BA2501       NonMut        6.229043
   BA2993       NonMut        6.117172
   BA2301       NonMut        6.698078
   BA2852       NonMut        6.606890
   BA2133       NonMut        7.656323
   BA2866       NonMut        5.620430
   BA2212       NonMut        5.820001
   BA2685       NonMut        6.633834
   BA2273       NonMut        6.021607
   BA2477       NonMut        6.116748
   BA2659       NonMut        5.972010
   BA2124       NonMut        5.453042
   BA2363       NonMut        5.885262
   BA2369       NonMut        6.820081
   BA2534       NonMut        5.818015
   BA2400       NonMut        5.087933
   BA2762       NonMut        6.070587
   BA2312       NonMut        6.144169
   BA2813       NonMut        6.192998
   BA2211       NonMut        5.905147
   BA2171       NonMut        6.049418
   BA2746       NonMut        6.147594
   BA2798       NonMut        7.076958
   BA2809       NonMut        6.316324
   BA2288       NonMut        6.578711
   BA3030       NonMut        5.971586
   BA2588       NonMut        5.684943
   BA2296       NonMut        5.307440
   BA2300       NonMut        6.644646
   BA2903       NonMut        6.573054
   BA2473       NonMut        6.690273
   BA2545       NonMut        6.019561
   BA2840       NonMut        5.983861
   BA2528       NonMut        5.419065
