	TP53	SF3B1
BA2143	6.514813997712446	0.7740416288409281
BA2148	0.3308884751012781	0.0754874236072144
BA2153	3.840478484261512	5.116721417047205
BA2155	3.973317728058916	0.0402624383953675
BA2156	11.453174911166562	2.5846917601475625
BA2162	3.729057553001509	5.054337551568456
BA2163	13.44292850019923	4.424902398189839
BA2168	3.962430004021511	2.459866336385243
BA2169	2.463700853323531	2.2605231584757783
BA2171	9.666398457499485	3.878938050944237
BA2172	7.090263077576619	0.1033096950979363
BA2174	7.701079162073331	4.125021798269824
BA2175	0.1872753030153418	1.6714606133319954
BA2184	17.996746811177232	10.628341810860665
BA2195	2.976163189395368	0.8517477544056531
BA2198	8.39156345831227	9.032062076788913
BA2200	15.684640945538904	5.909373552547744
BA2201	4.41294067160597	0.7405867057165145
BA2209	1.465524528992165	1.939924439760896
BA2211	12.411770235404097	3.478055240024269
BA2212	2.4205216520142714	1.9117243822809795
BA2217	11.168413297451291	1.8505187182282803
BA2218	1.038135953656088	0.084710669215247
BA2220	12.09187166983528	1.6409310910083468
BA2221	3.7294796059077866	2.243354454921604
BA2224	3.4475879150133317	2.0797450735301943
BA2226	17.966876274753428	3.1108793742900542
BA2227	8.633700414487945	4.466729377559415
BA2228	3.5815397430923976	1.4107074971754248
BA2229	2.330314829985168	2.299403410170904
BA2233	1.7360063685079294	3.843300609317525
BA2234	7.468947578959061	4.0845688398028654
BA2235	9.810041962650772	3.773219992974677
BA2236	8.041259177085172	3.873751378073389
BA2239	6.382578515078404	1.4644137048543158
BA2240	6.585321450190121	5.302351818144493
BA2242	4.786006647623127	5.217936721911253
BA2244	7.660004573789163	2.109603304943121
BA2245	11.92861108727505	3.715063303939503
BA2248	1.91740617487652	0.5876281095038024
BA2249	10.192757805463216	3.458310637890213
BA2251	17.372493996154333	12.00484402870346
BA2256	6.06297834540103	2.33433740710835
BA2260	4.670202188582755	1.5779240094218403
BA2261	0.6409563579015518	0.0481531079451538
BA2269	0.8857144743382452	0.0224406991260923
BA2271	10.088486978018516	3.761306094239691
BA2272	6.287866561641059	2.964975913177955
BA2273	2.283128458890182	3.045841981931842
BA2275	9.24833161681508	2.7853284034421044
BA2276	5.41916237255576	3.42152463196887
BA2277	11.29872493643386	6.531068769093444
BA2280	23.04153763181785	4.484736603606028
BA2281	7.825995509907861	5.114091505593648
BA2282	2.965141936513149	2.121523772811391
BA2286	11.249733388572938	2.854157120894861
BA2288	1.5644231707720302	1.2115094864671292
BA2292	10.644237576834568	3.7299817448043786
BA2294	11.157872521890058	3.163226501282653
BA2296	10.023958938840376	4.481140748242528
BA2300	1.6955819878184366	2.823341050544311
BA2301	2.229672369244879	1.4422802647725668
BA2302	0.6932662065840063	2.4450587800572063
BA2304	3.849626748040035	0.5735414547284834
BA2306	6.697941474122493	1.4378042824058233
BA2308	3.677477685235941	2.7371780782548
BA2309	8.962593496512927	5.374018728112393
BA2311	3.5025002559226284	3.3142836831548874
BA2312	3.0700888860446485	1.9396833890645215
BA2316	7.202894985944553	0.4984972271262627
BA2322	6.2764298965956735	0.7196782721354701
BA2325	4.822445763466188	0.6144736710050318
BA2329	7.235013429596921	1.1931826614417729
BA2334	3.249828856829626	1.993478439709194
BA2339	1.095189681755157	0.4699942900241933
BA2344	10.545453432640215	2.2900026002819254
BA2347	0.9072281655795223	0.8088991835723007
BA2348	0.8143839692703658	0.883377560935554
BA2350	0.7462283897940213	0.9795546142839112
BA2354	10.335238887324664	3.580583535197325
BA2355	1.258867188875383	3.44088195176249
BA2357	2.291165983872064	0.7466248340609561
BA2360	14.675759799697069	2.6603320453574324
BA2361	1.167600081701121	2.122537525413574
BA2363	2.766269235045573	1.6522726311963882
BA2369	2.387320153824702	1.1059227199253063
BA2374	8.164556113260431	2.4096833890645217
BA2375	7.940083027628458	2.100786539663423
BA2376	8.116006090143474	2.343366612380079
BA2377	12.041644274602982	0.0567111603796107
BA2379	1.1509691842235488	0.7103568696863393
BA2385	0.681149692338905	0.9035211314723832
BA2386	2.6711101841054568	2.367782567770798
BA2387	13.36294284562111	4.035369110779613
BA2394	7.151426861425691	7.593742353118285
BA2399	7.515970289289149	3.685799556279377
BA2400	14.966263952234096	10.516791943992056
BA2402	3.0127964728922945	6.407256444061246
BA2405	0.9955951337152702	0.2110564671748621
BA2406	1.1467166727417792	1.4467520730025347
BA2409	6.055486893216831	1.3682634830700355
BA2410	2.186392637290706	4.5260095176401
BA2412	3.3164095860181617	1.3753158354127988
BA2413	2.1527530898910414	3.558757620270642
BA2414	12.21088799299077	2.306433272355962
BA2415	5.46005805550539	3.756315385305518
BA2417	5.606385423972662	1.1675117582923902
BA2418	2.8365955946333994	1.5321366334104294
BA2420	9.7627346628719	3.2029681153734444
BA2421	4.069696393368326	1.154419886226261
BA2423	3.0012558965833844	3.8067645573970417
BA2425	3.610916843715792	3.107183849055916
BA2426	3.347107776277044	0.1050925076905999
BA2427	0.9531986678113124	0.1443236529855342
BA2429	5.360456181536138	4.061533740558772
BA2440	0.3890022962627702	4.515118540922507
BA2441	18.42361105107856	7.48233802600586
