	KRAS	ASXL1
BA2224	3.1364189861786773	0.0146681857020791
BA2226	4.532593424972631	0.0320421532326972
BA2227	2.636795016303624	0.0344631159213899
BA2228	7.840004887881429	0.0283395044146966
BA2229	10.085359778713071	0.04044431785816
BA2233	3.2547013461580097	0.0209342067786955
BA2234	4.264432517362912	0.0183708345200797
BA2235	5.236945518023253	0.0136713187126174
BA2236	3.942916396323784	0.015949871831387
BA2239	2.4852062107862314	0.0108231273141555
BA2240	8.12127767437851	0.0242096268869268
BA2242	5.266699574897228	0.0276274565650811
BA2244	3.2606905820924705	0.0162346909712332
BA2245	9.019949708299915	0.0193677015095414
BA2248	2.094823306896083	0.0122472230133865
BA2249	4.956301122904592	0.0249216747365422
BA2251	4.624605625284379	0.0206493876388493
BA2256	2.540386093792922	0.0166619196810025
BA2260	4.132932782016525	0.0111079464540017
BA2261	2.001472965534394	0.0123896325833095
BA2269	1.3774383646879156	0.0074052976360011
BA2271	5.602686467078136	0.0207917972087724
BA2272	3.0279527620390048	0.0146681857020791
BA2273	3.2204514382156466	0.0200797493591569
BA2275	5.176312047084844	0.0300484192537738
BA2276	2.622741387146175	0.0116775847336941
BA2277	5.25510942266259	0.0227855311876958
BA2280	6.063815269855581	0.0358872116206209
BA2281	4.6460796005338985	0.0200797493591569
BA2282	3.8083678316586047	0.0166619196810025
BA2286	3.95272350270278	0.0179436058103104
BA2288	3.865914162620388	0.0236399886072344
BA2292	4.075651001645991	0.0182284249501566
BA2294	2.3719835412868338	0.0206493876388493
BA2296	2.5047958696164496	0.0220734833380803
BA2300	6.957086353480154	0.0259185417260039
BA2301	4.0624889175161565	0.0192252919396183
BA2302	9.348772402774848	0.0226431216177727
BA2304	3.215224942617111	0.0085445741953859
BA2306	2.106117448255717	0.0178011962403873
BA2308	3.889581278532265	0.0186556536599259
BA2309	3.305697356738754	0.0149530048419253
BA2311	4.263535060623511	0.0150954144118484
BA2312	4.450112420893486	0.0183708345200797
BA2316	2.785383344332529	0.0108231273141555
BA2322	1.363252173099543	0.02022215892908
BA2325	2.2128413526127946	0.0098262603246938
BA2329	2.953980380691717	0.0123896325833095
BA2334	3.829844935813441	0.0146681857020791
BA2339	5.576285457288947	0.0153802335516946
BA2344	2.508621366806296	0.0119624038735403
