#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature consensus_sex, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.016850 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression consensus_sex
 14.965517 1.213015e+10              1.233746        Female
 52.896552 7.004248e+09              7.552067          Male
 19.241379 8.254983e+09              2.330881          Male
 13.896552 7.863224e+09              1.767284          Male
 42.551724 4.761447e+09              8.936721        Female
 19.517241 7.761540e+09              2.514609        Female
 38.000000 9.299576e+09              4.086208          Male
 49.793103 6.892596e+09              7.224143          Male
 24.586207 8.690531e+09              2.829080          Male
 70.689655 8.178035e+09              8.643844          Male
 35.482759 7.967963e+09              4.453178        Female
 66.379310 5.786196e+09             11.472013          Male
 23.517241 8.864826e+09              2.652871        Female
 43.241379 7.420922e+09              5.826955        Female
 85.620690 1.058903e+10              8.085794          Male
 13.896552 4.643957e+09              2.992395        Female
 46.551724 6.979146e+09              6.670117          Male
 40.758621 8.405221e+09              4.849203          Male
 35.275862 9.795604e+09              3.601193          Male
 26.206897 5.190688e+09              5.048829        Female
 38.068966 6.701910e+09              5.680315        Female
 71.068966 1.782699e+10              3.986593          Male
 11.758621 5.823718e+09              2.019092          Male
 36.137931 9.291569e+09              3.889325          Male
 55.448276 7.283525e+09              7.612835          Male
 18.172414 4.572093e+09              3.974638        Female
 94.413793 1.126676e+10              8.379853          Male
 47.034483 7.201539e+09              6.531171          Male
 77.275862 9.577118e+09              8.068801        Female
 20.551724 8.732492e+09              2.353478          Male
 55.068966 6.302852e+09              8.737151          Male
 48.689655 6.401509e+09              7.605966          Male
 21.413793 9.534414e+09              2.245948          Male
 24.137931 5.843420e+09              4.130788        Female
 25.655172 6.543111e+09              3.920944          Male
 44.482759 6.970849e+09              6.381254        Female
 36.482759 7.309448e+09              4.991178        Female
 46.482759 1.061768e+10              4.377864          Male
 26.862069 5.717269e+09              4.698409        Female
 53.413793 7.654277e+09              6.978293          Male
 30.241379 9.249028e+09              3.269682          Male
 58.896552 7.451200e+09              7.904305        Female
 64.068966 8.251345e+09              7.764670        Female
 13.896552 5.270370e+09              2.636732        Female
 59.103448 8.138126e+09              7.262538          Male
 68.172414 8.656098e+09              7.875652        Female
 49.103448 7.990536e+09              6.145201        Female
 60.689655 6.623305e+09              9.163047          Male
107.172414 9.064199e+09             11.823705        Female
140.482759 1.000280e+10             14.044347          Male
 61.275862 8.457004e+09              7.245576        Female
 72.137931 7.270150e+09              9.922482          Male
 55.586207 6.259413e+09              8.880418          Male
 47.896552 5.867656e+09              8.162809          Male
 12.827586 8.592370e+09              1.492904          Male
 60.275862 9.639814e+09              6.252804          Male
 19.241379 7.467696e+09              2.576615          Male
 21.379310 7.345463e+09              2.910546          Male
 37.413793 6.702371e+09              5.582173          Male
 26.275862 9.806173e+09              2.679523          Male
 31.000000 7.495806e+09              4.135646          Male
 58.896552 6.421663e+09              9.171542          Male
 33.137931 7.449994e+09              4.448048          Male
 44.896552 9.500869e+09              4.725521          Male
106.034483 1.279018e+10              8.290306        Female
 15.931034 5.816476e+09              2.738950          Male
 68.793103 7.884426e+09              8.725189        Female
 45.551724 7.312465e+09              6.229325          Male
 39.137931 9.108396e+09              4.296907          Male
 32.068966 6.410103e+09              5.002878          Male
 23.793103 9.180253e+09              2.591770          Male
 52.379310 8.100468e+09              6.466208          Male
 31.000000 1.092589e+10              2.837297        Female
 12.862069 8.749519e+09              1.470032          Male
 11.758621 6.993952e+09              1.681256          Male
 15.931034 8.292092e+09              1.921232          Male
 39.793103 7.137673e+09              5.575081          Male
 17.275862 9.025790e+09              1.914055          Male
 11.758621 7.758259e+09              1.515626          Male
 38.965517 7.832962e+09              4.974557          Male
 19.413793 6.765093e+09              2.869701          Male
 27.275862 4.948445e+09              5.512007          Male
 25.655172 5.743500e+09              4.466819        Female
 31.482759 6.255084e+09              5.033147        Female
 25.965517 9.119252e+09              2.847330          Male
 29.931034 8.098345e+09              3.695945          Male
 45.965517 8.331447e+09              5.517111          Male
 65.206897 9.118767e+09              7.150846        Female
 26.655172 6.835010e+09              3.899800        Female
 23.034483 8.752928e+09              2.631632          Male
 34.448276 7.799221e+09              4.416887          Male
 45.172414 9.061745e+09              4.984958        Female
 34.206897 7.153630e+09              4.781754          Male
 49.517241 7.211399e+09              6.866523          Male
 47.034483 6.588789e+09              7.138563        Female
 24.586207 8.854002e+09              2.776847        Female
 24.586207 7.200585e+09              3.414474          Male
 43.206897 5.917689e+09              7.301313        Female
 22.344828 6.436533e+09              3.471562        Female
 41.689655 7.345157e+09              5.675802        Female
 62.827586 9.875195e+09              6.362162        Female
 63.172414 6.740566e+09              9.371974          Male
 36.344828 6.145850e+09              5.913719          Male
 28.862069 1.152272e+10              2.504797          Male
 19.241379 8.909130e+09              2.159737          Male
 28.862069 7.223086e+09              3.995808        Female
 46.000000 8.901559e+09              5.167634        Female
 10.689655 5.220229e+09              2.047737          Male
 42.620690 4.942945e+09              8.622530        Female
 75.344828 1.019272e+10              7.392020          Male
 94.793103 8.134305e+09             11.653497          Male
 21.000000 9.872869e+09              2.127041          Male
 28.896552 9.313760e+09              3.102566        Female
 22.655172 5.990351e+09              3.781944          Male
 31.000000 7.137203e+09              4.343438        Female
 84.655172 8.821732e+09              9.596208        Female
 50.241379 6.930774e+09              7.249029          Male
 21.379310 7.348317e+09              2.909416          Male
 13.965517 6.346827e+09              2.200393        Female
 19.241379 8.188510e+09              2.349802        Female
