#Boxplots d'expressions du gène SRSF2 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.155, p-value = 0.00248
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2934       NonMut        9.326012
   BA2539       NonMut        9.118351
   BA2249       NonMut        9.226880
   BA2242       NonMut        9.459093
   BA2277       NonMut        9.238947
   BA2727       NonMut        8.924158
   BA2132       NonMut        9.899103
   BA2618       NonMut        8.706910
   BA2521       NonMut        9.099707
   BA2885       NonMut        8.579251
   BA2639       NonMut        9.427046
   BA2775       NonMut        9.449871
   BA2402       NonMut        8.843079
   BA2097       NonMut        9.288128
   BA2786       NonMut        9.422519
   BA2399       NonMut        9.634914
   BA2850       NonMut        9.892975
   BA2174       NonMut        9.048609
   BA2004       NonMut        8.484076
   BA3001       NonMut        9.676798
   BA2483       NonMut        8.635259
   BA3040       NonMut        9.431585
   BA2837       NonMut        9.027192
   BA2724       NonMut        8.884724
   BA2911       NonMut        8.995586
   BA2256       NonMut        9.275693
   BA2821       NonMut        9.343137
   BA2744       NonMut        9.148631
   BA3002       NonMut        8.697204
   BA2501       NonMut        9.409015
   BA2993       NonMut        9.351768
   BA2301       NonMut        9.030742
   BA2852       NonMut        9.356100
   BA2866       NonMut        9.899103
   BA2212       NonMut        9.330277
   BA2273       NonMut        9.981147
   BA2477       NonMut        9.263352
   BA2124       NonMut        9.876322
   BA2534       NonMut        9.343137
   BA2400       NonMut        9.436137
   BA2762       NonMut        9.343137
   BA2312       NonMut        9.534843
   BA2813       NonMut        9.781061
   BA2211       NonMut        9.858313
   BA2171       NonMut        9.640088
   BA2746       NonMut        8.985187
   BA2798       NonMut        9.275693
   BA2809       NonMut        9.391184
   BA2288       NonMut        9.980878
   BA2801       NonMut        8.833622
   BA3030       NonMut        8.610639
   BA2588       NonMut        9.609294
   BA2296       NonMut        9.369168
   BA2300       NonMut        9.886873
   BA2903       NonMut        8.392601
   BA2545       NonMut        9.171715
   BA2840       NonMut        9.220628
   BA2528       NonMut        9.304857
   BA2646       NonMut        8.950997
   BA3407       NonMut        9.382342
   BA2240       NonMut        9.288128
   BA2926       NonMut        9.267456
   BA2272       NonMut        8.974853
   BA2306       NonMut        8.742067
   BA2765       NonMut        8.550291
   BA2904       NonMut        9.137210
   BA2883       NonMut        9.013069
   BA2726       NonMut        8.542493
   BA2234       NonMut        8.971424
   BA2022       NonMut        9.758516
   BA2228       NonMut        9.255177
   BA2037       NonMut        9.230892
   BA2184       NonMut        9.454476
   BA3009       NonMut        9.769747
   BA2842       NonMut        8.619688
   BA2442       NonMut        8.907609
   BA2882       NonMut        8.560755
   BA2758       NonMut        8.768973
   BA2705       NonMut        9.206964
   BA2663       NonMut        8.625165
   BA2570       NonMut        8.790227
   BA2764       NonMut        8.188132
   BA2989       NonMut        9.103418
   BA2855       NonMut        8.814877
   BA2261       NonMut        8.534005
   BA2721       NonMut        8.978290
   BA2930       NonMut        8.435176
   BA2728       NonMut        8.537317
   BA2715       NonMut        9.564204
   BA2469       NonMut        8.358115
   BA2269       NonMut        8.184160
   BA2098       NonMut        9.148631
   BA2778       NonMut        8.521901
   BA2951       NonMut        9.148631
   BA2163       NonMut        9.360445
   BA2817       NonMut        8.681891
   BA3153       NonMut        9.473026
   BA2820       NonMut        8.862164
   BA2723       NonMut        9.096003
   BA2704       NonMut        9.584085
   BA2088       NonMut        9.491793
   BA2116       NonMut        8.771991
   BA2584       NonMut       10.047529
   BA3079       NonMut       10.000747
   BA2417       NonMut        9.655715
   BA2450       NonMut        9.247042
   BA2492       NonMut        8.196113
   BA2552       NonMut        9.009557
   BA2994       NonMut        9.234915
   BA2047       NonMut        9.589095
   BA2101       NonMut        9.482382
   BA2082       NonMut        8.778046
   BA2879       NonMut        9.171715
   BA2577       NonMut        9.544570
   BA2456       NonMut        8.802503
   BA2175       NonMut        9.594121
   BA2824       NonMut        9.195130
   BA2507       NonMut        9.880796
   BA2563       NonMut        9.682114
   BA2244       NonMut        8.846244
   BA2470       NonMut        9.769747
   BA2984       NonMut        9.687448
   BA2414       NonMut        9.640088
   BA2697       NonMut        9.446968
   BA2079       NonMut        8.683913
   BA2644       NonMut        9.373547
   BA2011       NonMut        9.096003
   BA2217       NonMut        9.692800
   BA2454       NonMut        9.862710
   BA2776       NonMut        9.809719
   BA2218       NonMut        9.599162
   BA2135       NonMut        9.942715
   BA2914       NonMut        8.833622
   BA2500       NonMut        9.030742
   BA2830       NonMut        9.449871
   BA2406       NonMut        9.427046
   BA3108       NonMut        9.436137
   BA2924       NonMut        9.092308
   BA2303       NonMut        8.836768
   BA2160       NonMut        9.559273
   BA2040       NonMut        9.343137
   BA2353       NonMut        9.242989
   BA3036       NonMut        9.110867
   BA3410       NonMut        9.473026
   BA3118       NonMut        9.222877
   BA3202       NonMut        9.482382
   BA3217       NonMut        9.404539
   BA3306       NonMut        9.002557
   BA3371       NonMut        9.103418
   BA3413       NonMut        9.589095
   BA3411       NonMut        9.073958
   BA3133       NonMut        9.356100
   BA3164       NonMut        9.133421
   BA3451       NonMut        8.529588
   BA3286       NonMut        9.369168
   BA3212       NonMut        9.560983
   BA3103       NonMut        8.917518
   BA3271       NonMut        9.187287
   BA3152       NonMut        9.373547
   BA3095       NonMut        9.792460
   BA3192       NonMut        9.110867
   BA3251       NonMut        9.409015
   BA3362       NonMut        9.004347
   BA3400       NonMut        9.650489
   BA3408       NonMut        9.634914
   BA3187       NonMut        9.275693
   BA3098       NonMut        9.129640
   BA3435       NonMut        9.191204
   BA3261       NonMut        9.544570
   BA3203       NonMut        9.769747
   BA3174       NonMut        8.897761
   BA3317       NonMut        9.338839
   BA3299       NonMut        8.750984
   BA3221       NonMut        8.781082
   BA3347       NonMut        9.431585
   BA3235       NonMut        8.200122
   BA3126       NonMut        8.266079
   BA3380       NonMut        9.041439
   BA3089       NonMut        9.238947
   BA3109       NonMut        8.461858
   BA3114       NonMut        9.171715
   BA3418       NonMut        8.978290
   BA3245       NonMut        9.569151
   BA3085       NonMut        9.077611
   BA3128       NonMut        9.459093
   BA3423       NonMut        9.676798
   BA3173       NonMut        9.981147
   BA3171       NonMut        8.830482
   BA3210       NonMut        9.191204
   BA3157       NonMut        9.564204
   BA3433       NonMut        9.539699
   BA3322       NonMut        9.534843
   BA3374       NonMut        8.793287
   BA3450       NonMut        9.604220
   BA3167       NonMut        8.476631
   BA3269       NonMut        9.609294
   BA3110       NonMut        9.662593
   BA3156       NonMut        9.259259
   BA3226       NonMut        9.391184
   BA3421       NonMut        8.957777
   BA3232       NonMut        9.275693
   BA3289       NonMut        8.614232
   BA3430       NonMut        8.387475
   BA3145       NonMut        9.309066
   BA3399       NonMut        8.961178
   BA3449       NonMut        9.092308
   BA3384       NonMut        9.179483
   BA3427       NonMut        9.288128
   BA3163       NonMut        8.529588
   BA3158       NonMut        9.559273
   BA3436       NonMut        9.614385
   BA3154       NonMut        9.622585
   BA3162       NonMut        8.122302
   BA3352       NonMut        8.922640
   BA3084       NonMut        9.317517
   BA3149       NonMut        8.718539
   BA3169       NonMut        8.907609
   BA3180       NonMut        9.210928
   BA3255       NonMut        9.413504
   BA3438       NonMut        9.629756
   BA3403       NonMut        8.474158
