	NRAS	IDH1
BA2316	6.82066158800154	9.05942450247106
BA2421	7.56896114376543	5.60042800463674
BA2087	8.16435812995303	4.8688411127684
BA2910	8.00619097456886	6.13375733254388
BA2148	8.08701091285537	4.42623541625347
BA2063	6.94160900810377	2.864896220199
BA2329	6.77246010495607	6.84399982384708
BA3178	6.92369940347749	6.28908084563445
BA2072	6.9848366218031	6.78074983432615
BA3029	8.27031665707811	5.19342572013905
BA2733	8.23886821722062	4.2236378258506
BA2995	8.4594113881339	4.54341837856977
BA2069	6.79463806745523	6.95150045701844
BA2100	7.24218373520164	5.17381001168529
BA2681	6.89511146582289	5.34829013725005
BA2248	7.90490568648577	5.78304332339911
BA2832	7.26851020715081	5.24140893715519
BA2308	7.46894970580743	5.41063794413204
BA2413	7.73462168625585	5.39458251066191
BA2701	7.62683244469809	5.81524050486287
BA2634	7.03474280183588	4.90500171115938
BA2677	7.03474280183588	6.37500681410956
BA2937	6.97250726431014	6.43542748974206
BA2600	7.65632337592004	5.22500574588553
BA2019	7.20635659773546	5.31326361994662
BA2412	6.1201103531002	6.05611661620259
BA2334	7.69160326863138	5.71913182250031
BA2050	7.43138197639579	6.1842076331656
BA3230	6.59203093136997	5.34936654533728
BA2953	7.75921826167611	4.87201227243281
BA2481	6.72582978047913	4.1174274886939
BA2731	7.67233847579442	6.19120375825818
BA2294	7.42415546195164	5.51205399141146
BA2418	7.62320575204897	5.86536301251181
BA2816	7.47416545591404	4.97525881373139
BA2656	7.77444024847	4.6932849776624
BA2814	7.04851156959908	7.64895583047878
BA2631	7.07695814218809	6.47620808782314
BA2023	6.9785897904033	7.42928783450574
BA2375	7.02911174492955	5.84864920436747
BA2485	6.72991592484699	6.60051001058414
BA2455	7.79384765019346	6.61484329859941
BA2025	7.07556396699123	6.18727628290146
BA2636	7.45866975783138	2.95707573664305
BA2325	7.62080780455831	7.31937809888862
BA2169	8.11666073243668	4.2685172238636
BA2156	7.00924527251429	6.53347844553203
BA2511	7.47316503302079	3.63778681479032
BA2939	7.90342171341614	5.88920214405522
BA2168	7.79384765019346	6.03566200297907
BA2505	7.65276972214058	4.82328175599878
BA2860	7.13044392794916	5.15668163101419
BA2707	7.96905854853838	5.24611528011748
BA2871	7.73994866868774	5.56596083132182
BA2655	7.67751428719864	4.94485331976651
BA2227	7.86810697410873	4.77735183811143
BA2125	6.96289154217268	6.43000064848533
BA2523	7.19738153999511	6.26118056372206
BA2603	6.6430484484285	6.25896920678185
BA2808	7.95104961478815	5.30025672574144
BA2282	6.50904089235684	5.83716487793583
BA2482	7.10851364264035	6.93954050250455
BA2812	6.51657057172327	5.82934773365488
BA2822	7.24301197621157	7.20386734649371
BA2594	7.33618294917006	6.94945791531145
BA2747	7.1445927897216	5.23068767781653
BA2561	6.37831338727117	7.35863482899504
BA2567	6.73108967735957	3.40936163024976
BA2906	7.24647814947882	6.56583781452914
BA2956	8.51425498508966	4.93680420181051
BA2474	7.02841397070837	6.41993290039897
BA2737	8.27456876079558	7.00490622738367
BA2110	7.01407346260423	6.60579006500373
BA2992	7.88642489400613	5.29873886453286
BA2220	7.28899814708616	5.88005273032646
BA2772	7.73994866868774	4.20752353675978
