	NF1	PTPN11
BA2836	152.18203301703952	12.468306580047503
BA2837	284.90182762062886	22.898407857056828
BA2839	94.94255129550952	31.642496415707715
BA2840	30.61186595745973	20.531917229600012
BA2841	55.33534050785352	17.333596721579227
BA2842	90.91663503687948	9.895489999364507
BA2843	89.31518458610059	10.858547637453205
BA2844	166.41325673111845	17.590131498344554
BA2846	184.4292886686244	18.50294150486064
BA2850	120.0296485527902	13.43052749037221
BA2851	192.33548881236496	25.04537941152953
BA2852	63.33031704535766	9.456579436181348
BA2855	71.99266493479804	17.107630110616615
BA2856	182.44398582682192	12.066697755388164
BA2858	83.47971274712972	12.633864070958204
BA2860	62.6038407485975	14.530015277964637
BA2861	110.33834810966074	17.408068930780058
BA2865	31.00540326828447	16.238963350670986
BA2866	197.19219437101748	21.19259899057649
BA2867	157.50388934653276	17.232068759781303
BA2868	122.76092055850206	23.494536189676637
BA2870	110.29051242164029	23.69065911934278
BA2871	97.75384815513968	23.15316795763132
BA2872	185.24782943911865	18.935171480130546
BA2876	39.54924914309381	13.157898270250502
BA2879	99.75597906454227	15.50509527096519
BA2880	101.5909856776464	19.49215324075317
BA2882	112.198336489372	16.603411924717445
BA2883	203.20276533728472	28.20025393371597
BA2885	187.98064074137977	20.57041289985666
BA2887	392.3699241261624	27.307116773219036
BA2889	0.1338236807905606	0.0893690876800253
BA2893	186.1761368733409	12.4974117886675
BA2901	41.17385408187821	8.975530107617864
BA2902	145.85444383485867	9.87114034234456
BA2903	133.66038215570987	5.87011599834422
BA2904	241.73197871780164	20.70134617274038
BA2905	109.43006937813156	22.33801212442174
BA2906	152.91529910720683	21.176416117737062
BA2908	173.5960498164805	23.172251086718955
BA2909	77.32406557089642	11.488674564864946
BA2910	271.8085988903684	26.26349101086416
BA2911	269.4633451313588	20.84783277632227
BA2914	166.5248167599512	15.0156201416248
BA2915	6.823141893971271	2.41314672352659
BA2921	101.46207330874968	17.458656163590284
BA2922	171.04246058528	19.573904682697663
BA2923	48.75808345329777	9.394341271819846
BA2926	161.0086066472505	19.129719312731364
BA2928	62.06281378530893	17.191069360684157
BA2930	117.55326188747804	14.85937609513198
BA2932	231.47952642480772	19.46477251954371
BA2934	73.61106151530505	9.73098986675119
BA2935	121.30769117899668	9.880445356341776
BA2937	92.81814116327772	17.877732513150956
BA2939	176.43003976228755	9.710666289915626
BA2944	156.2191679164993	37.64703403612323
BA2947	28.704400954899704	12.357448642886093
BA2948	86.39156252488048	20.4879431817709
BA2950	284.7990532041516	24.919157088502157
BA2951	123.15440535801449	18.133444760407368
BA2952	106.08321567639236	29.64411745650464
BA2953	72.6736446430472	7.163653271429381
BA2955	39.289600749030285	11.13542937935626
BA2956	35.637509346040545	8.523238456781499
BA2962	197.011970114943	24.054892956713843
BA2970	109.85782570547326	15.990249149514993
BA2972	127.08058682876558	17.627225547010358
BA2976	114.81212472094064	17.773117510802155
BA2978	81.53187295323688	14.603788957143514
BA2981	51.709594321698575	18.564359098703868
BA2984	218.1342249651564	14.452361922559325
BA2986	138.6981976983092	21.66198824056716
BA2989	89.55920784850588	24.180054210900927
BA2992	174.1559179385256	23.9380562024542
BA2993	116.75603556885608	13.846655480060836
BA2994	205.2736444741335	16.36308890783346
BA2995	78.43786635139111	14.331090419338244
BA2999	139.17052067665466	20.07089751224206
BA3001	225.6917911104391	17.71418966299346
BA3002	248.3132071115166	25.71013085930307
BA3004	146.41442949193342	15.801966890605236
BA3006	131.7007986752833	12.927507847907451
BA3008	0.1640866873065015	0.3007671567538219
BA3009	180.9021355226272	19.149190049872782
BA3010	99.1017100390366	13.643755520925405
BA3011	125.40261175284284	16.20127100029433
BA3013	142.63889820812068	15.826301965085207
BA3023	54.85346455292598	16.109292041670233
BA3025	111.54561761093512	21.606626020315527
BA3027	70.52398475728634	11.8217154344046
BA3029	86.19693989402455	11.205176238759671
BA3030	328.0056889573503	21.666872429973047
BA3037	175.74270593972224	22.454196832329725
BA3038	210.31260336505892	26.722751368914007
BA3040	45.92094926849498	10.393675597393589
BA3042	161.0984766462048	31.91703970845472
BA3043	49.45710026791884	10.557497829345278
BA3049	5.969525693002183	4.158103947463144
BA3051	63.69881256596946	13.618501220020445
BA3053	152.00397168269578	26.569754013053128
BA3064	201.18480931502572	20.81512093293928
BA3067	211.5006340656422	23.49622855930234
BA3068	161.26744110478273	32.6958892019907
BA3070	123.30358870257324	12.2739088603882
BA3071	302.56906291281126	21.66745407747344
BA3072	312.38037262704427	21.744276519892093
BA3075	143.48506077086566	9.78077433217044
BA3076	26.082152629232723	6.585836267450562
BA3077	159.83900132526296	22.34529503861006
BA2040	88.19640703584804	15.768603175760314
BA2160	246.74003776373183	17.506409372433634
BA2303	140.43353398736284	15.03837826541991
