#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature priorMDS, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.002576 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression priorMDS
 54.965517 6.346827e+09              8.660314        n
111.862069 1.124931e+10              9.943904        n
159.758621 6.065394e+09             26.339364        n
 56.655172 6.529792e+09              8.676413        n
 19.034483 8.305371e+09              2.291828        y
314.379310 8.605161e+09             36.533808        n
267.758621 8.514264e+09             31.448239        n
304.172414 9.138029e+09             33.286435        n
 19.241379 9.208330e+09              2.089562        n
241.517241 8.980720e+09             26.892859        n
433.965517 1.293085e+10             33.560489        n
 13.896552 7.646813e+09              1.817300        n
456.241379 7.536666e+09             60.536236        n
 97.344828 8.865050e+09             10.980742        n
607.000000 1.352301e+10             44.886446        n
124.379310 1.240522e+10             10.026369        n
126.517241 9.686832e+09             13.060745        n
367.379310 7.679781e+09             47.837211        n
 40.620690 9.003873e+09              4.511468        n
433.965517 9.072297e+09             47.834141        n
119.068966 9.270890e+09             12.843315        n
 45.068966 8.673760e+09              5.196013        n
276.586207 1.255232e+10             22.034675        n
 31.896552 8.683805e+09              3.673108        n
202.034483 1.081995e+10             18.672409        n
182.448276 8.443222e+09             21.608846        n
158.482759 9.377847e+09             16.899696        n
 67.689655 9.036584e+09              7.490624        n
 21.344828 8.504459e+09              2.509839        y
166.620690 1.257424e+10             13.250952        n
207.586207 8.449282e+09             24.568502        n
148.275862 1.126770e+10             13.159367        n
312.206897 8.414149e+09             37.104986        n
 23.517241 8.684668e+09              2.707903        n
232.034483 9.697777e+09             23.926564        n
 31.000000 1.186580e+10              2.612551        n
616.827586 8.747321e+09             70.516174        n
521.896552 8.793963e+09             59.347139        n
301.275862 7.963119e+09             37.833902        n
 75.172414 8.331035e+09              9.023178        n
150.448276 7.716696e+09             19.496463        n
 65.482759 7.659302e+09              8.549442        n
 56.310345 9.406260e+09              5.986476        n
142.931034 1.028094e+10             13.902525        n
196.758621 1.219810e+10             16.130266        n
170.965517 7.166337e+09             23.856752        n
 40.620690 8.947256e+09              4.540017        n
163.448276 7.815739e+09             20.912710        n
173.137931 1.194717e+10             14.491964        n
 45.965517 1.179849e+10              3.895880        n
312.551724 1.183531e+10             26.408420        n
245.517241 7.673257e+09             31.996483        n
128.931034 8.965946e+09             14.380082        n
149.896552 7.501582e+09             19.981993        n
474.827586 1.233472e+10             38.495221        n
425.827586 8.634398e+09             49.317578        n
318.724138 9.269706e+09             34.383413        n
193.413793 1.270211e+10             15.226905        n
111.241379 7.852002e+09             14.167263        n
320.482759 8.830584e+09             36.292364        y
493.206897 9.220262e+09             53.491634        n
212.724138 1.213128e+10             17.535174        n
 66.275862 8.260289e+09              8.023432        n
143.413793 9.361311e+09             15.319841        n
203.275862 1.137375e+10             17.872372        n
 79.103448 1.226937e+10              6.447228        n
410.965517 7.759275e+09             52.964421        n
244.965517 8.628494e+09             28.390298        n
360.241379 1.260141e+10             28.587390        n
130.310345 8.115899e+09             16.056181        n
160.655172 7.421624e+09             21.646903        n
237.344828 1.462151e+10             16.232583        n
158.344828 8.929424e+09             17.732927        n
 44.827586 9.354307e+09              4.792187        y
469.034483 1.108694e+10             42.305134        n
 73.931034 8.840811e+09              8.362472        n
371.896552 8.951200e+09             41.547116        n
198.965517 1.153613e+10             17.247170        n
143.413793 8.578251e+09             16.718303        n
265.827586 1.140540e+10             23.307160        n
315.862069 1.195007e+10             26.431826        n
559.482759 1.239749e+10             45.128715        n
 14.965517 9.623216e+09              1.555147        n
121.034483 1.296097e+10              9.338380        n
176.206897 1.031085e+10             17.089470        n
 58.793103 8.901402e+09              6.604926        n
 25.482759 8.063055e+09              3.160435        n
421.275862 9.427317e+09             44.686717        n
 36.344828 6.844100e+09              5.310388        n
167.103448 1.293326e+10             12.920443        n
254.620690 1.251246e+10             20.349370        n
126.379310 1.150666e+10             10.983146        n
199.241379 1.150527e+10             17.317395        n
 46.000000 9.476463e+09              4.854132        n
377.172414 8.147961e+09             46.290403        n
571.344828 1.333923e+10             42.831923        n
135.000000 9.840911e+09             13.718242        n
114.655172 9.280434e+09             12.354506        n
135.758621 8.566528e+09             15.847567        n
 84.896552 1.306337e+10              6.498823        y
429.793103 1.134920e+10             37.869906        n
 10.689655 9.651607e+09              1.107552        n
 21.413793 1.071946e+10              1.997657        n
288.241379 1.130116e+10             25.505472        n
177.724138 1.087497e+10             16.342494        n
234.620690 1.111997e+10             21.099032        n
254.551724 1.325000e+10             19.211452        y
116.034483 1.269244e+10              9.142017        n
 77.793103 1.344911e+10              5.784256        y
 61.275862 8.174919e+09              7.495592        n
