#Boxplots d'expressions du gène TP53 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 9.503, p-value = 0.000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2251        mut30        7.822617
   BA2256        mut30        6.457504
   BA2260        mut30        6.269725
   BA2269        mut30        4.419012
   BA2272        mut30        6.710959
   BA2273        mut30        5.752638
   BA2275        mut30        5.909289
   BA2276        mut30        6.232564
   BA2277        mut30        7.131980
   BA2280        mut30        7.500030
   BA2281        mut30        6.877881
   BA2282        mut30        5.860577
   BA2286        mut30        7.033358
   BA2292        mut30        7.057219
   BA2294        mut30        7.273784
   BA2296        mut30        7.145353
   BA2300        mut30        4.238953
   BA2301        mut30        5.090078
   BA2302        mut30        4.463385
   BA2304        mut30        6.023285
   BA2306        mut30        6.694659
   BA2308        mut30        6.134616
   BA2309        mut30        7.103806
   BA2311        mut30        5.985465
   BA2312        mut30        5.951162
   BA2316        mut30        6.923035
   BA2322        mut30        6.325902
   BA2325        mut30        6.084470
   BA2329        mut30        6.763595
   BA2334        mut30        5.696831
   BA2344        mut30        7.462610
   BA2348        mut30        4.574780
   BA2354        mut30        6.911374
   BA2360        mut30        8.047660
   BA2361        mut30        4.259812
   BA2363        mut30        6.264300
   BA2369        mut30        5.088310
   BA2374        mut30        7.006423
   BA2376        mut30        6.660142
   BA2377        mut30        6.152290
   BA2379        mut30        4.701012
   BA2386        mut30        5.526855
   BA2387        mut30        7.463637
   BA2394        mut30        6.129474
   BA2399        mut30        6.879121
   BA2400        mut30        6.909407
   BA2402        mut30        5.836783
   BA2405        mut30        5.171335
   BA2409        mut30        6.724081
   BA2410        mut30        4.874814
   BA2413        mut30        5.411349
   BA2414        mut30        7.551898
   BA2415        mut30        6.306953
   BA2417        mut30        6.221570
   BA2418        mut30        6.133319
   BA2420        mut30        7.474165
   BA2421        mut30        5.730537
   BA2423        mut30        5.059989
   BA2425        mut30        5.858498
   BA2426        mut30        5.907618
   BA2427        mut30        4.588348
   BA2429        mut30        6.586736
   BA2441        mut30        7.448397
   BA2442        mut30        6.369829
   BA2446        mut30        7.026248
   BA2449        mut30        5.899190
   BA2450        mut30        7.397345
   BA2452        mut30        6.218024
   BA2454        mut30        7.371985
   BA2455        mut30        6.169505
   BA2456        mut30        5.437336
   BA2459        mut30        5.713688
   BA2461        mut30        5.949546
   BA2463        mut30        5.503538
   BA2464        mut30        6.874662
   BA2472        mut30        5.491382
   BA2474        mut30        6.877881
   BA2477        mut30        7.253585
   BA2479        mut30        5.294517
   BA2480        mut30        7.085982
   BA2481        mut30        6.142782
   BA2482        mut30        6.565838
   BA2483        mut30        6.850259
   BA2485        mut30        7.514134
   BA2489        mut30        5.075502
   BA2494        mut30        4.885034
   BA2496        mut30        6.455999
   BA2497        mut30        6.425754
   BA2499        mut30        5.572279
   BA2500        mut30        6.002619
   BA2501        mut30        6.480661
   BA2505        mut30        6.064278
   BA2510        mut30        6.437932
   BA2511        mut30        5.132989
   BA2512        mut30        6.366490
   BA2514        mut30        5.004480
   BA2515        mut30        5.158861
   BA2520        mut30        5.865363
   BA2521        mut30        7.026248
   BA2523        mut30        6.948196
   BA2524        mut30        5.167451
   BA2525        mut30        5.333257
   BA2526        mut30        5.853006
   BA2528        mut30        6.842777
   BA2534        mut30        7.203088
   BA2538        mut30        5.065278
   BA2539        mut30        6.036927
   BA2540        mut30        5.602320
   BA2541        mut30        7.194824
   BA2545        mut30        6.565325
   BA2546        mut30        5.980979
   BA2552        mut30        6.012157
   BA2559        mut30        5.629094
   BA2561        mut30        6.720622
   BA2563        mut30        7.428253
   BA2570        mut30        5.927932
   BA2575        mut30        6.390739
   BA2577        mut30        7.477321
   BA2579        mut30        6.396000
   BA2583        mut30        6.377330
   BA2584        mut30        6.883643
   BA2587        mut30        6.824305
   BA2588        mut30        6.606890
   BA2589        mut30        5.132989
   BA2592        mut30        6.142351
   BA2597        mut30        5.300257
   BA2600        mut30        5.113281
   BA2603        mut30        6.971102
   BA2618        mut30        6.623575
   BA2619        mut30        6.364672
   BA2620        mut30        6.673925
   BA2622        mut30        6.519708
   BA2623        mut30        7.280861
   BA2629        mut30        7.492562
   BA2631        mut30        7.210534
   BA2634        mut30        5.898026
   BA2636        mut30        5.632828
   BA2644        mut30        6.826121
   BA2645        mut30        4.477554
   BA2646        mut30        6.613806
   BA2649        mut30        7.308615
   BA2651        mut30        5.033236
   BA2653        mut30        6.649664
   BA2655        mut30        6.812655
   BA2656        mut30        6.230812
   BA2657        mut30        6.681820
   BA2658        mut30        6.516571
   BA2659        mut30        6.222437
   BA2660        mut30        6.840988
   BA2662        mut30        7.004235
   BA2663        mut30        4.597237
   BA2667        mut30        7.162152
   BA2670        mut30        5.498675
   BA2674        mut30        6.613288
   BA2675        mut30        7.102352
   BA2676        mut30        6.325461
   BA2677        mut30        6.550272
   BA2682        mut30        6.062132
   BA2685        mut30        6.066380
   BA2688        mut30        5.565961
   BA2691        mut30        6.068435
   BA2694        mut30        5.249674
   BA2695        mut30        5.060341
   BA2697        mut30        5.661675
   BA2701        mut30        4.637752
   BA2704        mut30        7.369105
   BA2705        mut30        5.010422
   BA2707        mut30        5.678870
   BA2712        mut30        5.930390
   BA2715        mut30        4.544492
   BA2718        mut30        7.565678
   BA2720        mut30        5.557395
   BA2721        mut30        6.906236
   BA2724        mut30        4.954368
   BA2726        mut30        6.044017
   BA2727        mut30        7.197382
   BA2728        mut30        6.766563
   BA2731        mut30        5.437694
   BA2733        mut30        5.015317
   BA2735        mut30        4.916854
   BA2737        mut30        5.173113
   BA2742        mut30        6.877187
   BA2744        mut30        7.526579
   BA2746        mut30        5.855020
   BA2747        mut30        6.910700
   BA2748        mut30        7.407073
   BA2751        mut30        7.226253
   BA2756        mut30        5.341860
   BA2758        mut30        6.031936
   BA2760        mut30        5.414655
   BA2762        mut30        5.589145
   BA2764        mut30        6.174237
   BA2765        mut30        5.583069
   BA2769        mut30        5.117824
   BA2772        mut30        5.690280
   BA2775        mut30        6.544570
   BA2776        mut30        8.253448
   BA2778        mut30        6.404547
   BA2782        mut30        6.188149
   BA2787        mut30        5.080105
   BA2789        mut30        7.340820
   BA2791        mut30        5.768789
   BA2792        mut30        6.540425
   BA2798        mut30        5.255701
   BA2801        mut30        4.205216
   BA2802        mut30        5.980979
   BA2804        mut30        6.345033
   BA2806        mut30        6.086219
   BA2809        mut30        6.474269
   BA2811        mut30        6.820081
   BA2812        mut30        6.403142
   BA2813        mut30        6.428124
   BA2814        mut30        6.732801
   BA2816        mut30        6.359518
   BA2817        mut30        4.567999
   BA2820        mut30        7.013386
   BA2821        mut30        7.098540
   BA2822        mut30        6.131199
   BA2824        mut30        7.995737
   BA2828        mut30        5.937770
   BA2829        mut30        6.668369
   BA2830        mut30        6.082379
   BA2832        mut30        6.542553
   BA2837        mut30        6.236208
   BA2839        mut30        4.570506
   BA2840        mut30        5.991523
   BA2842        mut30        4.354268
   BA2843        mut30        4.893783
   BA2844        mut30        6.356274
   BA2846        mut30        6.093871
   BA2850        mut30        5.818396
   BA2851        mut30        6.665644
   BA2852        mut30        4.493098
   BA2855        mut30        4.905356
   BA2856        mut30        4.894511
   BA2858        mut30        6.169930
   BA2860        mut30        6.301878
   BA2861        mut30        7.217909
   BA2865        mut30        7.340820
   BA2866        mut30        6.729320
   BA2867        mut30        5.444615
   BA2868        mut30        6.993098
   BA2870        mut30        7.746670
   BA2871        mut30        3.822964
   BA2872        mut30        5.577104
   BA2876        mut30        4.873071
   BA2879        mut30        4.091552
   BA2880        mut30        5.898407
   BA2882        mut30        6.001347
   BA2883        mut30        4.438942
   BA2885        mut30        6.595692
   BA2887        mut30        6.982756
   BA2893        mut30        7.048512
   BA2901        mut30        5.903534
   BA2902        mut30        5.400032
   BA2904        mut30        6.442273
   BA2905        mut30        5.493614
   BA2906        mut30        7.191457
   BA2908        mut30        7.228677
   BA2909        mut30        6.007604
   BA2910        mut30        6.652423
   BA2911        mut30        6.663986
   BA2914        mut30        6.702504
   BA2921        mut30        5.260663
   BA2922        mut30        7.584150
   BA2923        mut30        6.419933
   BA2926        mut30        7.050616
   BA2928        mut30        7.624378
   BA2930        mut30        6.385506
   BA2932        mut30        7.705821
   BA2934        mut30        4.632807
   BA2935        mut30        5.806516
   BA2937        mut30        6.883643
   BA2939        mut30        5.425650
   BA2944        mut30        7.406090
   BA2948        mut30        4.295669
   BA2950        mut30        6.240551
   BA2951        mut30        6.993776
   BA2952        mut30        7.144593
   BA2953        mut30        5.272498
   BA2955        mut30        6.526305
   BA2962        mut30        7.257903
   BA2970        mut30        5.247553
   BA2976        mut30        6.467310
   BA2978        mut30        6.172519
   BA2981        mut30        3.919181
   BA2984        mut30        6.403605
   BA2986        mut30        6.921110
   BA2989        mut30        5.615866
   BA2993        mut30        5.579355
   BA2994        mut30        6.537441
   BA2995        mut30        5.646538
   BA2999        mut30        6.747855
   BA3001        mut30        7.672338
   BA3002        mut30        6.795815
   BA3004        mut30        7.277183
   BA3006        mut30        7.352023
   BA3010        mut30        6.407852
   BA3011        mut30        5.496203
   BA3013        mut30        7.353908
   BA3023        mut30        5.593263
   BA3025        mut30        7.490428
   BA3027        mut30        4.573709
   BA3029        mut30        4.515432
   BA3030        mut30        6.595194
   BA3038        mut30        6.430469
   BA3040        mut30        7.437299
   BA2040        mut30        5.395332
   BA2160        mut30        7.449514
   BA2303        mut30        6.443748
   BA2353        mut30        7.112161
   BA2516        mut30        6.988900
   BA2590        mut30        7.016879
   BA2924        mut30        5.059638
   BA2971        mut30        4.619298
   BA3036        mut30        6.442273
   BA3078        mut30        7.122668
   BA3079        mut30        4.257933
   BA3083        mut30        6.260333
   BA3084        mut30        7.298726
   BA3085        mut30        6.475238
   BA3087        mut30        7.422024
   BA3089        mut30        7.141447
   BA3094        mut30        6.041929
   BA3095        mut30        7.003555
   BA3098        mut30        7.183208
   BA3099        mut30        7.196432
   BA3103        mut30        4.767446
   BA3108        mut30        7.721276
   BA3109        mut30        4.139382
   BA3110        mut30        5.898785
   BA3114        mut30        5.616689
   BA3116        mut30        5.218515
   BA3117        mut30        7.353908
   BA3118        mut30        5.092527
   BA3119        mut30        7.494578
   BA3124        mut30        6.492484
   BA3126        mut30        5.901576
   BA3128        mut30        5.388770
   BA3130        mut30        5.830944
   BA3133        mut30        2.646619
   BA3136        mut30        6.583548
   BA3137        mut30        6.393124
   BA3138        mut30        4.922439
   BA3141        mut30        7.227860
   BA3142        mut30        6.028195
   BA3145        mut30        5.065278
   BA3146        mut30        6.797544
   BA3149        mut30        4.704531
   BA3152        mut30        6.371248
   BA3153        mut30        4.741136
   BA3156        mut30        7.728095
   BA3157        mut30        7.395406
   BA3158        mut30        7.193125
   BA3162        mut30        5.225678
   BA3163        mut30        6.008818
   BA3164        mut30        7.055705
   BA3169        mut30        4.864281
   BA3171        mut30        4.945953
   BA3173        mut30        5.775713
   BA3174        mut30        4.440430
   BA3175        mut30        5.862524
   BA3176        mut30        7.124220
   BA3177        mut30        6.844669
   BA3178        mut30        7.168761
   BA3180        mut30        5.238184
   BA3181        mut30        5.949963
   BA3182        mut30        6.751945
   BA3183        mut30        6.354893
   BA3185        mut30        4.911937
   BA3186        mut30        5.882871
   BA3187        mut30        6.059930
   BA3189        mut30        6.564788
   BA3190        mut30        4.911585
   BA3191        mut30        6.517089
   BA3192        mut30        6.003921
   BA3195        mut30        6.182944
   BA3197        mut30        7.194824
   BA3199        mut30        7.136714
   BA3200        mut30        7.512996
   BA3206        mut30        7.216211
   BA3207        mut30        6.051966
   BA3208        mut30        6.783172
   BA3210        mut30        4.532332
   BA3211        mut30        7.077707
   BA3212        mut30        7.409002
   BA3213        mut30        6.134616
   BA3214        mut30        5.280383
   BA3216        mut30        5.772579
   BA3217        mut30        6.777759
   BA3219        mut30        6.144588
   BA3221        mut30        6.087073
   BA3222        mut30        7.112888
   BA3225        mut30        5.738582
   BA3226        mut30        7.246478
   BA3227        mut30        7.526579
   BA3228        mut30        6.928986
   BA3229        mut30        6.734673
   BA3230        mut30        6.639665
   BA3232        mut30        7.268510
   BA3234        mut30        5.902739
   BA3235        mut30        5.772943
   BA3237        mut30        5.468838
   BA3242        mut30        6.605790
   BA3243        mut30        6.799312
   BA3245        mut30        4.441176
   BA3249        mut30        5.519121
   BA3250        mut30        6.740977
   BA3251        mut30        6.078620
   BA3255        mut30        6.944901
   BA3258        mut30        6.290482
   BA3260        mut30        4.896615
   BA3261        mut30        7.014729
   BA3264        mut30        6.590418
   BA3266        mut30        6.521206
   BA3268        mut30        7.343708
   BA3269        mut30        4.062433
   BA3270        mut30        6.160926
   BA3271        mut30        6.801789
   BA3275        mut30        6.325902
   BA3277        mut30        4.949113
   BA3280        mut30        4.924860
   BA3283        mut30        4.766749
   BA3286        mut30        7.053627
   BA3289        mut30        5.339385
   BA3290        mut30        5.785415
   BA3293        mut30        7.600445
   BA3295        mut30        6.459458
   BA3296        mut30        5.458930
   BA3297        mut30        7.074052
   BA3299        mut30        5.129803
   BA3300        mut30        7.254403
   BA3302        mut30        7.587599
   BA3305        mut30        5.958067
   BA3306        mut30        5.916376
   BA3308        mut30        7.057960
   BA3310        mut30        6.026575
   BA3311        mut30        5.592123
   BA3312        mut30        7.118172
   BA3315        mut30        6.000514
   BA3318        mut30        4.355373
   BA3322        mut30        6.560150
   BA3324        mut30        6.241009
   BA3325        mut30        4.951955
   BA3326        mut30        6.306508
   BA3328        mut30        6.407376
   BA3329        mut30        6.369829
   BA3332        mut30        5.990340
   BA3333        mut30        5.969076
   BA3334        mut30        5.400762
   BA3335        mut30        4.798375
   BA3339        mut30        6.333243
   BA3341        mut30        3.949325
   BA3345        mut30        5.139080
   BA3347        mut30        5.767987
   BA3351        mut30        6.447102
   BA3352        mut30        6.670025
   BA3353        mut30        7.347348
   BA3357        mut30        6.874034
   BA3362        mut30        6.850259
   BA3367        mut30        4.472115
   BA3369        mut30        6.760024
   BA3371        mut30        4.721807
   BA3373        mut30        7.416010
   BA3374        mut30        6.834644
   BA3375        mut30        6.901614
   BA3376        mut30        7.068854
   BA3379        mut30        7.104581
   BA3381        mut30        6.573054
   BA3384        mut30        7.137564
   BA3385        mut30        6.722961
   BA3386        mut30        7.170296
   BA3388        mut30        5.340480
   BA3390        mut30        5.341183
   BA3394        mut30        6.490511
   BA3395        mut30        6.096002
   BA3399        mut30        4.654408
   BA3400        mut30        5.368673
   BA3403        mut30        6.650172
   BA3405        mut30        6.902968
   BA3406        mut30        6.328685
   BA3407        mut30        5.191610
   BA3408        mut30        5.268503
   BA3411        mut30        6.865880
   BA3412        mut30        6.631706
   BA3413        mut30        7.303130
   BA3415        mut30        3.139349
   BA3416        mut30        7.483826
   BA3417        mut30        6.328233
   BA3421        mut30        5.493614
   BA3423        mut30        5.334684
   BA3427        mut30        5.796789
   BA3430        mut30        5.351179
   BA3431        mut30        4.443718
   BA3433        mut30        4.887804
   BA3434        mut30        6.565325
   BA3435        mut30        6.607924
   BA3436        mut30        7.511916
   BA3438        mut30        6.618673
   BA3445        mut30        5.314321
   BA3446        mut30        6.005138
   BA3447        mut30        6.281904
   BA3448        mut30        7.382575
   BA3449        mut30        7.006423
   BA3450        mut30        4.214817
   BA3451        mut30        6.455522
   BA3452        mut30        4.624990
   BA3453        mut30        5.093210
   BA3454        mut30        7.292511
   BA3037       NonMut        4.292680
   BA2488       NonMut        6.287337
   BA2947       NonMut        7.054989
   BA2032       NonMut        5.683429
   BA2564       NonMut        6.336008
   BA2841       NonMut        5.645787
   BA2357       NonMut        5.739350
   BA2148       NonMut        4.525524
   BA2100       NonMut        4.130498
   BA2681       NonMut        6.475718
   BA2375       NonMut        7.079949
   BA2808       NonMut        0.227105
   BA2567       NonMut        4.614682
   BA2956       NonMut        4.652986
   BA2992       NonMut        6.005993
   BA2595       NonMut        5.649566
   BA2122       NonMut        4.678877
   BA2080       NonMut        5.369391
   BA3273       NonMut        2.902453
   BA2593       NonMut        6.626311
   BA2709       NonMut        6.183379
   BA2836       NonMut        4.586199
   BA2714       NonMut        6.821882
   BA2440       NonMut        2.381950
   BA2532       NonMut        4.899069
   BA2000       NonMut        7.171168
   BA2035       NonMut        7.128891
   BA2355       NonMut        4.415323
   BA2502       NonMut        6.662327
   BA2972       NonMut        6.652957
   BA2271       NonMut        6.571951
   BA2242       NonMut        6.344121
   BA2132       NonMut        5.448262
   BA2639       NonMut        7.293487
   BA2786       NonMut        6.626848
   BA2004       NonMut        6.592569
   BA2621       NonMut        5.396052
   BA2133       NonMut        4.626774
   BA2288       NonMut        4.811640
   BA2903       NonMut        3.225997
   BA2473       NonMut        5.447544
   BA2037       NonMut        7.618337
   BA3009       NonMut        6.280520
   BA2261       NonMut        3.098164
   BA2469       NonMut        3.652178
   BA2723       NonMut        3.805613
   BA2088       NonMut        5.583069
   BA2492       NonMut        4.232418
   BA2175       NonMut        4.040295
   BA2507       NonMut        6.686469
   BA2218       NonMut        5.086171
   BA2406       NonMut        3.880383
   BA3202       NonMut        6.213634
   BA3135       NonMut        5.352291
   BA3203       NonMut        1.687906
   BA3317       NonMut        7.437299
   BA3380       NonMut        5.394583
   BA3418       NonMut        5.610641
   BA3167       NonMut        6.130771
   BA3154       NonMut        4.174488
   BA3319       NonMut        6.201863
   BA3240       NonMut        6.904925
   BA3422       NonMut        5.380797
   BA3194       NonMut        7.324012
   BA3123       NonMut        6.524779
