	NPM1	BCL6
BA2463	8.4179334910987	6.01456358339712
BA3023	9.17948259034573	6.03853366113736
BA2095	9.13342062895717	2.05635661619262
BA2901	8.51425498508966	8.89449191470128
BA2275	6.9401836518602	8.00619097456886
BA2387	8.68106286594684	3.84522522644444
BA2962	9.73079295605488	4.94485331976651
BA2195	8.69249597847146	7.70582137825133
BA2688	8.77262692606308	6.60209690951209
BA2787	6.35352478320916	9.86871412745455
BA2420	9.09970659968869	5.03467276802561
BA2756	9.56420444046175	6.51105136156458
BA2122	7.70840071464408	8.94761722776196
BA2053	9.16784487350203	7.40108920011618
BA2080	8.92748837970555	4.97805997780333
BA2081	9.00255657247606	6.72991592484699
BA2354	9.30238239860393	5.8733548574054
BA3273	7.24904224136933	6.09767489671198
BA2893	9.50601427714714	4.42954290653266
BA2044	8.43758065182973	6.57974013566299
BA2489	9.15628939970288	7.2509128285615
BA2309	9.05942450247106	7.19225834495813
BA2720	7.7605970351598	6.83403264485773
BA2908	9.83621907237271	4.02533735675513
BA2054	8.54508752883457	7.26938021173089
BA2872	8.00271116464237	7.95765939482996
BA2526	9.09600320401444	6.04941764661937
BA2041	9.02011485988608	6.31492475633183
BA2464	9.07395764638915	4.2500059966989
BA2902	8.82734862624236	6.25534556152395
BA2541	9.18338030789918	5.24540774861407
BA2143	7.22867709025789	9.03786515454843
BA2094	7.79956921933088	5.13014241250355
BA2769	8.904319577833	7.65148276489013
BA2843	8.88148184246882	5.51990175348328
BA2592	9.57909169555586	6.29503336143835
BA2497	8.09067732991193	6.655181196516
BA2718	8.61151153389318	3.07587052318477
BA2575	7.3614587281193	6.96975356458038
BA2096	9.4000752436972	6.06843510757967
BA2593	10.3090915070605	6.72815654510506
BA2791	9.14481502348153	4.28776185844417
BA2620	8.61695773628636	8.20213208675208
BA2629	9.4000752436972	4.94840542915028
BA2870	9.26745559419095	3.64750648355217
BA2423	7.73861349646242	8.81177412986094
BA2682	9.14863087419242	6.70701242644057
BA2276	8.91090509269608	6.48952236006017
BA2348	7.52987979374564	8.70112769787832
BA2709	8.81177412986094	8.01121552663761
BA2789	9.36480042798147	3.6638192405325
BA2694	8.92748837970555	7.22625304922136
BA2538	8.40429460371975	6.80966373142259
BA2583	9.44070228005406	5.1624665213437
BA2415	7.67493502317828	8.07064998624987
BA2722	7.0623479587219	6.98137959105818
BA2806	9.01306871894599	5.12276810954497
BA2221	7.99413751864958	7.11440294806697
BA3025	9.2389471182711	2.07301703894999
BA2514	8.62153057515291	7.46784096415085
BA2520	9.08127310626888	6.49555684686711
BA2441	7.40108920011618	4.58119054591653
BA2153	9.57909169555586	5.93410860815703
BA2479	8.22832881693221	7.11145591609312
BA2281	9.01658796485945	2.98308474956786
BA2657	8.33560901482561	7.84883391972247
BA2932	9.12210512882866	2.68410846503645
BA2123	9.57909169555586	5.32735211170593
BA2844	9.22687989289351	5.1854645874519
BA2660	9.06304565250042	6.55131094202148
BA2836	8.74800571415782	7.46065818949753
BA3027	7.63041516939983	8.19211577067672
BA2714	8.89122942781574	6.33644936442148
BA2139	6.80299244523417	7.90191887122195
BA2251	8.32671267592458	3.53002856193058
BA2952	8.16254296358662	5.72519608896332
BA2440	8.39493145233583	7.52987979374564
BA2036	8.75695672842528	5.6590072041356
BA2828	8.09804401257278	7.15951987646114
BA2292	8.98173476670244	5.31361123462234
BA2410	9.34313727945847	5.17875449236567
BA2051	7.46363654414575	7.878761730409
BA2532	7.45571345371651	5.98996157877142
BA2986	8.95099667095566	4.39481973857146
BA2494	8.39027400222105	7.023488210081
BA2515	8.66407371953991	6.83087293035871
BA2748	9.33883912107995	3.87102668421308
BA2970	8.8589671548512	7.21704631455243
BA2622	8.65006116973985	6.47813803224063
BA2839	8.72438748273975	6.36695225743452
BA2052	9.10713869224013	8.0179995830141
BA3011	8.50277388292747	7.21224786715344
BA2868	9.00255657247606	4.06609017023193
BA2510	9.01658796485945	4.36348652247925
BA2065	9.20696376307392	4.82567168446912
BA2691	8.11104544817006	7.67493502317828
BA2374	8.21222936163239	3.29172643307781
BA2804	8.8879736022598	7.80392510487274
BA2670	7.93824432889201	8.0232452349054
BA2675	9.08494318011795	3.12828685246323
BA2589	8.38563253120242	7.10925539195399
BA2031	8.87824586229709	5.3789226513503
BA2198	9.39118419839355	5.25385282871793
BA2066	8.28097335559112	5.78970451035009
BA2344	9.57411368730524	6.32779672565029
BA2459	9.38404554334867	9.3107878595868
BA2229	8.53473617000875	6.90096747490557
BA2559	8.68391306436784	8.12230223339654
BA2093	9.23491479941431	4.12336329411929
BA2000	8.08701091285537	5.65976789792763
BA2425	8.47600328572046	7.19985683529985
BA2905	9.22687989289351	6.34007878045522
BA2304	7.16215175411855	6.91265400996675
BA2976	8.65285322774346	7.11145591609312
BA2386	9.09970659968869	6.04113685727626
BA2035	9.33455230246716	3.31831249967436
BA2760	8.29820901257083	7.68775219309565
BA2201	8.89776108628452	6.24055068924258
BA2355	8.59260663428802	7.88191833711993
BA2113	8.50026123971081	5.51130663212948
BA2155	8.99906762077278	5.93941599911207
BA2955	8.07971165578759	6.84098754890722
BA2502	8.05457002396872	8.3558471237735
BA2322	8.93082572022568	6.9462008471637
BA2376	6.97993778438247	7.08521741719084
BA2020	9.15245565249128	4.57086257300586
BA2226	8.81487669872437	7.22204702944845
BA2200	9.30065851731011	5.21602891735105
BA2121	8.92748837970555	6.55763968463611
BA2944	9.90525526471174	2.4375086335962
BA2033	7.17761745050204	7.47634089236666
BA2867	8.66126072825912	7.22127084858972
BA2089	7.65513327960109	7.96905854853838
BA2224	8.38331776349613	6.2796317403598
BA2046	9.3217592552912	6.4442145827922
BA2972	9.160132157513	4.95506412387923
BA2978	7.85205086731265	8.29820901257083
BA2829	8.79635277497105	6.59256890621003
BA2851	8.5529001392332	5.08010536468567
BA2587	8.72438748273975	6.62737493861003
BA2461	7.94314055717551	8.15284092667829
BA2695	7.68652733200955	8.39444315279922
BA2623	9.57411368730524	5.16996358060136
BA2024	7.58759859001841	9.09230819306279
BA2426	8.88148184246882	7.67493502317828
BA2271	7.95452812467512	8.13176351189552
BA3004	8.57129520837751	6.75716311747521
BA2579	7.85633367820174	6.42233932973963
BA3010	9.00605305286098	7.21134659078952
BA2662	8.34232080533324	7.24904224136933
BA2674	9.15245565249128	6.39926285688665
BA2280	8.50160207030541	4.75903271535258
BA2512	6.81629782268832	7.83407017601998
BA2658	9.070312190258	6.08621852980205
BA2394	8.21222936163239	6.26429986711095
BA2950	9.49651930986164	5.14123425745589
BA2981	8.63894476137773	7.6160759273921
BA2934	7.22625304922136	9.14481502348153
BA2539	7.8925772722697	8.40664550150058
BA2249	8.63894476137773	5.96063563466876
BA2034	8.94268168369866	4.08399955671941
BA2109	7.61245153291675	9.30906602396076
BA2242	8.12041880838799	6.84335327492742
BA2277	8.68676863894814	4.82188771363464
BA2727	9.83304132704525	3.03620367997927
BA2132	8.672544374331	6.76240903317338
BA2618	8.61151153389318	7.06302085430374
BA2521	8.672544374331	6.27694818574979
BA2846	9.1755941413251	6.24365480544028
BA2885	8.02142525655183	7.09119041085949
BA2639	9.04860912314158	5.51015899119849
BA2775	8.84941498844258	6.99099328338094
BA2402	9.26335235036244	6.5145040049866
BA2097	9.44070228005406	6.22807535432375
BA2786	9.34313727945847	5.24328117345542
BA2399	9.44070228005406	2.50399674337434
BA2850	8.91090509269608	6.14975362813735
BA2174	8.34232080533324	7.29968056370735
BA2004	7.48933909555342	9.58909503454725
BA3001	9.69817061599593	2.64782453009691
BA2311	7.93028682049466	8.47663077360064
BA2483	8.48343527695382	3.80203218833516
BA3040	9.00605305286098	6.53744053114805
BA2837	9.37793858616158	6.7928687930301
BA2724	8.5607551950315	8.46922505155083
BA2911	9.35176787188011	3.77876077260681
BA2256	9.43613726309062	3.65036234988627
BA2821	9.69817061599593	6.09767489671198
BA2233	9.19906475607931	6.06298925282901
BA2744	9.34313727945847	3.60028324120091
BA2880	8.34906675857089	7.43235327301251
BA2621	8.28097335559112	9.10713869224013
BA3002	8.42744390017979	3.78889166437231
BA2501	8.48407580140491	4.01759100874022
BA2993	8.84624370479657	5.26030104013166
BA2301	8.06147774301482	8.48906113697349
BA2852	8.29820901257083	7.31579076602089
BA2133	7.83554388846121	10.435974418115
BA2866	9.19906475607931	6.97926113627939
BA2212	9.33455230246716	6.96975356458038
BA2685	9.39562360946183	7.23805703314362
BA2273	8.83362186336888	6.72183111998027
BA2477	9.29229417829056	6.11294027816034
BA2659	8.45453034732936	7.18556384102574
BA2124	9.49819442110274	6.06078122712208
BA2363	8.84941498844258	7.22204702944845
BA2369	8.79328666582968	8.1073163967498
BA2534	9.0271917203024	2.43893755903411
BA2400	9.46836798648192	5.21291531865443
BA2762	8.96117775713075	6.48220324595878
BA2312	8.79635277497105	7.43426786956565
BA2813	9.54457000922792	4.1972207613263
BA2211	9.17734760232419	3.88420492414897
BA2171	9.17171491689544	4.31403344803122
BA2746	7.89401548128851	8.09804401257278
BA2798	9.67679810675791	6.38599164256093
BA2809	9.1872873383188	5.76760186750385
BA2288	8.55505298542423	7.21378004978512
BA2801	8.32449794408229	9.02364943472175
BA3030	8.66873090783595	7.16795764916514
BA2588	9.44070228005406	7.24138386390375
BA2296	9.28397254525379	4.90500171115938
BA2300	8.69249597847146	4.52587806091481
BA2903	6.47376016789819	10.6820107189309
BA2473	9.13518361120238	6.60526101233573
BA2545	8.25764420926654	7.43235327301251
BA2840	8.5971359914493	6.17121351437265
BA2528	9.14863087419242	6.47426873472503
BA2646	8.84941498844258	4.10193554793449
BA3407	8.40429460371975	7.79663560293131
BA2240	8.25554427681065	1.62948292970928
BA2926	9.48238177689826	7.04344633578654
BA2272	8.26607857536642	8.40194775982719
BA2306	8.87501645157825	5.54170034067069
BA2765	7.08068398565122	9.78106105276028
BA2904	8.52958832512444	6.03279032756297
BA2883	9.05581138653334	6.29737759041703
BA2726	6.49846429425474	8.13747585819058
BA2234	7.19816924570359	6.79225306597058
BA2022	8.91751782379931	3.62607821242211
BA2228	8.48906113697349	7.27378385953679
BA2037	9.49651930986164	5.44354227055874
BA2184	9.2592593958878	2.89474301624452
BA3009	9.06304565250042	6.69465878054587
BA2842	7.37484847247432	9.54945587390153
BA2442	8.86536741111737	5.03323587286023
BA2882	7.69790613813162	7.8503248353151
BA2758	8.01121552663761	7.53734841909383
BA2705	8.4594113881339	6.71837477507922
BA2663	7.58640399756741	8.61423212805534
BA2570	9.070312190258	7.53197491812839
BA2764	7.86519796261888	8.6361785433996
BA2209	8.23267071257109	7.60280427832536
BA2989	8.87824586229709	6.5145040049866
BA2855	7.70582137825133	7.92045916247849
BA2261	7.49565796423242	8.52119341639262
BA2721	8.41608983118813	7.57131151688563
BA2930	7.75371580805874	7.69288267465993
BA2728	7.74132890165977	7.2925108116234
BA2715	7.71215406681609	6.76538787488707
BA2469	7.96260346447077	7.37002936753922
BA2269	7.15633759792086	7.90191887122195
BA2098	8.09251475928632	7.66735491479546
BA2778	6.98621603600523	8.28311530497155
BA2951	9.78674968596522	4.73833204033391
BA2163	7.09568366825665	6.25179190765508
BA2379	7.31397253852267	7.87430709609213
BA2817	7.86671215518685	7.01407346260423
BA3153	7.92699657991781	6.2118938217401
BA2820	8.20414503388581	6.9944372976249
BA2723	8.22445433533228	8.27244095196937
BA2704	9.23491479941431	3.07867868084255
BA2088	8.3972661940189	7.77581260088951
BA2116	6.78491577385659	6.16187946786899
BA2584	7.87430709609213	4.39700691900229
BA3079	8.24717893447311	7.47316503302079
BA2417	8.47910806756512	7.38560317769133
BA2361	8.09067732991193	8.18614443860235
BA2450	8.75995195431454	6.92625028034322
BA2492	7.35202275514424	7.631611105114
BA2552	9.4270458724936	5.18511369501955
BA2472	8.04060780611373	7.64895583047878
BA2994	9.04501990946176	2.87555175230714
BA2047	8.54249270039127	4.22712228067175
BA2101	8.5117153749805	7.05570452227078
BA2082	8.97829037472744	6.59519386649706
BA2879	7.48057619109315	8.20213208675208
BA2577	9.4000752436972	3.46362303167328
BA2456	8.22445433533228	9.3260124319477
BA2175	6.84399982384708	8.79328666582968
BA2824	8.58457840504288	2.02915631798637
BA2507	9.15245565249128	5.34292372692365
BA2563	9.21888429779212	2.69222768564293
BA2244	8.44966638628301	7.33163994376767
BA2470	8.66407371953991	6.97993778438247
BA2984	8.74503353869987	6.19606446047222
BA2414	9.11835064360706	6.09557546472806
BA2697	7.00782899353321	9.846425854724
BA2079	6.63915578339387	9.91143332054624
BA2999	8.59529250724368	7.25176192852259
BA2644	8.30909856685695	7.58759859001841
BA2011	8.00619097456886	8.37870011521958
BA2217	9.35176787188011	2.7262395720658
BA2454	9.13720994130471	5.10282218386209
BA2776	9.1872873383188	2.29205956830728
BA2218	9.47302564786274	4.0090039318919
BA2135	9.53000194332933	7.73994866868774
BA2914	7.96905854853838	8.86536741111737
BA2500	7.68775219309565	4.3438272293329
BA2830	9.79819104218496	4.99811985636614
BA2406	8.13176351189552	8.0179995830141
BA3108	9.44528028465592	3.06408559326001
BA2924	8.76595984417136	6.50698545533974
BA2303	7.93352218493006	7.09710413510838
BA2160	8.82110029202306	3.97463981852573
BA2038	8.40194775982719	8.09619809378225
BA2602	8.32893113987774	7.89563066633541
BA2964	7.878761730409	7.02768073602554
BA2898	7.94635895319707	7.01543819204674
BA3003	7.88191833711993	7.14921380328589
BA2111	8.01457218763256	6.98621603600523
BA2827	8.18020169656618	6.86772375181213
BA2912	8.18217944661747	6.67780234739761
BA2437	8.21832699326225	6.70082648857542
BA2283	7.92868137841977	6.62298966366635
BA2057	7.89563066633541	7.13121480456278
BA2633	8.3603866090308	6.34548467937847
BA3034	7.97720455656684	7.0949820634578
BA2607	8.18813169577028	6.67058412961645
BA2761	8.40194775982719	6.86082822034488
BA2795	8.00271116464237	6.66781105206711
BA2182	8.19411260375688	6.97794904447586
BA2152	7.89401548128851	7.01407346260423
BA2381	9.55927298456459	5.22962036727753
BA2931	8.34456564828853	7.145353174227
BA2040	7.72277870826456	8.17428733914348
BA2590	9.34744684153524	4.65902094233579
BA3195	9.4045391740165	4.93087257790248
BA2516	9.40177461105289	6.45552187143232
BA2353	9.62461563502098	3.46215918152714
BA3036	9.44070228005406	5.48282694034379
BA2971	8.05801802157941	7.96260346447077
BA3410	7.99739906746641	8.74503353869987
BA3118	8.8525926437112	6.84900595542396
BA3206	9.09600320401444	6.05692203263316
BA3202	8.84307877151568	7.49672370749375
BA3217	9.33455230246716	5.34292372692365
BA3405	7.61245153291675	7.17913715940168
BA3306	9.27982760161886	4.91158461915654
BA3371	8.91420804405317	7.0549889553605
BA3413	9.33027676031699	4.04150112054904
BA3411	8.88148184246882	7.14070376063247
BA3133	7.55977224878375	6.19921427066261
BA3164	8.77804587995587	1.42124491340168
BA3451	7.44242521067177	7.54085820588458
BA3286	8.50412364911741	6.24314863798514
BA3212	7.50105244518025	4.29378297120934
BA3103	8.7420670822246	6.14502031934272
BA3271	8.92748837970555	7.20465709297985
BA3152	7.13359161213086	7.65276972214058
BA3095	8.61695773628636	1.73956030368104
BA3192	9.4000752436972	5.42857060288721
BA3251	8.7420670822246	6.86465246289888
BA3362	7.81686981561798	4.53233174096288
BA3400	8.15477520582082	6.1180523945273
BA3135	9.25517667754352	5.75756870973775
BA3408	8.42321613548815	8.64171611871059
BA3187	8.65006116973985	7.12340588419214
BA3098	8.77804587995587	6.19120375825818
BA3435	9.4000752436972	3.84305509781267
BA3261	9.06667487040862	6.49603913172087
BA3203	7.19738153999511	8.49657233882556
BA3174	7.89563066633541	8.24301678047805
BA3317	9.90525526471174	3.91783490945973
BA3299	8.268195867683	8.28956252610494
BA3221	7.54085820588458	8.5607551950315
BA3347	7.9003747386446	8.25344779136567
BA3235	6.9965338713589	7.50647222464875
BA3126	7.65148276489013	7.49565796423242
BA3380	9.05220627117217	4.24809239787913
BA3089	9.4917929010063	2.53538212224348
BA3109	7.91267481802265	8.01616932095142
BA3114	8.27456876079558	8.34681429629083
BA3418	9.1755941413251	5.58383676402354
BA3245	6.72876764999848	7.20152351501227
BA3085	9.2109276242084	4.86988532197245
BA3128	9.4045391740165	4.52587806091481
BA3423	9.59916222255831	3.57845882130971
BA3173	9.26335235036244	5.11255644719302
BA3171	7.55754763062472	7.39635430321553
BA3277	8.79022656584331	7.21224786715344
BA3210	8.24301678047805	6.9924430115513
BA3157	10.1099887487995	2.42732071858121
BA3433	8.7214605815193	6.28139967131455
BA3322	8.25554427681065	6.95895559810233
BA3374	8.92415796681604	4.27232629182903
BA3450	8.63894476137773	6.12432253652151
BA3167	9.04501990946176	6.17773554711095
BA3269	7.80392510487274	6.47329372187665
BA3110	9.20870997646767	6.32267289165303
BA3156	9.73079295605488	6.33872181034159
BA3226	9.55927298456459	4.07242117789983
BA3421	8.25344779136567	8.52445890903765
BA3232	9.03786515454843	6.84531312440974
BA3289	7.61833712147791	8.89122942781574
BA3430	7.74666982029682	8.5971359914493
BA3145	8.61695773628636	4.35131982544686
BA3399	7.84567146798846	8.91420804405317
BA3449	9.45447558148811	5.52097220276146
BA3384	8.824221356442	4.80849923998836
BA3427	7.21134659078952	7.14070376063247
BA3163	7.08148396341999	8.32449794408229
BA3158	9.2592593958878	4.7175341788809
BA3436	9.67679810675791	2.74178947828129
BA3154	7.76749698582267	4.82079936789571
BA3162	8.60337970015667	6.7789181692916
BA3352	9.67313133431446	6.09808877325888
BA3084	8.78717245605116	3.66937521740334
BA3149	7.8210975174081	7.617186143553
BA3169	8.24301678047805	6.72757025712009
BA3180	9.11460476788528	4.63881686478955
BA3255	8.64449262965366	5.51803195571966
BA3438	9.3735473533766	3.11670888168447
BA3345	7.67751428719864	8.97485330936457
BA3403	8.41372261793503	5.5116799396294
BA3431	7.86519796261888	8.19211577067672
BA3181	8.39960495989321	7.58527071680403
BA3341	7.99413751864958	6.53199378857673
BA3191	8.36494157515656	6.96975356458038
BA3197	8.97829037472744	2.40931483861796
BA3448	9.08494318011795	2.04036071560272
BA3453	8.80867768640892	7.37198491161906
BA3406	8.79635277497105	5.45341722707267
BA3308	9.38675693832204	3.74360164861607
BA3186	8.48399844841995	3.79766587887362
BA3334	8.7214605815193	8.8589671548512
BA3447	9.60422004710875	9.22687989289351
BA3116	8.70401585675217	7.75510135803604
BA3280	9.25110414260315	4.58691244592694
BA3185	8.5373170330564	6.2044021148375
BA3094	8.59798330037588	4.30087383444999
BA3318	8.47663077360064	5.93857356885623
BA3216	8.8879736022598	6.65901439005133
BA3332	9.36916799017741	4.93856925394998
BA3214	9.51245452204643	4.57370858506955
BA3099	8.8717935877338	4.62427313618414
BA3141	9.43158515365849	3.90728684369565
BA3373	8.78108213178214	3.97877357956691
BA3319	7.51413414557592	6.88742207164032
BA3328	8.07971165578759	6.8911840063889
BA3339	8.07425460403884	9.10518799789827
BA3240	8.97485330936457	2.88940152092512
BA3142	8.62516478231551	5.88566715694508
BA3333	8.98864564355709	5.49794810844599
BA3381	8.18217944661747	7.947879626465
BA3290	8.25344779136567	6.88299295533337
BA3207	7.11965805588277	9.36480042798147
BA3296	7.05061628699762	9.14481502348153
BA3305	8.59260663428802	6.86346274491745
BA3434	9.18338030789918	5.89086317810063
BA3189	8.87824586229709	5.46077259712663
BA3264	8.69536777456055	4.0041544816528
BA3329	9.45616130594571	5.36035690673449
BA3417	8.57925061313916	6.35627429889414
BA3367	7.38257507273258	7.38062061343463
BA3225	6.41555515164963	8.49406416345013
BA3183	8.88148184246882	6.70082648857542
BA3222	8.70401585675217	4.90535576746464
BA3139	7.46894970580743	1.63149000215059
BA3397	6.732801148639	5.05998896160971
BA3311	7.04704814373678	9.11835064360706
BA3422	9.02011485988608	4.73193416894422
BA3228	8.92415796681604	6.20098661255903
BA3213	8.62516478231551	7.41008797800013
BA3270	8.31787605128572	8.63894476137773
BA3415	7.56784611916855	5.19015032670322
BA3324	8.5607551950315	6.28007937385132
BA3194	8.68106286594684	3.29390663967512
BA3335	8.19211577067672	6.91918219556931
BA3199	9.4000752436972	4.98265282761585
BA3326	8.22036612888066	7.36527517561591
BA3285	7.61362919863888	2.2972229754926
BA3297	8.05288390011611	5.3270008703083
BA3227	8.79022656584331	2.56857650698928
BA3394	9.39118419839355	7.06166102601644
BA3412	7.81249915728454	4.5701450496218
BA3293	8.85123237146193	2.41828446542422
BA3250	7.96260346447077	5.93252196008308
BA3177	8.77199110438686	4.80607814010981
BA3315	8.34906675857089	5.05220075930866
BA3182	7.94936162159169	6.18590754539494
BA3260	7.42825345365406	7.21956573793108
BA3369	8.66407371953991	5.63359431703311
BA3078	8.96297616127633	5.32125964978542
BA3386	8.89776108628452	4.87023108953253
BA3445	8.25135474465914	5.29910819649826
BA3452	8.77199110438686	5.88248029384315
BA3176	9.21490111990201	6.14373648060673
BA3258	7.18983138735934	8.0044307958278
BA3295	8.05972702484149	6.89839628157059
