	NRAS	PTPN11
BA2322	11.139315392217648	19.00203463588738
BA2325	6.662575697948401	13.13339354976582
BA2329	3.680005567553983	14.170386468930648
BA2334	5.594381798618988	12.738862324221753
BA2339	12.149194506134686	10.111131706915842
BA2344	3.796331221454245	17.66258635942158
BA2347	6.099881569035103	10.673249895339008
BA2348	4.830109248163483	6.14653811673649
BA2350	6.296603883376644	9.248559385393913
BA2354	7.369975374515866	27.095243432620222
BA2355	17.61423414703916	28.38735945750639
BA2357	4.593511698633455	12.19949693229595
BA2360	4.667607518740139	17.5735034231662
BA2361	8.444729251070648	15.736424512490592
BA2363	1.6533242062313365	7.3033212222808
BA2369	11.716427856399315	17.51039441139099
BA2374	8.90851954300139	22.40617777937685
BA2375	7.273261731939739	20.87206313122356
BA2376	4.743354931372759	14.73696075905255
BA2377	28.34113352214924	56.988741119585946
BA2379	11.42833948400689	14.2605358780457
BA2385	8.467507384741557	15.9001120635316
BA2386	8.51453741814126	18.71535873465833
BA2387	6.104785433248432	18.12250880428911
BA2394	7.782469280669589	24.469601260335928
BA2399	7.305345578102778	16.904555001239643
BA2400	10.792542274348248	33.63200594550555
BA2402	6.539774219391059	21.70324629391715
BA2405	4.2085783786362825	9.100792336674967
BA2406	6.187537522321613	17.82816007822995
BA2409	4.23851063470181	16.29375622363415
BA2410	15.783475205843052	23.596659384354837
BA2412	1.821471695037475	12.137813809796492
BA2413	7.186157530211142	21.05224232672534
BA2414	7.19776843499985	23.349309244236707
BA2415	4.410196232178046	8.984070955203252
BA2417	8.310107650022767	12.270477073849374
BA2418	4.558479498388771	10.111819360859618
BA2420	3.2908094863614687	17.04322984051619
BA2421	9.876949670328226	17.112086130843036
BA2423	12.01254110805784	14.830693302761253
BA2425	5.349058291782689	26.81439645289756
BA2426	11.943840560288384	14.6887218048444
BA2427	9.648382190778756	13.203350202140005
BA2429	4.13021983655467	13.885097753812143
BA2440	13.846950790370837	29.80936471999719
BA2441	13.52081720654136	41.50471871701896
BA2442	6.131416527699035	21.30032633561693
BA2446	5.154975512648711	17.23831681496286
BA2449	14.358495504230818	27.270894277896847
BA2450	6.755089743124651	17.891294519534323
BA2452	7.104364218344255	25.78173682741561
BA2454	7.167375452938487	35.41917436013228
BA2455	6.319838521599662	12.375452361398644
BA2456	9.966741377451772	14.09237807271488
BA2459	5.197367691181537	13.594127000583486
BA2461	6.292183057089055	17.820350143922077
BA2463	11.631023555962196	8.57460656098495
BA2464	5.935835116649162	18.745323554263607
BA2469	2.479480266681983	16.132452295663036
BA2470	6.448783657596495	18.268118383788824
BA2472	7.120260874062128	12.66426899861456
BA2473	12.277759772398396	17.639401643995793
BA2474	3.823153580497314	12.088986615383838
BA2477	6.51083536484499	27.90380716097536
BA2479	5.792237648719655	9.06853194700168
