	RUNX1	NF1
BA2269	0.1338224546828064	127.34637686870389
BA2492	0.1357258357893974	63.18416194926038
BA2096	0.1373108299661647	38.14635019971428
BA3153	0.1392744072064952	174.01100812406176
BA2804	0.139407727396832	159.40234247738303
BA2347	0.1395398032978155	66.77803076811274
BA2360	0.1401737238210114	169.86331229535077
BA2814	0.1404256277107412	42.45775692519901
BA3289	0.1404900493991304	82.82537105336634
BA3219	0.140652217771848	119.90002373940298
BA2541	0.1408974760836314	65.6930492624528
BA2110	0.1412447000291279	74.36471936282452
BA2292	0.1420894825776016	106.58922238443596
BA2701	0.1427044063120382	152.1665461230095
BA2489	0.1428096536050674	60.39576113585825
BA2970	0.1431593851330471	109.85782570547326
BA3399	0.144535490638782	77.34069004481765
BA3221	0.1453516313431951	92.46844618429596
BA2882	0.1467127098966962	112.198336489372
BA2880	0.1470865539668648	101.5909856776464
BA2209	0.1473016906235394	207.73969039082704
BA2868	0.1482073138054148	122.76092055850206
BA2724	0.1486408135343405	109.31239860907291
BA2726	0.1489933819202283	67.6526031910199
BA2594	0.1497056780886039	115.70215184308827
BA2251	0.1512000511284227	168.5185793587882
BA2363	0.1514118803869611	35.095611280938215
BA2663	0.1518541155285465	135.66967309315947
BA2575	0.1530648906147879	49.55685552128676
BA2723	0.1535496039363053	160.4939192604911
BA2842	0.1548283437975207	90.91663503687948
BA2681	0.1560957359755229	70.04019857231029
BA3130	0.1561343854815054	95.15656155278732
BA2744	0.1577588875420493	33.77381747949175
BA3202	0.1585607527447382	129.54062246773063
BA2406	0.1598458318360428	34.71633495236259
BA2109	0.1611528749668292	115.04825583911432
BA3345	0.161196937947849	95.71282361615005
BA3339	0.1616917626721239	94.23632198024836
BA2456	0.1630962001947069	61.180971099669165
BA2040	0.1631249538399772	88.19640703584804
BA2748	0.1634354112640224	199.25488871332868
BA2812	0.1636321052310726	63.29461370691892
BA2764	0.1638911456373233	112.03677400504952
BA2469	0.165106039804428	251.0946035683642
BA3260	0.1656328874061395	287.3856770699834
BA2651	0.1664388121516779	69.82136680760968
BA2539	0.1664976799858344	89.42632790129001
BA2156	0.1665121141157881	168.64129625232474
BA2928	0.1677164032455859	62.06281378530893
BA2261	0.1680111780593647	95.638364990932
BA2801	0.1695310887665811	95.49222064689803
BA3059	0.1697399103267995	138.96931091404295
BA3114	0.1698758836630473	157.21383862630557
BA2871	0.170088311266681	97.75384815513968
BA2872	0.1706664186677523	185.24782943911865
BA2172	0.1712153320146594	185.11095536230036
BA2288	0.1726257409376905	132.16680416497255
BA2481	0.1736094095413613	45.24202580176599
BA2956	0.1737723118793595	35.637509346040545
BA3261	0.1746876068794424	228.1673867951175
BA2217	0.1748507630117328	173.74162856094
BA2948	0.1754806126930556	86.39156252488048
BA2577	0.1754975129098834	118.70210933626588
BA2134	0.1773124117797484	49.273239517076505
BA2239	0.1773165344831579	93.44595003721206
BA2496	0.1783692775590445	45.25937170899411
BA3296	0.1785196250337341	99.19248648903825
BA2792	0.1792834471163342	43.79211018690363
BA2423	0.1793007232492775	84.67758172475536
BA2376	0.1810705720249024	49.77597347964191
BA2329	0.1811279137633033	58.569892419639714
BA2234	0.1814084487686583	133.53026760274443
BA2082	0.1837415500653363	81.44008518006407
BA3334	0.1840161005601276	83.5518074594422
BA2361	0.1847962633398329	101.58710933354486
BA2901	0.1850517608980293	41.17385408187821
BA3070	0.1856567080563629	123.30358870257324
BA3417	0.1861777521522952	173.8357604806873
BA2906	0.1863712182221971	152.91529910720683
BA3156	0.186899443301741	185.1834396431005
BA2104	0.1869198487063524	88.2053799306977
BA3322	0.1870056804521788	89.25198258341283
BA2645	0.1872305608204482	76.16513839589086
BA2497	0.1879824611145878	42.28054193054178
BA3185	0.1887930590401242	135.5257936694538
BA2069	0.1889841436797342	57.54297490294547
BA3169	0.1890676749491902	176.04742129671854
BA3094	0.1895895064274629	92.06918900047364
BA2733	0.1896873445208171	56.24385956314274
BA2098	0.190269033493088	26.433437712180453
BA2579	0.1920321862150997	141.5662109630884
BA2756	0.192496304084087	85.26857123717195
BA2782	0.194310722010821	95.5382653865288
BA3390	0.1944113750647645	139.13709376795416
BA3367	0.1949590412461768	119.2584771410444
BA3407	0.1954447978657259	78.37666956178536
BA2201	0.1959922000558477	76.38543599082593
BA2909	0.1964219455250941	77.32406557089642
BA3446	0.197880958049616	57.86422902407379
BA2309	0.19795321803015	67.00275595385449
BA2357	0.1991905147710996	114.73993656372434
BA2409	0.2002801422064991	129.54548333633426
BA2584	0.2007765556534774	57.36722309793788
BA3079	0.200928323370388	95.45282804110204
BA2955	0.201015698103048	39.289600749030285
