	RAD21	SF3B1
BA2155	5.233148408171361	0.0402624383953675
BA2156	8.392648810880598	2.5846917601475625
BA2162	9.1097160557551	5.054337551568456
BA2163	14.314580633635316	4.424902398189839
BA2168	6.647345389277667	2.459866336385243
BA2169	8.745864067224826	2.2605231584757783
BA2171	10.679439120860676	3.878938050944237
BA2172	13.50883390157314	0.1033096950979363
BA2174	12.234477537030015	4.125021798269824
BA2175	21.02068584637091	1.6714606133319954
BA2184	18.03765970365849	10.628341810860665
BA2195	9.349963706871057	0.8517477544056531
BA2198	10.951500923300072	9.032062076788913
BA2200	8.66317838616753	5.909373552547744
BA2201	5.432057146746553	0.7405867057165145
BA2209	10.51849185881264	1.939924439760896
BA2211	9.646568993096242	3.478055240024269
BA2212	12.173442452420591	1.9117243822809795
BA2217	4.573645652451456	1.8505187182282803
BA2218	4.492958654425742	0.084710669215247
BA2220	11.27168233076358	1.6409310910083468
BA2221	9.893553288678971	2.243354454921604
BA2224	9.397529949966035	2.0797450735301943
BA2226	10.908716981211048	3.1108793742900542
BA2227	8.563166687493254	4.466729377559415
BA2228	13.65711061030867	1.4107074971754248
BA2229	10.125749233382871	2.299403410170904
BA2233	6.323547682627363	3.843300609317525
BA2234	11.823723239347228	4.0845688398028654
BA2235	8.606492986201966	3.773219992974677
BA2236	7.780395565488438	3.873751378073389
BA2239	6.552249451867215	1.4644137048543158
BA2240	11.228756861285458	5.302351818144493
BA2242	9.596092148295025	5.217936721911253
BA2244	5.341309648977824	2.109603304943121
BA2245	9.699043191258031	3.715063303939503
BA2248	5.445572536474128	0.5876281095038024
BA2249	6.731132320283495	3.458310637890213
BA2251	11.377710091638932	12.00484402870346
BA2256	9.18485529321266	2.33433740710835
BA2260	8.648831228976123	1.5779240094218403
BA2261	13.913285434019771	0.0481531079451538
BA2269	5.517119433614601	0.0224406991260923
BA2271	11.19055154461345	3.761306094239691
BA2272	9.716425007365958	2.964975913177955
BA2273	9.913637199534788	3.045841981931842
BA2275	13.934400427780313	2.7853284034421044
BA2276	9.978364843676667	3.42152463196887
BA2277	12.040184337419634	6.531068769093444
BA2280	8.867506451898345	4.484736603606028
BA2281	16.67272759945315	5.114091505593648
BA2282	8.901841543428535	2.121523772811391
BA2286	13.39494709097916	2.854157120894861
BA2288	10.082944575583005	1.2115094864671292
BA2292	18.590565422674203	3.7299817448043786
BA2294	8.922417194971139	3.163226501282653
BA2296	9.253808222732571	4.481140748242528
BA2300	15.91951318108498	2.823341050544311
BA2301	7.975873603129876	1.4422802647725668
BA2302	9.987074162137658	2.4450587800572063
BA2304	5.843656849489537	0.5735414547284834
BA2306	11.005838226949349	1.4378042824058233
BA2308	6.875562225380477	2.7371780782548
BA2309	11.791282340863557	5.374018728112393
BA2311	8.572661186048336	3.3142836831548874
BA2312	7.674918446231897	1.9396833890645215
BA2316	7.282340044737987	0.4984972271262627
BA2322	5.18753456585531	0.7196782721354701
BA2325	5.008815555223583	0.6144736710050318
BA2329	5.409638321457206	1.1931826614417729
BA2334	6.602282118293289	1.993478439709194
BA2339	8.06670173891155	0.4699942900241933
