	DNMT3A	NPM1
BA2546	5.51500276467509	8.0301567645062
BA2742	4.92841190922266	7.87584460904621
BA2316	4.98581237116735	8.22855584188171
BA2421	4.63033110918827	8.28526081080175
BA2087	5.13368956327964	9.10147698629206
BA2910	6.40025463094879	9.22287720595147
BA2148	6.0688553647905	7.95609226155088
BA2063	5.18021866658889	8.34232080533324
BA2329	5.09075247446604	8.3972661940189
BA3178	4.99923632979666	8.76897254396233
BA2072	5.4391470099726	8.41135949860071
BA3029	5.38508153742644	8.78717245605116
BA2733	5.37965871348939	8.96458579397726
BA2995	6.74268846032395	8.45209623715645
BA2069	4.77701262518198	8.46185834013681
BA2100	4.98409448643986	8.70690950167434
BA2681	6.51154576024005	9.52517542791568
BA2248	6.0444352624309	9.19906475607931
BA2832	6.12682630802195	8.18813169577028
BA2308	6.22113787930576	9.48708042008341
BA2413	6.16609369248211	9.4045391740165
BA2701	5.64618047026692	8.7361512573159
BA2634	6.25091484872834	8.22240857358487
BA2677	5.69566002369261	8.79635277497105
BA2937	5.79045455115976	8.25344779136567
BA2600	5.50315192004078	9.2429894144776
BA2019	5.65448355973944	8.12986534537924
BA2412	4.71932990142095	6.82309107200081
BA2334	6.20697852343694	8.94087956106744
BA2050	5.92596043186298	9.34744684153524
BA3230	5.17381001168529	8.78108213178214
BA2953	5.84669771952697	9.69817061599593
BA2481	5.03079434015524	8.58191208164573
BA2731	5.42234890079115	8.46185834013681
BA2294	7.17520302946663	9.25517667754352
BA2418	6.01373604526196	9.1410080593907
BA2816	5.11433165880832	9.14863087419242
BA2656	6.45897655908302	8.93082572022568
BA2814	5.02974000658284	7.63755645913212
BA2631	6.2167212997473	9.3561004357089
BA2023	4.72738279030256	8.3311533449718
BA2375	6.08536052540414	8.84941498844258
BA2485	6.78074983432615	8.78899864293157
BA2455	4.69855961142677	8.3156761580726
BA2025	5.23673966789925	8.56338303703764
BA2636	5.92637395893393	9.10713869224013
BA2325	4.04879675825088	7.29687122589928
BA2169	6.19606446047222	8.51934782702254
BA2156	6.79640967556144	9.48238177689826
BA2511	5.26710389157619	8.46430959418229
BA2939	6.0158165147387	9.41350421836705
BA2168	6.41510646424492	9.20300948929151
BA2505	5.62195033213407	9.09230819306279
BA2860	6.33509433573957	8.97485330936457
BA2707	6.18632897661868	9.12210512882866
BA2871	5.96907627794874	8.66689198102969
BA2655	4.77872894002383	9.36916799017741
BA2227	6.55232565838748	9.42251934116338
BA2125	6.10829331712153	7.76334677298606
BA2523	5.74395799798389	9.33455230246716
BA2603	5.47138243938151	8.99558616821901
BA2808	6.31675170697475	8.70112769787832
BA2282	4.80111971961835	7.26503778677364
BA2482	6.17641644366945	9.04501990946176
BA2812	4.99775683802712	8.81487669872437
BA2822	5.98054442725547	7.14998539597838
BA2594	5.81201009033099	8.42798766039968
BA2747	6.18950223686314	9.35176787188011
BA2561	5.94641278080618	9.09970659968869
BA2567	5.34433907396084	7.54085820588458
BA2906	4.74957774721697	8.80250309714617
BA2956	5.64166399423883	8.11104544817006
BA2474	6.09936975927192	9.08127310626888
BA2737	5.70872171926613	8.02685700006077
BA2110	4.74182984575756	7.71347289714959
BA2992	5.05504885396523	9.18338030789918
BA2220	5.65448355973944	9.00955709168753
BA2772	6.0781745380856	9.42251934116338
BA2935	5.28177179122875	8.55029123602985
BA2260	5.01183343730558	8.75098362594822
BA2676	5.36293986474154	8.7361512573159
BA2948	5.85542200416075	7.55189787670547
BA2524	5.52135062216325	9.2592593958878
BA2811	6.24912819394912	8.83676787171411
BA2540	3.86156811832603	8.86857724833819
BA2928	5.34151860321391	8.7214605815193
BA2302	5.53940253028108	9.38234175781362
BA2595	5.14967422759909	9.09230819306279
BA2792	5.02056262861089	8.66689198102969
BA2651	6.03566200297907	9.17948259034573
BA2619	6.44227342376241	7.88191833711993
BA3013	6.16865049658773	9.54457000922792
BA2405	5.67317843136018	9.64008823387741
BA2735	5.32233498083344	9.08494318011795
BA2856	4.20674974606089	7.56206988956539
BA2377	4.1940893457466	8.74389874448259
BA2499	5.81959741153124	9.66095938066438
BA2463	6.22329037773919	8.4179334910987
BA3023	5.20440021667154	9.17948259034573
BA2095	6.14672505812723	9.13342062895717
BA2901	5.08758890657065	8.51425498508966
BA2275	5.75302384911337	6.9401836518602
BA2387	4.47173241334974	8.68106286594684
BA2962	5.58010200112807	9.73079295605488
BA2195	5.51500276467509	8.69249597847146
BA2688	4.72354417544082	8.77262692606308
BA2787	4.78223236558204	6.35352478320916
BA2420	5.5603638318114	9.09970659968869
BA2756	4.01681712942243	9.56420444046175
BA2122	4.87096387518994	7.70840071464408
BA2053	5.84787957757678	9.16784487350203
BA2080	5.86901047120639	8.92748837970555
BA2081	5.77033121359801	9.00255657247606
BA2354	6.23533588980149	9.30238239860393
BA3273	4.71789490848166	7.24904224136933
BA2893	6.19299832162761	9.50601427714714
BA2044	5.54245080282141	8.43758065182973
BA2489	4.74182984575756	9.15628939970288
BA2309	4.97387498404503	9.05942450247106
BA2720	4.52153193566258	7.7605970351598
BA2908	6.4243136710677	9.83621907237271
BA2054	5.07550246590364	8.54508752883457
BA2872	5.31756660169569	8.00271116464237
BA2526	4.92943275175156	9.09600320401444
BA2041	4.60901148734067	9.02011485988608
BA2464	6.09645228197541	9.07395764638915
BA2902	5.39890865222561	8.82734862624236
BA2541	6.22378350328208	9.18338030789918
BA2143	5.09390910729551	7.22867709025789
BA2094	5.80146381261149	7.79956921933088
BA2769	5.91953516934334	8.904319577833
BA2843	7.04918884608735	8.88148184246882
BA2592	5.39347949789235	9.57909169555586
BA2497	4.53554304554111	8.09067732991193
BA2718	7.87584460904621	8.61151153389318
BA2575	4.84562521936661	7.3614587281193
BA2096	4.66610967820232	9.4000752436972
BA2593	5.2635303158332	10.3090915070605
BA2791	5.91758639573652	9.14481502348153
BA2620	5.72903451515424	8.61695773628636
BA2629	6.23533588980149	9.4000752436972
BA2870	6.38599164256093	9.26745559419095
BA2423	4.43352231435234	7.73861349646242
BA2682	5.44640808199127	9.14863087419242
BA2276	5.42530018626189	8.91090509269608
BA2348	4.75764062057754	7.52987979374564
BA2709	5.2868395453686	8.81177412986094
BA2789	5.88684341274268	9.36480042798147
BA2694	6.22675882110798	8.92748837970555
BA2538	6.25807759133934	8.40429460371975
BA2583	6.36648969189247	9.44070228005406
BA2415	4.81585561124571	7.67493502317828
BA2722	5.89048099649459	7.0623479587219
BA2806	5.91595003127845	9.01306871894599
BA2221	4.65687977223113	7.99413751864958
BA3025	7.31039812260742	9.2389471182711
BA2514	5.17241204196236	8.62153057515291
BA2520	6.93890773932704	9.08127310626888
BA2441	6.92239609110895	7.40108920011618
BA2153	6.39926285688665	9.57909169555586
BA2479	5.61780736228049	8.22832881693221
BA2281	6.1921407741856	9.01658796485945
BA2657	6.04691526295528	8.33560901482561
BA2932	6.14718029862126	9.12210512882866
BA2123	4.48731198029739	9.57909169555586
BA2844	5.36000471761652	9.22687989289351
BA2660	5.62419273985357	9.06304565250042
BA2836	5.62530338833762	8.74800571415782
BA3027	5.36514025423526	7.63041516939983
BA2714	5.21363189314042	8.89122942781574
BA2139	4.53197710730373	6.80299244523417
BA2251	7.54970729199318	8.32671267592458
BA2952	4.36608295505138	8.16254296358662
BA2440	4.78017722753487	8.39493145233583
BA2036	6.25807759133934	8.75695672842528
BA2828	5.75062167266173	8.09804401257278
BA2292	4.11937931431274	8.98173476670244
BA2410	5.75415496254133	9.34313727945847
BA2051	4.68591344454784	7.46363654414575
BA2532	4.96266025809675	7.45571345371651
BA2986	5.59662502172316	8.95099667095566
BA2494	5.24647301398251	8.39027400222105
BA2515	5.18055221298724	8.66407371953991
BA2748	6.79158437688518	9.33883912107995
BA2970	5.58383676402354	8.8589671548512
BA2622	4.81831316874204	8.65006116973985
BA2839	4.66151584498319	8.72438748273975
BA2052	6.34832965907228	9.10713869224013
BA3011	5.11433165880832	8.50277388292747
BA2868	7.18812871773308	9.00255657247606
BA2510	5.21924696123963	9.01658796485945
BA2065	6.17379906817959	9.20696376307392
BA2691	4.77982414410044	8.11104544817006
BA2374	5.51691886633525	8.21222936163239
BA2804	5.82541777312417	8.8879736022598
BA2670	5.45893049861312	7.93824432889201
BA2675	6.34832965907228	9.08494318011795
BA2589	7.27555120012057	8.38563253120242
BA2031	5.12702075468941	8.87824586229709
BA2198	6.54928934120065	9.39118419839355
BA2066	4.56478976898356	8.28097335559112
BA2344	6.75597489483719	9.57411368730524
BA2459	5.41754429750073	9.38404554334867
BA2229	6.2290430058542	8.53473617000875
BA2559	5.02728430921221	8.68391306436784
BA2093	6.36086030376613	9.23491479941431
BA2000	5.82859548893421	8.08701091285537
BA2425	6.12637853560869	8.47600328572046
BA2905	5.90555861314736	9.22687989289351
BA2304	4.5391313162393	7.16215175411855
BA2976	5.89878476046271	8.65285322774346
BA2386	5.76181699229763	9.09970659968869
BA2035	7.38848640256579	9.33455230246716
BA2760	5.22317063501282	8.29820901257083
BA2201	4.76005725019894	8.89776108628452
BA2355	5.02764204989782	8.59260663428802
BA2113	5.95559861955689	8.50026123971081
BA2155	6.54150806703429	8.99906762077278
BA2955	4.80814964517647	8.07971165578759
BA2502	4.91792245118013	8.05457002396872
BA2322	6.24013217204255	8.93082572022568
BA2376	4.81549079833473	6.97993778438247
BA2020	5.67811655623058	9.15245565249128
BA2226	5.69683059962592	8.81487669872437
BA2200	6.16950493399515	9.30065851731011
BA2121	5.97608438156721	8.92748837970555
BA2944	7.24218373520164	9.90525526471174
BA2033	4.56407532031905	7.17761745050204
BA2867	6.13725593051751	8.66126072825912
BA2089	4.27079096532492	7.65513327960109
BA2224	6.16479221189801	8.38331776349613
BA2046	4.60401552568644	9.3217592552912
BA2972	6.61484329859941	9.160132157513
BA2978	5.38151536241943	7.85205086731265
BA2829	5.66740335166233	8.79635277497105
BA2851	6.02615955253131	8.5529001392332
BA2587	5.97523061949623	8.72438748273975
BA2461	5.15668163101419	7.94314055717551
BA2695	4.65902094233579	7.68652733200955
BA2623	6.63758201438047	9.57411368730524
BA2024	5.40260210506482	7.58759859001841
BA2426	5.91240742486635	8.88148184246882
BA2271	5.10834862967978	7.95452812467512
BA3004	6.38888273500531	8.57129520837751
BA2579	5.66051919592254	7.85633367820174
BA3010	5.53426887614694	9.00605305286098
BA2662	5.34255610443151	8.34232080533324
BA2674	6.40360502181603	9.15245565249128
BA2280	6.36182238595201	8.50160207030541
BA2512	4.68695768946558	6.81629782268832
BA2658	5.76371292639746	9.070312190258
BA2394	6.73922514739457	8.21222936163239
BA2950	6.02576365304124	9.49651930986164
BA2981	5.64089444218065	8.63894476137773
BA2934	5.56441490975965	7.22625304922136
BA2539	4.88365938121125	7.8925772722697
BA2249	5.48468121276611	8.63894476137773
BA2034	6.11503718341623	8.94268168369866
BA2109	4.87023108953253	7.61245153291675
BA2242	6.03404286985942	8.12041880838799
BA2277	5.97691207859612	8.68676863894814
BA2727	7.10771088589405	9.83304132704525
BA2132	5.91874058491338	8.672544374331
BA2618	5.46299801814277	8.61151153389318
BA2521	5.49396648422183	8.672544374331
BA2846	6.49002795768883	9.1755941413251
BA2885	4.92595904339551	8.02142525655183
BA2639	6.29137386576201	9.04860912314158
BA2775	5.60579685194834	8.84941498844258
BA2402	5.17065533146209	9.26335235036244
BA2097	5.66740335166233	9.44070228005406
BA2786	5.58682786591739	9.34313727945847
BA2399	6.16697408993369	9.44070228005406
BA2850	5.53758769155616	8.91090509269608
BA2174	5.56931523967556	8.34232080533324
BA2004	5.79282325358751	7.48933909555342
BA3001	6.55713498264667	9.69817061599593
BA2311	4.78361272995645	7.93028682049466
BA2483	6.25534556152395	8.48343527695382
BA3040	5.54431492495241	9.00605305286098
BA2837	6.13249003882685	9.37793858616158
BA2724	4.79523149626919	8.5607551950315
BA2911	6.13505858445244	9.35176787188011
BA2256	6.07438042977308	9.43613726309062
BA2821	6.06121727575126	9.69817061599593
BA2233	6.75074032756909	9.19906475607931
BA2744	6.69580577134555	9.34313727945847
BA2880	5.14825734566663	8.34906675857089
BA2621	5.31756660169569	8.28097335559112
BA3002	6.11593110685268	8.42744390017979
BA2501	5.71368801694621	8.48407580140491
BA2993	5.68833994254818	8.84624370479657
BA2301	4.60295748096679	8.06147774301482
BA2852	5.42453578520679	8.29820901257083
BA2133	5.51345714323729	7.83554388846121
BA2866	6.36930495814156	9.19906475607931
BA2212	5.89086317810063	9.33455230246716
BA2685	5.40778946397742	9.39562360946183
BA2273	5.9773343667847	8.83362186336888
BA2477	6.16697408993369	9.29229417829056
BA2659	5.05963791860408	8.45453034732936
BA2124	6.63383351459938	9.49819442110274
BA2363	6.0344495153559	8.84941498844258
BA2369	5.84631034661227	8.79328666582968
BA2534	7.56679847925559	9.0271917203024
BA2400	5.92432462638165	9.46836798648192
BA2762	6.03732004077161	8.96117775713075
BA2312	6.01745471553114	8.79635277497105
BA2813	5.79446889536676	9.54457000922792
BA2211	6.67837784799198	9.17734760232419
BA2171	5.78002501253586	9.17171491689544
BA2746	4.56145114497437	7.89401548128851
BA2798	4.85230183637924	9.67679810675791
BA2809	6.37079667059363	9.1872873383188
BA2288	6.21760589006463	8.55505298542423
BA2801	5.10733697094661	8.32449794408229
BA3030	5.98792432171399	8.66873090783595
BA2588	6.3730951356739	9.44070228005406
BA2296	6.57772759538865	9.28397254525379
BA2300	6.17423728477739	8.69249597847146
BA2903	5.46260848821559	6.47376016789819
BA2473	4.66541353379402	9.13518361120238
BA2545	5.29014927757584	8.25764420926654
BA2840	5.20757281722967	8.5971359914493
BA2528	5.49025573477232	9.14863087419242
BA2646	6.24227196022735	8.84941498844258
BA3407	4.41937585941747	8.40429460371975
BA2240	5.87772009379433	8.25554427681065
BA2926	5.48685812816546	9.48238177689826
BA2272	5.16389532747044	8.26607857536642
BA2306	6.16229657509821	8.87501645157825
BA2765	5.10733697094661	7.08068398565122
BA2904	6.23081198982986	8.52958832512444
BA2883	5.00552413095077	9.05581138653334
BA2726	5.10142924510394	6.49846429425474
BA2234	4.09352976766015	7.19816924570359
BA2022	6.00392077224602	8.91751782379931
BA2228	4.73692025392607	8.48906113697349
BA2037	6.37031994316104	9.49651930986164
BA2184	7.44644074627456	9.2592593958878
BA3009	6.32314377198831	9.06304565250042
BA2842	4.54377637973889	7.37484847247432
BA2442	5.54393492602013	8.86536741111737
BA2882	5.05929023106165	7.69790613813162
BA2758	4.51398396735729	8.01121552663761
BA2705	5.54355794441881	8.4594113881339
BA2663	5.4040564998537	7.58640399756741
BA2570	6.3129901827468	9.070312190258
BA2764	4.16479586623105	7.86519796261888
BA2209	6.20525292176704	8.23267071257109
BA2989	6.26705656087935	8.87824586229709
BA2855	5.04138595893264	7.70582137825133
BA2261	5.32664570587017	7.49565796423242
BA2721	5.42748213274228	8.41608983118813
BA2930	4.32076840742144	7.75371580805874
BA2728	5.46114309064973	7.74132890165977
BA2715	5.13442321095142	7.71215406681609
BA2469	4.04753383160948	7.96260346447077
BA2269	4.81095988420945	7.15633759792086
BA2098	3.59566377043115	8.09251475928632
BA2778	3.69392175101973	6.98621603600523
BA2951	6.93021683662514	9.78674968596522
BA2163	7.03196402344294	7.09568366825665
BA2379	5.14161615451425	7.31397253852267
BA2817	4.73585764384443	7.86671215518685
BA3153	6.35855944709052	7.92699657991781
BA2820	4.82534093200762	8.20414503388581
BA2723	4.46663819123563	8.22445433533228
BA2704	6.19169062886434	9.23491479941431
BA2088	4.23317948236661	8.3972661940189
BA2116	5.36689692587537	6.78491577385659
BA2584	6.19479612483736	7.87430709609213
BA3079	5.95765278561263	8.24717893447311
BA2417	5.79321150053106	8.47910806756512
BA2361	5.50498484264806	8.09067732991193
BA2450	6.67894286315779	8.75995195431454
BA2492	4.23203632866019	7.35202275514424
BA2552	5.91595003127845	9.4270458724936
BA2472	4.56799936889978	8.04060780611373
BA2994	6.38599164256093	9.04501990946176
BA2047	5.70146183160515	8.54249270039127
BA2101	5.79045455115976	8.5117153749805
BA2082	5.53865932247819	8.97829037472744
BA2879	5.11922365704846	7.48057619109315
BA2577	6.7058515766051	9.4000752436972
BA2456	4.85371906563251	8.22445433533228
BA2175	4.99738222665924	6.84399982384708
BA2824	6.40454724548096	8.58457840504288
BA2507	6.74039110508618	9.15245565249128
BA2563	6.49406704275497	9.21888429779212
BA2244	4.96127415225726	8.44966638628301
BA2470	6.2918184227424	8.66407371953991
BA2984	5.62868512576849	8.74503353869987
BA2414	6.58623483162294	9.11835064360706
BA2697	4.61150443110127	7.00782899353321
BA2079	5.08758890657065	6.63915578339387
BA2999	6.39738498406032	8.59529250724368
BA2644	5.65485837851428	8.30909856685695
BA2011	5.32664570587017	8.00619097456886
BA2217	7.20800173217813	9.35176787188011
BA2454	7.33073792117204	9.13720994130471
BA2776	6.74039110508618	9.1872873383188
BA2218	5.91717313414898	9.47302564786274
BA2135	6.06255807626612	9.53000194332933
BA2914	5.77070270325106	7.96905854853838
BA2500	5.48059363504872	7.68775219309565
BA2830	6.85144834736251	9.79819104218496
BA2406	5.29272133823875	8.13176351189552
BA3108	4.66717493535737	9.44528028465592
BA2924	5.31255258978501	8.76595984417136
BA2303	5.28256921751163	7.93352218493006
BA2160	6.655181196516	8.82110029202306
BA2038	4.35906524158071	8.40194775982719
BA2602	4.62321630772693	8.32893113987774
BA2964	4.39407415685903	7.878761730409
BA2898	5.13692147172974	7.94635895319707
BA3003	5.2450731397095	7.88191833711993
BA2111	5.12563283342855	8.01457218763256
BA2827	5.11569183564456	8.18020169656618
BA2912	5.81007696621955	8.18217944661747
BA2437	5.1122048652643	8.21832699326225
BA2283	5.36221790332293	7.92868137841977
BA2057	5.19592591955162	7.89563066633541
BA2633	5.44569104780308	8.3603866090308
BA3034	5.06279777386113	7.97720455656684
BA2607	4.98230143047781	8.18813169577028
BA2761	5.67432622931416	8.40194775982719
BA2795	5.22927128390671	8.00271116464237
BA2182	5.25109490120941	8.19411260375688
BA2152	5.23965795443685	7.89401548128851
BA2381	6.38306782429477	9.55927298456459
BA2931	5.49691431965408	8.34456564828853
BA2040	4.54056013941107	7.72277870826456
BA2590	6.56990345420697	9.34744684153524
BA3195	6.86838819773824	9.4045391740165
BA2516	5.78615399709568	9.40177461105289
BA2353	7.26851020715081	9.62461563502098
BA3036	6.3850340445232	9.44070228005406
BA2971	6.23664169060856	8.05801802157941
BA3410	5.66279307581164	7.99739906746641
BA3118	5.42234890079115	8.8525926437112
BA3206	6.83601210531875	9.09600320401444
BA3202	4.24693083065817	8.84307877151568
BA3217	6.01664395833904	9.33455230246716
BA3405	5.35117907046834	7.61245153291675
BA3306	5.44067594846619	9.27982760161886
BA3371	4.97317547511932	8.91420804405317
BA3413	6.83843057067482	9.33027676031699
BA3411	5.73738411344192	8.88148184246882
BA3133	6.15921420802907	7.55977224878375
BA3164	5.78192253760815	8.77804587995587
BA3451	4.90254409754431	7.44242521067177
BA3286	5.8761890408473	8.50412364911741
BA3212	6.15834977750935	7.50105244518025
BA3103	5.4040564998537	8.7420670822246
BA3271	5.49289037233673	8.92748837970555
BA3152	5.21327609576147	7.13359161213086
BA3095	6.20098661255903	8.61695773628636
BA3192	5.35415056636227	9.4000752436972
BA3251	6.35399476116952	8.7420670822246
BA3362	5.60540886857144	7.81686981561798
BA3400	5.490635893289	8.15477520582082
BA3135	5.89003355654074	9.25517667754352
BA3408	5.12063498746829	8.42321613548815
BA3187	5.39277292171201	8.65006116973985
BA3098	6.18590754539494	8.77804587995587
BA3435	5.67887021391384	9.4000752436972
BA3261	6.47915200705891	9.06667487040862
BA3203	5.61405116349114	7.19738153999511
BA3174	5.21397119518206	7.89563066633541
BA3317	6.81883552060849	9.90525526471174
BA3299	4.41640814943071	8.268195867683
BA3221	5.50684581649132	7.54085820588458
BA3347	4.5651470965606	7.9003747386446
BA3235	4.59152669861806	6.9965338713589
BA3126	4.09434749658679	7.65148276489013
BA3380	5.84353133766961	9.05220627117217
BA3089	6.50598160592548	9.4917929010063
BA3109	5.19197507986882	7.91267481802265
BA3114	4.61788631559245	8.27456876079558
BA3418	6.25221507266163	9.1755941413251
BA3245	5.72099925846855	6.72876764999848
BA3085	6.88232132236019	9.2109276242084
BA3128	5.6290939324601	9.4045391740165
BA3423	5.86057748465192	9.59916222255831
BA3173	5.93735639042332	9.26335235036244
BA3171	6.34878143548061	7.55754763062472
BA3277	5.44424859687628	8.79022656584331
BA3210	5.82971849546372	8.24301678047805
BA3157	6.43193622663115	10.1099887487995
BA3433	5.85578814032464	8.7214605815193
BA3322	5.08223929101889	8.25554427681065
BA3374	5.35519815996299	8.92415796681604
BA3450	5.34219904385068	8.63894476137773
BA3167	4.81095988420945	9.04501990946176
BA3269	4.99738222665924	7.80392510487274
BA3110	5.37014622702408	9.20870997646767
BA3156	5.45234424595149	9.73079295605488
BA3226	6.25000151049301	9.55927298456459
BA3421	4.8864219540017	8.25344779136567
BA3232	6.27426778231287	9.03786515454843
BA3289	4.85971090955896	7.61833712147791
BA3430	5.25385282871793	7.74666982029682
BA3145	6.73922514739457	8.61695773628636
BA3399	4.74148796294472	7.84567146798846
BA3449	4.95086713745968	9.45447558148811
BA3384	5.9563978434584	8.824221356442
BA3427	5.25714318052804	7.21134659078952
BA3163	4.59152669861806	7.08148396341999
BA3158	6.79581543973709	9.2592593958878
BA3436	6.93827202821145	9.67679810675791
BA3154	6.2850706491728	7.76749698582267
BA3162	5.92513526908082	8.60337970015667
BA3352	6.18861040169558	9.67313133431446
BA3084	5.89359904116522	8.78717245605116
BA3149	5.35709573192361	7.8210975174081
BA3169	4.99738222665924	8.24301678047805
BA3180	5.90885007986137	9.11460476788528
BA3255	5.37928711694374	8.64449262965366
BA3438	5.831768285151	9.3735473533766
BA3345	4.94207214987635	7.67751428719864
BA3403	5.24180259489468	8.41372261793503
BA3431	5.5327793179831	7.86519796261888
BA3181	5.01499035740301	8.39960495989321
BA3341	4.25037031677199	7.99413751864958
BA3191	5.50721271315311	8.36494157515656
BA3197	6.83344544574865	8.97829037472744
BA3448	6.60051001058414	9.08494318011795
BA3453	4.81972624226558	8.80867768640892
BA3406	5.89003355654074	8.79635277497105
BA3308	6.62952631509886	9.38675693832204
BA3186	6.7037023558772	8.48399844841995
BA3334	4.61468245344628	8.7214605815193
BA3447	7.53734841909383	9.60422004710875
BA3116	4.92736106288858	8.70401585675217
BA3280	5.34471469248409	9.25110414260315
BA3185	6.0765385205626	8.5373170330564
BA3094	5.44318329987226	8.59798330037588
BA3318	4.65263126814038	8.47663077360064
BA3216	5.88406214865442	8.8879736022598
BA3332	5.83917770608647	9.36916799017741
BA3214	6.52836297577895	9.51245452204643
BA3099	5.81839607751016	8.8717935877338
BA3141	6.6430484484285	9.43158515365849
BA3373	7.08521741719084	8.78108213178214
BA3319	4.99665147897099	7.51413414557592
BA3328	5.75023036618314	8.07971165578759
BA3339	5.90720734250747	8.07425460403884
BA3240	7.46784096415085	8.97485330936457
BA3142	6.49002795768883	8.62516478231551
BA3333	6.66451367219681	8.98864564355709
BA3381	5.12596382526423	8.18217944661747
BA3290	5.67811655623058	8.25344779136567
BA3207	3.30852387884075	7.11965805588277
BA3296	5.02619905861961	7.05061628699762
BA3305	5.71368801694621	8.59260663428802
BA3434	6.20525292176704	9.18338030789918
BA3189	6.72005859768329	8.87824586229709
BA3264	6.11294027816034	8.69536777456055
BA3329	6.39359148087619	9.45616130594571
BA3417	5.51691886633525	8.57925061313916
BA3367	5.03748167961273	7.38257507273258
BA3225	4.30837790148871	6.41555515164963
BA3183	5.77294291662078	8.88148184246882
BA3222	5.4780108909795	8.70401585675217
BA3139	6.25445222164076	7.46894970580743
BA3397	6.5518017021576	6.732801148639
BA3311	5.23032944318066	7.04704814373678
BA3422	6.54042498941119	9.02011485988608
BA3228	6.11633596300958	8.92415796681604
BA3213	5.8546289142141	8.62516478231551
BA3270	5.36939086109841	8.31787605128572
BA3415	6.08148760261427	7.56784611916855
BA3324	6.40503611780804	8.5607551950315
BA3194	6.77720928573593	8.68106286594684
BA3335	6.11633596300958	8.19211577067672
BA3199	7.06166102601644	9.4000752436972
BA3326	5.30886708091399	8.22036612888066
BA3285	6.35713479831954	7.61362919863888
BA3297	6.17989946486144	8.05288390011611
BA3227	7.03623900558414	8.79022656584331
BA3394	6.21933467933948	9.39118419839355
BA3412	6.21454243325922	7.81249915728454
BA3293	5.91637612602088	8.85123237146193
BA3250	5.83256616777847	7.96260346447077
BA3177	5.6412866944169	8.77199110438686
BA3315	4.798374704262	8.34906675857089
BA3182	5.85810717843667	7.94936162159169
BA3260	6.02077165309049	7.42825345365406
BA3369	5.69992958447881	8.66407371953991
BA3078	5.48023322260474	8.96297616127633
BA3386	6.57509033573893	8.89776108628452
BA3445	4.87235166783045	8.25135474465914
BA3452	5.46001022094073	8.77199110438686
BA3176	6.55914586158058	9.21490111990201
BA3258	4.16634381840989	7.18983138735934
BA3295	5.68573255517546	8.05972702484149
