	ABL1	ASXL1
BA2526	0.0263968997837058	0.0123041868413557
BA2528	0.0154992790194664	0.0131187695813158
BA2532	0.0165176640230713	0.0154201082312731
BA2534	0.0232516222062004	0.0137994873255482
BA2538	0.012586517664023	0.0190330390202221
BA2539	0.0068961788031723	0.0087453716889774
BA2540	0.0125937274693583	0.0072671603531757
BA2541	0.0059012256669069	0.0091683281116491
BA2545	0.0118186733958183	0.0115408715465679
BA2546	0.0096431146359048	0.0085816006835659
BA2552	0.0384967555875991	0.0167416690401594
BA2559	0.014059120403749	0.0103745371688977
BA2561	0.0080064888248017	0.0066419823412133
BA2563	0.0161067051189617	0.0107035032754201
BA2564	0.0097710886806056	0.0072201651951011
BA2567	0.0041636625811103	0.0143192822557675
BA2570	0.0145692141312184	0.0150071204784961
BA2575	0.0071935832732516	0.0053175733409285
BA2577	0.0213626532083633	0.0126530902876673
BA2579	0.0098648161499639	0.019285103958986
BA2583	0.0164635904830569	0.0160823127314155
BA2584	0.0166005767844268	0.012072059242381
BA2587	0.0186751982696467	0.0113058957561948
BA2588	0.0140032444124008	0.0123867843919111
BA2589	0.0179704397981254	0.0197550555397322
BA2592	0.0183543619322278	0.0190002848191398
BA2593	0.0048125450612833	0.0050726288806607
BA2594	0.0085021629416005	0.0084463115921389
BA2595	0.0101045421773612	0.0072657362574765
BA2597	0.0188248017303532	0.0087297066362859
BA2600	0.011598774333093	0.0099643976075192
BA2603	0.0146557317952415	0.011140700655084
BA2618	0.0207354001441961	0.011547992025064
BA2619	0.0106759192501802	0.0092224437482198
BA2620	0.0146971881759192	0.008631444033039
BA2621	0.009030281182408	0.0103432070635146
BA2622	0.0153731074260994	0.0162645969809171
BA2623	0.0129217736121124	0.0151594987183138
BA2629	0.0102992069214131	0.0161250356023924
BA2631	0.0144736842105263	0.0105753346624893
BA2634	0.0064221341023792	0.0098020506978068
BA2636	0.008720259552992	0.0090159498718313
BA2639	0.0137959625090122	0.0120464255197949
BA2644	0.0111986301369863	0.0091298775277698
BA2645	0.0217844268204758	0.0133679863286812
BA2646	0.0225540735400144	0.0152549131301623
BA2649	0.0211121124729632	0.0130546852748504
BA2651	0.007761355443403	0.0078410709199658
BA2653	0.0130948089401586	0.0182213044716604
BA2655	0.0299783705839942	0.0259982910851609
BA2656	0.0079307858687815	0.0091398461976644
BA2657	0.0115537130497476	0.012040729136998
BA2658	0.0126622206200432	0.0116932497863856
BA2659	0.0140519105984138	0.0088436342922244
BA2660	0.0080857966834895	0.0073810880091142
BA2662	0.0143330930064888	0.0077855311876958
BA2663	0.0116925018024513	0.0113500427228709
BA2667	0.0136445565969718	0.0109256622045001
BA2670	0.0059354722422494	0.0090344631159213
BA2674	0.0104379956741167	0.0117544859014525
BA2675	0.0151568132660418	0.0101310168043292
BA2676	0.0147981254506128	0.0099843349473084
BA2677	0.0095962509012256	0.0112489319282255
BA2681	0.0056380677721701	0.0063884933067502
BA2682	0.012732516222062	0.009920250640843
BA2685	0.0221935832732516	0.0177442324124181
BA2688	0.0081380677721701	0.0145243520364568
BA2691	0.0082858687815428	0.0126673312446596
BA2694	0.0088482335976928	0.012577613215608
BA2695	0.0070007209805335	0.0067260039874679
BA2697	0.0056218457101658	0.0062930788949017
BA2701	0.009388968997837	0.0060139561378524
BA2704	0.0232498197548666	0.0135346055254913
BA2705	0.0289185291997116	0.0156550840216462
BA2707	0.0052000720980533	0.0194559954428937
BA2709	0.008352559480894	0.0058373682711478
BA2712	0.0131182408074981	0.0082099117060666
BA2714	0.0148071377072819	0.0112005126744517
BA2715	0.0302505407354001	0.0124836228994588
BA2718	0.0331092285508291	0.0144659641127883
BA2720	0.0045331651045421	0.0096197664483053
BA2721	0.0158417447728911	0.0124010253489034
BA2722	0.0155623648161499	0.0113471945314725
BA2723	0.0153586878154289	0.013440615209342
BA2724	0.008516582552271	0.0068000569638279
BA2726	0.008866258111031	0.0079222443748219
BA2727	0.0105082912761355	0.014303617203076
BA2728	0.0145583994232155	0.0128125890059812
BA2731	0.0071449170872386	0.0047308459128453
BA2733	0.006016582552271	0.0068413557391056
BA2735	0.0094772891131939	0.0099686698946169
BA2737	0.0095133381398702	0.0063742523497579
BA2742	0.0109138428262436	0.0089191113642836
BA2744	0.0048918529199711	0.0032156080888635
BA2746	0.0107534246575342	0.0089290800341782
BA2747	0.0102829848594087	0.008385075477072
BA2748	0.0250684931506849	0.0149743662774138
BA2751	0.0057804614275414	0.0099971518086015
BA2756	0.015416366258111	0.0084861862717174
BA2758	0.0097909156452775	0.0125932782682996
BA2760	0.0199783705839942	0.0115280546852748
BA2762	0.0134895457822638	0.0095371688977499
BA2764	0.0110994953136265	0.0103973227000854
BA2765	0.0068673395818312	0.0086086585018513
BA2769	0.0132498197548666	0.0104827684420393
BA2772	0.0075180245133381	0.0066191968100256
BA2775	0.0131074260994953	0.012823981771575
BA2776	0.0300306416726748	0.013686983765309
BA2778	0.0114708002883922	0.0061819994303617
BA2782	0.0080569574621485	0.0096624893192822
BA2786	0.0120547945205479	0.0089119908857875
BA2787	0.0031254506128334	0.0043790942751352
BA2789	0.026472602739726	0.0136770150954144
BA2791	0.0192880317231434	0.0100811734548561
BA2792	0.0083723864455659	0.0067786955283395
BA2798	0.019176279740447	0.0152620336086585
BA2801	0.005706560922855	0.0080675021361435
BA2802	0.0085291997116077	0.0136371404158359
BA2804	0.0094412400865176	0.0071176303047564
BA2806	0.0151315789473684	0.0103289661065223
BA2808	0.006452775775054	0.0101538023355169
BA2809	0.0128298485940879	0.016135004272287
BA2811	0.0167159336697909	0.0113671318712617
BA2812	0.006986301369863	0.0085602392480774
BA2813	0.0101748377793799	0.0071731700370264
BA2814	0.012141312184571	0.006905440045571
BA2816	0.0128983417447728	0.0126730276274565
BA2817	0.0133705839942321	0.0203674166904015
BA2820	0.0195241528478731	0.0101936770150954
