#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2584       NonMut        0.018484
   BA2587       NonMut        0.013204
   BA2588       NonMut        0.016266
   BA2589       NonMut        0.010446
   BA2592       NonMut        0.006436
   BA2593       NonMut        0.023411
   BA2594       NonMut        0.014721
   BA2595       NonMut        0.023767
   BA2597       NonMut        0.001118
   BA2600       NonMut        0.010925
   BA2603       NonMut        0.018030
   BA2618       NonMut        0.010983
   BA2619       NonMut        0.036015
   BA2620       NonMut        0.017064
   BA2621       NonMut        0.010907
   BA2622       NonMut        0.016255
   BA2623       NonMut        0.019769
   BA2629       NonMut        0.011633
   BA2631       NonMut        0.034553
   BA2634       NonMut        0.010545
   BA2636       NonMut        0.011980
   BA2639       NonMut        0.017423
   BA2644       NonMut        0.018279
   BA2645       NonMut        0.005023
   BA2646       NonMut        0.024579
   BA2649       NonMut        0.032294
   BA2651       NonMut        0.017609
   BA2653       NonMut        0.002147
   BA2655       NonMut        0.004320
   BA2657       NonMut        0.019899
   BA2658       NonMut        0.022354
   BA2660       NonMut        0.022119
   BA2662       NonMut        0.028141
   BA2663       NonMut        0.013809
   BA2667       NonMut        0.013286
   BA2670       NonMut        0.001909
   BA2674       NonMut        0.011046
   BA2675       NonMut        0.045172
   BA2676       NonMut        0.021023
   BA2677       NonMut        0.022076
   BA2681       NonMut        0.013254
   BA2682       NonMut        0.028668
   BA2685       NonMut        0.010770
   BA2688       NonMut        0.004593
   BA2691       NonMut        0.010194
   BA2694       NonMut        0.029901
   BA2695       NonMut        0.035921
   BA2697       NonMut        0.028512
   BA2701       NonMut        0.016999
   BA2704       NonMut        0.028203
   BA2705       NonMut        0.018719
   BA2707       NonMut        0.012004
   BA2709       NonMut        0.009865
   BA2712       NonMut        0.033610
   BA2714       NonMut        0.033417
   BA2715       NonMut        0.003709
   BA2720       NonMut        0.001390
   BA2721       NonMut        0.012638
   BA2722       NonMut        0.027843
