	NRAS	SRSF2
BA2414	7.19776843499985	16.52048756287578
BA2415	4.410196232178046	5.784375608737815
BA2417	8.310107650022767	12.604578445954084
BA2418	4.558479498388771	5.852862551853996
BA2420	3.2908094863614687	6.673973364609146
BA2421	9.876949670328226	5.350942554128971
BA2423	12.01254110805784	6.000412384804274
BA2425	5.349058291782689	8.608777895241822
BA2426	11.943840560288384	11.693868661328034
BA2427	9.648382190778756	6.0037188350709
BA2429	4.13021983655467	6.176043605283289
BA2440	13.846950790370837	12.648194603753424
BA2441	13.52081720654136	20.145754270094866
BA2442	6.131416527699035	8.743968100207633
BA2446	5.154975512648711	9.845302131772312
BA2449	14.358495504230818	6.396285146525121
BA2450	6.755089743124651	6.603321031922046
BA2452	7.104364218344255	13.516954483145255
BA2454	7.167375452938487	17.26327461462944
BA2455	6.319838521599662	3.910528036418665
BA2456	9.966741377451772	5.467941329607662
BA2459	5.197367691181537	4.261218993214063
BA2461	6.292183057089055	15.069173557393931
BA2463	11.631023555962196	14.677596729226243
BA2464	5.935835116649162	6.196766107099562
BA2469	2.479480266681983	4.177583132499608
BA2470	6.448783657596495	13.4406643279588
BA2472	7.120260874062128	7.002969939252052
BA2473	12.277759772398396	17.61282028367346
BA2474	3.823153580497314	5.556900559206135
BA2477	6.51083536484499	12.952167723166772
BA2479	5.792237648719655	5.270956797053147
BA2480	6.858662562901649	5.221559208280936
BA2481	1.9500316304262175	7.431470700183258
BA2482	5.181744149271933	6.062584079756848
BA2483	7.184584369918605	6.914749760947312
BA2485	4.537059321425513	5.92992856005121
BA2488	5.972482184896508	6.481372505584559
BA2489	8.45932371696038	9.890896292322566
BA2492	11.011238607856054	4.708722659288666
BA2494	13.56497751601759	8.267202187631659
BA2496	3.251993926259015	4.413315151161343
BA2497	3.623411757324423	5.6879551902635646
BA2499	6.496710153030407	5.54190921730581
BA2500	9.763715979600224	14.28248502325956
BA2501	8.649289306914952	16.016290495131866
BA2502	5.2998229022741965	7.52303870478604
BA2505	7.444915416346693	6.363570620678172
BA2507	6.560063163100905	14.380739159403634
BA2510	10.150973193326688	6.760117532121623
BA2511	3.9818622753483313	4.86640459517794
BA2512	8.058259924383538	13.280997866271184
BA2514	12.627821982473929	9.460769184449832
BA2515	6.607609594187041	5.895622525195992
BA2520	9.071639637678906	6.589913506704133
BA2521	6.141260525965011	11.10073495038827
BA2523	5.162453513142667	7.517763687149729
BA2524	12.872028314827125	7.462607636373677
BA2525	6.254739812485595	5.466561367386181
BA2526	14.85549398672674	10.293552526172045
BA2528	5.252407883833431	11.796546906297598
BA2532	10.346520288088774	6.487964395018982
BA2534	7.141719967407913	8.459329444596433
BA2538	17.002978754520772	5.394325127202471
BA2539	4.632481041525632	13.783379949387552
BA2540	6.126853077248297	6.093821057751978
BA2541	5.469396938866621	6.246426454135313
BA2545	4.877969494423181	9.589714367788345
BA2546	5.56938494821182	5.728219614595158
BA2552	11.166264509094391	8.667823095211054
BA2559	9.72601543910472	7.604231628237052
BA2561	2.790944167871684	12.142850342500884
BA2563	6.027268916462715	13.960567292486948
BA2564	5.04010040811193	5.953373950181264
BA2567	4.194453644098592	8.164090806058189
BA2570	6.338222333389105	6.277968963291617
BA2575	3.4342313240760283	4.186598620862128
BA2577	5.320930156444583	10.481296272317712
BA2579	6.183683530450364	5.799583556593004
BA2583	8.909156715544874	8.349535248523072
BA2584	6.736742397460128	12.988321421755929
BA2587	7.3667683983492385	12.222007272590782
BA2588	5.443474956485896	11.31051983183879
BA2589	12.066823178460044	7.947375643295165
BA2592	12.981756414846256	19.474247117780276
BA2593	1.4368811392668994	7.240328390009368
BA2594	5.387598573226479	6.987211126676434
BA2595	7.513490392391697	6.30470399812333
BA2597	7.311698497892424	5.527468741435484
BA2600	8.130010990925994	9.43693165628052
BA2603	4.60937930852175	8.031131002770422
BA2618	6.056514465933962	10.28489543340043
BA2619	5.927356078657691	5.095602446073737
BA2620	7.352841243952309	5.724776990730876
BA2621	4.810896405997424	8.52635196353477
BA2622	7.749577219692198	6.808239994869905
BA2623	9.690878446767968	14.54918465607203
BA2629	5.817280579043553	6.440224123048128
BA2631	5.468171902993351	7.706720301683648
BA2634	3.16205195508556	5.409271388395974
