#Résultats bruts de l'abondance de mutation du gène FLT3 selon la feature isDenovo, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000345 avec le test Mann-Whitney U
  Abundance   TotalKmers  NormalizedExpression isDenovo
 998.482759 1.419232e+10             70.353722     TRUE
  17.551724 6.739097e+09              2.604462    FALSE
 905.655172 8.577040e+09            105.590646    FALSE
 121.068966 5.867656e+09             20.633277    FALSE
  10.000000 1.279018e+10              0.781850     TRUE
  10.689655 1.031387e+10              1.036435     TRUE
  39.551724 1.312078e+10              3.014433    FALSE
 401.413793 1.286380e+10             31.204915    FALSE
  16.034483 1.199207e+10              1.337091    FALSE
 714.137931 1.269887e+10             56.236354     TRUE
 254.413793 5.072799e+09             50.152548     TRUE
 136.551724 1.322240e+10             10.327304    FALSE
 541.310345 8.693196e+09             62.268279     TRUE
 398.517241 6.520492e+09             61.117662    FALSE
 562.655172 7.328424e+09             76.777105    FALSE
  72.931034 6.907665e+09             10.557987     TRUE
 348.137931 9.483174e+09             36.711119     TRUE
  76.137931 8.531157e+09              8.924690     TRUE
 237.517241 7.670495e+09             30.965046    FALSE
 140.551724 9.492673e+09             14.806337     TRUE
 570.965517 5.578305e+09            102.354665     TRUE
  12.517241 7.805526e+09              1.603638    FALSE
 309.586207 1.143744e+10             27.067794    FALSE
 142.137931 5.986453e+09             23.743263     TRUE
1255.310345 1.056111e+10            118.861589    FALSE
 203.620690 5.860219e+09             34.746260     TRUE
  56.517241 6.463916e+09              8.743498    FALSE
 461.655172 1.458903e+10             31.643989    FALSE
  66.758621 7.965646e+09              8.380817     TRUE
  82.655172 8.340798e+09              9.909744     TRUE
  23.172414 8.011331e+09              2.892455     TRUE
 151.172414 8.617071e+09             17.543363     TRUE
 415.344828 9.070957e+09             45.788423    FALSE
 102.413793 9.962255e+09             10.280182     TRUE
 346.344828 8.731695e+09             39.665248     TRUE
  84.448276 6.124994e+09             13.787488     TRUE
 259.206897 7.132607e+09             36.341116    FALSE
 165.000000 7.355166e+09             22.433214     TRUE
 114.206897 8.560410e+09             13.341289    FALSE
  31.379310 7.470523e+09              4.200417    FALSE
1023.517241 9.344986e+09            109.525820     TRUE
 173.586207 1.003396e+10             17.299867    FALSE
  50.965517 1.245375e+10              4.092382     TRUE
  49.620690 6.109573e+09              8.121794    FALSE
 227.206897 8.749191e+09             25.968904     TRUE
 151.724138 7.588827e+09             19.993095     TRUE
 771.344828 1.234512e+10             62.481760     TRUE
  20.413793 9.053483e+09              2.254800    FALSE
 637.758621 1.121204e+10             56.881581     TRUE
 151.655172 6.968782e+09             21.762077     TRUE
  19.862069 1.066532e+10              1.862303    FALSE
 279.931034 7.974097e+09             35.105044    FALSE
1070.965517 1.015272e+10            105.485615    FALSE
 473.275862 1.192839e+10             39.676440    FALSE
 353.620690 8.101218e+09             43.650314     TRUE
  93.586207 8.869567e+09             10.551384    FALSE
  86.068966 8.933638e+09              9.634257     TRUE
 175.965517 9.250500e+09             19.022270     TRUE
 258.344828 7.196731e+09             35.897527    FALSE
 261.310345 8.486195e+09             30.792405     TRUE
 277.344828 8.495132e+09             32.647502     TRUE
 232.551724 5.633341e+09             41.281318     TRUE
 167.620690 5.835413e+09             28.724733     TRUE
  53.379310 6.245514e+09              8.546824    FALSE
  13.758621 7.448361e+09              1.847201    FALSE
  21.517241 7.859985e+09              2.737568    FALSE
 525.551724 8.873211e+09             59.229035     TRUE
 230.758621 9.177622e+09             25.143619     TRUE
 295.793103 8.484923e+09             34.861023    FALSE
 389.344828 9.399235e+09             41.423034     TRUE
 363.344828 6.832622e+09             53.177946    FALSE
 896.586207 1.180402e+10             75.955990    FALSE
 292.000000 6.861597e+09             42.555693     TRUE
 188.379310 8.054348e+09             23.388523    FALSE
 158.551724 4.867079e+09             32.576363     TRUE
 745.000000 9.689788e+09             76.885068     TRUE
 448.103448 1.074916e+10             41.687311    FALSE
 250.103448 7.207653e+09             34.699707    FALSE
  37.241379 8.857558e+09              4.204475     TRUE
 530.655172 9.789722e+09             54.205338    FALSE
 174.793103 6.313854e+09             27.684060     TRUE
 221.448276 7.091594e+09             31.226868    FALSE
  42.275862 6.033397e+09              7.006975     TRUE
  27.310345 1.026081e+10              2.661617    FALSE
 276.241379 7.183179e+09             38.456705     TRUE
  34.034483 7.895416e+09              4.310664     TRUE
  40.620690 8.486836e+09              4.786317    FALSE
 111.172414 7.145735e+09             15.557870     TRUE
  18.068966 6.517612e+09              2.772329     TRUE
 181.620690 7.301011e+09             24.876101    FALSE
 199.034483 9.142983e+09             21.769097    FALSE
  44.586207 5.952865e+09              7.489874    FALSE
 276.862069 7.599737e+09             36.430479    FALSE
 106.000000 5.429623e+09             19.522534     TRUE
 361.689655 1.019550e+10             35.475438     TRUE
 240.758621 8.441473e+09             28.520924     TRUE
 207.793103 1.227116e+10             16.933453     TRUE
 105.379310 8.352852e+09             12.615968    FALSE
  23.172414 5.791858e+09              4.000860    FALSE
 527.793103 6.586311e+09             80.134860    FALSE
 253.931034 8.776193e+09             28.934074    FALSE
 139.482759 9.666895e+09             14.428911     TRUE
 235.172414 5.575294e+09             42.181166     TRUE
  93.172414 6.058733e+09             15.378201     TRUE
 647.034483 1.213015e+10             53.341021    FALSE
 393.068966 7.004248e+09             56.118653     TRUE
  12.068966 8.254983e+09              1.462022     TRUE
 135.172414 6.627280e+09             20.396364     TRUE
 416.758621 8.690531e+09             47.955485     TRUE
 237.931034 8.954781e+09             26.570279    FALSE
 263.172414 5.786196e+09             45.482807    FALSE
 100.965517 1.058903e+10              9.534920    FALSE
  81.137931 4.643957e+09             17.471724     TRUE
 199.793103 9.451593e+09             21.138564    FALSE
 567.689655 6.586923e+09             86.184350     TRUE
 593.862069 6.979146e+09             85.090935     TRUE
 125.310345 7.746475e+09             16.176434     TRUE
  15.724138 6.891861e+09              2.281552    FALSE
 341.206897 9.795604e+09             34.832656     TRUE
 114.275862 1.782699e+10              6.410271    FALSE
  90.896552 4.572093e+09             19.880731     TRUE
 135.379310 8.914914e+09             15.185711     TRUE
 244.586207 6.302852e+09             38.805641     TRUE
  86.620690 8.897694e+09              9.735185    FALSE
  77.034483 5.458586e+09             14.112534    FALSE
 273.655172 8.167692e+09             33.504591     TRUE
 101.862069 9.534414e+09             10.683622    FALSE
  67.655172 9.576597e+09              7.064636    FALSE
  27.310345 5.760585e+09              4.740898    FALSE
  11.586207 5.697277e+09              2.033639    FALSE
 520.068966 7.309448e+09             71.150238     TRUE
 168.931034 1.061768e+10             15.910352    FALSE
1375.793103 1.079015e+10            127.504514    FALSE
 128.689655 7.654277e+09             16.812776     TRUE
 191.068966 1.077170e+10             17.738054    FALSE
 205.344828 9.249028e+09             22.201775    FALSE
 313.689655 6.077615e+09             51.613938     TRUE
  68.241379 8.251345e+09              8.270334    FALSE
