	KIT	WT1
BA3260	4.43026354617328	-1.72584860763551
BA3369	8.1073163967498	4.32487848767101
BA3078	8.74983670146495	2.03644880279444
BA3386	6.99516443206292	4.71967956133396
BA3445	2.9652424467697	-2.52860193285701
BA3452	7.80094268898657	4.45099662608198
BA3176	8.42321613548815	4.62178523619092
BA3258	1.45644363841645	-2.2313729742413
BA3295	7.63511106991273	4.0443841889074
BA3283	6.81394894542996	4.04672215210504
BA3390	2.0027706023653	-0.256578476181957
BA3275	1.79218942654284	1.15483203748155
BA3136	6.65069612456278	0.567085951906115
BA3190	5.36221790332293	-2.90198965929373
BA3234	4.19258206139557	0.678777713509964
BA3087	9.37087504671963	4.06401487195903
BA3454	7.38257507273258	5.31144747900552
BA3302	8.51934782702254	4.07877977370401
BA3117	9.25691151442812	2.72747661216038
BA3083	6.25491135905161	3.93035783278632
BA3266	8.20414503388581	4.21713539157627
BA3175	4.04515830056364	1.99295756555082
BA3268	7.15327818681819	4.90916379154876
BA3229	7.7045927999637	-1.51459060193487
BA3353	9.01658796485945	5.21007881246748
BA3312	7.96905854853838	1.93323034567971
BA3119	7.72277870826456	5.68535357501915
BA3138	5.76293182295601	-0.215560842284569
BA3219	3.36719135359718	-0.576724413844884
BA3388	6.51657057172327	0.325596608060987
BA3357	7.76884228347361	1.78295962451169
BA3351	6.11161537904966	4.55631560480699
BA3208	7.46163860381834	5.89165055148412
BA3310	8.2618544484033	5.26887133584046
BA3200	6.39165195051498	6.43739194293564
BA3325	7.39829394317713	5.29873886453286
BA3146	7.13121480456278	4.21290414058133
BA3211	6.22243678568209	4.49418167196418
BA3237	7.1045805500083	3.64844159262785
BA3130	1.63950073835561	-4.99483016516321
BA3376	6.96026429862309	5.62868512576849
BA3137	7.81969894849543	4.66009956525948
BA3300	7.31848514343172	4.19758383248503
BA3375	5.40039592941304	4.7544864013138
BA3249	7.85633367820174	6.96636526572417
BA3385	6.84596201012783	4.4543011664344
BA3242	7.59565623174131	3.14555866318589
BA3446	6.72238123052722	3.98610922971924
BA3416	7.9609725092348	3.59038811359781
BA3123	8.23632115552463	-1.57668320545483
