	NF1	STAG2
BA2322	67.9089880251087	0.050577329647097
BA2325	84.63892612993457	0.023581070092698
BA2329	58.569892419639714	0.0302488209464953
BA2334	105.09829684011098	0.0221174174662546
BA2339	75.60546526741308	0.0391933647747601
BA2344	141.96156499550946	0.033176126199382
BA2347	66.77803076811274	0.0538298910391933
BA2348	55.136801578737725	0.017401203447715
BA2350	91.19479049601118	0.0234184420230931
BA2354	113.2548155663928	0.0603350138233859
BA2355	120.526364356186	0.0790372418279395
BA2357	114.73993656372434	0.0222800455358594
BA2360	169.86331229535077	0.0411449016100178
BA2361	101.58710933354486	0.0365913156610831
BA2363	35.095611280938215	0.017401203447715
BA2369	189.42521296233164	0.0426085542364612
BA2374	90.40492261621532	0.063750203285087
BA2375	178.2945435585226	0.0609855261018051
BA2376	49.77597347964191	0.0434216945844852
BA2377	209.4103095988851	0.090746462839486
BA2379	124.56604347639134	0.0629370629370629
BA2385	47.80464009196283	0.0598471296145714
BA2386	231.55889311260623	0.0591966173361522
BA2387	153.3348976809124	0.0460237436981623
BA2394	95.31685868127607	0.0660269962595544
BA2399	148.13163782499456	0.0307367051553098
BA2400	205.685906014256	0.0611481541714099
BA2402	180.8329650691468	0.050577329647097
BA2405	79.99933475446306	0.0169133192389006
BA2406	34.71633495236259	0.0312245893641242
BA2409	129.54548333633426	0.0452106033501382
BA2410	225.8440833603437	0.0346397788258253
BA2412	36.32016613028614	0.0351276630346397
BA2413	222.15236454691257	0.0304114490161001
BA2414	198.15717400889827	0.0652138559115303
BA2415	34.29848221862546	0.0365913156610831
BA2417	114.89562170147244	0.0476500243942104
BA2418	135.68566336616163	0.0178890876565295
BA2420	92.4940177792892	0.0424459261668564
BA2421	91.31185986416747	0.0609855261018051
BA2423	84.67758172475536	0.023581070092698
BA2425	162.79491087118302	0.0367539437306879
BA2426	55.81249060280109	0.0305740770857049
BA2427	49.06504183977397	0.0248820946495365
BA2429	151.06596918946528	0.0583834769881281
BA2440	135.89464622431606	0.040982273540413
BA2441	303.9044042244336	0.094324280370792
BA2442	213.18153533200555	0.0466742559765815
BA2446	68.07249241660844	0.0367539437306879
BA2449	171.94192740645337	0.0681411611644169
BA2450	203.05409982012395	0.045373231419743
BA2452	193.1247259182125	0.0390307367051553
BA2454	131.56553160502267	0.0588713611969425
BA2455	82.35449417281512	0.0213042771182306
BA2456	61.180971099669165	0.038380224426736
BA2459	87.45011280306524	0.0372418279395023
BA2461	85.85159772017813	0.070743210278094
BA2463	41.31280183229365	0.0388681086355504
BA2464	107.24054284277707	0.0520409822735404
BA2469	251.0946035683642	0.0630996910066677
BA2470	124.4127267962813	0.042771182306066
BA2472	96.75468631074348	0.0458611156285574
BA2473	135.90179155823498	0.0565945682224751
BA2474	90.10814805826662	0.0320377297121483
BA2477	251.96199370434655	0.0683037892340217
BA2479	58.5148987250125	0.0260204911367702
BA2480	185.00097066910075	0.040982273540413
BA2481	45.24202580176599	0.0196779964221824
BA2482	179.89138144862451	0.0456984875589526
BA2483	170.9383763555678	0.0515530980647259
BA2485	174.4791578442435	0.0278093999024231
BA2488	125.0322329857764	0.0590339892665474
BA2489	60.39576113585825	0.0196779964221824
BA2492	63.18416194926038	0.0535046348999837
BA2494	95.09040528581576	0.0361034314522686
BA2496	45.25937170899411	0.0271588876240039
BA2497	42.28054193054178	0.0294356805984712
BA2499	101.23626725514532	0.0154496666124573
BA2500	199.5066088787393	0.090746462839486
BA2501	120.03527020920772	0.064563343633111
BA2502	129.68288700469952	0.0494389331598633
BA2505	175.77268062103064	0.0211416490486257
BA2507	148.35611675642977	0.0308993332249146
BA2510	37.039426921791566	0.0177264595869247
BA2511	43.14309877006726	0.0175638315173198
BA2512	84.18061058654125	0.070743210278094
BA2514	136.22047089526455	0.0276467718328183
BA2515	63.079763869883294	0.0297609367376809
BA2520	91.07509546057814	0.0138233859164091
BA2521	188.9495712148245	0.0606602699625955
BA2523	231.1519510714657	0.0346397788258253
BA2524	89.18268298048588	0.0299235648072857
BA2525	33.4185441002891	0.0369165718002927
BA2526	193.6457426221941	0.0315498455033338
BA2528	156.4198357593167	0.0237436981623028
BA2532	136.4370444751564	0.0647259717027158
BA2534	252.0719388356896	0.0528541226215644
