ID Sample	Abundance	TotalKmers	NormalizedExpression	NPM1
BA2312	34.206896551724135	8495131680.0	4.02664700680945	negative
BA2316	34.10344827586207	5633340580.0	6.0538587702187305	negative
BA2325	43.82758620689656	5835413360.0	7.5106223849233125	positive
BA2347	59.241379310344826	7859984720.0	7.537085811325194	negative
BA2350	15.724137931034482	6505109520.0	2.417198032206917	negative
BA2357	12.827586206896552	6424574660.0	1.996643651254035	negative
BA2361	64.44827586206897	9429462140.0	6.8347775202021195	negative
BA2374	31.13793103448276	9177621740.0	3.3928104596826367	negative
BA2387	33.13793103448276	6832622440.0	4.849957878615456	negative
BA2399	23.517241379310345	6861596560.0	3.4273716289886833	negative
BA2400	104.93103448275862	13690881820.0	7.664300653700232	positive
BA2405	17.103448275862068	4867078720.0	3.5141096456031984	negative
BA2426	17.103448275862068	6490189580.0	2.6352771463822275	negative
BA2440	35.27586206896552	8857558080.0	3.982571917718153	negative
BA2441	74.13793103448276	9789721620.0	7.573037713658987	negative
BA2442	31.0	8496487720.0	3.648566445524151	negative
BA2446	50.241379310344826	7182718900.0	6.994757836109224	negative
BA2449	16.586206896551722	9170928340.0	1.8085635697543485	negative
BA2454	25.655172413793103	8712777500.0	2.944545802276381	negative
BA2464	33.13793103448276	7183178660.0	4.6132683875751965	negative
BA2474	23.86206896551724	7145734960.0	3.3393442520735808	positive
BA2479	17.103448275862068	6517611800.0	2.6241894731843445	positive
BA2488	33.172413793103445	6229102740.0	5.325391983035978	negative
BA2489	10.827586206896552	5952864820.0	1.8188866259013339	negative
BA2496	40.6551724137931	5463355520.0	7.441429038429684	negative
BA2501	47.03448275862069	10195495240.0	4.613261215020752	negative
BA2512	84.58620689655173	12271159740.0	6.893089869967883	positive
BA2521	53.89655172413793	9825842040.0	5.4851840182989475	positive
BA2538	18.17241379310345	7400454460.0	2.455580787818732	negative
BA2545	57.41379310344828	9607272500.0	5.976076259255505	negative
BA2546	65.89655172413794	6058732820.0	10.876292730158374	negative
BA2561	52.89655172413793	7004248020.0	7.552067198805152	negative
BA2563	19.24137931034483	8254982540.0	2.330880679287885	positive
BA2570	13.89655172413793	7863224460.0	1.7672841205067076	negative
BA2575	42.55172413793103	4761447040.0	8.936721080894566	negative
BA2583	49.793103448275865	6892596340.0	7.224143267945365	negative
BA2584	24.58620689655172	8690530800.0	2.8290800024035034	negative
BA2588	70.6896551724138	8178035040.0	8.643843518236356	positive
BA2594	66.37931034482759	5786195520.0	11.472013020539546	negative
BA2600	23.517241379310345	8864826040.0	2.6528711644419753	negative
BA2603	43.241379310344826	7420922180.0	5.826954960784244	positive
BA2619	13.89655172413793	4643956660.0	2.9923947921034064	negative
BA2631	46.55172413793103	6979146160.0	6.670117385524282	positive
BA2644	40.75862068965517	8405220600.0	4.849202969123162	negative
BA2646	35.27586206896552	9795603860.0	3.601193205965918	negative
BA2651	26.20689655172414	5190688020.0	5.048829066734036	negative
BA2653	38.06896551724138	6701910460.0	5.680315448028439	negative
BA2658	36.13793103448276	9291569140.0	3.8893248804348635	negative
BA2660	18.17241379310345	4572093120.0	3.9746377241554187	negative
BA2667	47.03448275862069	7201538960.0	6.531171048281142	negative
BA2675	55.06896551724138	6302851800.0	8.737150620809675	negative
BA2685	21.41379310344828	9534413560.0	2.2459475843680816	negative
BA2688	24.13793103448276	5843420380.0	4.130788042752926	negative
BA2697	44.48275862068966	6970849480.0	6.381253640365458	negative
BA2704	36.48275862068966	7309448020.0	4.991178338072327	positive
BA2709	26.86206896551724	5717268760.0	4.698409344240315	negative
BA2718	53.41379310344828	7654277400.0	6.978293353131973	negative
BA2726	58.89655172413793	7451199700.0	7.904304554357593	positive
BA2728	64.06896551724138	8251344640.0	7.764669676582722	negative
BA2733	13.89655172413793	5270370420.0	2.636731503995108	negative
BA2742	59.10344827586207	8138125660.0	7.262538174651639	negative
BA2746	68.17241379310344	8656098080.0	7.875651727031199	positive
BA2748	49.10344827586207	7990536120.0	6.145200714750297	negative
BA2751	60.689655172413794	6623304940.0	9.16304710747831	negative
BA2775	140.48275862068965	10002797280.0	14.04434726489725	positive
BA2778	61.27586206896552	8457003520.0	7.24557603932102	positive
BA2791	55.58620689655172	6259413300.0	8.88041805716068	negative
BA2798	12.827586206896552	8592369800.0	1.4929043448405295	negative
BA2806	21.379310344827587	7345462600.0	2.9105464841421407	positive
BA2808	37.41379310344828	6702371340.0	5.582172518577325	negative
BA2812	31.0	7495806080.0	4.135645942430784	negative
BA2814	58.89655172413793	6421663080.0	9.171541856122719	negative
BA2816	33.13793103448276	7449993880.0	4.44804808812578	negative
BA2820	44.89655172413793	9500869000.0	4.72552055229242	positive
BA2821	106.03448275862068	12790176980.0	8.290306140753705	negative
BA2828	45.55172413793103	7312465020.0	6.22932540714308	negative
BA2836	32.06896551724138	6410103420.0	5.002878021777905	positive
BA2839	52.37931034482759	8100467620.0	6.466208224263921	negative
BA2840	31.0	10925892040.0	2.837296935253261	negative
BA2843	11.758620689655173	6993952140.0	1.6812555268150824	negative
BA2844	15.93103448275862	8292091500.0	1.921232355281972	negative
BA2846	39.793103448275865	7137672640.0	5.5750810460643185	positive
BA2861	25.655172413793103	5743499860.0	4.4668186713933515	negative
BA2865	31.48275862068965	6255084360.0	5.033146926365299	positive
BA2866	25.96551724137931	9119251680.0	2.847329819652407	negative
BA2867	29.93103448275862	8098344800.0	3.695944692643689	negative
BA2868	45.96551724137931	8331447180.0	5.517110802997291	negative
BA2871	65.20689655172414	9118767000.0	7.15084578339639	negative
BA2876	26.655172413793103	6835010000.0	3.899800060832845	negative
BA2902	34.44827586206897	7799221360.0	4.416886541872556	positive
BA2906	34.206896551724135	7153629560.0	4.781753970459177	negative
BA2908	49.51724137931034	7211399160.0	6.866523441660431	negative
BA2911	24.58620689655172	8854001660.0	2.7768468812949965	positive
BA2928	22.344827586206897	6436533460.0	3.471562406234566	negative
BA2932	41.689655172413794	7345157120.0	5.67580168692345	negative
BA2935	63.172413793103445	6740566140.0	9.37197447232577	negative
BA2944	28.86206896551724	11522717920.0	2.504796972893114	negative
BA2948	19.24137931034483	8909130020.0	2.1597371760374005	negative
BA2951	28.86206896551724	7223086360.0	3.9958083742912964	negative
BA2952	46.0	8901558820.0	5.167634223417961	negative
BA2955	42.62068965517241	4942944860.0	8.622529860705832	negative
BA2972	75.34482758620689	10192724500.0	7.392020414777903	negative
BA2976	94.79310344827586	8134305200.0	11.653497270827245	negative
BA2992	28.89655172413793	9313760400.0	3.1025655034177095	negative
BA3010	50.241379310344826	6930773640.0	7.249029029080342	negative
BA3013	21.379310344827587	7348316640.0	2.9094160461800116	negative
BA3023	13.96551724137931	6346827200.0	2.200393488163552	positive
BA3040	37.3448275862069	6065394020.0	6.157032414228366	negative
BA3043	65.51724137931035	6529792220.0	10.033587466786248	positive
BA3067	12.827586206896552	8305370640.0	1.544492926675281	negative
BA2303	50.206896551724135	8514264360.0	5.896797941533981	positive
BA2590	44.89655172413793	9138029180.0	4.913154777662674	positive
BA3078	87.89655172413794	12930846174.0	6.797432321240599	negative
BA3084	80.62068965517241	7536665780.0	10.697129474563539	negative
BA3094	46.206896551724135	12405219960.0	3.7247946187746708	negative
BA3095	37.41379310344828	9686832260.0	3.8623351885571187	negative
BA3098	33.689655172413794	7679781060.0	4.386798908615475	negative
BA3108	47.41379310344828	9072296660.0	5.226217228157559	negative
BA3116	23.689655172413797	8673759640.0	2.731186493013518	negative
BA3117	44.41379310344828	12552316206.0	3.538294636189814	negative
BA3118	34.206896551724135	8683805060.0	3.9391598861759958	negative
BA3119	59.55172413793103	10819947162.0	5.503883082449661	positive
BA3130	81.89655172413794	9036583920.0	9.062777754200056	negative
BA3133	55.72413793103448	8504459320.0	6.552343404123012	negative
BA3135	10.689655172413794	8084012720.0	1.3223204295519457	positive
BA3137	64.34482758620689	8449282240.0	7.615419364450878	negative
BA3142	49.27586206896552	11267704420.0	4.373194417622602	negative
BA3146	43.241379310344826	8414149380.0	5.139126649347034	positive
BA3149	59.93103448275862	8684668020.0	6.9007858843588386	negative
BA3154	23.0	9394752360.0	2.4481752278992484	negative
BA3158	33.13793103448276	7963118940.0	4.161426105043555	negative
BA3162	90.0	8331035440.0	10.802978891180903	positive
BA3167	94.75862068965516	6552646380.0	14.461122299972972	negative
BA3169	24.620689655172413	7659302000.0	3.214482162365763	positive
BA3177	60.93103448275862	12198101608.0	4.99512435958048	negative
BA3180	38.172413793103445	8947255520.0	4.266382435125028	positive
BA3181	68.6896551724138	7815738700.0	8.788632502825843	negative
BA3185	21.379310344827587	11798494864.0	1.812037093821257	negative
BA3191	40.0	7673257200.0	5.212910105502524	negative
BA3199	66.37931034482759	12334715122.0	5.381503317124407	negative
BA3200	78.20689655172414	8634397800.0	9.05759710905654	positive
BA3203	14.655172413793103	9370573100.0	1.5639568954211671	negative
BA3206	47.72413793103448	9269706180.0	5.14839812657735	negative
BA3208	31.379310344827587	7852002200.0	3.996345078052524	negative
BA3216	19.103448275862068	8260288680.0	2.312685308700624	negative
BA3217	30.724137931034484	9361310840.0	3.2820337296944713	negative
BA3219	146.13793103448276	11373748120.0	12.848704709532706	positive
BA3227	64.93103448275862	8628494140.0	7.525187295631474	positive
BA3229	82.72413793103448	12601408588.0	6.564673889695994	negative
BA3230	40.55172413793103	8115898980.0	4.996578227237992	negative
BA3232	81.62068965517241	7421623860.0	10.997686112210543	positive
BA3240	36.75862068965517	10888276568.0	3.3759815394188806	negative
BA3243	15.310344827586206	8929424000.0	1.7145948974520873	negative
BA3245	21.379310344827587	9354306920.0	2.2855044769931054	negative
BA3250	53.44827586206897	11086939920.0	4.820832100447512	negative
BA3258	110.13793103448276	11536125156.0	9.547220539402646	positive
BA3266	138.48275862068965	11950065948.0	11.588451413012205	positive
BA3270	117.06896551724138	12960972326.0	9.032421532325813	positive
BA3277	23.517241379310345	8901401880.0	2.641970522884688	positive
BA3289	52.10344827586207	6844100060.0	7.612899843527721	negative
BA3296	191.86206896551724	11506658452.0	16.6740039921989	negative
BA3302	44.89655172413793	13339228840.0	3.3657531677924144	negative
BA3310	31.0	8566527900.0	3.618735660686986	positive
BA3311	252.27586206896552	13063373120.0	19.31169382911766	negative
BA3332	31.0	12692437546.0	2.4423992544891107	positive
BA3335	27.79310344827586	11066648164.0	2.511429209314462	positive
BA3347	97.75862068965516	8843945040.0	11.053734532214502	positive
BA3351	52.41379310344828	12224468310.0	4.28761331571142	negative
BA3357	45.96551724137931	12339343754.0	3.72511846316615	negative
BA3369	67.10344827586206	12641417460.0	5.308221842067232	negative
BA3373	42.689655172413794	11854531614.0	3.6011254229562337	negative
