	RUNX1	GATA2
BA2909	6.91854859965898	7.51630069461518
BA2429	7.12040364606583	6.13853683580785
BA2653	7.68013043810275	8.67721676583393
BA2134	7.06371663624663	5.66361114365051
BA2947	7.78123623973778	8.5971359914493
BA2032	7.95765939482996	9.91143332054624
BA2162	6.37358566074055	9.31751716888528
BA2564	7.79663560293131	4.70523791699629
BA2597	7.63393532286626	9.36650856672567
BA3243	7.40609048790591	9.58909503454725
BA2106	8.13938594647296	7.01200936090574
BA2427	7.38560317769133	4.33903266779967
BA2841	6.04647904010288	5.94099029232779
BA2446	6.23342882640082	2.31812232252383
BA2645	6.61649602743193	9.64008823387741
BA2525	5.30060514576655	5.24865361107735
BA2876	6.16229657509821	5.79758031043752
BA2357	7.01847365520979	5.50571962151203
BA2546	6.36695225743452	3.0112376490771
BA2742	7.41889646736553	3.66797907398221
BA2316	7.48163507084779	3.22495437973645
BA2421	7.48695721637732	2.45065051871032
BA2087	6.85707363149716	2.55585093682386
BA2910	8.25344779136567	10.2053241381792
BA2148	7.50861653894833	8.16059641320183
BA2063	5.38841032189554	3.02935460711532
BA2329	6.91733301258099	7.2245944685398
BA3178	6.42280633283907	-0.106092733460167
BA2072	8.00619097456886	5.14543140849029
BA3029	7.92364245319313	8.92748837970555
BA2733	7.3212161814573	5.32125964978542
BA2995	9.09230819306279	1.87147539953468
BA2069	6.86281064555051	1.06756511195893
BA2100	7.54191215313676	6.69027313849037
BA2681	6.81883552060849	7.58759859001841
BA2248	7.92526519111295	6.88553914900191
BA2832	7.55189787670547	8.69249597847146
BA2308	7.4382687261571	7.87732006412967
BA2413	7.57003408038875	7.29077391107671
BA2701	6.83843057067482	5.76256437697443
BA2634	7.17761745050204	6.61275930528802
BA2677	7.16795764916514	7.25790347094091
BA2937	7.01983909137586	8.40664550150058
BA2600	7.53197491812839	6.59949061589029
BA2019	7.08227901596389	9.64527993925034
BA2412	6.15187477635529	6.57041549701901
BA2334	7.92699657991781	7.64511152399424
BA2050	8.20213208675208	7.30591810989836
BA3230	7.56567805381962	7.22951525991334
BA2953	7.79093203959201	5.74281190993701
BA2481	7.40510623344956	6.26652649814407
BA2731	6.17379906817959	4.76216052725516
BA2294	7.62205873798526	7.90950778255697
BA2418	8.5529001392332	7.77713213848426
BA2816	7.64636707538027	1.63244056607344
BA2656	7.64255001400601	8.15865294170913
BA2814	6.62033484572762	5.88643954120856
BA2631	7.78123623973778	8.0760787079227
BA2023	7.36910502551481	-0.126036792393191
BA2375	7.95452812467512	7.68273154484305
BA2485	9.12011695971816	9.30657970599922
BA2455	6.33092888167036	4.2507446186302
BA2025	5.70757619671164	2.32043052645812
BA2636	7.60876718089275	9.22287720595147
BA2325	6.69807753006718	4.5269559134182
BA2169	7.07180826529373	7.0623479587219
BA2156	6.54978276410253	8.22650342209935
BA2511	6.52072194410879	7.6112304020112
BA2939	7.85486380528094	8.22855584188171
BA2168	8.02685700006077	7.27636680044251
BA2505	6.93954050250455	7.27462693268534
BA2860	6.26429986711095	8.5529001392332
BA2707	8.33337930026134	6.27202284935672
BA2871	6.24864350807345	3.03505636097059
BA2655	6.47279065497325	5.94796425199258
BA2227	8.08518191159815	7.50002964161751
BA2125	7.67493502317828	6.27380663380772
BA2523	8.16644533071452	6.52219766315803
BA2603	7.52776715607633	7.93187727167438
BA2808	7.8894951557827	8.47415784691615
BA2282	5.9389872636167	2.39603844730184
BA2482	8.42559982560594	8.45696872743274
BA2812	6.79581543973709	2.68530372380301
BA2822	7.91267481802265	6.10829331712153
BA2594	6.62843695703125	4.34871319583887
BA2747	8.62242404966029	8.01284698319857
BA2561	8.58191208164573	0.106733079748621
BA2567	5.31326361994662	3.87651804611081
BA2906	6.70639038824238	2.27825644198579
BA2956	7.57003408038875	3.23073632692797
BA2474	7.94466831928416	8.0044307958278
BA2737	7.52879493976561	0.583388534420479
BA2110	6.84719227215285	4.92630002359127
BA2992	8.06884590575294	3.78491798790536
BA2220	7.60876718089275	9.160132157513
BA2772	8.03550248502968	8.79942491234482
BA2935	7.26238233832031	6.05993013058661
BA2260	7.81686981561798	4.49346190383121
BA2676	7.29162764738793	5.78078023650693
BA2948	6.31251579014812	8.35358316301659
BA2524	7.6685963483501	4.83023871763674
BA2811	9.0307417478067	8.47663077360064
BA2540	6.20872841683922	4.68836796933157
BA2928	6.74268846032395	4.17753260382741
BA2302	7.28800386009291	7.19225834495813
BA2595	7.4262875873266	5.88961440143981
BA2792	7.46679247570854	7.17761745050204
BA2651	7.59930957213068	6.92432887364054
BA2619	7.5098325342709	9.4917929010063
BA3013	7.94466831928416	5.87965665517008
BA2405	7.79800939146032	7.40510623344956
BA2735	7.74951233053604	8.43517613550052
BA2856	6.69192414230504	8.63894476137773
BA2377	7.60044547310861	2.36843137715683
BA2499	7.80094268898657	7.8503248353151
BA2463	8.61880009680474	2.17929512084737
BA3023	8.07789379739417	7.81686981561798
BA2095	8.85577669200061	8.05288390011611
BA2901	7.34547705030654	6.08192723673296
BA2275	7.80817251236376	6.35757561884313
BA2387	8.43037965011906	7.77444024847
BA2962	8.00271116464237	6.61649602743193
BA2195	7.53093612416627	8.31347995218337
BA2688	6.27332825884915	7.560948520145
BA2787	5.82191269814631	3.12103519528401
BA2420	8.79635277497105	6.08362235286883
BA2756	7.3875616099495	5.8081471591439
BA2122	7.27378385953679	4.82431105237604
BA2053	8.23886821722062	7.02841397070837
BA2080	6.46633469347968	5.89999571306857
BA2081	8.83048212173684	5.76181699229763
BA2354	6.98553956904008	5.88722354181861
BA3273	4.90986474335253	1.71633530219167
BA2893	8.69824500910271	8.07971165578759
BA2044	8.37180321609369	4.90950444103544
BA2489	7.10534081557561	5.30096102579671
BA2309	7.31758513982701	8.01457218763256
BA2720	6.23576326993081	7.5552619353094
BA2908	7.69790613813162	8.34151708484093
BA2054	7.42090370210596	5.69876878834828
BA2872	6.4108151402329	6.13505858445244
BA2526	7.32779530563549	8.34681429629083
BA2041	7.68775219309565	7.08598210070988
BA2464	8.04060780611373	7.31579076602089
BA2902	8.36494157515656	7.50436087643108
BA2541	6.79640967556144	7.65276972214058
BA2143	7.40707286933197	6.08318959151969
BA2094	8.24926512843891	-1.9002011047749
BA2769	6.96352997566574	7.3370513303313
BA2843	1.29229534870093	5.51382815263466
BA2592	7.59808663804993	5.87139334737162
BA2497	7.35957852119331	-0.200351841889843
BA2718	6.84657434431718	9.71984209806913
BA2575	7.07486831392374	5.35965803846691
BA2096	7.48594354331146	6.33465501524617
BA2593	8.74389874448259	6.50598160592548
BA2791	8.54249270039127	7.2245944685398
BA2620	7.11216085325929	6.6396645832219
BA2629	8.3156761580726	6.5105672693692
BA2870	8.28526081080175	1.06894896681523
BA2423	6.69080762366511	3.54497964521433
BA2682	7.75780436658957	7.53511002571526
BA2276	7.56321071069528	6.88553914900191
BA2348	6.2114515075537	4.47099076274074
BA2709	7.54085820588458	4.71407158331364
BA2789	8.67821802831458	8.85577669200061
BA2694	8.34681429629083	7.01613705435711
BA2538	7.89563066633541	6.04021038079235
BA2583	8.80867768640892	5.53534040119425
BA2415	6.04734642903678	3.41140290286834
BA2722	8.33784249776874	7.49794707202402
BA2806	8.94761722776196	7.96744532914178
BA2221	6.1921407741856	2.52007957747602
BA3025	6.29315264064962	9.53969913371194
BA2514	7.03986452617139	5.72754939375197
BA2520	8.3311533449718	2.91242066204713
BA2441	6.73745939965324	7.28268371584317
BA2153	8.06706072393759	5.7983454299058
BA2479	5.70908891657494	4.7941665840707
BA2281	8.68391306436784	7.82261702082019
BA2657	7.77846043065093	9.2429894144776
BA2932	8.3156761580726	7.63041516939983
BA2123	8.0760787079227	7.50105244518025
BA2844	6.30418081628279	4.95919380929034
BA2660	7.95104961478815	7.34370807957505
BA2836	7.61949698331246	6.93954050250455
BA3027	5.78731556681433	4.29639716866503
BA2714	7.93658206656699	7.06807720975175
BA2139	6.4489544024993	1.76917277909169
BA2251	6.1556592421586	10.3660086756332
BA2952	7.40406179513594	6.43493754543007
BA2440	7.04775148018528	5.98220791058853
BA2036	9.25517667754352	9.97467175015227
BA2828	7.22543117773692	7.70840071464408
BA2292	6.80845562026412	7.06020993945392
BA2410	8.52190108216259	7.93187727167438
BA2051	7.1956195388029	4.75937775414095
BA2532	7.01060112681321	7.83554388846121
BA2986	7.5075244144456	5.50315192004078
BA2494	7.25790347094091	9.8991027074875
BA2515	6.48803668934059	4.95086713745968
BA2748	6.5808607051832	7.63278489020753
BA2970	6.1821095995856	5.95193817538216
BA2622	8.03722226484621	4.99389750199927
BA2839	8.91090509269608	6.50494854074967
BA2052	7.98386019261508	4.39995076697618
BA3011	7.42313394469991	7.33163994376767
BA2868	6.46333894051768	9.1872873383188
BA2510	4.1972207613263	0.277265117709438
BA2065	8.39027400222105	8.15477520582082
BA2691	7.49358396361658	2.91665615356007
BA2374	7.02480711295981	6.50348265468803
BA2804	6.75251712721233	5.14161615451425
BA2670	7.57604503702852	5.72023465218825
BA2675	8.07426638068647	8.26396477173174
BA2589	7.26585264294213	9.2592593958878
BA2031	7.6112304020112	4.02452335153635
BA2198	8.99211218550823	6.44613094518311
BA2066	7.23036606098158	4.44555299237497
BA2344	7.53734841909383	7.58759859001841
BA2459	8.28924318234402	6.76898394569665
BA2229	7.33073792117204	6.60156923670466
BA2559	7.76200686781066	6.88867708372879
BA2093	9.37793858616158	9.38234175781362
BA2000	7.77161485169371	7.13121480456278
BA2425	7.53511002571526	9.81131500696184
BA2905	7.41889646736553	7.50647222464875
BA2304	6.41128456721012	-0.0150693070758923
BA2976	7.3212161814573	6.37878971540536
BA2386	8.33337930026134	9.44987135785787
BA2035	8.6306614688285	9.13342062895717
BA2760	6.77834045992494	5.61668949030342
BA2201	7.50539293842063	6.36792449266188
BA2355	7.33250978911574	5.32233498083344
BA2113	7.87430709609213	6.40170617544637
BA2155	6.8911840063889	10.332335723606
BA2955	7.15876570695721	3.4170840126625
BA2502	7.21053357648558	5.81083073745061
BA2322	8.30691336971867	7.08974258985974
BA2376	6.52836297577895	3.41561286956515
BA2020	7.44544500262934	7.53405377993628
BA2226	7.86519796261888	7.24647814947882
BA2200	9.16398396797258	8.3603866090308
BA2121	7.67751428719864	5.70530146482159
BA2944	7.84127876561754	8.14513423086413
BA2033	6.83661488155882	6.26705656087935
BA2867	7.90342171341614	6.47866220517702
BA2089	6.3811905938473	3.08537081267169
BA2224	7.80392510487274	7.33529770605395
BA2046	8.3513230443853	7.13433489569232
BA2972	6.64684027167279	6.63915578339387
BA2978	6.59622051144561	5.22173396238009
BA2829	8.5529001392332	7.55977224878375
BA2851	7.33339060020607	6.59041781660964
BA2587	8.5529001392332	5.15207050393233
BA2461	6.3423350524195	4.04229195612943
BA2695	7.02978091514104	6.21316864027758
BA2623	8.62242404966029	6.63383351459938
BA2024	6.81394894542996	5.51691886633525
BA2426	7.66015357873811	6.73745939965324
BA2271	8.23267071257109	5.03254935299147
BA3004	8.7629529869435	8.19012213724112
BA2579	6.18294422218273	3.94179623964938
BA3010	7.51413414557592	5.94914872700359
BA2662	7.3212161814573	5.1312402648846
BA2674	8.48158973981744	6.6396645832219
BA2280	9.08862153045619	7.74536502725477
BA2512	6.90877033903166	2.27310977570549
BA2658	5.53130217583918	3.01238141071871
BA2394	8.89449191470128	10.3745587770136
BA2950	7.80094268898657	6.08318959151969
BA2981	8.1336646480907	5.21743147503023
BA2934	5.4943411471575	3.23073632692797
BA2539	6.38171333036269	4.34458492733121
BA2249	8.27456876079558	7.23036606098158
BA2034	7.878761730409	7.78401208165605
BA2109	6.62086223855277	5.25385282871793
BA2242	8.21020338316209	8.1981158996604
BA2277	8.14898150925669	7.17358455839536
BA2727	6.82309107200081	8.29820901257083
BA2132	7.631611105114	8.1336646480907
BA2618	7.41308925427417	5.7443340618491
BA2521	8.40194775982719	7.6685963483501
BA2846	8.58457840504288	6.97731252665637
BA2885	7.05570452227078	0.499201192837283
BA2639	8.7629529869435	7.23126576681474
BA2775	7.98898804212453	8.75396729152058
BA2402	7.68895709467278	7.41497012248878
BA2097	7.66735491479546	6.65845499115322
BA2786	6.07058706634591	4.91685437213902
BA2399	8.92415796681604	7.90654028957083
BA2850	8.89776108628452	7.30676049708217
BA2174	7.24904224136933	6.39165195051498
BA2004	6.70141361221983	7.10612705087253
BA3001	8.50160207030541	9.11460476788528
BA2311	5.77033121359801	4.44334512113552
BA2483	8.46125654532408	7.94314055717551
BA3040	7.28800386009291	6.93954050250455
BA2837	7.20544727648903	7.37675245327076
BA2724	6.84900595542396	5.71100608100859
BA2911	7.6954634086272	7.95452812467512
BA2256	7.88342196520891	7.39540604135448
BA2821	7.89717932578411	5.09181307158236
BA2233	8.23061160269424	7.00565090016862
BA2744	8.27456876079558	8.99906762077278
BA2880	6.38738832095137	4.91721018578494
BA2621	6.68242645093915	4.85056186804303
BA3002	8.21405263917023	7.08521741719084
BA2501	8.19611264417946	7.1646982323911
BA2993	8.06147774301482	7.77161485169371
BA2301	6.6441169206914	4.78361272995645
BA2852	6.54204262926234	5.70872171926613
BA2133	5.38803577864658	5.82429929461363
BA2866	7.64895583047878	6.19563315556883
BA2212	7.04918884608735	5.48915482766383
BA2685	7.15078589361001	7.281719536851
BA2273	7.87430709609213	7.99573716734119
BA2477	7.94936162159169	7.05292631391108
BA2659	7.52196174027097	6.8446685918264
BA2124	8.25109369476589	7.65513327960109
BA2363	7.72127626045477	7.42090370210596
BA2369	7.12664090320603	6.59569193185131
BA2534	7.66369633945432	9.27156918109996
BA2400	8.12230223339654	7.14383843051354
BA2762	8.0044307958278	7.08227901596389
BA2312	7.23636521102564	7.25176192852259
BA2813	8.71562351354988	7.19643196455649
BA2211	9.1314039045803	9.02190186898869
BA2171	8.70690950167434	7.29431703031285
BA2746	6.76777472760262	4.79767961716109
BA2798	8.0301567645062	7.96422079504262
BA2809	8.2874098816496	6.5550219238791
BA2288	6.56942061445838	4.72003247702049
BA2801	6.40688318423783	6.06971777989566
BA3030	6.8958209414819	5.4066422207313
BA2588	7.74666982029682	8.07245680901417
BA2296	6.68242645093915	6.47426873472503
BA2300	7.42090370210596	5.79874599985332
BA2903	5.70452449404762	5.63551782963557
BA2473	7.19903013947942	7.36910502551481
BA2545	6.40549948389557	4.92380795044112
BA2840	7.37002936753922	9.59577094815016
BA2528	8.41846114844672	6.5518017021576
BA2646	8.12607789280928	7.49256176412129
BA3407	6.81145766315316	4.81902834400603
BA2240	8.38331776349613	7.72809482559201
BA2926	6.8791208631907	6.5851771545889
BA2272	6.91521402329812	5.95076318092024
BA2306	7.25527706310904	5.04444275985059
BA2765	7.17197273809379	6.08707291217101
BA2904	8.04414638908848	10.1753003572988
BA2883	7.68529642962647	8.31787605128572
BA2726	6.53298741802549	-0.238630282752338
BA2234	6.48902852435197	1.05164008757557
BA2022	8.7214605815193	7.70330320958059
BA2228	6.87718695252014	5.23174307005196
BA2037	7.76884228347361	8.24717893447311
BA2184	6.85025853686514	8.42083657982967
BA3009	7.72809482559201	7.23636521102564
BA2842	6.54204262926234	4.40802912825966
BA2442	7.97720455656684	7.74132890165977
BA2882	6.12991458455326	3.77959301841516
BA2758	6.93954050250455	4.26323917922153
BA2705	8.51425498508966	7.8210975174081
BA2663	6.13505858445244	4.20873434593167
BA2570	7.40305574053771	5.80572775335192
BA2764	6.36086030376613	5.04210102667198
BA2209	5.2557008751781	5.44603871114775
BA2989	8.91420804405317	8.20818067427413
BA2855	7.08671523409321	4.36015860511768
BA2261	7.06094242567649	7.86519796261888
BA2721	7.95104961478815	6.26118056372206
BA2930	7.05213628356552	5.53979697945933
BA2728	7.07845414922519	7.28525840993051
BA2715	8.27031665707811	6.91854859965898
BA2469	6.43146976668751	5.74011278993299
BA2269	6.72932018001604	4.62036406268975
BA2098	7.45053981568106	3.75076608161682
BA2778	7.28268371584317	2.42732071858121
BA2951	8.81177412986094	8.46922505155083
BA2163	7.47212920454885	7.42519569680361
BA2379	6.96912043899967	5.86210066626784
BA2817	2.99842729770843	1.83042814261167
BA3153	5.62607242115432	8.08335570616425
BA2820	8.04242466385173	5.64240286737973
BA2723	6.11928256232472	5.69915968973013
BA2704	9.07761127342397	8.11104544817006
BA2088	5.98220791058853	4.65333014368695
BA2116	6.76359470107912	6.94294359338222
BA2584	6.72183111998027	2.24349372699526
BA3079	6.87718695252014	6.6100656847185
BA2417	8.17232215906216	3.06113870744397
BA2361	6.56065461359229	4.6932849776624
BA2450	8.57394218930808	8.38100696139026
BA2492	6.17598273714894	3.31109043996003
BA2552	8.25135474465914	7.65148276489013
BA2472	7.70582137825133	5.32411225603459
BA2994	8.904319577833	8.22036612888066
BA2047	7.37002936753922	7.77846043065093
BA2101	7.07770710445007	4.65120922776301
BA2082	6.68127929274665	3.90728684369565
BA2879	7.30768711424343	6.69192414230504
BA2577	6.62413100331839	7.03196402344294
BA2456	6.57560815980456	2.29791028651136
BA2175	7.30948834304819	6.38261014012489
BA2824	9.22687989289351	8.75098362594822
BA2507	8.60067902691643	6.80545390529169
BA2563	8.93417001363455	7.98067391429632
BA2244	7.50539293842063	5.8045076557668
BA2470	8.27031665707811	7.75780436658957
BA2984	8.46185834013681	8.00780085925266
BA2414	8.26607857536642	6.95751613947387
BA2697	5.85542200416075	4.59081785984696
BA2079	5.88526249443146	3.85600991616853
BA2999	8.87824586229709	6.90096747490557
BA2644	6.6795007159625	6.78194925141946
BA2011	6.00051445317703	6.37975842200095
BA2217	6.39408540771364	8.48656626341456
BA2454	8.69249597847146	10.5981160524102
BA2776	9.44528028465592	8.24717893447311
BA2218	7.59694470359064	8.42321613548815
BA2135	7.68134464101013	5.36438724591077
BA2914	7.07251029744415	7.92045916247849
BA2500	8.5117153749805	6.70193954968785
BA2830	7.71088637463883	6.92050118830241
BA2406	6.74612605168156	3.72560586066794
BA3108	8.36266215228094	8.20616122712402
BA2924	7.64778904816974	7.50647222464875
BA2303	6.94294359338222	5.34973720544744
BA2160	8.30473182450184	8.32893113987774
BA2038	6.98756290986723	4.95577043792796
BA2602	6.98419090856441	4.40656431480039
BA2964	7.1158850415745	4.68133985426918
BA2898	6.69750566900229	4.78153410225228
BA3003	6.52889213798317	5.33137556428865
BA2111	6.8867637487898	5.55851041668359
BA2827	6.732801148639	4.82742292972687
BA2912	6.37975842200095	3.99833496825788
BA2437	6.78618260321054	5.35593989387114
BA2283	6.46528423305325	4.81337176305461
BA2057	6.51205995717627	4.51939484788158
BA2633	6.82908216215166	5.16960938829634
BA3034	6.61380571566026	5.28256921751163
BA2607	6.59094704308975	4.60223859726182
BA2761	6.48462547088391	4.68309897358403
BA2795	6.58028734101557	4.53769799161138
BA2182	6.6952290990594	4.89591757187592
BA2152	6.59569193185131	4.38228741422543
BA2381	8.32449794408229	7.06885426902192
BA2931	6.84162430439576	4.47827685062553
BA2040	6.47228949068298	3.26599227921617
BA2590	8.70112769787832	7.19738153999511
BA3195	8.60337970015667	7.02200264661639
BA2516	7.54191215313676	6.44710159988793
BA2353	8.23267071257109	6.91854859965898
BA3036	7.44839655086442	8.34456564828853
BA2971	7.38361760058351	8.50093062457148
BA3410	7.42928783450574	6.10703701818297
BA3118	7.45275636284168	5.98917879350321
BA3206	7.32679901700122	6.34190143280827
BA3202	6.06255807626612	4.49454936710229
BA3217	8.60337970015667	7.89401548128851
BA3405	7.67359575985668	6.63486341869675
BA3306	7.96744532914178	7.51299557490928
BA3371	6.95150045701844	5.36365751969834
BA3413	7.17595663951225	7.63278489020753
BA3411	6.81811142246577	5.03642055076695
BA3133	7.51630069461518	8.97142354261209
BA3164	8.32671267592458	8.5555137585582
BA3451	7.13359161213086	3.32501250452144
BA3286	7.57724219112205	5.84234806468241
BA3212	7.69023500088856	10.1019627568373
BA3103	8.00271116464237	5.06069232646451
BA3271	8.49406416345013	6.05279557201734
BA3152	6.71035314821396	3.24991105964122
BA3095	8.49657233882556	8.09989277486394
BA3192	8.70112769787832	6.97318609681243
BA3251	7.85205086731265	7.03918975972709
BA3362	6.62413100331839	0.433070764286167
BA3400	8.13747585819058	8.33337930026134
BA3135	8.09619809378225	7.08899874190146
BA3408	5.26602721557854	3.38554683036159
BA3187	7.73200199894925	5.11433165880832
BA3098	8.57925061313916	7.02978091514104
BA3435	8.31347995218337	7.93658206656699
BA3261	6.36467185423724	4.68906744298486
BA3203	6.71610247691018	6.52375465899181
BA3174	7.60395254604328	4.59438606664195
BA3317	8.73025810259064	8.17625565039323
BA3299	7.5075244144456	5.26710389157619
BA3221	5.80067915322974	2.71814995189887
BA3347	6.87589317842963	1.4977254366136
BA3235	6.86648111845466	4.24655068383766
BA3126	6.89511146582289	2.64402051124596
BA3380	7.73071674907066	7.18812871773308
BA3089	8.2960419873451	8.04934885751887
BA3109	7.06166102601644	5.95395062623658
BA3114	6.5435898741168	7.18398636132438
BA3418	6.8602531678363	7.28800386009291
BA3245	7.2456266527422	6.84839040918598
BA3085	7.5725144548201	7.11517726354172
BA3128	8.14705635633251	7.30861526987379
BA3423	8.25764420926654	7.7605970351598
BA3173	6.97383568837724	6.07221564365928
BA3171	7.36724009431295	7.37675245327076
BA3277	8.18020169656618	7.2179085684236
BA3210	7.54295367203655	6.4915209071939
BA3157	8.92083445647999	6.68070832768596
BA3433	8.44724078411408	8.30037965468589
BA3322	6.43046914091516	4.34569920053779
BA3374	6.44227342376241	-0.177808519803868
BA3450	7.94145634611773	6.77720928573593
BA3167	7.30768711424343	0.719254707053097
BA3269	7.33529770605395	6.76898394569665
BA3110	7.27982858914582	2.87198103535148
BA3156	6.32868471625961	7.83704881770087
BA3226	8.77804587995587	8.14705635633251
BA3421	7.03474280183588	6.54456958822718
BA3232	8.35358316301659	8.15477520582082
BA3289	6.92559422045597	4.99494706061389
BA3430	6.39027254472215	3.64521772451027
BA3145	7.77015373984418	8.20818067427413
BA3399	6.76002445528346	6.40074858834192
BA3449	7.70197141870837	8.79635277497105
BA3384	8.0301567645062	7.68652733200955
BA3427	7.18556384102574	7.88494695067266
BA3163	5.74129207216541	2.07381903278467
BA3158	7.65513327960109	7.96744532914178
BA3436	8.84307877151568	10.4540502805812
BA3154	6.40549948389557	0.601632895281666
BA3162	8.25554427681065	6.46633469347968
BA3352	8.61607464234973	7.01472936087095
BA3084	7.00146186913291	4.77031077404719
BA3149	8.17428733914348	3.28330883545606
BA3169	6.91326402535282	3.00426499817374
BA3180	8.61968837224666	7.02698040559294
BA3255	8.2409408040855	7.81832288003789
BA3438	7.72809482559201	1.59541816670198
BA3345	6.04484767922597	2.11388863910946
BA3403	6.73865750312275	1.97096633043764
BA3431	6.71095851013656	6.16270217963845
BA3181	7.55754763062472	5.21924696123963
BA3341	7.61949698331246	7.60395254604328
BA3191	7.63278489020753	7.06736498172321
BA3197	8.25764420926654	10.0139606390354
BA3448	7.76884228347361	7.76334677298606
BA3453	7.46894970580743	6.94358580230343
BA3406	7.83268389248944	7.62437772428186
BA3308	9.19120372633416	7.41702873174962
BA3186	7.58065740201547	9.9053830477262
BA3334	7.29431703031285	4.22175408993243
BA3447	7.14687001357008	4.59972375526065
BA3116	6.41947371786185	3.24833932522177
BA3280	8.5529001392332	7.63278489020753
BA3185	6.25854276374572	2.28340449654963
BA3094	6.2379984984627	-1.96011964564348
BA3318	6.87212018212394	6.326824292765
BA3216	8.0760787079227	6.47279065497325
BA3332	7.93502206043898	7.36724009431295
BA3214	6.59838838471777	7.99246857024867
BA3099	8.79635277497105	7.75780436658957
BA3141	8.19611264417946	8.84307877151568
BA3373	7.42090370210596	8.43758065182973
BA3319	7.37299295258264	5.9785222997962
BA3328	7.97388709664949	9.1410080593907
BA3339	5.72866766844001	1.3495851994097
BA3240	8.17822710034905	8.91751782379931
BA3142	9.10341841676742	8.68676863894814
BA3333	8.32449794408229	7.37577438257785
BA3381	7.30768711424343	5.08870565418655
BA3290	7.12664090320603	8.19012213724112
BA3207	7.10693286579065	3.02428518304635
BA3296	6.1842076331656	3.53193069811392
BA3305	7.53093612416627	6.50854787129231
BA3434	8.49908497066643	4.82292152807512
BA3189	8.68106286594684	6.86708630662577
BA3264	8.41846114844672	7.17999658780694
BA3329	6.64579190444665	9.23665444981222
BA3417	6.54307132156237	0.207476070123517
BA3367	6.70309367478267	5.72023465218825
BA3225	7.07025966230358	3.92905779716509
BA3183	7.92699657991781	6.73692509275104
BA3222	6.58940815390926	0.578560653385863
BA3139	8.70874486254081	7.81101053195418
BA3397	8.06884590575294	3.03620367997927
BA3311	7.08368088883067	6.35019247071228
BA3422	7.98898804212453	9.65571538111022
BA3228	8.3972661940189	7.8210975174081
BA3213	8.09251475928632	5.6533576160666
BA3270	7.18474506245045	6.34737367069021
BA3415	8.672544374331	5.82971849546372
BA3324	7.65148276489013	6.87212018212394
BA3194	6.92239609110895	8.2960419873451
BA3335	8.6697155276332	9.2389471182711
BA3199	7.41600983782201	7.05796014084047
BA3326	5.81007696621955	2.88584557978208
BA3285	8.42744390017979	9.61602995658446
BA3297	8.1981158996604	7.82688083190866
BA3227	8.99211218550823	9.60929418124753
BA3394	7.13831231065164	7.53511002571526
BA3412	5.20189485084995	0.439987090282692
BA3293	9.22062772367926	9.06845231152446
BA3250	7.63755645913212	5.42966375134891
BA3177	8.54508752883457	5.13976221148527
BA3315	7.10534081557561	3.90901162589946
BA3182	7.62683244469809	5.55510823651463
BA3260	6.00431982068801	4.66398706452937
BA3369	7.84567146798846	4.807111451034
BA3078	8.29355254161206	5.75415496254133
BA3386	9.19512951707567	8.70980864868103
BA3445	7.26066025557169	6.61275930528802
BA3452	7.46577618872004	7.32489473499785
BA3176	8.00107447892983	7.22042069105103
BA3258	6.64862107605335	1.26994075255518
