ID_sample	TypeMutation	ExpressionGene
BA2910	mut14	10.2053241381792
BA2939	mut14	8.22855584188171
BA2978	mut14	5.22173396238009
BA2989	mut14	8.20818067427413
BA2999	mut14	6.90096747490557
BA3001	mut14	9.11460476788528
BA3011	mut14	7.33163994376767
BA3025	mut14	9.53969913371194
BA3038	mut14	6.41227021268222
BA2303	mut14	5.34973720544744
BA2590	mut14	7.19738153999511
BA2924	mut14	7.50647222464875
BA3079	mut14	6.6100656847185
BA3084	mut14	4.77031077404719
BA3118	mut14	5.98917879350321
BA3135	mut14	7.08899874190146
BA3137	mut14	7.66369633945432
BA3157	mut14	6.68070832768596
BA3162	mut14	6.46633469347968
BA3164	mut14	8.5555137585582
BA3171	mut14	7.37675245327076
BA3176	mut14	7.22042069105103
BA3186	mut14	9.9053830477262
BA3189	mut14	6.86708630662577
BA3190	mut14	6.80603450730616
BA3192	mut14	6.97318609681243
BA3197	mut14	10.0139606390354
BA3199	mut14	7.05796014084047
BA3200	mut14	10.3158055322447
BA3213	mut14	5.6533576160666
BA3217	mut14	7.89401548128851
BA3226	mut14	8.14705635633251
BA3251	mut14	7.03918975972709
BA3260	mut14	4.66398706452937
BA3275	mut14	8.57394218930808
BA3277	mut14	7.2179085684236
BA3297	mut14	7.82688083190866
BA3306	mut14	7.51299557490928
BA3308	mut14	7.41702873174962
BA3317	mut14	8.17625565039323
BA3322	mut14	4.34569920053779
BA3324	mut14	6.87212018212394
BA3325	mut14	7.57365573963701
BA3329	mut14	9.23665444981222
BA3335	mut14	9.2389471182711
BA3376	mut14	7.75640802704286
BA3385	mut14	7.92868137841977
BA3399	mut14	6.40074858834192
BA3418	mut14	7.28800386009291
BA3435	mut14	7.93658206656699
BA2409	NonMut	4.08953411027778
BA2496	NonMut	4.22136650202706
BA2172	NonMut	7.72672331348077
BA2923	NonMut	-0.905814060314707
BA2751	NonMut	6.91069984449294
BA2480	NonMut	8.44966638628301
BA2286	NonMut	6.84098754890722
BA2922	NonMut	6.95344802847081
BA2452	NonMut	7.2808607611199
BA3379	NonMut	6.11039522609915
BA2887	NonMut	5.05929023106165
BA2712	NonMut	2.26275670492429
BA2104	NonMut	0.732935262992316
BA3124	NonMut	5.77221027466017
BA3395	NonMut	7.45571345371651
BA2921	NonMut	7.41497012248878
BA2449	NonMut	5.21327609576147
BA2003	NonMut	7.37771038448057
BA2360	NonMut	8.58992566833602
BA2802	NonMut	7.40900238551148
BA2235	NonMut	6.83214250556656
BA2858	NonMut	4.24617468927424
BA3006	NonMut	7.99915514777274
BA2667	NonMut	6.50152491798344
BA2239	NonMut	4.89696755761679
BA2649	NonMut	7.15798365655759
BA2861	NonMut	7.44839655086442
BA2429	NonMut	6.13853683580785
BA2653	NonMut	8.67721676583393
BA2134	NonMut	5.66361114365051
BA2947	NonMut	8.5971359914493
BA2032	NonMut	9.91143332054624
BA2564	NonMut	4.70523791699629
BA2427	NonMut	4.33903266779967
BA2841	NonMut	5.94099029232779
