	DNMT3A	KIT
BA2054	5.07550246590364	5.13193342655662
BA2872	5.31756660169569	6.41806054956223
BA2526	4.92943275175156	5.60348204059795
BA2041	4.60901148734067	6.14889515620208
BA2464	6.09645228197541	7.70197141870837
BA2902	5.39890865222561	5.85341733924409
BA2541	6.22378350328208	7.62080780455831
BA2143	5.09390910729551	7.12590219224429
BA2094	5.80146381261149	0.162179847700664
BA2769	5.91953516934334	6.82369230677028
BA2843	7.04918884608735	7.68775219309565
BA2592	5.39347949789235	6.28328278970437
BA2497	4.53554304554111	-1.79323399416306
BA2718	7.87584460904621	7.99739906746641
BA2575	4.84562521936661	5.99724316529864
BA2096	4.66610967820232	6.21496669116308
BA2593	5.2635303158332	5.69295647546023
BA2791	5.91758639573652	6.3688389446517
BA2620	5.72903451515424	7.19985683529985
BA2629	6.23533588980149	5.91637612602088
BA2870	6.38599164256093	2.62348222679061
BA2423	4.43352231435234	2.36769406332286
BA2682	5.44640808199127	7.64895583047878
BA2276	5.42530018626189	5.42161592263156
BA2348	4.75764062057754	2.91773529558035
BA2709	5.2868395453686	6.00841658197255
BA2789	5.88684341274268	8.25344779136567
BA2694	6.22675882110798	6.30006188044534
BA2538	6.25807759133934	5.37928711694374
BA2583	6.36648969189247	7.81538872947805
BA2415	4.81585561124571	4.50065722085035
BA2722	5.89048099649459	7.10612705087253
BA2806	5.91595003127845	7.51084212363206
BA2221	4.65687977223113	4.19332061557143
BA3025	7.31039812260742	7.20800173217813
BA2514	5.17241204196236	5.86940153677441
BA2520	6.93890773932704	4.68486735962429
BA2441	6.92239609110895	7.72277870826456
BA2153	6.39926285688665	8.99906762077278
BA2479	5.61780736228049	3.64055833212888
BA2281	6.1921407741856	4.88780360986739
BA2657	6.04691526295528	4.35206524028425
BA2932	6.14718029862126	7.52657913903788
BA2123	4.48731198029739	6.19874995357892
BA2844	5.36000471761652	7.31484141146978
BA2660	5.62419273985357	5.87260128091849
BA2836	5.62530338833762	7.15078589361001
BA3027	5.36514025423526	2.43277955517649
BA2714	5.21363189314042	7.35673455123978
BA2139	4.53197710730373	1.49445405603774
BA2251	7.54970729199318	7.64135506224067
BA2952	4.36608295505138	4.05764463767079
BA2440	4.78017722753487	5.83560892628546
BA2036	6.25807759133934	5.0083041453619
BA2828	5.75062167266173	7.44544500262934
BA2292	4.11937931431274	5.99724316529864
BA2410	5.75415496254133	7.51527675972318
BA2051	4.68591344454784	5.25714318052804
BA2532	4.96266025809675	4.7790741086654
BA2986	5.59662502172316	8.01965582601105
BA2494	5.24647301398251	6.43793151264448
BA2515	5.18055221298724	6.68127929274665
BA2748	6.79158437688518	7.62437772428186
BA2970	5.58383676402354	5.98303645552473
BA2622	4.81831316874204	4.83724303208421
BA2839	4.66151584498319	7.48490734822992
BA2052	6.34832965907228	5.78192253760815
BA3011	5.11433165880832	3.98080879790434
BA2868	7.18812871773308	6.52324588492183
BA2510	5.21924696123963	6.50804753914762
BA2065	6.17379906817959	8.25974759702626
BA2691	4.77982414410044	1.42234206716286
BA2374	5.51691886633525	7.01983909137586
BA2804	5.82541777312417	5.98220791058853
BA2670	5.45893049861312	5.55778136463102
BA2675	6.34832965907228	7.92045916247849
BA2589	7.27555120012057	5.29733962996603
BA2031	5.12702075468941	4.36276075031951
BA2198	6.54928934120065	6.53495824677914
BA2066	4.56478976898356	5.94221717949707
BA2344	6.75597489483719	5.28107931681894
BA2459	5.41754429750073	5.17241204196236
BA2229	6.2290430058542	7.33250978911574
BA2559	5.02728430921221	4.47062750328023
BA2093	6.36086030376613	8.6697155276332
BA2000	5.82859548893421	7.94314055717551
BA2425	6.12637853560869	5.65372634921578
BA2905	5.90555861314736	7.50539293842063
BA2304	4.5391313162393	-0.736047992509252
BA2976	5.89878476046271	6.62737493861003
BA2386	5.76181699229763	6.41227021268222
BA2035	7.38848640256579	5.79487700443781
BA2760	5.22317063501282	5.5985184260425
BA2201	4.76005725019894	5.93777047922961
BA2355	5.02764204989782	4.98897342757444
BA2113	5.95559861955689	8.53327685252825
BA2155	6.54150806703429	7.62437772428186
BA2955	4.80814964517647	4.5391313162393
BA2502	4.91792245118013	5.85381815948029
BA2322	6.24013217204255	7.97894297933459
BA2376	4.81549079833473	3.16972930293428
BA2020	5.67811655623058	5.28216189346069
BA2226	5.69683059962592	5.88838394030345
BA2200	6.16950493399515	6.80486837491
BA2121	5.97608438156721	5.77488348222962
BA2944	7.24218373520164	6.94758145894243
BA2033	4.56407532031905	5.59251221721887
BA2867	6.13725593051751	8.57394218930808
BA2089	4.27079096532492	3.23189129338738
BA2224	6.16479221189801	8.09067732991193
BA2046	4.60401552568644	7.94314055717551
BA2972	6.61484329859941	8.02685700006077
BA2978	5.38151536241943	4.44482165400227
BA2829	5.66740335166233	7.62320575204897
BA2851	6.02615955253131	8.58992566833602
BA2587	5.97523061949623	8.15284092667829
BA2461	5.15668163101419	4.86570889780568
BA2695	4.65902094233579	4.77523727497609
BA2623	6.63758201438047	7.62925234894777
BA2024	5.40260210506482	6.07479305709891
BA2426	5.91240742486635	6.97110220501606
BA2271	5.10834862967978	-0.425828695317915
BA3004	6.38888273500531	6.43437499992686
BA2579	5.66051919592254	4.6788765540465
BA3010	5.53426887614694	4.41460197309359
BA2662	5.34255610443151	5.59027419096801
BA2674	6.40360502181603	9.2429894144776
BA2280	6.36182238595201	7.13433489569232
BA2512	4.68695768946558	2.98186111032531
BA2658	5.76371292639746	5.58159000678894
BA2394	6.73922514739457	6.89644993218602
BA2950	6.02576365304124	4.65477615366599
BA2981	5.64089444218065	4.87586349576247
BA2934	5.56441490975965	2.17173440950598
BA2539	4.88365938121125	4.04879675825088
BA2249	5.48468121276611	7.01472936087095
BA2034	6.11503718341623	8.61607464234973
BA2109	4.87023108953253	4.81867438751018
BA2242	6.03404286985942	4.90326139384486
BA2277	5.97691207859612	8.35358316301659
BA2727	7.10771088589405	7.28438406463884
BA2132	5.91874058491338	6.09600230844392
BA2618	5.46299801814277	6.99925381802676
BA2521	5.49396648422183	6.90558799283489
BA2846	6.49002795768883	7.00565090016862
BA2885	4.92595904339551	1.13209845200278
BA2639	6.29137386576201	8.95438322249582
BA2775	5.60579685194834	3.52621202722456
BA2402	5.17065533146209	6.7630173908565
BA2097	5.66740335166233	7.10771088589405
BA2786	5.58682786591739	2.25371361358042
BA2399	6.16697408993369	6.48220324595878
BA2850	5.53758769155616	6.27245301532753
BA2174	5.56931523967556	6.06843510757967
BA2004	5.79282325358751	7.08821062221174
BA3001	6.55713498264667	7.12590219224429
BA2311	4.78361272995645	4.39292391038912
BA2483	6.25534556152395	3.32807645348226
BA3040	5.54431492495241	7.90803356905227
BA2837	6.13249003882685	7.52987979374564
BA2724	4.79523149626919	4.5990180150559
BA2911	6.13505858445244	6.75946045637828
BA2256	6.07438042977308	7.01129464656936
BA2821	6.06121727575126	8.00107447892983
BA2233	6.75074032756909	6.24592732813786
BA2744	6.69580577134555	6.45401948854285
BA2880	5.14825734566663	4.97805997780333
BA2621	5.31756660169569	3.5362979263788
BA3002	6.11593110685268	2.97228864719493
BA2501	5.71368801694621	5.07976129224881
BA2993	5.68833994254818	6.26748667871903
BA2301	4.60295748096679	3.86710818348133
BA2852	5.42453578520679	4.67708963797245
BA2133	5.51345714323729	4.28927616177022
BA2866	6.36930495814156	6.35306835134338
BA2212	5.89086317810063	6.32036876736161
BA2685	5.40778946397742	5.48468121276611
BA2273	5.9773343667847	7.37675245327076
BA2477	6.16697408993369	8.57659398663682
BA2659	5.05963791860408	7.88793681406652
BA2124	6.63383351459938	6.65845499115322
BA2363	6.0344495153559	6.91665453342353
BA2369	5.84631034661227	6.92764387831615
BA2534	7.56679847925559	6.74557828155057
BA2400	5.92432462638165	8.25764420926654
BA2762	6.03732004077161	7.60044547310861
BA2312	6.01745471553114	7.8894951557827
BA2813	5.79446889536676	6.33918453468976
BA2211	6.67837784799198	5.28073246291878
BA2171	5.78002501253586	6.40503611780804
BA2746	4.56145114497437	4.63527142594282
BA2798	4.85230183637924	7.01129464656936
BA2809	6.37079667059363	9.26335235036244
BA2288	6.21760589006463	6.31720357778214
BA2801	5.10733697094661	4.13824319852488
BA3030	5.98792432171399	7.15557221270197
BA2588	6.3730951356739	7.66735491479546
BA2296	6.57772759538865	7.55867055300222
BA2300	6.17423728477739	6.90492530830845
BA2903	5.46260848821559	2.6560583580885
BA2473	4.66541353379402	5.65139228908545
BA2545	5.29014927757584	5.62868512576849
BA2840	5.20757281722967	4.79032535890257
BA2528	5.49025573477232	6.79158437688518
BA2646	6.24227196022735	7.53867754134672
BA3407	4.41937585941747	4.94668602882429
BA2240	5.87772009379433	7.7729524118183
BA2926	5.48685812816546	7.01543819204674
BA2272	5.16389532747044	6.3423350524195
BA2306	6.16229657509821	5.04621645682115
BA2765	5.10733697094661	3.98649459567883
BA2904	6.23081198982986	7.79663560293131
BA2883	5.00552413095077	5.99890598903284
BA2726	5.10142924510394	-1.00974723907371
BA2234	4.09352976766015	2.12152501264232
BA2022	6.00392077224602	6.15311168314809
BA2228	4.73692025392607	5.62043017440298
BA2037	6.37031994316104	9.4045391740165
BA2184	7.44644074627456	8.44966638628301
BA3009	6.32314377198831	5.96264354381231
BA2842	4.54377637973889	2.25911507046517
BA2442	5.54393492602013	6.41897137635364
BA2882	5.05929023106165	3.53291440511488
BA2758	4.51398396735729	2.4978306958102
BA2705	5.54355794441881	6.8576823032308
BA2663	5.4040564998537	3.17350672344865
BA2570	6.3129901827468	7.24138386390375
BA2764	4.16479586623105	5.17699814732324
BA2209	6.20525292176704	7.02415111976065
BA2989	6.26705656087935	7.32679901700122
BA2855	5.04138595893264	4.85724763111666
BA2261	5.32664570587017	7.74808252538179
BA2721	5.42748213274228	6.34190143280827
BA2930	4.32076840742144	2.84242237772409
BA2728	5.46114309064973	6.63655252284443
BA2715	5.13442321095142	6.53249965977741
BA2469	4.04753383160948	5.80492505261512
BA2269	4.81095988420945	3.10489818725874
BA2098	3.59566377043115	4.7941665840707
BA2778	3.69392175101973	3.17944274470636
BA2951	6.93021683662514	6.73467335194796
BA2163	7.03196402344294	5.72978046990601
BA2379	5.14161615451425	5.43621855884092
BA2817	4.73585764384443	3.81521123693014
BA3153	6.35855944709052	5.02619905861961
BA2820	4.82534093200762	6.19646958807837
BA2723	4.46663819123563	5.3277279235139
BA2704	6.19169062886434	7.27022547665066
BA2088	4.23317948236661	5.81570333041158
BA2116	5.36689692587537	6.54042498941119
BA2584	6.19479612483736	3.43900565903568
BA3079	5.95765278561263	6.59785150913547
BA2417	5.79321150053106	1.25696002199891
BA2361	5.50498484264806	5.51462217129908
BA2450	6.67894286315779	5.06562997256811
BA2492	4.23203632866019	3.30695131155452
BA2552	5.91595003127845	5.54506701473391
BA2472	4.56799936889978	4.23625755420962
BA2994	6.38599164256093	4.69471321352097
BA2047	5.70146183160515	5.53758769155616
BA2101	5.79045455115976	7.01271335596315
BA2082	5.53865932247819	8.0179995830141
BA2879	5.11922365704846	5.92036694036748
BA2577	6.7058515766051	8.44724078411408
BA2456	4.85371906563251	0.240701063558228
BA2175	4.99738222665924	5.41173058943586
BA2824	6.40454724548096	4.91302715387873
BA2507	6.74039110508618	7.49457772487061
BA2563	6.49406704275497	3.16152901437988
BA2244	4.96127415225726	8.04591780353771
BA2470	6.2918184227424	8.74800571415782
BA2984	5.62868512576849	5.55778136463102
BA2414	6.58623483162294	8.45696872743274
BA2697	4.61150443110127	3.02935460711532
BA2079	5.08758890657065	2.04428550060962
BA2999	6.39738498406032	8.99906762077278
BA2644	5.65485837851428	6.33046496181519
BA2011	5.32664570587017	4.6706843537504
BA2217	7.20800173217813	8.64449262965366
BA2454	7.33073792117204	7.15951987646114
BA2776	6.74039110508618	5.87139334737162
BA2218	5.91717313414898	3.9200316734717
BA2135	6.06255807626612	7.52987979374564
BA2914	5.77070270325106	4.80249649532499
BA2500	5.48059363504872	5.25002967084118
BA2830	6.85144834736251	7.40017541649469
BA2406	5.29272133823875	5.17988483740919
BA3108	4.66717493535737	9.03429954865997
BA2924	5.31255258978501	6.97518866229435
BA2303	5.28256921751163	3.81737153202812
BA2160	6.655181196516	7.32489473499785
BA2038	4.35906524158071	5.26497574003642
BA2602	4.62321630772693	5.31033947454173
BA2964	4.39407415685903	5.53350703365187
BA2898	5.13692147172974	5.73858169391831
BA3003	5.2450731397095	5.15703871631077
BA2111	5.12563283342855	6.09048118374774
BA2827	5.11569183564456	5.60231976530737
BA2912	5.81007696621955	4.7189671068174
BA2437	5.1122048652643	5.57895756058083
BA2283	5.36221790332293	5.17806224044823
BA2057	5.19592591955162	5.10629601616429
BA2633	5.44569104780308	5.33399944565982
BA3034	5.06279777386113	5.34471469248409
BA2607	4.98230143047781	5.58195119803049
BA2761	5.67432622931416	5.04377519736749
BA2795	5.22927128390671	4.93540010442141
BA2182	5.25109490120941	5.4501485597404
BA2152	5.23965795443685	5.45636731851438
BA2381	6.38306782429477	8.43517613550052
BA2931	5.49691431965408	5.82897025310715
BA2040	4.54056013941107	4.10430197787171
BA2590	6.56990345420697	7.03196402344294
BA3195	6.86838819773824	7.83268389248944
BA2516	5.78615399709568	6.90032088066256
BA2353	7.26851020715081	8.40664550150058
BA3036	6.3850340445232	7.26503778677364
BA2971	6.23664169060856	8.84806156927188
BA3410	5.66279307581164	6.36512999451549
BA3118	5.42234890079115	6.67724465459247
BA3206	6.83601210531875	9.08862153045619
BA3202	4.24693083065817	4.94702787792631
BA3217	6.01664395833904	4.81514527019492
BA3405	5.35117907046834	5.70948396756837
BA3306	5.44067594846619	4.17828103107484
BA3371	4.97317547511932	6.16270217963845
BA3413	6.83843057067482	8.43037965011906
BA3411	5.73738411344192	7.23805703314362
BA3133	6.15921420802907	8.44966638628301
BA3164	5.78192253760815	5.95559861955689
BA3451	4.90254409754431	4.06401487195903
BA3286	5.8761890408473	7.00490622738367
BA3212	6.15834977750935	1.8338629705864
BA3103	5.4040564998537	7.43138197639579
BA3271	5.49289037233673	7.53974354156668
BA3152	5.21327609576147	5.91992653150053
BA3095	6.20098661255903	7.10160504306164
BA3192	5.35415056636227	8.52190108216259
BA3251	6.35399476116952	6.08621852980205
BA3362	5.60540886857144	5.42125052108752
BA3400	5.490635893289	5.89003355654074
BA3135	5.89003355654074	6.26881149847343
BA3408	5.12063498746829	2.57836343869641
BA3187	5.39277292171201	6.4417602152858
BA3098	6.18590754539494	8.32449794408229
BA3435	5.67887021391384	9.3735473533766
BA3261	6.47915200705891	8.07426638068647
BA3203	5.61405116349114	6.97250726431014
BA3174	5.21397119518206	5.73207630464099
BA3317	6.81883552060849	8.78412431760784
BA3299	4.41640814943071	4.04672215210504
BA3221	5.50684581649132	-0.38969003685215
BA3347	4.5651470965606	1.22944543113974
BA3235	4.59152669861806	1.81606762523089
BA3126	4.09434749658679	3.2401351714745
BA3380	5.84353133766961	6.34190143280827
BA3089	6.50598160592548	8.79022656584331
BA3109	5.19197507986882	5.96945929693027
BA3114	4.61788631559245	5.7641069155357
BA3418	6.25221507266163	6.62357481456438
BA3245	5.72099925846855	6.97993778438247
BA3085	6.88232132236019	7.56321071069528
BA3128	5.6290939324601	7.00991256129177
BA3423	5.86057748465192	5.53058601108242
BA3173	5.93735639042332	7.1445927897216
BA3171	6.34878143548061	9.14481502348153
BA3277	5.44424859687628	6.44947039282618
BA3210	5.82971849546372	5.28864753312789
BA3157	6.43193622663115	8.42559982560594
BA3433	5.85578814032464	5.70146183160515
BA3322	5.08223929101889	4.93470537442066
BA3374	5.35519815996299	5.53239656043462
BA3450	5.34219904385068	6.72640507458581
BA3167	4.81095988420945	8.40194775982719
BA3269	4.99738222665924	7.55189787670547
BA3110	5.37014622702408	3.17892025585561
BA3156	5.45234424595149	6.61592394796106
BA3226	6.25000151049301	7.7045927999637
BA3421	4.8864219540017	5.05080635120384
BA3232	6.27426778231287	7.12266775163133
BA3289	4.85971090955896	5.08151823941693
BA3430	5.25385282871793	2.4702039958371
BA3145	6.73922514739457	7.58759859001841
BA3399	4.74148796294472	5.58084969783205
BA3449	4.95086713745968	5.95439094102815
BA3384	5.9563978434584	7.56567805381962
BA3427	5.25714318052804	7.66369633945432
BA3163	4.59152669861806	1.17134115218982
BA3158	6.79581543973709	7.45963779857083
BA3436	6.93827202821145	8.47663077360064
BA3154	6.2850706491728	-0.227067223199409
BA3162	5.92513526908082	8.49657233882556
BA3352	6.18861040169558	6.99719018449603
BA3084	5.89359904116522	6.95213438220586
BA3149	5.35709573192361	5.90555861314736
BA3169	4.99738222665924	2.62283712368534
BA3180	5.90885007986137	7.79093203959201
BA3255	5.37928711694374	6.40926123688896
BA3438	5.831768285151	3.9216388561837
BA3345	4.94207214987635	2.02417937472789
BA3403	5.24180259489468	4.68063578286025
BA3431	5.5327793179831	5.74901581721608
BA3181	5.01499035740301	4.39774491020096
BA3341	4.25037031677199	5.75832214709053
BA3191	5.50721271315311	6.79520689964912
BA3197	6.83344544574865	5.66936167999459
BA3448	6.60051001058414	8.51679913189176
BA3453	4.81972624226558	7.12738803665014
BA3406	5.89003355654074	6.73404028171299
BA3308	6.62952631509886	7.55977224878375
BA3186	6.7037023558772	8.10894763837049
BA3334	4.61468245344628	5.02586431491849
BA3447	7.53734841909383	5.94021025458643
BA3116	4.92736106288858	5.85542200416075
BA3280	5.34471469248409	6.01005588113279
BA3185	6.0765385205626	5.6098838682387
BA3094	5.44318329987226	5.75137733831877
BA3318	4.65263126814038	7.574849932275
BA3216	5.88406214865442	6.67285627660237
BA3332	5.83917770608647	6.47025472959033
BA3214	6.52836297577895	5.9785222997962
BA3099	5.81839607751016	7.20386734649371
BA3141	6.6430484484285	7.23894729675129
BA3373	7.08521741719084	7.56206988956539
BA3319	4.99665147897099	6.19521896796153
BA3328	5.75023036618314	4.62535414272787
BA3339	5.90720734250747	-0.08887661487244
BA3240	7.46784096415085	7.69023500088856
BA3142	6.49002795768883	5.56967790109069
BA3333	6.66451367219681	6.99516443206292
BA3381	5.12596382526423	6.39210318114874
BA3290	5.67811655623058	5.14045385048919
BA3207	3.30852387884075	3.08252840570975
BA3296	5.02619905861961	4.19910119394124
BA3305	5.71368801694621	3.81612780124423
BA3434	6.20525292176704	7.19312453230448
BA3189	6.72005859768329	7.06371663624663
BA3264	6.11294027816034	7.54625616208849
BA3329	6.39359148087619	8.05115312612603
BA3417	5.51691886633525	-1.04532144447794
BA3367	5.03748167961273	0.962688765366786
BA3225	4.30837790148871	2.72493519321927
BA3183	5.77294291662078	7.48057619109315
BA3222	5.4780108909795	4.25414001013237
BA3139	6.25445222164076	6.63599137571399
BA3397	6.5518017021576	7.35390839708449
BA3311	5.23032944318066	5.94099029232779
BA3422	6.54042498941119	5.54020534264446
BA3228	6.11633596300958	7.17116786854616
BA3213	5.8546289142141	7.8503248353151
BA3270	5.36939086109841	5.48358277984793
BA3415	6.08148760261427	9.88079564639631
BA3324	6.40503611780804	7.81101053195418
BA3194	6.77720928573593	6.63330728837913
BA3335	6.11633596300958	6.17773554711095
BA3199	7.06166102601644	7.59808663804993
BA3326	5.30886708091399	-0.0006124782671186
BA3285	6.35713479831954	7.78681257977187
BA3297	6.17989946486144	6.74447949059254
BA3227	7.03623900558414	7.40017541649469
BA3394	6.21933467933948	5.43546904513176
BA3412	6.21454243325922	4.96266025809675
BA3293	5.91637612602088	3.4550470720229
BA3250	5.83256616777847	7.12738803665014
BA3177	5.6412866944169	7.40108920011618
BA3315	4.798374704262	5.33868120504246
BA3182	5.85810717843667	7.4382687261571
BA3260	6.02077165309049	4.43026354617328
BA3369	5.69992958447881	8.1073163967498
BA3078	5.48023322260474	8.74983670146495
BA3386	6.57509033573893	6.99516443206292
BA3445	4.87235166783045	2.9652424467697
BA3452	5.46001022094073	7.80094268898657
BA3176	6.55914586158058	8.42321613548815
BA3258	4.16634381840989	1.45644363841645
