	ID_sample	TypeMutation	ExpressionGene
97	BA2089	NonMut	0.3022986007009235
98	BA2093	NonMut	0.7187506601942814
99	BA2094	NonMut	0.6344199058410083
100	BA2096	NonMut	0.1373108299661647
101	BA2098	NonMut	0.190269033493088
102	BA2101	NonMut	0.2374995044039177
103	BA2104	NonMut	0.1869198487063524
104	BA2106	NonMut	0.3996681074992766
105	BA2109	NonMut	0.1611528749668292
106	BA2110	NonMut	0.1412447000291279
107	BA2113	NonMut	0.4636009687036643
108	BA2121	NonMut	0.4045254318806516
109	BA2123	NonMut	0.3247570771477333
110	BA2125	NonMut	0.3106537800341222
111	BA2132	NonMut	0.4028966828390375
112	BA2133	NonMut	0.0821775067247399
113	BA2134	NonMut	0.1773124117797484
114	BA2139	NonMut	0.1190683935976216
115	BA2143	NonMut	0.2887462269645254
116	BA2148	NonMut	0.2213584146383362
117	BA2153	NonMut	0.3382966437468907
118	BA2155	NonMut	0.1000285399730431
119	BA2156	NonMut	0.1665121141157881
120	BA2162	NonMut	0.2075276098890612
121	BA2163	NonMut	0.3639867216910707
122	BA2168	NonMut	0.3370682973422069
123	BA2169	NonMut	0.2424274050615774
124	BA2171	NonMut	0.6888123828281181
125	BA2172	NonMut	0.1712153320146594
126	BA2174	NonMut	0.3644123896008013
127	BA2175	NonMut	0.3571108076129757
128	BA2184	NonMut	0.3727416907983689
129	BA2200	NonMut	0.9493042047686716
130	BA2201	NonMut	0.1959922000558477
131	BA2209	NonMut	0.1473016906235394
132	BA2211	NonMut	0.8197705252423492
133	BA2212	NonMut	0.2594329568361865
134	BA2217	NonMut	0.1748507630117328
135	BA2218	NonMut	0.2459561395673188
136	BA2220	NonMut	0.2055369775121894
137	BA2221	NonMut	0.1162426874308127
138	BA2224	NonMut	0.292817153389424
139	BA2226	NonMut	0.7427213369908078
140	BA2227	NonMut	0.683119927528023
141	BA2228	NonMut	0.2628742396944147
142	BA2229	NonMut	0.4056640287149609
143	BA2233	NonMut	0.5315421413584168
144	BA2234	NonMut	0.1814084487686583
145	BA2235	NonMut	0.2933684989286715
146	BA2236	NonMut	0.6132881705814938
147	BA2239	NonMut	0.1773165344831579
148	BA2240	NonMut	0.6015005177609613
149	BA2242	NonMut	0.7518530096416304
150	BA2244	NonMut	0.3542834319275956
151	BA2245	NonMut	0.6503321853810318
152	BA2248	NonMut	0.3228620481798537
153	BA2249	NonMut	0.4867737648170668
154	BA2251	NonMut	0.1512000511284227
155	BA2256	NonMut	0.4205528268447001
156	BA2260	NonMut	0.3086467051717796
157	BA2261	NonMut	0.1680111780593647
158	BA2269	NonMut	0.1338224546828064
159	BA2271	NonMut	0.6406549134468797
160	BA2272	NonMut	0.2135859516736474
161	BA2273	NonMut	0.3332695562783719
162	BA2275	NonMut	0.5899890040908593
163	BA2277	NonMut	0.6086944074788341
164	BA2281	NonMut	0.4929589762080263
165	BA2288	NonMut	0.1726257409376905
166	BA2292	NonMut	0.1420894825776016
167	BA2294	NonMut	0.3557053911785621
168	BA2296	NonMut	0.2148106637106862
169	BA2300	NonMut	0.3860761946544425
170	BA2301	NonMut	0.204491862129929
171	BA2302	NonMut	0.2845922240557846
172	BA2304	NonMut	0.0979748767280979
173	BA2306	NonMut	0.3022602526166719
174	BA2308	NonMut	0.3212370824381028
175	BA2309	NonMut	0.19795321803015
176	BA2311	NonMut	0.1134252444489589
177	BA2312	NonMut	0.2645746766899385
178	BA2316	NonMut	0.2056545504439652
179	BA2322	NonMut	0.6991153640871128
180	BA2325	NonMut	0.1303379514061994
181	BA2329	NonMut	0.1811279137633033
182	BA2334	NonMut	0.3301006832772097
183	BA2339	NonMut	0.1031892287671385
184	BA2348	NonMut	0.0744092462461175
185	BA2350	NonMut	0.0794989986228869
186	BA2354	NonMut	0.2584898433297769
187	BA2355	NonMut	0.3663460851955715
188	BA2360	NonMut	0.1401737238210114
189	BA2361	NonMut	0.1847962633398329
190	BA2369	NonMut	0.3214652451660544
191	BA2374	NonMut	0.2763952595404794
192	BA2376	NonMut	0.1810705720249024
193	BA2377	NonMut	0.809008592228186
194	BA2385	NonMut	0.2109104617600196
195	BA2386	NonMut	0.7200270107145469
196	BA2387	NonMut	0.4697411325404799
197	BA2394	NonMut	1.0817958322477088
198	BA2399	NonMut	0.5539786331310428
199	BA2400	NonMut	0.6441740758930947
200	BA2402	NonMut	0.428971316748376
201	BA2406	NonMut	0.1598458318360428
202	BA2409	NonMut	0.2002801422064991
203	BA2410	NonMut	0.642834333785354
204	BA2412	NonMut	0.1319074320498716
205	BA2413	NonMut	0.3395163963397635
206	BA2414	NonMut	0.5780566755810961
207	BA2415	NonMut	0.0660210386235638
208	BA2417	NonMut	0.4135092125257881
209	BA2418	NonMut	0.4063909106741089
210	BA2421	NonMut	0.285935182963567
211	BA2423	NonMut	0.1793007232492775
212	BA2425	NonMut	0.3507812970068016
213	BA2426	NonMut	0.3259230855422613
214	BA2427	NonMut	0.2495991035998299
215	BA2429	NonMut	0.2412482642104379
216	BA2440	NonMut	0.2436715897263885
217	BA2441	NonMut	0.3859472321425475
218	BA2442	NonMut	0.4327592238494117
219	BA2446	NonMut	0.116030994744769
220	BA2449	NonMut	0.2952747735876687
221	BA2450	NonMut	0.5093440493546546
222	BA2452	NonMut	0.5587110693065258
223	BA2455	NonMut	0.0926719200180257
224	BA2456	NonMut	0.1630962001947069
225	BA2459	NonMut	0.2749501276757286
226	BA2461	NonMut	0.2305325169346563
227	BA2463	NonMut	0.3650729854586957
228	BA2464	NonMut	0.4145564919398896
229	BA2469	NonMut	0.165106039804428
230	BA2470	NonMut	0.5059183032191825
231	BA2472	NonMut	0.3303852067534709
232	BA2473	NonMut	0.209053338665106
233	BA2474	NonMut	0.2993789260071053
234	BA2477	NonMut	0.5055873220543777
235	BA2479	NonMut	0.0876788581211672
236	BA2480	NonMut	0.7474430900341659
237	BA2481	NonMut	0.1736094095413613
238	BA2482	NonMut	0.5853367159024542
239	BA2483	NonMut	0.653393236048947
240	BA2485	NonMut	0.5450485108625669
241	BA2488	NonMut	0.4807689442551831
242	BA2489	NonMut	0.1428096536050674
243	BA2492	NonMut	0.1357258357893974
244	BA2497	NonMut	0.1879824611145878
245	BA2500	NonMut	0.7589955005186041
