#Résultats bruts de l'abondance de mutation du gène FLT3 selon la feature priorMDS, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.004615 avec le test Mann-Whitney
  Abundance   TotalKmers  NormalizedExpression priorMDS
  72.931034 6.907665e+09             10.557987        n
 348.137931 9.483174e+09             36.711119        n
  76.137931 8.531157e+09              8.924690        n
 140.551724 9.492673e+09             14.806337        n
 570.965517 5.578305e+09            102.354665        n
 309.586207 1.143744e+10             27.067794        y
 142.137931 5.986453e+09             23.743263        n
 203.620690 5.860219e+09             34.746260        n
 461.655172 1.458903e+10             31.643989        n
  66.758621 7.965646e+09              8.380817        n
  82.655172 8.340798e+09              9.909744        n
  23.172414 8.011331e+09              2.892455        n
 151.172414 8.617071e+09             17.543363        n
 415.344828 9.070957e+09             45.788423        n
 102.413793 9.962255e+09             10.280182        n
 346.344828 8.731695e+09             39.665248        n
  84.448276 6.124994e+09             13.787488        n
 259.206897 7.132607e+09             36.341116        n
 165.000000 7.355166e+09             22.433214        n
1023.517241 9.344986e+09            109.525820        n
 173.586207 1.003396e+10             17.299867        n
  50.965517 1.245375e+10              4.092382        n
  49.620690 6.109573e+09              8.121794        y
 227.206897 8.749191e+09             25.968904        n
 151.724138 7.588827e+09             19.993095        n
 771.344828 1.234512e+10             62.481760        n
  20.413793 9.053483e+09              2.254800        y
 637.758621 1.121204e+10             56.881581        n
 151.655172 6.968782e+09             21.762077        n
 279.931034 7.974097e+09             35.105044        n
 353.620690 8.101218e+09             43.650314        n
  86.068966 8.933638e+09              9.634257        n
 175.965517 9.250500e+09             19.022270        n
 258.344828 7.196731e+09             35.897527        n
 261.310345 8.486195e+09             30.792405        n
 277.344828 8.495132e+09             32.647502        n
 232.551724 5.633341e+09             41.281318        n
 167.620690 5.835413e+09             28.724733        n
  21.517241 7.859985e+09              2.737568        n
 525.551724 8.873211e+09             59.229035        n
 230.758621 9.177622e+09             25.143619        n
 295.793103 8.484923e+09             34.861023        n
 389.344828 9.399235e+09             41.423034        n
 363.344828 6.832622e+09             53.177946        n
 292.000000 6.861597e+09             42.555693        n
 188.379310 8.054348e+09             23.388523        n
 158.551724 4.867079e+09             32.576363        n
 745.000000 9.689788e+09             76.885068        n
 448.103448 1.074916e+10             41.687311        n
  37.241379 8.857558e+09              4.204475        n
 530.655172 9.789722e+09             54.205338        y
 174.793103 6.313854e+09             27.684060        n
 221.448276 7.091594e+09             31.226868        n
  42.275862 6.033397e+09              7.006975        n
 276.241379 7.183179e+09             38.456705        n
  34.034483 7.895416e+09              4.310664        n
 111.172414 7.145735e+09             15.557870        n
  18.068966 6.517612e+09              2.772329        n
  44.586207 5.952865e+09              7.489874        y
 106.000000 5.429623e+09             19.522534        n
 361.689655 1.019550e+10             35.475438        n
 240.758621 8.441473e+09             28.520924        n
 207.793103 1.227116e+10             16.933453        n
 105.379310 8.352852e+09             12.615968        n
 139.482759 9.666895e+09             14.428911        n
 235.172414 5.575294e+09             42.181166        n
  93.172414 6.058733e+09             15.378201        n
 393.068966 7.004248e+09             56.118653        n
  12.068966 8.254983e+09              1.462022        n
 135.172414 6.627280e+09             20.396364        n
 416.758621 8.690531e+09             47.955485        n
 237.931034 8.954781e+09             26.570279        n
 263.172414 5.786196e+09             45.482807        n
  81.137931 4.643957e+09             17.471724        n
 199.793103 9.451593e+09             21.138564        n
 567.689655 6.586923e+09             86.184350        n
 593.862069 6.979146e+09             85.090935        n
 125.310345 7.746475e+09             16.176434        n
 341.206897 9.795604e+09             34.832656        n
  90.896552 4.572093e+09             19.880731        n
 135.379310 8.914914e+09             15.185711        n
 244.586207 6.302852e+09             38.805641        n
  77.034483 5.458586e+09             14.112534        n
 273.655172 8.167692e+09             33.504591        n
 101.862069 9.534414e+09             10.683622        y
  67.655172 9.576597e+09              7.064636        n
 520.068966 7.309448e+09             71.150238        n
 128.689655 7.654277e+09             16.812776        n
 191.068966 1.077170e+10             17.738054        n
 313.689655 6.077615e+09             51.613938        n
  68.241379 8.251345e+09              8.270334        y
 449.206897 8.138126e+09             55.197832        n
 231.620690 6.486987e+09             35.705436        n
 204.724138 8.378561e+09             24.434284        n
 107.758621 8.592370e+09             12.541199        n
 230.379310 7.345463e+09             31.363486        n
 208.206897 6.702371e+09             31.064661        n
 220.793103 7.449994e+09             29.636683        n
 460.344828 9.500869e+09             48.452918        n
  96.896552 7.312465e+09             13.250874        n
 339.206897 7.839564e+09             43.268591        n
 252.931034 6.410103e+09             39.458183        n
  67.689655 8.100468e+09              8.356265        y
 346.448276 1.031387e+10             33.590522        n
 185.965517 6.255084e+09             29.730297        n
  54.379310 9.119252e+09              5.963133        n
  33.931034 7.110504e+09              4.771959        n
  10.862069 8.448480e+09              1.285683        n
 441.551724 8.579029e+09             51.468729        n
 167.586207 6.882652e+09             24.349076        n
  58.827586 4.804985e+09             12.243032        n
 174.275862 6.623609e+09             26.311316        y
 137.862069 6.033548e+09             22.849252        n
 583.586207 8.854002e+09             65.912141        n
 405.896552 6.436533e+09             63.061360        n
 437.068966 7.345157e+09             59.504373        n
 274.724138 1.152272e+10             23.841956        n
  82.517241 4.938896e+09             16.707630        n
  67.206897 7.894510e+09              8.513118        n
  81.862069 8.134305e+09             10.063806        n
 253.206897 7.843750e+09             32.281357        n
 172.896552 8.850037e+09             19.536251        n
 355.034483 7.882991e+09             45.038040        n
  77.689655 6.346827e+09             12.240707        n
  86.551724 1.124931e+10              7.693958        n
 606.482759 8.605161e+09             70.478954        n
 578.517241 9.138029e+09             63.308754        n
  47.379310 9.208330e+09              5.145266        n
 264.862069 8.980720e+09             29.492297        n
 457.068966 8.865050e+09             51.558534        n
1558.620690 1.352301e+10            115.256908        n
 432.896552 7.679781e+09             56.368345        n
 187.827586 9.072297e+09             20.703422        n
 125.551724 8.673760e+09             14.474891        n
 232.827586 1.255232e+10             18.548576        n
  86.068966 8.683805e+09              9.911435        n
 134.172414 8.504459e+09             15.776713        y
 511.241379 8.084013e+09             63.241041        n
 153.931034 8.449282e+09             18.218238        n
  68.413793 8.684668e+09              7.877537        n
 285.344828 9.697777e+09             29.423736        n
  19.103448 1.186580e+10              1.609959        n
  99.965517 9.394752e+09             10.640570        n
 197.206897 7.963119e+09             24.765032        n
 114.862069 8.331035e+09             13.787250        n
 139.275862 6.552646e+09             21.254903        n
 118.448276 7.659302e+09             15.464631        n
 143.103448 9.406260e+09             15.213640        n
 375.310345 1.028094e+10             36.505448        n
 583.413793 1.219810e+10             47.828245        n
 270.206897 7.166337e+09             37.705024        n
 144.620690 1.194717e+10             12.105018        n
  71.517241 7.673257e+09              9.320324        n
 499.482759 8.634398e+09             57.848013        n
 130.172414 9.370573e+09             13.891617        n
  41.206897 9.269706e+09              4.445329        n
 349.620690 1.270211e+10             27.524619        n
 587.551724 8.260289e+09             71.129684        n
1062.241379 9.361311e+09            113.471436        n
 412.620690 7.759275e+09             53.177736        n
 617.517241 8.628494e+09             71.567209        n
 119.724138 8.115899e+09             14.751802        n
 360.344828 1.108694e+10             32.501739        n
 650.724138 1.140540e+10             57.054016        n
 621.965517 1.195007e+10             52.047036        n
 239.103448 1.239749e+10             19.286441        n
 240.344828 9.623216e+09             24.975521        n
 129.931034 1.296097e+10             10.024791        n
 233.206897 1.120228e+10             20.817802        n
 347.482759 8.901402e+09             39.036858        n
 312.206897 8.063055e+09             38.720672        n
 360.482759 9.427317e+09             38.238106        n
 955.965517 1.150527e+10             83.089328        n
 197.517241 9.476463e+09             20.842928        n
  75.034483 8.147961e+09              9.208989        n
 837.000000 1.333923e+10             62.747255        n
 187.758621 9.840911e+09             19.079394        n
 978.862069 8.566528e+09            114.265906        n
  57.241379 1.134920e+10              5.043649        n
 219.931034 9.651607e+09             22.786987        n
 311.931034 1.117844e+10             27.904691        n
 322.931034 1.130116e+10             28.575038        n
 279.275862 1.087497e+10             25.680609        n
1301.551724 1.344911e+10             96.776042        y
 306.241379 1.106665e+10             27.672460        n
  43.931034 8.305332e+09              5.289498        n
 198.931034 1.222447e+10             16.273185        n
 192.000000 1.233934e+10             15.559985        n
 735.068966 9.067227e+09             81.068769        n
 144.206897 1.249729e+10             11.539053        n
  13.241379 9.221331e+09              1.435951        y
 860.137931 9.109860e+09             94.418347        n
  98.620690 1.102149e+10              8.948036        y
2049.310345 1.285754e+10            159.385846        n
 148.551724 8.908070e+09             16.676084        n
 804.310345 1.215164e+10             66.189454        n
  54.000000 9.253961e+09              5.835339        y
  54.068966 7.402556e+09              7.304094        n
 248.689655 1.246479e+10             19.951372        n
  55.448276 1.072766e+10              5.168718        n
  49.034483 7.661637e+09              6.400001        n
 211.448276 8.738210e+09             24.198122        n
 459.827586 9.495128e+09             48.427739        n
 257.137931 4.579619e+09             56.148319        n
 227.275862 9.101451e+09             24.971389        n
 154.034483 7.489154e+09             20.567675        n
