	KIT	PTPN11
BA2248	5.93163668749835	7.33163994376767
BA2832	7.30411511402805	7.2509128285615
BA2308	7.60989112051761	7.17275321082541
BA2413	7.69420627031986	7.166329054571
BA2701	6.3314194986068	6.83403264485773
BA2634	6.86903485569995	7.23215951369131
BA2677	6.69580577134555	6.83029032072815
BA2937	7.32489473499785	7.08741196449123
BA2600	5.59027419096801	6.24819820835326
BA2019	-0.780448523359928	7.18812871773308
BA2412	5.79950973684786	6.54766219361137
BA2334	4.93436696034119	6.86903485569995
BA2050	6.1180523945273	7.14070376063247
BA3230	6.93827202821145	6.88430660085161
BA2953	6.81086164089737	6.42575430557831
BA2481	5.46628439479905	6.61700352029779
BA2731	6.4137172012398	6.72355108630667
BA2294	8.904319577833	7.07329793491951
BA2418	5.42857060288721	6.6143322001923
BA2816	5.36072833704901	6.82309107200081
BA2656	3.65263152336696	6.78618260321054
BA2814	4.23701647161103	6.37031994316104
BA2631	7.37396310701658	6.93021683662514
BA2023	-0.425828695317915	6.57921927462639
BA2375	7.47830743039593	6.84162430439576
BA2485	7.17116786854616	6.90877033903166
BA2455	0.213349457050806	6.77246010495607
BA2025	5.99479766689368	7.25008508374438
BA2636	6.64186594668035	7.08068398565122
BA2325	4.27232629182903	6.76476869070353
BA2169	7.30411511402805	7.80392510487274
BA2156	8.99558616821901	6.77834045992494
BA2511	4.81690090080098	6.38217571781426
BA2939	7.64377441186557	6.28823715765654
BA2168	3.54447318338801	7.02698040559294
BA2505	6.69861654752334	7.21621114040909
BA2860	6.10105446354612	7.13596647021647
BA2707	4.47937233979517	7.01543819204674
BA2871	6.4442145827922	7.01759724929549
BA2655	6.1522898333018	7.09710413510838
BA2227	6.87084783224833	6.45750445904916
BA2125	7.24473994098098	7.32880266743386
BA2523	8.62516478231551	7.12664090320603
BA2603	6.26033254809805	6.7928687930301
BA2808	6.80486837491	7.62925234894777
BA2282	0.275450535390316	6.03279032756297
BA2482	8.51425498508966	6.97042186538325
BA2812	0.390163792184238	6.40785243829132
