ID_sample	TypeMutation	ExpressionGene
BA2281	NonMut	9.64527993925034
BA2657	NonMut	8.99211218550823
BA2932	NonMut	9.47769688223901
BA2123	NonMut	9.82717700787936
BA2844	NonMut	9.66095938066438
BA2660	NonMut	9.16784487350203
BA3027	NonMut	9.29647098090766
BA2714	NonMut	8.89449191470128
BA2139	NonMut	8.42559982560594
BA2251	NonMut	9.3260124319477
BA2952	NonMut	8.99211218550823
BA2440	NonMut	9.83892848550566
BA2036	NonMut	9.65571538111022
BA2828	NonMut	9.06304565250042
BA2292	NonMut	9.94271473100152
BA2410	NonMut	9.64527993925034
BA2051	NonMut	8.88472441482659
BA2532	NonMut	8.94424486652991
BA2986	NonMut	9.67150060698144
BA2494	NonMut	9.52036350053221
BA2515	NonMut	9.48238177689826
BA2748	NonMut	9.45909303825332
BA2970	NonMut	9.11835064360706
BA2622	NonMut	9.01306871894599
BA2839	NonMut	9.29229417829056
BA3011	NonMut	9.07750677038397
BA2868	NonMut	9.47769688223901
BA2510	NonMut	8.99211218550823
BA2065	NonMut	9.09600320401444
BA2691	NonMut	8.86536741111737
BA2374	NonMut	9.67679810675791
BA2804	NonMut	9.08494318011795
BA2670	NonMut	8.28526081080175
BA2675	NonMut	9.13342062895717
BA2031	NonMut	8.60608533344799
BA2198	NonMut	9.07395764638915
BA2066	NonMut	8.90103696609653
BA2344	NonMut	9.43613726309062
BA2459	NonMut	8.31312330931764
BA2559	NonMut	8.86857724833819
BA2093	NonMut	9.22287720595147
BA2000	NonMut	9.58408544068247
BA2425	NonMut	9.50768698561149
BA2905	NonMut	9.16784487350203
BA2304	NonMut	8.61695773628636
BA2976	NonMut	8.97485330936457
BA2386	NonMut	8.79328666582968
BA2760	NonMut	8.49657233882556
BA2201	NonMut	9.08494318011795
BA2355	NonMut	9.52517542791568
BA2113	NonMut	9.44407804044761
BA2155	NonMut	9.88687313292775
BA2955	NonMut	9.09600320401444
BA2502	NonMut	9.14863087419242
BA2322	NonMut	9.160132157513
BA2376	NonMut	8.61423212805534
BA2020	NonMut	9.83892848550566
BA2226	NonMut	8.93417001363455
BA2200	NonMut	9.73079295605488
BA2121	NonMut	8.92415796681604
BA2944	NonMut	9.2389471182711
BA2033	NonMut	9.53484314535953
BA2224	NonMut	9.12964008242639
BA2972	NonMut	9.44070228005406
BA2978	NonMut	8.40194775982719
BA2829	NonMut	8.97485330936457
BA2851	NonMut	9.2592593958878
BA2587	NonMut	9.02364943472175
BA2461	NonMut	9.21490111990201
BA2695	NonMut	9.0468018581655
BA2623	NonMut	9.3217592552912
BA2024	NonMut	9.17171491689544
BA2426	NonMut	9.0307417478067
BA2271	NonMut	9.12964008242639
BA3004	NonMut	9.80971908397822
BA2579	NonMut	8.85577669200061
BA2662	NonMut	9.06304565250042
BA2674	NonMut	9.25517667754352
BA2280	NonMut	9.22287720595147
BA2512	NonMut	8.54249270039127
BA2658	NonMut	9.30065851731011
BA2394	NonMut	9.26335235036244
BA2950	NonMut	9.31751716888528
BA2981	NonMut	8.89449191470128
BA2934	NonMut	9.3260124319477
BA2539	NonMut	9.11835064360706
BA2249	NonMut	9.22687989289351
BA2242	NonMut	9.45909303825332
BA2277	NonMut	9.2389471182711
BA2727	NonMut	8.92415796681604
BA2132	NonMut	9.8991027074875
BA2618	NonMut	8.70690950167434
BA2521	NonMut	9.09970659968869
BA2885	NonMut	8.57925061313916
BA2639	NonMut	9.4270458724936
BA2775	NonMut	9.44987135785787
BA2402	NonMut	8.84307877151568
BA2097	NonMut	9.28812805203208
BA2786	NonMut	9.42251934116338
BA2399	NonMut	9.63491369950168
BA2850	NonMut	9.89297540900361
BA2174	NonMut	9.04860912314158
BA2004	NonMut	8.48407580140491
BA3001	NonMut	9.67679810675791
BA2483	NonMut	8.63525880753156
BA3040	NonMut	9.43158515365849
BA2837	NonMut	9.0271917203024
BA2724	NonMut	8.88472441482659
BA2911	NonMut	8.99558616821901
BA2256	NonMut	9.27569316532541
BA2821	NonMut	9.34313727945847
BA2744	NonMut	9.14863087419242
BA3002	NonMut	8.69720423583871
BA2501	NonMut	9.40901547409309
BA2993	NonMut	9.35176787188011
BA2301	NonMut	9.0307417478067
BA2852	NonMut	9.3561004357089
BA2866	NonMut	9.8991027074875
BA2212	NonMut	9.33027676031699
BA2273	NonMut	9.98114720830101
BA2477	NonMut	9.26335235036244
BA2124	NonMut	9.87632246618632
BA2534	NonMut	9.34313727945847
BA2400	NonMut	9.43613726309062
BA2762	NonMut	9.34313727945847
BA2312	NonMut	9.53484314535953
BA2813	NonMut	9.78106105276028
BA2211	NonMut	9.85831326849695
BA2171	NonMut	9.64008823387741
BA2746	NonMut	8.98518651350313
BA2798	NonMut	9.27569316532541
BA2809	NonMut	9.39118419839355
BA2288	NonMut	9.98087822775469
BA2801	NonMut	8.83362186336888
BA3030	NonMut	8.61063875058243
BA2588	NonMut	9.60929418124753
BA2296	NonMut	9.36916799017741
BA2300	NonMut	9.88687313292775
BA2903	NonMut	8.3926007250059
BA2545	NonMut	9.17171491689544
BA2840	NonMut	9.22062772367926
BA2528	NonMut	9.30485684547982
BA2646	NonMut	8.95099667095566
BA3407	NonMut	9.38234175781362
BA2240	NonMut	9.28812805203208
BA2926	NonMut	9.26745559419095
BA2272	NonMut	8.97485330936457
BA2306	NonMut	8.7420670822246
BA2765	NonMut	8.55029123602985
BA2904	NonMut	9.13720994130471
BA2883	NonMut	9.01306871894599
BA2726	NonMut	8.54249270039127
BA2234	NonMut	8.97142354261209
BA2022	NonMut	9.75851596885508
BA2228	NonMut	9.25517667754352
BA2037	NonMut	9.23089240757758
BA2184	NonMut	9.45447558148811
BA3009	NonMut	9.76974697360105
BA2842	NonMut	8.61968837224666
BA2442	NonMut	8.9076089453561
BA2882	NonMut	8.5607551950315
BA2758	NonMut	8.76897254396233
BA2705	NonMut	9.20696376307392
BA2663	NonMut	8.62516478231551
BA2570	NonMut	8.79022656584331
BA2764	NonMut	8.18813169577028
BA2989	NonMut	9.10341841676742
BA2855	NonMut	8.81487669872437
BA2261	NonMut	8.53400537696188
BA2721	NonMut	8.97829037472744
BA2930	NonMut	8.43517613550052
BA2728	NonMut	8.5373170330564
BA2715	NonMut	9.56420444046175
BA2469	NonMut	8.35811493599106
BA2269	NonMut	8.18416035809344
BA2098	NonMut	9.14863087419242
BA2778	NonMut	8.52190108216259
BA2951	NonMut	9.14863087419242
BA2163	NonMut	9.36044459889599
BA2817	NonMut	8.68189146093676
BA3153	NonMut	9.47302564786274
BA2820	NonMut	8.86216405394702
BA2723	NonMut	9.09600320401444
BA2704	NonMut	9.58408544068247
BA2088	NonMut	9.4917929010063
BA2116	NonMut	8.77199110438686
BA2584	NonMut	10.0475291689068
BA3079	NonMut	10.0007468429699
BA2417	NonMut	9.65571538111022
BA2450	NonMut	9.24704173883127
BA2492	NonMut	8.19611264417946
BA2552	NonMut	9.00955709168753
BA2994	NonMut	9.23491479941431
BA2047	NonMut	9.58909503454725
BA2101	NonMut	9.48238177689826
BA2082	NonMut	8.77804587995587
BA2879	NonMut	9.17171491689544
BA2577	NonMut	9.54457000922792
BA2456	NonMut	8.80250309714617
BA2175	NonMut	9.59412059033195
BA2824	NonMut	9.19512951707567
BA2507	NonMut	9.88079564639631
BA2563	NonMut	9.68211371581436
BA2244	NonMut	8.84624370479657
BA2470	NonMut	9.76974697360105
BA2984	NonMut	9.6874475749889
BA2414	NonMut	9.64008823387741
BA2697	NonMut	9.44696832329653
BA2079	NonMut	8.68391306436784
BA2644	NonMut	9.3735473533766
BA2011	NonMut	9.09600320401444
BA2217	NonMut	9.69279982690398
BA2454	NonMut	9.86270964606403
BA2776	NonMut	9.80971908397822
BA2218	NonMut	9.59916222255831
BA2135	NonMut	9.94271473100152
BA2914	NonMut	8.83362186336888
BA2500	NonMut	9.0307417478067
BA2830	NonMut	9.44987135785787
BA2406	NonMut	9.4270458724936
BA3108	NonMut	9.43613726309062
BA2924	NonMut	9.09230819306279
BA2303	NonMut	8.83676787171411
BA2160	NonMut	9.55927298456459
BA2040	NonMut	9.34313727945847
BA2353	NonMut	9.2429894144776
BA3036	NonMut	9.11086746340759
BA3410	NonMut	9.47302564786274
BA3118	NonMut	9.22287720595147
BA3202	NonMut	9.48238177689826
BA3217	NonMut	9.4045391740165
BA3306	NonMut	9.00255657247606
BA3371	NonMut	9.10341841676742
BA3413	NonMut	9.58909503454725
BA3411	NonMut	9.07395764638915
BA3133	NonMut	9.3561004357089
BA3164	NonMut	9.13342062895717
BA3451	NonMut	8.52958832512444
BA3286	NonMut	9.36916799017741
BA3212	NonMut	9.56098320131876
BA3103	NonMut	8.91751782379931
BA3271	NonMut	9.1872873383188
BA3152	NonMut	9.3735473533766
BA3095	NonMut	9.79245962144758
BA3192	NonMut	9.11086746340759
BA3251	NonMut	9.40901547409309
BA3362	NonMut	9.00434706477645
BA3400	NonMut	9.65048894475304
BA3408	NonMut	9.63491369950168
BA3187	NonMut	9.27569316532541
BA3098	NonMut	9.12964008242639
BA3435	NonMut	9.19120372633416
BA3261	NonMut	9.54457000922792
BA3203	NonMut	9.76974697360105
BA3174	NonMut	8.89776108628452
BA3317	NonMut	9.33883912107995
BA3299	NonMut	8.75098362594822
BA3221	NonMut	8.78108213178214
BA3347	NonMut	9.43158515365849
BA3235	NonMut	8.20012237793382
BA3126	NonMut	8.26607857536642
BA3380	NonMut	9.04143859741613
BA3089	NonMut	9.2389471182711
BA3109	NonMut	8.46185834013681
BA3114	NonMut	9.17171491689544
BA3418	NonMut	8.97829037472744
BA3245	NonMut	9.56915130536806
BA3085	NonMut	9.07761127342397
BA3128	NonMut	9.45909303825332
BA3423	NonMut	9.67679810675791
BA3173	NonMut	9.98114720830101
BA3171	NonMut	8.83048212173684
BA3210	NonMut	9.19120372633416
BA3157	NonMut	9.56420444046175
BA3433	NonMut	9.53969913371194
BA3322	NonMut	9.53484314535953
BA3374	NonMut	8.79328666582968
BA3450	NonMut	9.60422004710875
BA3167	NonMut	8.47663077360064
BA3269	NonMut	9.60929418124753
BA3110	NonMut	9.66259277874038
BA3156	NonMut	9.2592593958878
BA3226	NonMut	9.39118419839355
BA3421	NonMut	8.95777690896205
BA3232	NonMut	9.27569316532541
BA3289	NonMut	8.61423212805534
BA3430	NonMut	8.38747453651413
BA3145	NonMut	9.30906602396076
BA3399	NonMut	8.96117775713075
BA3449	NonMut	9.09230819306279
BA3384	NonMut	9.17948259034573
BA3427	NonMut	9.28812805203208
BA3163	NonMut	8.52958832512444
BA3158	NonMut	9.55927298456459
BA3436	NonMut	9.61438474364243
BA3154	NonMut	9.62258533258528
BA3162	NonMut	8.12230223339654
BA3352	NonMut	8.92264013919218
BA3084	NonMut	9.31751716888528
BA3149	NonMut	8.71853926395486
BA3169	NonMut	8.9076089453561
BA3180	NonMut	9.2109276242084
BA3255	NonMut	9.41350421836705
BA3438	NonMut	9.62975620855742
BA3403	NonMut	8.47415784691615
BA3431	NonMut	8.42559982560594
BA3341	NonMut	8.96458579397726
BA3191	NonMut	8.77804587995587
BA3197	NonMut	9.16398396797258
BA3448	NonMut	9.38234175781362
BA3453	NonMut	9.12586826213153
BA3406	NonMut	9.82133532639013
BA3186	NonMut	9.40240975182614
BA3447	NonMut	9.52036350053221
BA3116	NonMut	8.97485330936457
BA3280	NonMut	9.53969913371194
BA3094	NonMut	8.6697155276332
BA3318	NonMut	8.42559982560594
BA3216	NonMut	9.40901547409309
BA3332	NonMut	9.41800548205558
BA3214	NonMut	9.25691151442812
BA3099	NonMut	9.4045391740165
BA3141	NonMut	9.39562360946183
BA3373	NonMut	9.3217592552912
BA3319	NonMut	8.43037965011906
BA3328	NonMut	9.28812805203208
BA3339	NonMut	9.732408696693
BA3240	NonMut	9.08127310626888
BA3142	NonMut	9.44070228005406
BA3381	NonMut	8.74800571415782
BA3296	NonMut	8.8879736022598
BA3434	NonMut	9.27569316532541
BA3189	NonMut	9.08862153045619
BA3264	NonMut	9.55435683089665
BA3417	NonMut	9.23491479941431
BA3367	NonMut	8.60436299215519
BA3225	NonMut	8.11666073243668
BA3183	NonMut	9.04143859741613
BA3222	NonMut	9.08494318011795
BA3139	NonMut	8.88653621315296
BA3397	NonMut	9.64527993925034
BA3311	NonMut	8.07971165578759
BA3422	NonMut	10.0888662099127
BA3228	NonMut	8.68391306436784
BA3213	NonMut	9.26335235036244
BA3270	NonMut	8.8717935877338
BA3415	NonMut	9.34744684153524
BA3324	NonMut	8.8525926437112
BA3194	NonMut	9.68211371581436
BA3335	NonMut	9.96822468421139
BA3326	NonMut	9.27569316532541
BA3285	NonMut	8.72329447406972
BA3297	NonMut	9.09230819306279
BA3227	NonMut	9.11460476788528
BA3394	NonMut	8.65006116973985
BA3412	NonMut	8.93752128537319
BA3293	NonMut	9.44239146973819
BA3250	NonMut	9.21888429779212
BA3177	NonMut	9.47769688223901
BA3315	NonMut	8.96117775713075
BA3182	NonMut	8.91751782379931
BA3369	NonMut	9.24704173883127
BA3078	NonMut	9.20475662343021
BA3386	NonMut	9.71984209806913
BA3445	NonMut	9.4000752436972
BA3176	NonMut	9.29229417829056
BA3258	NonMut	8.64449262965366
BA3295	NonMut	8.76897254396233
BA3283	NonMut	9.47302564786274
BA3390	NonMut	8.49908497066643
BA3136	NonMut	9.05220627117217
BA3087	NonMut	9.37964346609645
BA3454	NonMut	9.160132157513
BA3302	NonMut	9.39118419839355
BA3117	NonMut	9.44696832329653
BA3083	NonMut	8.9076089453561
BA3266	NonMut	9.21888429779212
BA3175	NonMut	8.35811493599106
BA3268	NonMut	9.28397254525379
BA3229	NonMut	8.70401585675217
BA3353	NonMut	9.78674968596522
BA3312	NonMut	9.20300948929151
BA3119	NonMut	9.3561004357089
BA3138	NonMut	9.04501990946176
BA3219	NonMut	8.44724078411408
BA3388	NonMut	8.88148184246882
BA3357	NonMut	9.36650856672567
BA3351	NonMut	9.54457000922792
BA3208	NonMut	9.65571538111022
BA3200	NonMut	9.1872873383188
BA3325	NonMut	9.16398396797258
