	SRSF2	ASXL1
BA2782	8.89122942781574	5.67546263774049
BA2649	9.61438474364243	6.31810358288684
BA2488	8.90103696609653	6.19690129645258
BA2861	9.17948259034573	5.9027386298111
BA2909	8.79205235357759	6.02245886806957
BA2429	8.99222936727265	6.42530173541054
BA2653	9.26099325755712	6.90161368403515
BA2134	8.46430959418229	5.5372259675426
BA2947	9.415200229547	6.61700352029779
BA2032	8.73910632748104	6.05692203263316
BA2162	9.18338030789918	5.92314727428924
BA2564	8.9076089453561	5.6860968528657
BA2597	9.50768698561149	6.08666258593702
BA3243	9.04501990946176	6.03404286985942
BA2106	9.17171491689544	5.94392026663398
BA2427	9.16398396797258	6.46136172333021
BA2841	9.67679810675791	6.45648309857568
BA2446	9.47302564786274	5.8769475456825
BA2645	9.12586826213153	6.38738832095137
BA2525	9.18338030789918	7.40609048790591
BA2876	9.19120372633416	6.59838838471777
BA2357	9.26745559419095	6.53695474326822
BA2546	8.86536741111737	5.70452449404762
BA2742	8.66689198102969	5.61064071002875
BA2316	8.95099667095566	5.7725785925433
BA2421	8.268195867683	5.83800900717186
BA2087	8.81980741439546	5.72480376191034
BA2910	8.89776108628452	6.00800870736247
BA2148	8.72438748273975	6.33368252669389
BA2063	9.26745559419095	6.97794904447586
BA2329	8.8717935877338	5.78856545869923
BA3178	8.87501645157825	5.51345714323729
BA2072	9.13342062895717	5.70757619671164
BA3029	9.45447558148811	6.00261866586335
BA2733	9.22687989289351	6.0688553647905
BA2995	9.52517542791568	6.95960331595656
BA2069	9.47769688223901	6.00392077224602
BA2100	8.672544374331	6.11039522609915
BA2681	9.19512951707567	5.64993072157884
BA2248	9.36916799017741	5.92513526908082
BA2832	9.60422004710875	6.18950223686314
BA2308	9.75851596885508	6.17641644366945
BA2413	9.62975620855742	6.21539686316165
BA2701	9.05581138653334	5.57895756058083
BA2634	9.3561004357089	5.89048099649459
BA2677	9.48238177689826	5.97648507555777
BA2937	9.27156918109996	5.86940153677441
BA2600	9.04860912314158	5.60841425670287
BA2019	9.52036350053221	6.15834977750935
BA2412	8.75995195431454	5.60156210630339
BA2334	9.56420444046175	6.11294027816034
BA2050	9.94905102299885	6.10277314052035
BA3230	9.08494318011795	5.95938551876052
BA2953	9.20696376307392	6.33918453468976
BA2481	9.8155160837716	6.10497366667794
BA2731	8.78108213178214	5.40702626397137
BA2294	9.60929418124753	6.30740738637139
BA2418	9.45909303825332	5.82819619911188
BA2816	9.36916799017741	6.34923107690817
BA2656	9.94905102299885	6.26338772089894
BA2814	9.10713869224013	5.40625901568549
BA2631	9.26745559419095	6.02698748997862
BA2023	9.01306871894599	5.64727150122162
BA2375	9.27156918109996	5.97812067314416
BA2485	9.67842749251503	6.4432415747754
BA2455	8.8589671548512	5.55586804682645
BA2025	9.09600320401444	5.79603390583248
