	KIT	GATA2
BA3178	6.71780036034788	-0.106092733460167
BA2072	7.31397253852267	5.14543140849029
BA3029	6.52375465899181	8.92748837970555
BA2733	7.2371970090631	5.32125964978542
BA2995	5.70643173596218	1.87147539953468
BA2069	4.07958610816328	1.06756511195893
BA2100	5.76256437697443	6.69027313849037
BA2681	6.69356109841864	7.58759859001841
BA2248	5.93163668749835	6.88553914900191
BA2832	7.30411511402805	8.69249597847146
BA2308	7.60989112051761	7.87732006412967
BA2413	7.69420627031986	7.29077391107671
BA2701	6.3314194986068	5.76256437697443
BA2634	6.86903485569995	6.61275930528802
BA2677	6.69580577134555	7.25790347094091
BA2937	7.32489473499785	8.40664550150058
BA2600	5.59027419096801	6.59949061589029
BA2019	-0.780448523359928	9.64527993925034
BA2412	5.79950973684786	6.57041549701901
BA2334	4.93436696034119	7.64511152399424
BA2050	6.1180523945273	7.30591810989836
BA3230	6.93827202821145	7.22951525991334
BA2953	6.81086164089737	5.74281190993701
BA2481	5.46628439479905	6.26652649814407
BA2731	6.4137172012398	4.76216052725516
BA2294	8.904319577833	7.90950778255697
BA2418	5.42857060288721	7.77713213848426
BA2816	5.36072833704901	1.63244056607344
BA2656	3.65263152336696	8.15865294170913
BA2814	4.23701647161103	5.88643954120856
BA2631	7.37396310701658	8.0760787079227
BA2023	-0.425828695317915	-0.126036792393191
BA2375	7.47830743039593	7.68273154484305
BA2485	7.17116786854616	9.30657970599922
BA2455	0.213349457050806	4.2507446186302
BA2025	5.99479766689368	2.32043052645812
BA2636	6.64186594668035	9.22287720595147
BA2325	4.27232629182903	4.5269559134182
BA2169	7.30411511402805	7.0623479587219
BA2156	8.99558616821901	8.22650342209935
BA2511	4.81690090080098	7.6112304020112
BA2939	7.64377441186557	8.22855584188171
BA2168	3.54447318338801	7.27636680044251
BA2505	6.69861654752334	7.27462693268534
BA2860	6.10105446354612	8.5529001392332
BA2707	4.47937233979517	6.27202284935672
BA2871	6.4442145827922	3.03505636097059
BA2655	6.1522898333018	5.94796425199258
BA2227	6.87084783224833	7.50002964161751
BA2125	7.24473994098098	6.27380663380772
BA2523	8.62516478231551	6.52219766315803
BA2603	6.26033254809805	7.93187727167438
BA2808	6.80486837491	8.47415784691615
BA2282	0.275450535390316	2.39603844730184
BA2482	8.51425498508966	8.45696872743274
BA2812	0.390163792184238	2.68530372380301
BA2822	6.64684027167279	6.10829331712153
BA2594	7.31665510949842	4.34871319583887
BA2747	6.53543485984192	8.01284698319857
BA2561	1.51130448384538	0.106733079748621
BA2567	1.72847085742469	3.87651804611081
BA2906	6.151452910791	2.27825644198579
BA2956	5.88606180557595	3.23073632692797
BA2474	7.37771038448057	8.0044307958278
BA2737	3.93165864889064	0.583388534420479
BA2110	3.98774117772589	4.92630002359127
BA2992	5.40957494113667	3.78491798790536
BA2220	5.05504885396523	9.160132157513
BA2772	5.93332587992066	8.79942491234482
BA2935	6.4108151402329	6.05993013058661
BA2260	4.5552347102947	4.49346190383121
BA2676	7.74536502725477	5.78078023650693
BA2948	7.64255001400601	8.35358316301659
BA2524	7.27555120012057	4.83023871763674
BA2811	5.21501701134356	8.47663077360064
BA2540	5.98011491063707	4.68836796933157
BA2928	6.05650405294687	4.17753260382741
BA2302	6.56685915377229	7.19225834495813
BA2595	7.36047250037276	5.88961440143981
BA2792	6.66177361256097	7.17761745050204
BA2651	6.88867708372879	6.92432887364054
BA2619	8.67821802831458	9.4917929010063
BA3013	5.69333061318898	5.87965665517008
BA2405	5.94473215258657	7.40510623344956
BA2735	5.40147695209821	8.43517613550052
BA2856	5.36476332195428	8.63894476137773
BA2377	6.32635613681556	2.36843137715683
BA2499	8.03722226484621	7.8503248353151
BA2463	-0.256578476181957	2.17929512084737
BA3023	5.91320591729895	7.81686981561798
BA2095	5.73627139725326	8.05288390011611
BA2901	4.75201016058728	6.08192723673296
BA2275	7.82833379039141	6.35757561884313
BA2387	8.6279105840654	7.77444024847
BA2962	6.10621461216555	6.61649602743193
BA2195	6.92111028015582	8.31347995218337
BA2688	5.64352989350398	7.560948520145
BA2787	3.13490199455068	3.12103519528401
BA2420	7.9003747386446	6.08362235286883
BA2756	6.19822146547957	5.8081471591439
BA2122	4.4543011664344	4.82431105237604
BA2053	7.50105244518025	7.02841397070837
BA2080	8.30255392241405	5.89999571306857
BA2081	8.48656626341456	5.76181699229763
BA2354	9.28155652487085	5.88722354181861
BA3273	0.651829022283505	1.71633530219167
BA2893	6.14672505812723	8.07971165578759
BA2044	7.70961368830257	4.90950444103544
BA2489	5.95233629524957	5.30096102579671
BA2309	7.13359161213086	8.01457218763256
BA2720	5.0932101529727	7.5552619353094
