	NPM1	BCR
BA2939	9.41350421836705	7.1445927897216
BA2168	9.20300948929151	7.33435286548196
BA2505	9.09230819306279	6.72932018001604
BA2860	8.97485330936457	6.33280116885594
BA2707	9.12210512882866	6.1167480511433
BA2871	8.66689198102969	6.34923107690817
BA2655	9.36916799017741	5.98263491560423
BA2227	9.42251934116338	7.10612705087253
BA2125	7.76334677298606	5.83640380634386
BA2523	9.33455230246716	6.06298925282901
BA2603	8.99558616821901	5.89878476046271
BA2808	8.70112769787832	7.11889170682512
BA2282	7.26503778677364	4.99630420821888
BA2482	9.04501990946176	6.15353258469632
BA2812	8.81487669872437	5.45930289861008
BA2822	7.14998539597838	6.88993208075706
BA2594	8.42798766039968	6.59203093136997
BA2747	9.35176787188011	6.58940815390926
BA2561	9.09970659968869	3.86498590526404
BA2567	7.54085820588458	5.56185121271131
BA2906	8.80250309714617	4.31403344803122
BA2956	8.11104544817006	6.45094382431096
BA2474	9.08127310626888	6.26517604030033
BA2737	8.02685700006077	5.25002967084118
BA2110	7.71347289714959	4.77768955351298
BA2992	9.18338030789918	5.43150944423395
BA2220	9.00955709168753	5.72519608896332
BA2772	9.42251934116338	7.04494223347583
BA2935	8.55029123602985	5.23427709893467
BA2260	8.75098362594822	6.41897137635364
BA2676	8.7361512573159	5.48799059086909
BA2948	7.55189787670547	6.7928687930301
BA2524	9.2592593958878	6.4432415747754
BA2811	8.83676787171411	6.59838838471777
BA2540	8.86857724833819	4.87903527269784
BA2928	8.7214605815193	5.02728430921221
BA2302	9.38234175781362	7.69790613813162
BA2595	9.09230819306279	6.5857158816337
BA2792	8.66689198102969	5.93080604569295
BA2651	9.17948259034573	5.88248029384315
BA2619	7.88191833711993	7.99246857024867
BA3013	9.54457000922792	6.30326841219344
BA2405	9.64008823387741	6.75597489483719
BA2735	9.08494318011795	7.92045916247849
BA2856	7.56206988956539	6.3129901827468
BA2377	8.74389874448259	5.4011135093016
BA2499	9.66095938066438	6.82550917357801
BA2463	8.4179334910987	5.98220791058853
BA3023	9.17948259034573	7.26503778677364
BA2095	9.13342062895717	6.52072194410879
BA2901	8.51425498508966	5.36401650261941
BA2275	6.9401836518602	6.3548930381601
BA2387	8.68106286594684	6.54042498941119
BA2962	9.73079295605488	6.75309739437635
BA2195	8.69249597847146	6.3037231448191
BA2688	8.77262692606308	5.67317843136018
BA2787	6.35352478320916	5.25995268870037
BA2420	9.09970659968869	6.26972531039322
BA2756	9.56420444046175	6.67894286315779
BA2122	7.70840071464408	5.82113079754453
BA2053	9.16784487350203	6.3190384639483
BA2080	8.92748837970555	7.617186143553
BA2081	9.00255657247606	5.81524050486287
BA2354	9.30238239860393	7.43037850226792
BA3273	7.24904224136933	6.1527015081476
BA2893	9.50601427714714	6.60526101233573
BA2044	8.43758065182973	5.36514025423526
BA2489	9.15628939970288	6.18772366533395
BA2309	9.05942450247106	5.42125052108752
BA2720	7.7605970351598	4.91967560526623
BA2908	9.83621907237271	7.20308831152753
BA2054	8.54508752883457	5.34586747430917
BA2872	8.00271116464237	5.70948396756837
BA2526	9.09600320401444	6.73745939965324
BA2041	9.02011485988608	6.42280633283907
BA2464	9.07395764638915	7.0949820634578
BA2902	8.82734862624236	6.42907602157434
BA2541	9.18338030789918	5.76994542170869
BA2143	7.22867709025789	6.49248354368901
BA2094	7.79956921933088	3.90178344692234
BA2769	8.904319577833	6.27289277243206
BA2843	8.88148184246882	7.00490622738367
BA2592	9.57909169555586	6.83464418679852
BA2497	8.09067732991193	5.09857876696561
BA2718	8.61151153389318	7.28351115402007
BA2575	7.3614587281193	5.33028268437174
BA2096	9.4000752436972	5.97568950745141
BA2593	10.3090915070605	4.64839439063584
BA2791	9.14481502348153	6.44374763893835
BA2620	8.61695773628636	6.67837784799198
BA2629	9.4000752436972	6.35855944709052
BA2870	9.26745559419095	5.27178640650514
BA2423	7.73861349646242	5.31829221630524
BA2682	9.14863087419242	6.38934321957447
BA2276	8.91090509269608	6.01825098577676
BA2348	7.52987979374564	5.26104695645994
BA2709	8.81177412986094	6.08536052540414
BA2789	9.36480042798147	6.48412876670839
BA2694	8.92748837970555	6.3850340445232
BA2538	8.40429460371975	6.96975356458038
BA2583	9.44070228005406	6.82066158800154
BA2415	7.67493502317828	5.4113491881704
BA2722	7.0623479587219	6.56685915377229
BA2806	9.01306871894599	6.95685605328487
BA2221	7.99413751864958	5.86132938817703
BA3025	9.2389471182711	7.63878607715114
BA2514	8.62153057515291	6.24185782368877
BA2520	9.08127310626888	8.36266215228094
BA2441	7.40108920011618	7.16215175411855
BA2153	9.57909169555586	7.35863482899504
BA2479	8.22832881693221	6.16229657509821
BA2281	9.01658796485945	6.65403117957095
BA2657	8.33560901482561	5.84787957757678
BA2932	9.12210512882866	6.48412876670839
BA2123	9.57909169555586	6.55077235024982
BA2844	9.22687989289351	6.37215716750202
BA2660	9.06304565250042	5.39533160012503
BA2836	8.74800571415782	5.85261407276684
BA3027	7.63041516939983	5.46628439479905
BA2714	8.89122942781574	5.99273740349983
BA2139	6.80299244523417	4.7565572931123
BA2251	8.32671267592458	7.2187812774904
BA2952	8.16254296358662	4.93401038600293
BA2440	8.39493145233583	6.24682640662524
BA2036	8.75695672842528	5.77294291662078
BA2828	8.09804401257278	5.98917879350321
BA2292	8.98173476670244	5.29157815552758
BA2410	9.34313727945847	6.6263105848456
BA2051	7.46363654414575	5.56967790109069
BA2532	7.45571345371651	6.78009238710876
BA2986	8.95099667095566	6.42335019674645
BA2494	8.39027400222105	6.22856369307102
BA2515	8.66407371953991	7.2456266527422
BA2748	9.33883912107995	7.31397253852267
BA2970	8.8589671548512	6.16479221189801
BA2622	8.65006116973985	5.34725969274235
BA2839	8.72438748273975	6.36982886713941
BA2052	9.10713869224013	6.73745939965324
BA3011	8.50277388292747	7.65898516432112
BA2868	9.00255657247606	7.40804987020109
BA2510	9.01658796485945	5.1273934607462
BA2065	9.20696376307392	6.46089717787351
BA2691	8.11104544817006	5.03748167961273
BA2374	8.21222936163239	6.03853366113736
BA2804	8.8879736022598	6.35713479831954
BA2670	7.93824432889201	5.3967377082824
BA2675	9.08494318011795	6.38694021270264
BA2589	8.38563253120242	6.77076757748903
BA2031	8.87824586229709	4.19948384853905
BA2198	9.39118419839355	5.85734049093177
BA2066	8.28097335559112	4.15030657560813
BA2344	9.57411368730524	7.24904224136933
BA2459	9.38404554334867	6.03404286985942
BA2229	8.53473617000875	6.10787715288174
BA2559	8.68391306436784	6.27784077147234
BA2093	9.23491479941431	7.51849616731086
BA2000	8.08701091285537	6.0228669992747
BA2425	8.47600328572046	6.115497606055
BA2905	9.22687989289351	7.51849616731086
BA2304	7.16215175411855	4.10468826215996
BA2976	8.65285322774346	6.03692689677874
BA2386	9.09970659968869	7.39734461578024
BA2035	9.33455230246716	6.70141361221983
BA2760	8.29820901257083	5.58914523241343
BA2201	8.89776108628452	4.82601584823689
BA2355	8.59260663428802	5.73895961242765
BA2113	8.50026123971081	5.53534040119425
BA2155	8.99906762077278	8.04060780611373
BA2955	8.07971165578759	4.82328175599878
BA2502	8.05457002396872	5.82113079754453
BA2322	8.93082572022568	6.32126637219132
BA2376	6.97993778438247	4.47173241334974
BA2020	9.15245565249128	5.50793552756995
BA2226	8.81487669872437	5.62530338833762
BA2200	9.30065851731011	6.52889213798317
BA2121	8.92748837970555	6.55713498264667
BA2944	9.90525526471174	7.62925234894777
BA2033	7.17761745050204	6.24055068924258
BA2867	8.66126072825912	6.72991592484699
BA2089	7.65513327960109	4.05683132743398
BA2224	8.38331776349613	6.51302546929391
BA2046	9.3217592552912	6.44275689894875
BA2972	9.160132157513	7.09927444538542
BA2978	7.85205086731265	5.7171416432858
BA2829	8.79635277497105	6.45455803457724
BA2851	8.5529001392332	6.7683876254961
BA2587	8.72438748273975	6.14235074085009
BA2461	7.94314055717551	5.4391470099726
BA2695	7.68652733200955	5.63667506064986
BA2623	9.57411368730524	6.45042558800672
BA2024	7.58759859001841	5.45784014927661
BA2426	8.88148184246882	6.33465501524617
BA2271	7.95452812467512	5.8972652873143
BA3004	8.57129520837751	6.28551672535244
BA2579	7.85633367820174	5.62569796990481
BA3010	9.00605305286098	5.74901581721608
BA2662	8.34232080533324	5.15140387829057
BA2674	9.15245565249128	6.78618260321054
BA2280	8.50160207030541	6.47329372187665
BA2512	6.81629782268832	4.5121809335458
BA2658	9.070312190258	5.74740223582238
BA2394	8.21222936163239	5.8717903577196
BA2950	9.49651930986164	6.6441169206914
BA2981	8.63894476137773	6.78255354390321
BA2934	7.22625304922136	5.58566958726139
BA2539	7.8925772722697	5.08045391308103
BA2249	8.63894476137773	6.12261931153674
BA2034	8.94268168369866	6.4369045674542
BA2109	7.61245153291675	6.02615955253131
BA2242	8.12041880838799	6.62086223855277
BA2277	8.68676863894814	6.23486418682469
BA2727	9.83304132704525	7.39349126897836
BA2132	8.672544374331	6.02412758639857
BA2618	8.61151153389318	6.04317296149907
BA2521	8.672544374331	6.18678372367744
BA2846	9.1755941413251	6.57456923029337
BA2885	8.02142525655183	4.13786445002438
BA2639	9.04860912314158	6.48317228455133
BA2775	8.84941498844258	6.08621852980205
BA2402	9.26335235036244	5.85182499561048
BA2097	9.44070228005406	6.96026429862309
BA2786	9.34313727945847	5.26285028087433
BA2399	9.44070228005406	6.80299244523417
BA2850	8.91090509269608	6.71554173603585
BA2174	8.34232080533324	6.06255807626612
BA2004	7.48933909555342	5.87015044982701
BA3001	9.69817061599593	6.41417827633489
BA2311	7.93028682049466	4.35943400228243
BA2483	8.48343527695382	4.78188212473359
BA3040	9.00605305286098	5.78541513449237
BA2837	9.37793858616158	7.01759724929549
BA2724	8.5607551950315	5.53203547054766
BA2911	9.35176787188011	6.26160203077507
BA2256	9.43613726309062	6.97042186538325
BA2821	9.69817061599593	6.91395412230233
BA2233	9.19906475607931	6.61224021519215
BA2744	9.34313727945847	6.95344802847081
BA2880	8.34906675857089	5.8674136416209
BA2621	8.28097335559112	5.47504055869632
BA3002	8.42744390017979	4.40873891700465
BA2501	8.48407580140491	6.09727224274201
BA2993	8.84624370479657	6.77605663940291
BA2301	8.06147774301482	5.11818199426187
BA2852	8.29820901257083	6.60955337824494
BA2133	7.83554388846121	5.01074843435653
BA2866	9.19906475607931	5.71628948447083
BA2212	9.33455230246716	6.75309739437635
BA2685	9.39562360946183	6.66119005251722
BA2273	8.83362186336888	6.94490055523594
BA2477	9.29229417829056	6.20007083801849
BA2659	8.45453034732936	6.21454243325922
BA2124	9.49819442110274	6.38358861182418
BA2363	8.84941498844258	6.151452910791
BA2369	8.79328666582968	5.93410860815703
BA2534	9.0271917203024	7.45375064871774
BA2400	9.46836798648192	6.63861770845571
BA2762	8.96117775713075	6.84098754890722
BA2312	8.79635277497105	6.72524597427468
BA2813	9.54457000922792	7.28989199463087
BA2211	9.17734760232419	6.62245620960063
BA2171	9.17171491689544	5.65065174675946
BA2746	7.89401548128851	4.92520730347078
BA2798	9.67679810675791	6.46136172333021
BA2809	9.1872873383188	6.93219471408877
BA2288	8.55505298542423	6.71268468403438
BA2801	8.32449794408229	6.20613451857404
BA3030	8.66873090783595	5.91835525147628
BA2588	9.44070228005406	6.23533588980149
BA2296	9.28397254525379	6.94092532395025
BA2300	8.69249597847146	6.50649211862862
BA2903	6.47376016789819	5.35671343237345
BA2473	9.13518361120238	5.20903956129855
BA2545	8.25764420926654	5.75528821055756
BA2840	8.5971359914493	4.92841190922266
BA2528	9.14863087419242	6.26033254809805
BA2646	8.84941498844258	6.56478809528508
BA3407	8.40429460371975	6.06468755944282
BA2240	8.25554427681065	6.0444352624309
BA2926	9.48238177689826	6.20356343645269
BA2272	8.26607857536642	5.07233552546842
BA2306	8.87501645157825	6.93495398241331
BA2765	7.08068398565122	6.12593955851946
BA2904	8.52958832512444	6.35536228255588
BA2883	9.05581138653334	6.69973279989381
BA2726	6.49846429425474	4.96581812575855
BA2234	7.19816924570359	4.41532323585857
BA2022	8.91751782379931	6.64742815938269
BA2228	8.48906113697349	6.20781827295602
BA2037	9.49651930986164	7.25527706310904
BA2184	9.2592593958878	7.631611105114
BA3009	9.06304565250042	6.93623650693789
BA2842	7.37484847247432	5.32884856568571
BA2442	8.86536741111737	7.16876088952225
BA2882	7.69790613813162	4.7899749730526
BA2758	8.01121552663761	4.84355578321486
BA2705	8.4594113881339	7.05061628699762
BA2663	7.58640399756741	5.31976332499236
BA2570	9.070312190258	6.45042558800672
BA2764	7.86519796261888	5.9931420196416
BA2209	8.23267071257109	7.66613976188412
BA2989	8.87824586229709	6.41274177487418
BA2855	7.70582137825133	5.58046983385628
BA2261	7.49565796423242	6.21760589006463
BA2721	8.41608983118813	6.30142372411484
BA2930	7.75371580805874	4.9189601385943
BA2728	7.74132890165977	5.78692047501447
BA2715	7.71215406681609	7.05213628356552
BA2469	7.96260346447077	5.05185342291901
BA2269	7.15633759792086	4.37489733183693
BA2098	8.09251475928632	5.36000471761652
BA2778	6.98621603600523	4.77174514426462
BA2951	9.78674968596522	7.69790613813162
BA2163	7.09568366825665	7.15633759792086
BA2379	7.31397253852267	5.23965795443685
BA2817	7.86671215518685	5.57448750435834
BA3153	7.92699657991781	7.39540604135448
BA2820	8.20414503388581	4.90395677287731
BA2723	8.22445433533228	6.38217571781426
BA2704	9.23491479941431	6.5145040049866
BA2088	8.3972661940189	6.46431017589338
BA2116	6.78491577385659	6.70141361221983
BA2584	7.87430709609213	6.08028059153902
BA3079	8.24717893447311	6.93090952480088
BA2417	8.47910806756512	5.58646194769947
BA2361	8.09067732991193	5.83445972810738
BA2450	8.75995195431454	6.78683353920324
BA2492	7.35202275514424	6.06468755944282
BA2552	9.4270458724936	6.593640686055
BA2472	8.04060780611373	5.50092424285105
BA2994	9.04501990946176	7.39829394317713
BA2047	8.54249270039127	6.53092260630466
BA2101	8.5117153749805	5.53022022640692
BA2082	8.97829037472744	7.19064975766148
BA2879	7.48057619109315	6.16697408993369
BA2577	9.4000752436972	7.2808607611199
BA2456	8.22445433533228	5.47687288470878
BA2175	6.84399982384708	6.17598273714894
BA2824	8.58457840504288	6.69917227276428
BA2507	9.15245565249128	6.79581543973709
BA2563	9.21888429779212	6.84900595542396
BA2244	8.44966638628301	4.6932849776624
BA2470	8.66407371953991	6.83344544574865
BA2984	8.74503353869987	6.12552506853402
BA2414	9.11835064360706	6.66119005251722
BA2697	7.00782899353321	4.60792606754863
BA2079	6.63915578339387	4.86711959822639
BA2999	8.59529250724368	6.10105446354612
BA2644	8.30909856685695	5.82697757198733
BA2011	8.00619097456886	5.94263228316548
BA2217	9.35176787188011	7.33978574457582
BA2454	9.13720994130471	6.41753927442656
BA2776	9.1872873383188	6.72183111998027
BA2218	9.47302564786274	7.57949702449786
BA2135	9.53000194332933	6.79345158499426
BA2914	7.96905854853838	5.0613916284713
BA2500	7.68775219309565	6.01997355940229
BA2830	9.79819104218496	6.82908216215166
BA2406	8.13176351189552	5.97691207859612
BA3108	9.44528028465592	6.47077724815555
BA2924	8.76595984417136	6.52531304614774
BA2303	7.93352218493006	4.82567168446912
BA2160	8.82110029202306	6.89511146582289
BA2038	8.40194775982719	6.3314194986068
BA2602	8.32893113987774	6.33963983784712
BA2964	7.878761730409	5.90353378741165
BA2898	7.94635895319707	5.13442321095142
BA3003	7.88191833711993	5.1312402648846
BA2111	8.01457218763256	5.24473950333042
BA2827	8.18020169656618	5.00030099191484
BA2912	8.18217944661747	5.21638571420328
BA2437	8.21832699326225	5.15277462061388
BA2283	7.92868137841977	5.05963791860408
BA2057	7.89563066633541	4.93365968802651
BA2633	8.3603866090308	5.38876952657644
BA3034	7.97720455656684	5.46077259712663
BA2607	8.18813169577028	5.1893996177199
BA2761	8.40194775982719	4.84916838241934
BA2795	8.00271116464237	5.21363189314042
BA2182	8.19411260375688	5.23892002460204
BA2152	7.89401548128851	5.35519815996299
BA2381	9.55927298456459	7.06665895626498
BA2931	8.34456564828853	5.3789226513503
BA2040	7.72277870826456	5.8223059503427
BA2590	9.34744684153524	6.2220023406681
BA3195	9.4045391740165	6.7513352539061
BA2516	9.40177461105289	6.4417602152858
BA2353	9.62461563502098	6.76538787488707
BA3036	9.44070228005406	6.15961763122212
BA2971	8.05801802157941	5.98467386389207
BA3410	7.99739906746641	6.82430487390793
BA3118	8.8525926437112	6.08362235286883
BA3206	9.09600320401444	6.96352997566574
BA3202	8.84307877151568	6.14588697195031
BA3217	9.33455230246716	5.64425897367774
BA3405	7.61245153291675	4.96859040614141
BA3306	9.27982760161886	7.29515347515493
BA3371	8.91420804405317	5.82467709721848
BA3413	9.33027676031699	7.17275321082541
BA3411	8.88148184246882	5.99561264597437
BA3133	7.55977224878375	6.66177361256097
BA3164	8.77804587995587	6.70082648857542
BA3451	7.44242521067177	4.32895685249899
BA3286	8.50412364911741	5.89480665962864
BA3212	7.50105244518025	6.80299244523417
BA3103	8.7420670822246	6.52270916866473
BA3271	8.92748837970555	5.73170946155885
BA3152	7.13359161213086	5.53829094386613
BA3095	8.61695773628636	6.29871693912713
BA3192	9.4000752436972	6.97042186538325
BA3251	8.7420670822246	6.30142372411484
BA3362	7.81686981561798	4.90254409754431
BA3400	8.15477520582082	7.51084212363206
BA3135	9.25517667754352	6.59148541753236
BA3408	8.42321613548815	5.67849879072138
BA3187	8.65006116973985	6.56583781452914
BA3098	8.77804587995587	6.19521896796153
BA3435	9.4000752436972	6.16350618566062
BA3261	9.06667487040862	6.42763769743183
BA3203	7.19738153999511	6.71723697861596
BA3174	7.89563066633541	5.75339715282444
BA3317	9.90525526471174	7.09119041085949
BA3299	8.268195867683	5.75339715282444
BA3221	7.54085820588458	5.18055221298724
BA3347	7.9003747386446	5.03642055076695
BA3235	6.9965338713589	4.87023108953253
BA3126	7.65148276489013	4.72494162147075
BA3380	9.05220627117217	6.7478553015081
BA3089	9.4917929010063	6.4243136710677
BA3109	7.91267481802265	5.22784345449983
BA3114	8.27456876079558	6.54408446340443
BA3418	9.1755941413251	8.42321613548815
BA3245	6.72876764999848	7.55410957706454
BA3085	9.2109276242084	7.40510623344956
BA3128	9.4045391740165	7.38950712951152
BA3423	9.59916222255831	7.69790613813162
BA3173	9.26335235036244	6.83278764297823
BA3171	7.55754763062472	6.90492530830845
BA3277	8.79022656584331	6.18861040169558
BA3210	8.24301678047805	5.74281190993701
BA3157	10.1099887487995	6.90753952267277
BA3433	8.7214605815193	7.45275636284168
BA3322	8.25554427681065	6.05488922575061
BA3374	8.92415796681604	4.90780942463828
BA3450	8.63894476137773	8.03550248502968
BA3167	9.04501990946176	5.36108738051707
BA3269	7.80392510487274	6.13639827903739
BA3110	9.20870997646767	7.09423229403913
BA3156	9.73079295605488	7.15246698865564
BA3226	9.55927298456459	6.57305438035027
BA3421	8.25344779136567	5.32014183113526
BA3232	9.03786515454843	6.18904995277038
BA3289	7.61833712147791	5.18055221298724
BA3430	7.74666982029682	4.85795416727061
BA3145	8.61695773628636	7.11145591609312
BA3399	7.84567146798846	5.35415056636227
BA3449	9.45447558148811	6.18074633883084
BA3384	8.824221356442	5.37231197414927
BA3427	7.21134659078952	6.08028059153902
BA3163	7.08148396341999	4.27532548252001
BA3158	9.2592593958878	6.71325528813671
BA3436	9.67679810675791	7.05362684769664
BA3154	7.76749698582267	7.40804987020109
BA3162	8.60337970015667	6.1522898333018
BA3352	9.67313133431446	6.8911840063889
BA3084	8.78717245605116	5.69915968973013
BA3149	7.8210975174081	5.57820476090366
BA3169	8.24301678047805	4.83969192429889
BA3180	9.11460476788528	6.79100301901869
BA3255	8.64449262965366	6.79754404909056
BA3438	9.3735473533766	6.55131094202148
BA3345	7.67751428719864	5.27616019362885
BA3403	8.41372261793503	4.79802498877419
BA3431	7.86519796261888	5.15956280499738
BA3181	8.39960495989321	5.47397012091034
BA3341	7.99413751864958	6.22719727634407
BA3191	8.36494157515656	5.77488348222962
BA3197	8.97829037472744	6.33418865159932
BA3448	9.08494318011795	5.83678289113702
BA3453	8.80867768640892	6.63915578339387
BA3406	8.79635277497105	6.40877834877257
BA3308	9.38675693832204	6.45750445904916
BA3186	8.48399844841995	6.92959860586943
BA3334	8.7214605815193	5.73699919077019
BA3447	9.60422004710875	5.60730001289596
BA3116	8.70401585675217	5.89686100447784
BA3280	9.25110414260315	6.85271739062875
BA3185	8.5373170330564	6.0506842235686
BA3094	8.59798330037588	5.19161041350932
BA3318	8.47663077360064	6.74670042339904
BA3216	8.8879736022598	6.63758201438047
BA3332	9.36916799017741	6.09645228197541
BA3214	9.51245452204643	6.95085389521077
BA3099	8.8717935877338	7.08821062221174
BA3141	9.43158515365849	6.20920563257666
BA3373	8.78108213178214	7.5725144548201
BA3319	7.51413414557592	5.34219904385068
BA3328	8.07971165578759	6.02857515716086
BA3339	8.07425460403884	5.52912784732658
BA3240	8.97485330936457	5.93080604569295
BA3142	8.62516478231551	7.06956103001791
BA3333	8.98864564355709	6.86587981932563
BA3381	8.18217944661747	5.96907627794874
BA3290	8.25344779136567	5.96063563466876
BA3207	7.11965805588277	3.33215545891791
BA3296	7.05061628699762	5.53758769155616
BA3305	8.59260663428802	5.8741844767795
BA3434	9.18338030789918	6.42139457326444
BA3189	8.87824586229709	6.61814735201381
BA3264	8.69536777456055	6.35117266997331
BA3329	9.45616130594571	5.47211198059332
BA3417	8.57925061313916	5.69607421457276
BA3367	7.38257507273258	5.68079307995248
BA3225	6.41555515164963	3.80773072741873
BA3183	8.88148184246882	6.33963983784712
BA3222	8.70401585675217	4.88676679342622
BA3139	7.46894970580743	6.86465246289888
BA3397	6.732801148639	6.48462547088391
BA3311	7.04704814373678	5.4467895401386
BA3422	9.02011485988608	6.95615389337193
BA3228	8.92415796681604	6.64915964619014
BA3213	8.62516478231551	6.16391479568772
BA3270	8.31787605128572	5.48834420491023
BA3415	7.56784611916855	7.07405167828484
BA3324	8.5607551950315	6.41850564142252
BA3194	8.68106286594684	7.04344633578654
BA3335	8.19211577067672	6.59999610931592
BA3199	9.4000752436972	7.21956573793108
BA3326	8.22036612888066	5.15458212031302
BA3285	7.61362919863888	7.41308925427417
BA3297	8.05288390011611	5.99356531417721
BA3227	8.79022656584331	6.62413100331839
BA3394	9.39118419839355	6.55661288461065
BA3412	7.81249915728454	6.076080299653
BA3293	8.85123237146193	6.80239867331755
BA3250	7.96260346447077	5.24140893715519
BA3177	8.77199110438686	5.93572487152612
BA3315	8.34906675857089	5.89646386290191
BA3182	7.94936162159169	5.28503368668829
BA3260	7.42825345365406	5.0981896689762
BA3369	8.66407371953991	5.42383455525135
BA3078	8.96297616127633	5.67733203427573
BA3386	8.89776108628452	6.58405509008158
BA3445	8.25135474465914	6.50396130903381
BA3452	8.77199110438686	5.6147813580075
BA3176	9.21490111990201	6.10703701818297
BA3258	7.18983138735934	3.86582650310353
BA3295	8.05972702484149	5.91282831503143
