	PTPN11	DNMT3A
BA2675	20.317910549967007	0.4689991010933024
BA2676	18.58694648390418	0.2090818863244369
BA2677	18.577054779483333	0.2974628991676514
BA2681	15.08682239640497	0.3940031642319385
BA2682	19.076647524486	0.2396315702058518
BA2685	25.10516765487928	0.3368005097558983
BA2688	9.067482526668442	0.3577720637814585
BA2691	26.73737220376769	0.1672248532251762
BA2694	9.024019039461352	0.3501264127335556
BA2695	11.2404092343823	0.0607576834709791
BA2697	6.301040978737351	0.1092200193870022
BA2701	10.946437653909962	0.1889654260027632
BA2704	16.147071205521367	0.9814250352482728
BA2705	28.16912357988325	0.7700237016505259
BA2707	28.354258823419137	0.6588867101667347
BA2709	11.834087074751764	0.1484763938160132
BA2712	16.42029670010793	0.1262065358097874
BA2714	18.259052411644547	0.2300306866199289
BA2715	20.1361962674606	0.4294309994774231
BA2718	23.29369020548985	1.2915092487858195
BA2720	12.589995425491171	0.0676870072242622
BA2721	12.82643796424119	0.8843333898768759
BA2722	36.40377693251484	0.2948676477079429
BA2723	30.19932116231609	0.1045203993213058
BA2724	12.29033845001848	0.0935820724540201
BA2726	13.818725538291096	0.4806911207825697
BA2727	24.61424804261353	0.9170466166952764
BA2728	21.026768820896308	0.5631883742849203
BA2731	10.348587303927951	0.1478344170996834
BA2733	8.96480318961342	0.1167841171410904
BA2735	12.472768491152266	0.1238351245416097
BA2737	12.376501451202138	0.2026822638608618
BA2742	18.999517616112165	0.4546269552393785
BA2744	3.972428680531728	0.2327191232280831
BA2746	16.354079014101362	0.1724721754436311
BA2747	13.21286567892482	0.3549934531535525
BA2748	24.58902716946228	0.6494838064548226
BA2751	13.92309366783434	0.3180928823491231
BA2756	11.95978241621635	0.0299447808712799
BA2758	9.074373932385482	0.1786891335756213
BA2760	27.842394785774225	0.2176810594314007
BA2762	15.494298472230904	0.4122016381747383
BA2764	10.123036663951495	0.3601617347496643
BA2765	17.255788926560026	0.2146297454156381
BA2769	14.114069903809089	0.4069829758101596
BA2772	9.214550366533244	0.6203456190414237
BA2775	18.18390614086486	0.4359858195215317
BA2776	21.07864268018424	0.981962711844416
BA2778	11.051841624231852	0.3255770850575303
BA2782	14.017978111035076	0.2503206248094025
BA2786	18.56146342152403	1.171805359891818
BA2787	5.728153752635701	0.1262452577776576
BA2789	23.09779193452756	0.3927813924913583
BA2791	20.34342406980938	0.2637898848361519
BA2792	11.65470263502648	0.1762526055954666
BA2798	16.931625688947495	0.1581435745743294
BA2801	7.134981041288424	0.1743066887964006
BA2802	21.039563120997773	0.5743559957070739
BA2804	11.705154389579103	0.2330873228355452
BA2806	20.0582471817414	0.3026392588780354
BA2808	24.08299046294555	0.3644539186795258
BA2809	25.421071006514072	0.7297194740690964
BA2811	22.694716050439283	0.4284780949273138
BA2812	11.366252530998253	0.1645191045968128
BA2813	13.26185634034608	0.2961385669585432
BA2814	11.078194670442564	0.1717759829931584
BA2816	14.79225518895096	0.2056657392928692
BA2817	19.255577896687427	0.4184505424268583
BA2820	17.60046886126625	1.227492215350056
BA2821	41.38697743446033	0.8325629907041542
BA2822	27.94999463915676	0.355693736417672
BA2824	15.698469004065108	0.7553289219692325
BA2828	16.62048013308828	0.2608430275163029
BA2829	23.16697090575833	0.6096674228142073
BA2830	10.54731633196385	0.8085310465555513
BA2832	21.6788491811367	0.4613646997462846
BA2836	12.468306580047503	0.1882241836856603
BA2837	22.898407857056828	0.420197015660383
BA2839	31.642496415707715	0.1193924712211999
BA2840	20.531917229600012	0.3404412056811315
BA2841	17.333596721579227	0.2643356416342542
BA2842	9.895489999364507	0.0939459433638478
BA2843	10.858547637453205	0.8806914208716016
BA2844	17.590131498344554	0.2319472968316453
BA2846	18.50294150486064	0.6802889175866904
BA2850	13.43052749037221	0.3593597696814201
BA2851	25.04537941152953	0.8077563402816813
BA2852	9.456579436181348	0.2604772743251851
BA2855	17.107630110616615	0.1389577608821234
BA2856	12.066697755388164	0.0460772943406423
BA2858	12.633864070958204	0.0728947875117304
BA2860	14.530015277964637	0.3634543029070985
BA2861	17.408068930780058	0.4621660573420051
BA2865	16.238963350670986	0.3736893759729958
BA2866	21.19259899057649	0.7078682915886187
BA2867	17.232068759781303	0.579227306171779
BA2868	23.494536189676637	1.2538798834943796
BA2870	23.69065911934278	0.8809392757820929
BA2871	23.15316795763132	0.5311071929265021
BA2872	18.935171480130546	0.1711519804971614
BA2876	13.157898270250502	0.147970721872509
BA2879	15.50509527096519	0.2143382526114215
BA2880	19.49215324075317	0.2052778440857197
BA2882	16.603411924717445	0.5347456449532613
BA2883	28.20025393371597	0.8248951680021976
BA2885	20.57041289985666	0.2659698106163465
BA2887	27.307116773219036	0.4958859177084
BA2889	0.0893690876800253	0.0052083333333333
BA2893	12.4974117886675	0.3786009347846887
BA2901	8.975530107617864	0.0681156637427234
BA2902	9.87114034234456	0.2266572571307222
BA2903	5.87011599834422	0.4643108883099237
BA2904	20.70134617274038	0.6961141456923908
BA2905	22.33801212442174	0.2885133855143856
BA2906	21.176416117737062	0.1806856748580074
BA2908	23.172251086718955	0.7279773258113387
BA2909	11.488674564864946	0.2885545370370797
BA2910	26.26349101086416	0.4191895047954915
