	ABL1	SRP72
BA2885	0.0144754866618601	872.5203632070356
BA2887	0.0185832732516222	650.2376382844063
BA2889	0.0001099495313626	17.637534968344564
BA2893	0.0105371304974765	464.8833930259602
BA2901	0.0094160057678442	362.0904306569724
BA2902	0.0132930785868781	428.3088632119362
BA2903	0.0040879596250901	114.48834404670822
BA2904	0.0122098053352559	610.9095146970769
BA2905	0.0205587599134823	668.20614252613
BA2906	0.0187761355443403	589.3968206318145
BA2908	0.0214978370583994	668.4682824447343
BA2909	0.0079055515501081	247.75194662975224
BA2910	0.0172152126892573	575.5486982256535
BA2911	0.0161535688536409	830.9328002406168
BA2914	0.0139798125450612	481.0523646972909
BA2915	0.0079091564527757	84.38518228509089
BA2921	0.0102000720980533	532.3638076390974
BA2922	0.017528839221341	836.4064064735038
BA2923	0.0063229992790194	242.74353904784445
BA2926	0.0152487382840663	609.079444172878
BA2928	0.0180551550108147	456.6665433959658
BA2930	0.0134913482335976	621.4519617933428
BA2932	0.0167591925018024	754.6211044288224
BA2934	0.0065338860850757	388.9417129621136
BA2935	0.0084967555875991	437.4109704679633
BA2937	0.0097638788752703	368.754829270552
BA2939	0.0099242970439798	476.3957275719881
BA2944	0.020232516222062	1473.0171383696334
BA2947	0.0107516222062004	337.73980265116825
BA2948	0.0091474405191059	661.1288289343428
BA2950	0.0101117519826964	1178.174063807048
BA2951	0.0080299206921413	571.2532599973958
BA2952	0.0254001441961067	689.3810185557855
BA2953	0.0064059120403749	285.6738433196557
BA2955	0.0074098774333093	307.5160624758178
BA2956	0.0048413842826243	192.61016959264623
BA2962	0.0184571016582552	995.3501254209812
BA2970	0.0105118961788031	525.2776979929905
BA2972	0.0217393655371304	937.664445429351
BA2976	0.0060994953136265	669.5379733556763
BA2978	0.0098107426099495	502.7398052824428
BA2981	0.0137527036770007	442.3679594341567
BA2984	0.0127253064167267	490.8390461745709
BA2986	0.0124855803893294	593.9463636305439
BA2989	0.018972602739726	1050.9865196563449
BA2992	0.0137328767123287	855.5571002618694
BA2993	0.0062509012256669	401.5296787146052
BA2994	0.0163446286950252	738.7019044024204
BA2995	0.0128929343907714	360.48229748525455
BA2999	0.0155875991348233	617.1758160558692
BA3001	0.0230966113914924	693.554566295267
BA3002	0.0170007209805335	551.9839286679307
BA3004	0.0253803172314347	790.9662522261965
BA3006	0.0083777937995674	355.3715884280045
BA3008	0.0010868781542898	14.234775480179934
BA3009	0.0132912761355443	356.24754168062617
BA3010	0.0096232876712328	810.1925049948723
BA3011	0.0240374909877433	851.8038556060357
BA3013	0.0143240807498197	740.5052945046966
BA3023	0.0165969718817591	569.1864129366543
BA3025	0.0182480173035328	503.6061725072756
BA3027	0.0054902667627974	385.574266146152
BA3029	0.0092357606344628	322.5396162259676
BA3030	0.0145746214852198	599.9926500716354
BA3037	0.0189149242970439	521.7516440252156
BA3038	0.0169196106705118	516.763859786182
BA3040	0.0160490266762797	552.3573050169097
BA3042	0.0222819033886085	863.1324976964315
BA3043	0.0070421773612112	269.2173410112135
BA3049	0.0035255948089401	175.07353089085436
BA3051	0.0110310021629416	349.75335670870555
BA3053	0.0164708002883922	803.2968082177015
BA3064	0.0178640951694304	1140.7399392598024
BA3067	0.0239329488103821	663.3185846058816
BA3068	0.0234066330209084	966.3617600297594
BA3070	0.0086355443403028	350.6805419102712
BA3071	0.0194971160778659	625.462054646101
BA3072	0.021346431146359	656.1973238628925
BA3075	0.0129073540014419	425.0207181159681
BA3076	0.0033759913482335	134.08200176757595
BA3077	0.0144196106705118	748.3753339827254
BA2040	0.0086806056236481	493.8547040813981
BA2160	0.0166672674837779	549.8041877600283
BA2303	0.0109228550829127	425.05541621363375
BA2353	0.0162563085796683	744.4415559760082
BA2516	0.0162851478010093	548.3540203186612
BA2590	0.0327685652487382	819.7196084595262
BA2647	0.0120223503965392	672.0308267365015
BA2891	0.009543979812545	325.2802103371483
BA2924	0.0133219178082191	1109.1974190978874
BA2971	0.0093204758471521	437.2526483812403
BA3036	0.0145259552992069	561.0350922153735
BA3059	0.015571377072819	328.9095011577126
BA3073	0.0136878154289834	757.560851358656
