	PTPN11	SMC1A
BA2369	17.51039441139099	0.186279772257463
BA2374	22.40617777937685	0.6926714774366002
BA2375	20.87206313122356	0.3351568159397747
BA2376	14.73696075905255	0.3156022665371982
BA2377	56.988741119585946	0.5388125382276377
BA2379	14.2605358780457	0.072004153479201
BA2385	15.9001120635316	0.1148271054114098
BA2386	18.71535873465833	0.1813473892149942
BA2387	18.12250880428911	0.3246860534885605
BA2394	24.469601260335928	0.2854004544670061
BA2399	16.904555001239643	0.2153871654807925
BA2400	33.63200594550555	0.6390816294612727
BA2402	21.70324629391715	0.3383098845773419
BA2405	9.100792336674967	0.0942804089596048
BA2406	17.82816007822995	0.2455983708575468
BA2409	16.29375622363415	0.3967052557426072
BA2410	23.596659384354837	0.2140673638973415
BA2412	12.137813809796492	0.2520991459870992
BA2413	21.05224232672534	0.1104649841257031
BA2414	23.349309244236707	0.4389419646422597
BA2415	8.984070955203252	0.2186034456985994
BA2417	12.270477073849374	0.1722880439023834
BA2418	10.111819360859618	0.0957289155259468
BA2420	17.04322984051619	0.2378650357073441
BA2421	17.112086130843036	0.1116138168270386
BA2423	14.830693302761253	0.1170840694562422
BA2425	26.81439645289756	0.4026722048428054
BA2426	14.6887218048444	0.1783209864042547
BA2427	13.203350202140005	0.0812447405297825
BA2429	13.885097753812143	0.2185211086455719
BA2440	29.80936471999719	0.2487880973382376
BA2441	41.50471871701896	0.3780613279333296
BA2442	21.30032633561693	0.2711250618349438
BA2446	17.23831681496286	0.7007455385303686
BA2449	27.270894277896847	0.3145221648751091
BA2450	17.891294519534323	0.2338310005546969
BA2452	25.78173682741561	0.518737558469498
BA2454	35.41917436013228	0.4100739873433509
BA2455	12.375452361398644	0.1584734708862251
BA2456	14.09237807271488	0.0936955432674145
BA2459	13.594127000583486	0.1007335576054945
BA2461	17.820350143922077	0.3559182958194719
BA2463	8.57460656098495	0.1431545638750629
BA2464	18.745323554263607	0.2721092279091613
BA2469	16.132452295663036	0.0635194425077364
BA2470	18.268118383788824	0.3237007392970828
BA2472	12.66426899861456	0.1340409302019452
BA2473	17.639401643995793	0.4307230041907692
BA2474	12.088986615383838	0.2830003263520365
BA2477	27.90380716097536	0.6630495346238549
BA2479	9.06853194700168	0.0920500508177846
BA2480	15.24397502944484	0.1875311634928654
BA2481	7.960993949896547	0.1300334748480292
BA2482	19.0233231637945	0.3207334979475773
BA2483	23.22264853955544	0.5082802911813132
BA2485	17.055978788879546	0.2358318776855999
BA2488	18.77808934875976	0.2950977067253594
BA2489	14.508873336495364	0.0916632268438471
BA2492	23.63457575454264	0.1270852193336748
BA2494	27.91420931790605	0.1362629587937615
BA2496	11.399676017741184	0.2534181130655416
BA2497	15.612483715841416	0.3635030910318531
BA2499	21.457586308448946	0.1196799548875576
BA2500	23.138866635530075	0.5827457867044712
BA2501	27.833890878616558	0.3711891358327866
BA2502	15.548455223976305	0.4076236912501325
BA2505	22.69831014365209	0.0949552061537248
BA2507	13.273383072831717	0.1823516734126584
BA2510	16.669318455579262	0.1301580329443905
BA2511	7.663551368635486	0.0856985038464694
BA2512	18.55404802224241	0.6527365252061104
BA2514	14.1127716506682	0.1854558763243138
BA2515	13.656362083325709	0.1080857803696251
BA2520	10.18459988094212	0.0802909989896409
BA2521	22.854875728416364	0.5150964693206499
BA2523	17.466454904239125	0.404463952799906
BA2524	15.143161519049126	0.1927645969407254
BA2525	10.739344125649188	0.124397729022514
BA2526	16.511510597344866	0.0838814121222947
BA2528	14.604392734699395	0.3295012815973585
BA2532	27.09788474706269	0.1436030537105733
BA2534	26.77316300242771	0.2573786266451812
BA2538	19.34789198139	0.0867916561752736
BA2539	15.054660968382327	0.4573028517422539
BA2540	12.01969277063214	0.2459192862189476
BA2541	16.52564398579619	0.231556581821275
