	SMC1A	TP53
BA2993	5.67695923349879	5.57935496877716
BA2082	5.68039540990515	5.05791386338245
BA3110	5.68268021308212	5.89878476046271
BA2229	5.68416732949988	5.40590227988363
BA2489	5.6864679763228	5.07550246590364
BA2168	5.68986590376939	6.17556084584677
BA2386	5.69028030333394	5.5268548517384
BA2948	5.69487870461564	4.29566916323682
BA3333	5.70032456019922	5.96907627794874
BA2532	5.70335455446958	4.89906895806818
BA2334	5.70604900479139	5.69683059962592
BA3138	5.70836568128015	4.92243921737633
BA2651	5.71138116672011	5.03323587286023
BA2597	5.7195036401558	5.30025672574144
BA2791	5.72556301998601	5.76878858309535
BA2494	5.72754939375197	4.8850340180221
BA2850	5.73663382994184	5.81839607751016
BA2427	5.74782936628199	4.58834815635997
BA3135	5.76218019652153	5.35229119892718
BA3352	5.77182174756257	6.67002543512013
BA2841	5.77409344818299	5.64578665380384
BA2080	5.77766563717379	5.36939086109841
BA3216	5.77965565034493	5.7725785925433
BA3305	5.79404160330192	5.95806732051197
BA2695	5.80106125250132	5.06034106840668
BA2122	5.80146381261149	4.6788765540465
BA2817	5.80891216118178	4.56799936889978
BA3447	5.80891216118178	6.28190411591636
BA2499	5.81007696621955	5.5722787954592
BA2068	5.81442547259646	5.89521114196018
BA3357	5.81726345497192	6.87403385388121
BA2787	5.81801473613502	5.08010536468567
BA2492	5.82076176816399	4.23241801519581
BA2600	5.82897025310715	5.11328125236518
BA2101	5.8301135616909	5.99436956978052
BA2837	5.84112154107977	6.23620830247888
BA2418	5.84314923613757	6.13331916927191
BA2947	5.84353133766961	7.0549889553605
BA2688	5.8446879817315	5.56596083132182
BA2747	5.84631034661227	6.91069984449294
BA2989	5.85300580466056	5.61586637721502
BA2901	5.85734049093177	5.90353378741165
BA3027	5.86417764609005	4.57370858506955
BA3408	5.86940153677441	5.26850269480577
BA2133	5.86977499380276	4.62677440639043
BA2731	5.87139334737162	5.43769371500229
BA2479	5.87220344290798	5.29451713018208
BA2525	5.89440299333517	5.33325727668396
BA3210	5.89521114196018	4.53233174096288
BA2636	5.89560402298733	5.63282770326011
BA2288	5.89603275873882	4.81163956900901
BA3167	5.89646386290191	6.13077087437702
BA3388	5.90117839370987	5.34047969998426
BA3245	5.90312039371181	4.44117628286088
BA2405	5.91007221868397	5.17133494272832
BA2724	5.91045865628191	4.95436820669726
BA3406	5.91282831503143	6.32868471625961
BA2242	5.91282831503143	6.34412105865143
BA3079	5.91595003127845	4.25793262725042
BA2369	5.92353940158255	5.0883096858926
BA2956	5.92432462638165	4.65298561876012
BA2934	5.92917652580144	4.63280713637761
BA2570	5.93038956442244	5.92793175730426
BA2939	5.9321118772701	5.4256501409614
BA2602	5.93941599911207	5.39458251066191
BA2355	5.94059984274879	4.41532323585857
BA3154	5.94059984274879	4.17448805896105
BA2472	5.94221717949707	5.49138177082753
BA3195	5.95848988053113	6.18294422218273
BA2033	5.96505632745959	4.4255355439253
BA2511	5.96784634669034	5.1329891862807
BA2867	5.96987848742324	5.44461485443026
BA2764	5.97440821051446	6.17423728477739
BA2052	5.98054442725547	6.02245886806957
BA2410	5.98054442725547	4.87481382301932
BA3169	5.98263491560423	4.86428104676734
BA2097	5.98386136715206	5.89165055148412
BA2772	5.98876336939614	5.69028030333394
BA2515	6.00134650129498	5.15886081295599
BA3085	6.00173500696481	6.47523792980687
BA2116	6.00173500696481	3.65588909933936
BA2798	6.0072209431505	5.2557008751781
BA2233	6.01292615255046	5.47397012091034
BA2510	6.01912446509313	6.43793151264448
BA2251	6.02737188880326	7.82261702082019
BA2348	6.02737188880326	4.57477973250303
BA2394	6.02778423402097	6.12947427780454
BA2868	6.03024497150621	6.99309781087009
BA2806	6.0311101011047	6.08621852980205
BA2109	6.03322281740518	4.73402493935974
BA3123	6.05279557201734	6.52477924694933
BA2707	6.05573645247968	5.67887021391384
BA2621	6.05776567233175	5.39605181278963
BA3410	6.06468755944282	4.9477179907569
BA3219	6.06761730216539	6.14458786712028
BA2813	6.06929983181706	6.42812418967041
BA2663	6.07014345963385	4.59723676314568
BA2910	6.07138778077856	6.65242333740906
BA2160	6.07305710536308	7.44951411714195
BA2040	6.08069063943415	5.39533160012503
BA2828	6.08148760261427	5.93777047922961
BA3103	6.09471986603717	4.76744564892536
BA2273	6.10105446354612	5.75263805334011
BA3225	6.10190214742508	5.73858169391831
BA2760	6.10277314052035	5.41465485346035
BA2809	6.10621461216555	6.47426873472503
BA2087	6.11251658212347	6.1821095995856
BA2758	6.11380852099068	6.03193635166747
BA2737	6.13249003882685	5.1731127627033
BA2162	6.13597197195766	5.66661596956027
BA2816	6.13767903859115	6.35951832125277
BA2282	6.14149524736616	5.86057748465192
BA2312	6.1419268433851	5.95116187542659
BA3311	6.14373648060673	5.59212312780833
BA3318	6.15101372135618	4.35537320620163
BA2935	6.15353258469632	5.80651617633479
BA3116	6.15397098768236	5.21851473599856
BA2459	6.15651021097325	5.71368801694621
BA3089	6.15791958321841	7.14144688839692
BA3421	6.17121351437265	5.49361387353109
BA3156	6.17423728477739	7.72809482559201
BA3171	6.18251802139279	4.9459530906601
BA2922	6.18950223686314	7.58415033094325
BA2363	6.20613451857404	6.26429986711095
BA3345	6.20740227072508	5.13908038133443
BA2212	6.20964310204874	5.34471469248409
BA2480	6.21273472230969	7.08598210070988
BA2417	6.21584775215817	6.22157033382946
BA2801	6.21976021821158	4.20521607487653
BA3367	6.21976021821158	4.47211486954081
BA3114	6.22545256194412	5.61668949030342
BA2455	6.22761949631351	6.16950493399515
BA3308	6.22945844028102	7.05796014084047
BA2629	6.22989744594561	7.49256176412129
BA3427	6.23442968340786	5.79678897670541
BA2561	6.23708437608245	6.72062167573975
BA2588	6.23885515750168	6.60688950527526
BA2715	6.24912819394912	4.54449196266661
BA2079	6.25044574056375	5.34829013725005
BA3394	6.25091484872834	6.49051077750921
BA3175	6.25354722820146	5.8625242189267
BA2104	6.25534556152395	6.26429986711095
BA2744	6.26474966230624	7.52657913903788
BA2727	6.26972531039322	7.19738153999511
BA3194	6.27380663380772	7.32401244462143
BA3094	6.2787278602742	6.04192947928388
BA2227	6.2886543814572	6.51302546929391
BA2674	6.29091935991155	6.61328782678973
BA2733	6.2918184227424	5.01531695363561
BA2595	6.29225118298982	5.64956635618765
BA2970	6.29268793995786	5.24755295562951
BA2534	6.29503336143835	7.20308831152753
BA3234	6.29503336143835	5.9027386298111
BA3423	6.30326841219344	5.33468449100155
BA2830	6.30510036258626	6.08237851607355
BA2301	6.30510036258626	5.09007782361131
BA2135	6.30887529708536	6.02937141783307
BA2481	6.30887529708536	6.14278190987981
BA3207	6.31022816211408	6.05196623929884
BA3334	6.31068973576453	5.40076226918126
BA2909	6.31585760088979	6.00760401810435
BA2691	6.31632447129761	6.06843510757967
BA3290	6.31720357778214	5.78541513449237
BA3243	6.31947287697639	6.79931174111644
BA2802	6.32360812377741	5.98097884801574
BA2429	6.32408741401117	6.58673582096521
BA2697	6.32590234144832	5.66167475958567
BA2524	6.33002794213348	5.1674510313935
BA3417	6.33046496181519	6.3282334089858
BA2195	6.33092888167036	5.63436770223251
BA2620	6.33600766569699	6.67392482770239
BA3023	6.33918453468976	5.59326337181961
BA3118	6.34145730932297	5.09252726658566
BA2276	6.34783039381028	6.23256384367835
BA2552	6.35211013226828	6.01215704616716
BA3036	6.35670315117225	6.44227342376241
BA2412	6.35951832125277	6.07479305709891
BA3326	6.36600938491696	6.30650779394135
BA2449	6.36648969189247	5.89918966262517
BA3450	6.3688389446517	4.21481719565255
BA3299	6.37404647308394	5.12980289788787
BA2357	6.3764431266369	5.73934974436077
BA3255	6.37732984108365	6.94490055523594
BA3130	6.37975842200095	5.8309436081772
BA2762	6.37975842200095	5.58914523241343
BA2415	6.38261014012489	6.30695343234241
BA2155	6.38261014012489	6.81026452482456
BA2559	6.38837422038712	5.6290939324601
BA2822	6.39165195051498	6.13119942059496
BA2153	6.39210318114874	6.10234706288177
BA2882	6.39453514704598	6.00134650129498
BA2646	6.39689952753953	6.61380571566026
BA2751	6.40025463094879	7.22625304922136
BA2450	6.40785243829132	7.39734461578024
BA2644	6.40877834877257	6.82612058067876
BA2953	6.41176296562855	5.27249782330272
BA3435	6.41227021268222	6.60792383481337
BA2829	6.41465436154636	6.66836924971821
BA3191	6.41465436154636	6.51708902749809
BA2272	6.41753927442656	6.71095851013656
BA3192	6.4243136710677	6.00392077224602
BA2440	6.42479012495369	2.38194954250065
BA3229	6.42624085513256	6.73467335194796
BA3200	6.42624085513256	7.51299557490928
BA2124	6.42718608083043	7.5725144548201
BA2583	6.42718608083043	6.37732984108365
BA2923	6.42763769743183	6.41993290039897
BA3095	6.43289690445385	7.00355473079372
BA3221	6.43542748974206	6.08707291217101
BA2775	6.43590316276273	6.54456958822718
BA2514	6.43983576769468	5.00447988229452
BA2260	6.44032365945441	6.26972531039322
BA2631	6.4446944698136	7.21053357648558
BA2622	6.44517490297706	6.51970766408759
BA2720	6.44613094518311	5.55739491408236
BA3189	6.44710159988793	6.56478809528508
BA2245	6.44802101478473	7.53093612416627
BA3405	6.45300101587846	6.90296785302656
BA2682	6.45300101587846	6.06213168198286
BA3329	6.45552187143232	6.36982886713941
BA2507	6.45799676814181	6.68646890696546
BA3173	6.46136172333021	5.77571318535643
BA2286	6.46184745649843	7.03335772337666
BA2994	6.46824522688611	6.53744053114805
BA3376	6.47376016789819	7.06885426902192
BA2769	6.47715255483626	5.11782405199582
BA2579	6.47866220517702	6.39599982532293
BA2134	6.47866220517702	6.389795387917
BA3296	6.48560018665895	5.45893049861312
BA2657	6.48756519390035	6.68181953854303
BA2844	6.48803668934059	6.35627429889414
BA3208	6.49002795768883	6.7831717134386
BA3319	6.4930085337883	6.20186257831003
BA3186	6.49699294257919	5.88287108041716
BA3403	6.49699294257919	6.65017189848331
BA3187	6.49954119512004	6.05993013058661
BA2034	6.50002459426286	7.18078818168097
BA2024	6.50054440194885	6.16739291737488
BA3237	6.50103892537921	5.46883804276646
BA3430	6.50200644713267	5.35117907046834
BA2172	6.50494854074967	6.55763968463611
BA2236	6.50698545533974	7.24904224136933
BA2658	6.51105136156458	6.51657057172327
BA3078	6.51205995717627	7.12266775163133
BA2930	6.51205995717627	6.38550593619779
BA2035	6.5150208040986	7.1288906231397
BA2911	6.5181383405608	6.6639864599992
BA2563	6.5181383405608	7.42825345365406
BA3264	6.52375465899181	6.59041781660964
BA2972	6.52375465899181	6.65295694076347
BA2685	6.52531304614774	6.06637986410425
BA3183	6.52938873500607	6.3548930381601
BA3146	6.52988298875597	6.79754404909056
BA2399	6.53092260630466	6.8791208631907
BA2361	6.53596454454956	4.25981249131916
BA2782	6.54150806703429	6.1881494364125
BA2132	6.54307132156237	5.44826154156483
BA2353	6.54307132156237	7.11216085325929
BA2893	6.54408446340443	7.04851156959908
BA2592	6.54504027868998	6.14235074085009
BA3235	6.54553839134552	5.77294291662078
BA3228	6.5466649868085	6.92898560318184
BA2792	6.54766219361137	6.54042498941119
BA2221	6.54875546973009	5.73973435709854
BA2718	6.54875546973009	7.56567805381962
BA2354	6.55285609284704	6.91137383646976
BA2584	6.55336509971083	6.88364306076419
BA2677	6.55763968463611	6.55027156269161
BA3407	6.55815560889788	5.19161041350932
BA2106	6.56065461359229	5.5849409277756
BA3379	6.56326897910348	7.1045805500083
BA3242	6.56890360423702	6.60579006500373
BA3124	6.56890360423702	6.49248354368901
BA2442	6.57195133441217	6.36982886713941
BA2261	6.57195133441217	3.09816416471119
BA3181	6.57305438035027	5.94996299067632
BA2756	6.57356389506373	5.34186047637261
BA2294	6.57670086749662	7.27378385953679
BA3126	6.58028734101557	5.90157614057374
BA2840	6.5808607051832	5.99152342299614
BA3324	6.58201675131977	6.24100946664766
BA2887	6.58253832351054	6.98275640527684
BA3136	6.58727608652663	6.5835484694239
BA2932	6.58836102643898	7.70582137825133
BA2377	6.59203093136997	6.1522898333018
BA2093	6.59203093136997	5.51092026987085
BA3317	6.59256890621003	7.4372988989966
BA2501	6.59468087653905	6.48066088985819
BA2667	6.59519386649706	7.16215175411855
BA2163	6.59838838471777	7.5552619353094
BA3300	6.59949061589029	7.25440312060941
BA2482	6.60051001058414	6.56583781452914
BA2653	6.60368263326756	6.64966424428309
BA3240	6.60634523087502	6.90492530830845
BA3025	6.61536224183286	7.49042755149826
BA3211	6.61925110660737	7.07770710445007
BA3438	6.62086223855277	6.61867340597626
BA3275	6.62245620960063	6.32590234144832
BA2464	6.62245620960063	6.87466227370096
BA2306	6.62413100331839	6.69465878054587
BA3347	6.62466206493959	5.76798676791736
BA3182	6.62466206493959	6.75194526906574
BA3206	6.62789754750857	7.21621114040909
BA2406	6.62952631509886	3.88038335005271
BA2832	6.63058753997147	6.54255345963774
BA2820	6.6322579586067	7.01338554790523
BA2846	6.6322579586067	6.09387139945137
BA2281	6.63383351459938	6.87788091401863
BA2376	6.63486341869675	6.6601420957489
BA3158	6.63707820351379	7.19312453230448
BA2420	6.64464627075058	7.47416545591404
BA2865	6.64807496201704	7.34082017175962
BA2964	6.64807496201704	5.51731496751527
BA2950	6.64862107605335	6.24055068924258
BA2441	6.65187762334033	7.44839655086442
BA3453	6.655181196516	5.0932101529727
BA3217	6.6568137663596	6.77775850085893
BA3213	6.65958088429919	6.1346163312472
BA3339	6.66119005251722	6.33324319286844
BA2485	6.66119005251722	7.51413414557592
BA2461	6.66730094916762	5.94954564902513
BA2709	6.66836924971821	6.1833788007571
BA2037	6.66943948787905	7.61833712147791
BA3353	6.67058412961645	7.34734759358865
BA2023	6.67173082981131	6.6639864599992
BA3413	6.67339810625054	7.30313040589717
BA3322	6.67339810625054	6.56014980461976
BA2156	6.68070832768596	7.78123623973778
BA2224	6.68593691853273	5.98876336939614
BA2860	6.68646890696546	6.30187774864901
BA3302	6.68698956921182	7.58759859001841
BA3293	6.6892157543699	7.60044547310861
BA3416	6.69027313849037	7.48382605156173
BA2387	6.69693008803166	7.46363654414575
BA2094	6.70082648857542	6.63707820351379
BA2618	6.70309367478267	6.62357481456438
BA2360	6.7037023558772	8.04765964150367
BA2984	6.7058515766051	6.40360502181603
BA2866	6.70639038824238	6.72932018001604
BA2824	6.70978091072649	7.99573716734119
BA3137	6.71667600372627	6.3931237186825
BA2249	6.71723697861596	6.88614746987226
BA3397	6.72238123052722	5.68229960670136
BA2426	6.72876764999848	5.90761820174496
BA2540	6.72876764999848	5.60231976530737
BA2329	6.72991592484699	6.76359470107912
BA3164	6.73108967735957	7.05570452227078
BA2541	6.73345379130114	7.19482368325309
BA2235	6.73692509275104	7.04704814373678
BA2944	6.73692509275104	7.40609048790591
BA3261	6.73801134139373	7.01472936087095
BA2951	6.74097656792209	6.99377561399407
BA3222	6.74097656792209	7.11288822976142
BA2474	6.74612605168156	6.87788091401863
BA2904	6.74898905678908	6.44227342376241
BA3001	6.7513352539061	7.67233847579442
BA2675	6.75309739437635	7.10235206017353
BA2981	6.75887216800442	3.91918119992111
BA2528	6.75887216800442	6.84277692729058
BA3098	6.76002445528346	7.18320770184298
BA2038	6.76065503993724	5.85300580466056
BA3449	6.76359470107912	7.00642277827321
BA3373	6.76656262392125	7.41600983782201
BA2812	6.77246010495607	6.40314188601748
BA2004	6.77360382440632	6.59256890621003
BA2516	6.77605663940291	6.98890006339199
BA2375	6.77605663940291	7.07994856692804
BA2309	6.77720928573593	7.10380554442151
BA2271	6.77720928573593	6.57195133441217
BA3446	6.77952101227859	6.00513768153823
BA3270	6.78550767222755	6.16092602046833
BA2546	6.78550767222755	5.98097884801574
BA2871	6.78865136154736	3.82296440324922
BA3157	6.79931174111644	7.39540604135448
BA3297	6.79931174111644	7.07405167828484
BA2454	6.80239867331755	7.37198491161906
BA2659	6.80239867331755	6.22243678568209
BA2239	6.80299244523417	6.92833111291049
BA3006	6.80545390529169	7.35202275514424
BA2765	6.80545390529169	5.58306894890271
BA2880	6.8090279726606	5.89840678151491
BA3369	6.8090279726606	6.76002445528346
BA2110	6.81086164089737	5.89165055148412
BA2496	6.81145766315316	6.45599883472476
BA3178	6.81145766315316	7.16876088952225
BA2277	6.81203867711984	7.13198010911185
BA2325	6.81689630084604	6.0844698592588
BA3117	6.8194770973329	7.35390839708449
BA2976	6.8194770973329	6.4673102312229
BA3328	6.82673548944024	6.40737616847402
BA2143	6.82734034498185	6.22378350328208
BA2655	6.83087293035871	6.81265459274061
BA3010	6.83087293035871	6.40785243829132
BA2726	6.83214250556656	6.04401665671066
BA2402	6.84098754890722	5.83678289113702
BA2139	6.85394237356265	6.24185782368877
BA3295	6.8614500005054	6.45945806358587
BA2999	6.86346274491745	6.7478553015081
BA3133	6.87337102503918	2.64661944832681
BA3202	6.87788091401863	6.21363363803942
BA3310	6.88162153716975	6.02657524046515
BA2714	6.88430660085161	6.82188197814107
BA2811	6.88492067829042	6.82008128976274
BA2228	6.89511146582289	5.6834289695156
BA3395	6.89778124838191	6.09600230844392
BA2296	6.90226857503049	7.145353174227
BA3004	6.90423057855148	7.27718305881569
BA2311	6.90940702790402	5.98546472831244
BA2937	6.91395412230233	6.88364306076419
BA3087	6.91521402329812	7.42202383501609
BA3436	6.92303478434711	7.51191595859432
BA2858	6.92303478434711	6.16992972400798
BA2316	6.92693139302054	6.92303478434711
BA3434	6.92898560318184	6.56532526138634
BA2623	6.92959860586943	7.2808607611199
BA2488	6.93219471408877	6.28733698625511
BA2721	6.9401836518602	6.90623565218771
BA3038	6.9468889159387	6.43046914091516
BA3226	6.94819581980106	7.24647814947882
BA2778	6.94881589861991	6.40454724548096
BA2590	6.95085389521077	7.0168789681798
BA2539	6.95150045701844	6.03692689677874
BA2409	6.96567270429015	6.7240814115045
BA2594	6.9766278154768	6.53249965977741
BA2088	6.97926113627939	5.58306894890271
BA2280	6.98419090856441	7.50002964161751
BA2217	6.98756290986723	7.74666982029682
BA2545	7.00355473079372	6.56532526138634
BA3315	7.00355473079372	6.00051445317703
BA2184	7.00991256129177	7.34177007998791
BA3266	7.01271335596315	6.52120608932454
BA3268	7.01472936087095	7.34370807957505
BA2303	7.01847365520979	6.44374763893835
BA2742	7.02125424605895	6.87718695252014
BA2746	7.02911174492955	5.85501990072082
BA2256	7.03474280183588	6.45750445904916
BA2200	7.04133576078419	7.31484141146978
BA3197	7.04344633578654	7.19482368325309
BA3141	7.04775148018528	7.22786001580346
BA3371	7.05362684769664	4.72180716429242
BA2795	7.05570452227078	6.79813530726845
BA2955	7.05721925341645	6.52630500155159
BA2240	7.05721925341645	6.54504027868998
BA2931	7.07025966230358	6.63008743018599
BA3451	7.07556396699123	6.45552187143232
BA2851	7.07626127790368	6.6656439229699
BA2123	7.07994856692804	6.39599982532293
BA2098	7.08148396341999	6.83151108322253
BA2861	7.08148396341999	7.2179085684236
BA2198	7.08148396341999	7.25440312060941
BA3152	7.08148396341999	6.37124794281337
BA2211	7.08297551023298	7.49457772487061
BA2044	7.08521741719084	7.41702873174962
BA2470	7.08741196449123	6.40785243829132
BA2175	7.09047728148948	4.04029489753007
BA3119	7.09190952990899	7.49457772487061
BA2607	7.09568366825665	6.64862107605335
BA2244	7.09710413510838	7.01060112681321
BA2065	7.09779989974783	6.97592290315855
BA2962	7.10380554442151	7.25790347094091
BA2926	7.10851364264035	7.05061628699762
BA3374	7.11145591609312	6.83464418679852
BA2814	7.1173855294893	6.732801148639
BA3385	7.12040364606583	6.72296106322052
BA3381	7.12040364606583	6.57305438035027
BA3009	7.12664090320603	6.28051995140614
BA2986	7.12738803665014	6.92111028015582
BA3099	7.12738803665014	7.19643196455649
BA2054	7.12738803665014	5.68192875741287
BA3285	7.13198010911185	6.59468087653905
BA3351	7.13671405241938	6.44710159988793
BA3040	7.139939970706	7.4372988989966
BA3412	7.14221254704718	6.63170598568284
BA2827	7.14998539597838	6.72640507458581
BA2660	7.15078589361001	6.84098754890722
BA2619	7.15798365655759	6.36467185423724
BA3258	7.16299526015693	6.29048213777498
BA2201	7.166329054571	7.07251029744415
BA2898	7.16953610700443	6.69192414230504
BA2681	7.17358455839536	6.47571845442986
BA2500	7.17999658780694	6.00261866586335
BA3250	7.17999658780694	6.74097656792209
BA3034	7.18235291359456	6.71554173603585
BA2789	7.18983138735934	7.34082017175962
BA2425	7.19312453230448	5.8584977958134
BA3411	7.20152351501227	6.86587981932563
BA3386	7.20386734649371	7.1702959591528
BA2050	7.20465709297985	6.89902500194997
BA2344	7.20973552997534	7.46260985261637
BA3332	7.21134659078952	5.99034044706391
BA3454	7.21300808308282	7.2925108116234
BA2521	7.21378004978512	7.02624764830014
BA2096	7.2179085684236	6.5435898741168
BA2712	7.2245944685398	5.93038956442244
BA2575	7.22543117773692	6.39073862378253
BA2400	7.22867709025789	6.90940702790402
BA2506	7.24218373520164	7.96260346447077
BA3212	7.24390327644845	7.40900238551148
BA2483	7.24647814947882	6.85025853686514
BA2111	7.24904224136933	6.84596201012783
BA2448	7.24904224136933	7.97556074370465
BA2182	7.2509128285615	6.84162430439576
BA2041	7.25176192852259	5.97482137009541
BA3199	7.25440312060941	7.13671405241938
BA3139	7.25976697827341	6.54456958822718
BA2611	7.26424108951115	8.01965582601105
BA2730	7.26503778677364	7.95936662330483
BA2906	7.26669441560471	7.19145743010941
BA2414	7.27110711454488	7.55189787670547
BA2587	7.27555120012057	6.82430487390793
BA2676	7.27636680044251	6.32546109149907
BA3227	7.2808607611199	7.52657913903788
BA2047	7.2808607611199	6.60634523087502
BA2430	7.28899814708616	7.94635895319707
BA2512	7.29162764738793	6.36648969189247
BA2275	7.29599106177635	5.9092894586333
BA3108	7.29687122589928	7.72127626045477
BA2022	7.3014086607396	7.02978091514104
BA2089	7.30225620212896	6.37831338727117
BA2322	7.30496309649231	6.32590234144832
BA2036	7.30676049708217	6.85895592875875
BA3276	7.30861526987379	7.90654028957083
BA3448	7.31301236291507	7.38257507273258
BA3105	7.31397253852267	7.86087718753597
BA2226	7.31937809888862	6.7421473941764
BA2978	7.3212161814573	6.1725191860544
BA3002	7.32309525533159	6.79581543973709
BA3312	7.32880266743386	7.11817234858432
BA2992	7.32966927637023	6.00599295147661
BA3177	7.33339060020607	6.8446685918264
BA2304	7.33529770605395	6.02328497818552
BA2497	7.3370513303313	6.42575430557831
BA3030	7.3370513303313	6.59519386649706
BA3084	7.33978574457582	7.29872623007905
BA2121	7.34277993266588	6.93827202821145
BA2174	7.34370807957505	6.49504433110095
BA2292	7.34837532536667	7.05721925341645
BA2649	7.36252362510307	7.30861526987379
BA2748	7.36816809987369	7.40707286933197
BA3402	7.37577438257785	7.88037740793897
BA2300	7.384595872256	4.23895301881926
BA3013	7.38666974161584	7.35390839708449
BA2885	7.39540604135448	6.59569193185131
BA2872	7.39635430321553	5.57710363902521
BA3176	7.39829394317713	7.12422017929786
BA2502	7.40200052886874	6.66232694076894
BA2804	7.40804987020109	6.34503333401511
BA2523	7.40804987020109	6.94819581980106
BA2392	7.41008797800013	7.93187727167438
BA2452	7.41889646736553	6.21802371577529
BA2914	7.42090370210596	6.70250395591763
BA3163	7.42090370210596	6.00881830211778
BA3083	7.42202383501609	6.26033254809805
BA3251	7.42721767032965	6.0786199138595
BA2473	7.43138197639579	5.44754405856203
BA2341	7.43138197639579	7.87732006412967
BA2821	7.4333053034535	7.09853964665219
BA2870	7.4363086679988	7.74666982029682
BA2728	7.4363086679988	6.76656262392125
BA2390	7.4372988989966	7.85633367820174
BA2912	7.44041046246091	6.61592394796106
BA2612	7.4434295432297	7.87430709609213
BA2761	7.45053981568106	6.59999610931592
BA2973	7.45275636284168	7.83554388846121
BA2326	7.45571345371651	7.85345354435312
BA2845	7.45866975783138	7.87430709609213
BA3218	7.46577618872004	7.84275930534523
BA2019	7.46894970580743	6.63058753997147
BA2220	7.47316503302079	7.23974353995359
