	SRSF2	DNMT3A
BA2525	9.18338030789918	4.89058431526758
BA2876	9.19120372633416	5.44640808199127
BA2357	9.26745559419095	5.02235718099048
BA2546	8.86536741111737	5.51500276467509
BA2742	8.66689198102969	4.92841190922266
BA2316	8.95099667095566	4.98581237116735
BA2421	8.268195867683	4.63033110918827
BA2087	8.81980741439546	5.13368956327964
BA2910	8.89776108628452	6.40025463094879
BA2148	8.72438748273975	6.0688553647905
BA2063	9.26745559419095	5.18021866658889
BA2329	8.8717935877338	5.09075247446604
BA3178	8.87501645157825	4.99923632979666
BA2072	9.13342062895717	5.4391470099726
BA3029	9.45447558148811	5.38508153742644
BA2733	9.22687989289351	5.37965871348939
BA2995	9.52517542791568	6.74268846032395
BA2069	9.47769688223901	4.77701262518198
BA2100	8.672544374331	4.98409448643986
BA2681	9.19512951707567	6.51154576024005
BA2248	9.36916799017741	6.0444352624309
BA2832	9.60422004710875	6.12682630802195
BA2308	9.75851596885508	6.22113787930576
BA2413	9.62975620855742	6.16609369248211
BA2701	9.05581138653334	5.64618047026692
BA2634	9.3561004357089	6.25091484872834
BA2677	9.48238177689826	5.69566002369261
BA2937	9.27156918109996	5.79045455115976
BA2600	9.04860912314158	5.50315192004078
BA2019	9.52036350053221	5.65448355973944
BA2412	8.75995195431454	4.71932990142095
BA2334	9.56420444046175	6.20697852343694
BA2050	9.94905102299885	5.92596043186298
BA3230	9.08494318011795	5.17381001168529
BA2953	9.20696376307392	5.84669771952697
BA2481	9.8155160837716	5.03079434015524
BA2731	8.78108213178214	5.42234890079115
BA2294	9.60929418124753	7.17520302946663
BA2418	9.45909303825332	6.01373604526196
BA2816	9.36916799017741	5.11433165880832
BA2656	9.94905102299885	6.45897655908302
BA2814	9.10713869224013	5.02974000658284
BA2631	9.26745559419095	6.2167212997473
BA2023	9.01306871894599	4.72738279030256
BA2375	9.27156918109996	6.08536052540414
BA2485	9.67842749251503	6.78074983432615
BA2455	8.8589671548512	4.69855961142677
BA2025	9.09600320401444	5.23673966789925
BA2636	9.04860912314158	5.92637395893393
BA2325	8.45209623715645	4.04879675825088
BA2169	9.50601427714714	6.19606446047222
BA2156	9.38675693832204	6.79640967556144
BA2511	9.36916799017741	5.26710389157619
BA2939	9.13342062895717	6.0158165147387
BA2168	9.73079295605488	6.41510646424492
BA2505	9.39118419839355	5.62195033213407
BA2860	8.71271331389775	6.33509433573957
BA2707	9.20696376307392	6.18632897661868
BA2871	8.99211218550823	5.96907627794874
BA2655	9.60422004710875	4.77872894002383
BA2227	9.59916222255831	6.55232565838748
BA2125	9.41800548205558	6.10829331712153
BA2523	9.53000194332933	5.74395799798389
BA2603	9.12586826213153	5.47138243938151
BA2808	9.17948259034573	6.31675170697475
BA2282	9.02364943472175	4.80111971961835
BA2482	8.91090509269608	6.17641644366945
BA2812	9.70356008854553	4.99775683802712
BA2822	9.31672506964559	5.98054442725547
BA2594	9.22287720595147	5.81201009033099
BA2747	9.47769688223901	6.18950223686314
BA2561	9.93012293296997	5.94641278080618
BA2567	10.0007468429699	5.34433907396084
BA2906	9.91143332054624	4.74957774721697
BA2956	9.90525526471174	5.64166399423883
BA2474	9.00955709168753	6.09936975927192
BA2737	9.80971908397822	5.70872171926613
BA2110	8.73025810259064	4.74182984575756
BA2992	9.14481502348153	5.05504885396523
BA2220	9.40901547409309	5.65448355973944
BA2772	8.71853926395486	6.0781745380856
BA2935	9.17171491689544	5.28177179122875
BA2260	9.12964008242639	5.01183343730558
BA2676	9.23089240757758	5.36293986474154
BA2948	8.6697155276332	5.85542200416075
BA2524	8.98864564355709	5.52135062216325
BA2811	9.24704173883127	6.24912819394912
BA2540	9.04501990946176	3.86156811832603
BA2928	9.36916799017741	5.34151860321391
BA2302	9.39562360946183	5.53940253028108
BA2595	8.68106286594684	5.14967422759909
BA2792	9.54457000922792	5.02056262861089
BA2651	8.92748837970555	6.03566200297907
BA2619	8.7332018546727	6.44227342376241
BA3013	9.50601427714714	6.16865049658773
BA2405	8.70980864868103	5.67317843136018
BA2735	8.59798330037588	5.32233498083344
BA2856	8.92415796681604	4.20674974606089
BA2377	7.83840005803793	4.1940893457466
BA2499	8.81487669872437	5.81959741153124
BA2463	9.52684328251404	6.22329037773919
BA3023	9.00605305286098	5.20440021667154
BA2095	9.61438474364243	6.14672505812723
BA2901	8.45209623715645	5.08758890657065
BA2275	8.70401585675217	5.75302384911337
BA2387	9.30065851731011	4.47173241334974
BA2962	9.36480042798147	5.58010200112807
BA2195	8.97142354261209	5.51500276467509
BA2688	9.00264729477778	4.72354417544082
BA2787	8.94424486652991	4.78223236558204
BA2420	9.4000752436972	5.5603638318114
BA2756	8.61423212805534	4.01681712942243
BA2122	8.73025810259064	4.87096387518994
BA2053	8.71562351354988	5.84787957757678
BA2080	9.34313727945847	5.86901047120639
BA2081	9.50601427714714	5.77033121359801
BA2354	9.03608369232641	6.23533588980149
BA3273	9.00443312215534	4.71789490848166
BA2893	9.85077214115986	6.19299832162761
BA2044	9.3735473533766	5.54245080282141
BA2489	9.57411368730524	4.74182984575756
BA2309	9.39562360946183	4.97387498404503
BA2720	8.46249696810185	4.52153193566258
BA2908	8.66493693752935	6.4243136710677
BA2054	9.3217592552912	5.07550246590364
BA2872	9.13720994130471	5.31756660169569
BA2526	9.31328611186612	4.92943275175156
BA2041	9.88079564639631	4.60901148734067
BA2464	8.85577669200061	6.09645228197541
BA2902	10.0680496747685	5.39890865222561
BA2541	9.04860912314158	6.22378350328208
BA2143	9.0307417478067	5.09390910729551
BA2094	9.45909303825332	5.80146381261149
BA2769	8.97485330936457	5.91953516934334
BA2843	9.29229417829056	7.04918884608735
BA2592	9.86871412745455	5.39347949789235
BA2497	8.61423212805534	4.53554304554111
BA2718	9.30906602396076	7.87584460904621
BA2575	8.55813210635661	4.84562521936661
BA2096	10.0958725482412	4.66610967820232
BA2593	10.111511463709	5.2635303158332
BA2791	9.61438474364243	5.91758639573652
BA2620	8.8717935877338	5.72903451515424
BA2629	9.55435683089665	6.23533588980149
BA2870	9.53484314535953	6.38599164256093
BA2423	8.69824500910271	4.43352231435234
BA2682	9.51078302100883	5.44640808199127
BA2276	9.1410080593907	5.42530018626189
BA2348	8.38563253120242	4.75764062057754
BA2709	8.68676863894814	5.2868395453686
BA2789	9.09600320401444	5.88684341274268
BA2694	9.42251934116338	6.22675882110798
BA2538	9.00955709168753	6.25807759133934
BA2583	9.67679810675791	6.36648969189247
BA2415	8.94424486652991	4.81585561124571
BA2722	8.95099667095566	5.89048099649459
BA2806	9.66622107740225	5.91595003127845
BA2221	9.47769688223901	4.65687977223113
BA3025	9.50125973784097	7.31039812260742
BA2514	9.49819442110274	5.17241204196236
BA2520	9.53000194332933	6.93890773932704
BA2441	9.62461563502098	6.92239609110895
BA2153	9.11460476788528	6.39926285688665
BA2479	9.67313133431446	5.61780736228049
BA2281	9.64527993925034	6.1921407741856
BA2657	8.99211218550823	6.04691526295528
BA2932	9.47769688223901	6.14718029862126
BA2123	9.82717700787936	4.48731198029739
BA2844	9.66095938066438	5.36000471761652
BA2660	9.16784487350203	5.62419273985357
BA2836	9.14481502348153	5.62530338833762
BA3027	9.29647098090766	5.36514025423526
BA2714	8.89449191470128	5.21363189314042
BA2139	8.42559982560594	4.53197710730373
BA2251	9.3260124319477	7.54970729199318
BA2952	8.99211218550823	4.36608295505138
BA2440	9.83892848550566	4.78017722753487
BA2036	9.65571538111022	6.25807759133934
BA2828	9.06304565250042	5.75062167266173
BA2292	9.94271473100152	4.11937931431274
BA2410	9.64527993925034	5.75415496254133
BA2051	8.88472441482659	4.68591344454784
BA2532	8.94424486652991	4.96266025809675
BA2986	9.67150060698144	5.59662502172316
BA2494	9.52036350053221	5.24647301398251
BA2515	9.48238177689826	5.18055221298724
BA2748	9.45909303825332	6.79158437688518
BA2970	9.11835064360706	5.58383676402354
BA2622	9.01306871894599	4.81831316874204
BA2839	9.29229417829056	4.66151584498319
BA2052	9.55435683089665	6.34832965907228
BA3011	9.07750677038397	5.11433165880832
BA2868	9.47769688223901	7.18812871773308
BA2510	8.99211218550823	5.21924696123963
BA2065	9.09600320401444	6.17379906817959
BA2691	8.86536741111737	4.77982414410044
BA2374	9.67679810675791	5.51691886633525
BA2804	9.08494318011795	5.82541777312417
BA2670	8.28526081080175	5.45893049861312
BA2675	9.13342062895717	6.34832965907228
BA2589	9.03786515454843	7.27555120012057
BA2031	8.60608533344799	5.12702075468941
BA2198	9.07395764638915	6.54928934120065
BA2066	8.90103696609653	4.56478976898356
BA2344	9.43613726309062	6.75597489483719
BA2459	8.31312330931764	5.41754429750073
BA2229	9.38675693832204	6.2290430058542
BA2559	8.86857724833819	5.02728430921221
BA2093	9.22287720595147	6.36086030376613
BA2000	9.58408544068247	5.82859548893421
BA2425	9.50768698561149	6.12637853560869
BA2905	9.16784487350203	5.90555861314736
BA2304	8.61695773628636	4.5391313162393
BA2976	8.97485330936457	5.89878476046271
BA2386	8.79328666582968	5.76181699229763
BA2035	9.22287720595147	7.38848640256579
BA2760	8.49657233882556	5.22317063501282
BA2201	9.08494318011795	4.76005725019894
BA2355	9.52517542791568	5.02764204989782
BA2113	9.44407804044761	5.95559861955689
BA2155	9.88687313292775	6.54150806703429
BA2955	9.09600320401444	4.80814964517647
BA2502	9.14863087419242	4.91792245118013
BA2322	9.160132157513	6.24013217204255
BA2376	8.61423212805534	4.81549079833473
BA2020	9.83892848550566	5.67811655623058
BA2226	8.93417001363455	5.69683059962592
BA2200	9.73079295605488	6.16950493399515
BA2121	8.92415796681604	5.97608438156721
BA2944	9.2389471182711	7.24218373520164
BA2033	9.53484314535953	4.56407532031905
BA2867	9.30065851731011	6.13725593051751
BA2089	8.18416035809344	4.27079096532492
BA2224	9.12964008242639	6.16479221189801
BA2046	9.1872873383188	4.60401552568644
BA2972	9.44070228005406	6.61484329859941
BA2978	8.40194775982719	5.38151536241943
BA2829	8.97485330936457	5.66740335166233
BA2851	9.2592593958878	6.02615955253131
BA2587	9.02364943472175	5.97523061949623
BA2461	9.21490111990201	5.15668163101419
BA2695	9.0468018581655	4.65902094233579
BA2623	9.3217592552912	6.63758201438047
BA2024	9.17171491689544	5.40260210506482
BA2426	9.0307417478067	5.91240742486635
BA2271	9.12964008242639	5.10834862967978
BA3004	9.80971908397822	6.38888273500531
BA2579	8.85577669200061	5.66051919592254
BA3010	8.87824586229709	5.53426887614694
BA2662	9.06304565250042	5.34255610443151
BA2674	9.25517667754352	6.40360502181603
BA2280	9.22287720595147	6.36182238595201
BA2512	8.54249270039127	4.68695768946558
BA2658	9.30065851731011	5.76371292639746
BA2394	9.26335235036244	6.73922514739457
BA2950	9.31751716888528	6.02576365304124
BA2981	8.89449191470128	5.64089444218065
BA2934	9.3260124319477	5.56441490975965
BA2539	9.11835064360706	4.88365938121125
BA2249	9.22687989289351	5.48468121276611
BA2034	8.99390471507907	6.11503718341623
BA2109	8.65285322774346	4.87023108953253
BA2242	9.45909303825332	6.03404286985942
BA2277	9.2389471182711	5.97691207859612
BA2727	8.92415796681604	7.10771088589405
BA2132	9.8991027074875	5.91874058491338
BA2618	8.70690950167434	5.46299801814277
BA2521	9.09970659968869	5.49396648422183
BA2846	9.30906602396076	6.49002795768883
BA2885	8.57925061313916	4.92595904339551
BA2639	9.4270458724936	6.29137386576201
BA2775	9.44987135785787	5.60579685194834
BA2402	8.84307877151568	5.17065533146209
BA2097	9.28812805203208	5.66740335166233
BA2786	9.42251934116338	5.58682786591739
BA2399	9.63491369950168	6.16697408993369
BA2850	9.89297540900361	5.53758769155616
BA2174	9.04860912314158	5.56931523967556
BA2004	8.48407580140491	5.79282325358751
BA3001	9.67679810675791	6.55713498264667
BA2311	8.78412431760784	4.78361272995645
BA2483	8.63525880753156	6.25534556152395
BA3040	9.43158515365849	5.54431492495241
BA2837	9.0271917203024	6.13249003882685
BA2724	8.88472441482659	4.79523149626919
BA2911	8.99558616821901	6.13505858445244
BA2256	9.27569316532541	6.07438042977308
BA2821	9.34313727945847	6.06121727575126
BA2233	9.65571538111022	6.75074032756909
BA2744	9.14863087419242	6.69580577134555
BA2880	9.160132157513	5.14825734566663
BA2621	8.9076089453561	5.31756660169569
BA3002	8.69720423583871	6.11593110685268
BA2501	9.40901547409309	5.71368801694621
BA2993	9.35176787188011	5.68833994254818
BA2301	9.0307417478067	4.60295748096679
BA2852	9.3561004357089	5.42453578520679
BA2133	9.2389471182711	5.51345714323729
BA2866	9.8991027074875	6.36930495814156
BA2212	9.33027676031699	5.89086317810063
BA2685	9.26745559419095	5.40778946397742
BA2273	9.98114720830101	5.9773343667847
BA2477	9.26335235036244	6.16697408993369
BA2659	8.52958832512444	5.05963791860408
BA2124	9.87632246618632	6.63383351459938
BA2363	8.26607857536642	6.0344495153559
BA2369	9.25110414260315	5.84631034661227
BA2534	9.34313727945847	7.56679847925559
BA2400	9.43613726309062	5.92432462638165
BA2762	9.34313727945847	6.03732004077161
BA2312	9.53484314535953	6.01745471553114
BA2813	9.78106105276028	5.79446889536676
BA2211	9.85831326849695	6.67837784799198
BA2171	9.64008823387741	5.78002501253586
BA2746	8.98518651350313	4.56145114497437
BA2798	9.27569316532541	4.85230183637924
BA2809	9.39118419839355	6.37079667059363
BA2288	9.98087822775469	6.21760589006463
BA2801	8.83362186336888	5.10733697094661
BA3030	8.61063875058243	5.98792432171399
BA2588	9.60929418124753	6.3730951356739
BA2296	9.36916799017741	6.57772759538865
BA2300	9.88687313292775	6.17423728477739
BA2903	8.3926007250059	5.46260848821559
BA2473	9.93797001113285	4.66541353379402
BA2545	9.17171491689544	5.29014927757584
BA2840	9.22062772367926	5.20757281722967
BA2528	9.30485684547982	5.49025573477232
BA2646	8.95099667095566	6.24227196022735
BA3407	9.38234175781362	4.41937585941747
BA2240	9.28812805203208	5.87772009379433
BA2926	9.26745559419095	5.48685812816546
BA2272	8.97485330936457	5.16389532747044
BA2306	8.7420670822246	6.16229657509821
BA2765	8.55029123602985	5.10733697094661
BA2904	9.13720994130471	6.23081198982986
BA2883	9.01306871894599	5.00552413095077
BA2726	8.54249270039127	5.10142924510394
BA2234	8.97142354261209	4.09352976766015
BA2022	9.75851596885508	6.00392077224602
BA2228	9.25517667754352	4.73692025392607
BA2037	9.23089240757758	6.37031994316104
BA2184	9.45447558148811	7.44644074627456
BA3009	9.76974697360105	6.32314377198831
BA2842	8.61968837224666	4.54377637973889
BA2442	8.9076089453561	5.54393492602013
BA2882	8.5607551950315	5.05929023106165
BA2758	8.76897254396233	4.51398396735729
BA2705	9.20696376307392	5.54355794441881
BA2663	8.62516478231551	5.4040564998537
BA2570	8.79022656584331	6.3129901827468
BA2764	8.18813169577028	4.16479586623105
BA2209	8.67821802831458	6.20525292176704
BA2989	9.10341841676742	6.26705656087935
BA2855	8.81487669872437	5.04138595893264
BA2261	8.53400537696188	5.32664570587017
BA2721	8.97829037472744	5.42748213274228
BA2930	8.43517613550052	4.32076840742144
BA2728	8.5373170330564	5.46114309064973
BA2715	9.56420444046175	5.13442321095142
BA2469	8.35811493599106	4.04753383160948
BA2269	8.18416035809344	4.81095988420945
BA2098	9.14863087419242	3.59566377043115
BA2778	8.52190108216259	3.69392175101973
BA2951	9.14863087419242	6.93021683662514
BA2163	9.36044459889599	7.03196402344294
BA2379	8.65845299235754	5.14161615451425
BA2817	8.68189146093676	4.73585764384443
BA3153	9.47302564786274	6.35855944709052
BA2820	8.86216405394702	4.82534093200762
BA2723	9.09600320401444	4.46663819123563
BA2704	9.58408544068247	6.19169062886434
BA2088	9.4917929010063	4.23317948236661
BA2116	8.77199110438686	5.36689692587537
BA2584	10.0475291689068	6.19479612483736
BA3079	10.0007468429699	5.95765278561263
BA2417	9.65571538111022	5.79321150053106
BA2361	9.1755941413251	5.50498484264806
BA2450	9.24704173883127	6.67894286315779
BA2492	8.19611264417946	4.23203632866019
BA2552	9.00955709168753	5.91595003127845
BA2472	8.68106286594684	4.56799936889978
BA2994	9.23491479941431	6.38599164256093
BA2047	9.58909503454725	5.70146183160515
BA2101	9.48238177689826	5.79045455115976
BA2082	8.77804587995587	5.53865932247819
BA2879	9.17171491689544	5.11922365704846
BA2577	9.54457000922792	6.7058515766051
BA2456	8.80250309714617	4.85371906563251
BA2175	9.59412059033195	4.99738222665924
BA2824	9.19512951707567	6.40454724548096
BA2507	9.88079564639631	6.74039110508618
BA2563	9.68211371581436	6.49406704275497
BA2244	8.84624370479657	4.96127415225726
BA2470	9.76974697360105	6.2918184227424
BA2984	9.6874475749889	5.62868512576849
BA2414	9.64008823387741	6.58623483162294
BA2697	9.44696832329653	4.61150443110127
BA2079	8.68391306436784	5.08758890657065
BA2999	9.03429954865997	6.39738498406032
BA2644	9.3735473533766	5.65485837851428
BA2011	9.09600320401444	5.32664570587017
BA2217	9.69279982690398	7.20800173217813
BA2454	9.86270964606403	7.33073792117204
BA2776	9.80971908397822	6.74039110508618
BA2218	9.59916222255831	5.91717313414898
BA2135	9.94271473100152	6.06255807626612
BA2914	8.83362186336888	5.77070270325106
BA2500	9.0307417478067	5.48059363504872
BA2830	9.44987135785787	6.85144834736251
BA2406	9.4270458724936	5.29272133823875
BA3108	9.43613726309062	4.66717493535737
BA2924	9.09230819306279	5.31255258978501
BA2303	8.83676787171411	5.28256921751163
BA2160	9.55927298456459	6.655181196516
BA2038	9.0307417478067	4.35906524158071
BA2602	8.56338303703764	4.62321630772693
BA2964	8.8717935877338	4.39407415685903
BA2898	9.44987135785787	5.13692147172974
BA3003	9.48238177689826	5.2450731397095
BA2111	9.58408544068247	5.12563283342855
BA2827	9.58909503454725	5.11569183564456
BA2912	9.55927298456459	5.81007696621955
BA2437	9.55927298456459	5.1122048652643
BA2283	9.58909503454725	5.36221790332293
BA2057	9.54457000922792	5.19592591955162
BA2633	9.58909503454725	5.44569104780308
BA3034	9.55435683089665	5.06279777386113
BA2607	9.3735473533766	4.98230143047781
BA2761	9.4270458724936	5.67432622931416
BA2795	9.54457000922792	5.22927128390671
BA2182	9.54457000922792	5.25109490120941
BA2152	9.49651930986164	5.23965795443685
BA2381	9.80971908397822	6.38306782429477
BA2931	9.53000194332933	5.49691431965408
BA2040	9.34313727945847	4.54056013941107
BA2590	9.60929418124753	6.56990345420697
BA3195	9.3561004357089	6.86838819773824
BA2516	8.94268168369866	5.78615399709568
BA2353	9.2429894144776	7.26851020715081
BA3036	9.11086746340759	6.3850340445232
BA2971	9.02543573403374	6.23664169060856
BA3410	9.47302564786274	5.66279307581164
BA3118	9.22287720595147	5.42234890079115
BA3206	9.57411368730524	6.83601210531875
BA3202	9.48238177689826	4.24693083065817
BA3217	9.4045391740165	6.01664395833904
BA3405	8.22445433533228	5.35117907046834
BA3306	9.00255657247606	5.44067594846619
BA3371	9.10341841676742	4.97317547511932
BA3413	9.58909503454725	6.83843057067482
BA3411	9.07395764638915	5.73738411344192
BA3133	9.3561004357089	6.15921420802907
BA3164	9.13342062895717	5.78192253760815
BA3451	8.52958832512444	4.90254409754431
BA3286	9.36916799017741	5.8761890408473
BA3212	9.56098320131876	6.15834977750935
BA3103	8.91751782379931	5.4040564998537
BA3271	9.1872873383188	5.49289037233673
BA3152	9.3735473533766	5.21327609576147
BA3095	9.79245962144758	6.20098661255903
BA3192	9.11086746340759	5.35415056636227
BA3251	9.40901547409309	6.35399476116952
BA3362	9.00434706477645	5.60540886857144
BA3400	9.65048894475304	5.490635893289
BA3135	9.4000752436972	5.89003355654074
BA3408	9.63491369950168	5.12063498746829
BA3187	9.27569316532541	5.39277292171201
BA3098	9.12964008242639	6.18590754539494
BA3435	9.19120372633416	5.67887021391384
BA3261	9.54457000922792	6.47915200705891
BA3203	9.76974697360105	5.61405116349114
BA3174	8.89776108628452	5.21397119518206
BA3317	9.33883912107995	6.81883552060849
BA3299	8.75098362594822	4.41640814943071
BA3221	8.78108213178214	5.50684581649132
BA3347	9.43158515365849	4.5651470965606
BA3235	8.20012237793382	4.59152669861806
BA3126	8.26607857536642	4.09434749658679
BA3380	9.04143859741613	5.84353133766961
BA3089	9.2389471182711	6.50598160592548
BA3109	8.46185834013681	5.19197507986882
BA3114	9.17171491689544	4.61788631559245
BA3418	8.97829037472744	6.25221507266163
BA3245	9.56915130536806	5.72099925846855
BA3085	9.07761127342397	6.88232132236019
BA3128	9.45909303825332	5.6290939324601
BA3423	9.67679810675791	5.86057748465192
BA3173	9.98114720830101	5.93735639042332
BA3171	8.83048212173684	6.34878143548061
BA3277	9.43158515365849	5.44424859687628
BA3210	9.19120372633416	5.82971849546372
BA3157	9.56420444046175	6.43193622663115
BA3433	9.53969913371194	5.85578814032464
BA3322	9.53484314535953	5.08223929101889
BA3374	8.79328666582968	5.35519815996299
BA3450	9.60422004710875	5.34219904385068
BA3167	8.47663077360064	4.81095988420945
BA3269	9.60929418124753	4.99738222665924
BA3110	9.66259277874038	5.37014622702408
BA3156	9.2592593958878	5.45234424595149
BA3226	9.39118419839355	6.25000151049301
BA3421	8.95777690896205	4.8864219540017
BA3232	9.27569316532541	6.27426778231287
BA3289	8.61423212805534	4.85971090955896
BA3430	8.38747453651413	5.25385282871793
BA3145	9.30906602396076	6.73922514739457
BA3399	8.96117775713075	4.74148796294472
BA3449	9.09230819306279	4.95086713745968
BA3384	9.17948259034573	5.9563978434584
BA3427	9.28812805203208	5.25714318052804
BA3163	8.52958832512444	4.59152669861806
BA3158	9.55927298456459	6.79581543973709
BA3436	9.61438474364243	6.93827202821145
BA3154	9.62258533258528	6.2850706491728
BA3162	8.12230223339654	5.92513526908082
BA3352	8.92264013919218	6.18861040169558
BA3084	9.31751716888528	5.89359904116522
BA3149	8.71853926395486	5.35709573192361
BA3169	8.9076089453561	4.99738222665924
BA3180	9.2109276242084	5.90885007986137
BA3255	9.41350421836705	5.37928711694374
BA3438	9.62975620855742	5.831768285151
BA3345	8.94087956106744	4.94207214987635
BA3403	8.47415784691615	5.24180259489468
BA3431	8.42559982560594	5.5327793179831
BA3181	8.03722226484621	5.01499035740301
BA3341	8.96458579397726	4.25037031677199
BA3191	8.77804587995587	5.50721271315311
BA3197	9.16398396797258	6.83344544574865
BA3448	9.38234175781362	6.60051001058414
BA3453	9.12586826213153	4.81972624226558
BA3406	9.82133532639013	5.89003355654074
BA3308	9.17948259034573	6.62952631509886
BA3186	9.40240975182614	6.7037023558772
BA3334	8.65565049707964	4.61468245344628
BA3447	9.52036350053221	7.53734841909383
BA3116	8.97485330936457	4.92736106288858
BA3280	9.53969913371194	5.34471469248409
BA3185	9.19906475607931	6.0765385205626
BA3094	8.6697155276332	5.44318329987226
BA3318	8.42559982560594	4.65263126814038
BA3216	9.40901547409309	5.88406214865442
BA3332	9.41800548205558	5.83917770608647
BA3214	9.25691151442812	6.52836297577895
BA3099	9.4045391740165	5.81839607751016
BA3141	9.39562360946183	6.6430484484285
BA3373	9.3217592552912	7.08521741719084
BA3319	8.43037965011906	4.99665147897099
BA3328	9.28812805203208	5.75023036618314
BA3339	9.732408696693	5.90720734250747
BA3240	9.08127310626888	7.46784096415085
BA3142	9.44070228005406	6.49002795768883
BA3333	9.46372381175102	6.66451367219681
BA3381	8.74800571415782	5.12596382526423
BA3290	8.8879736022598	5.67811655623058
BA3207	7.93502206043898	3.30852387884075
BA3296	8.8879736022598	5.02619905861961
BA3305	8.82110029202306	5.71368801694621
BA3434	9.27569316532541	6.20525292176704
BA3189	9.08862153045619	6.72005859768329
BA3264	9.55435683089665	6.11294027816034
BA3329	9.48406046211483	6.39359148087619
BA3417	9.23491479941431	5.51691886633525
BA3367	8.60436299215519	5.03748167961273
BA3225	8.11666073243668	4.30837790148871
BA3183	9.04143859741613	5.77294291662078
BA3222	9.08494318011795	5.4780108909795
BA3139	8.88653621315296	6.25445222164076
BA3397	9.64527993925034	6.5518017021576
BA3311	8.07971165578759	5.23032944318066
BA3422	10.0888662099127	6.54042498941119
BA3228	8.68391306436784	6.11633596300958
BA3213	9.26335235036244	5.8546289142141
BA3270	8.8717935877338	5.36939086109841
BA3415	9.34744684153524	6.08148760261427
BA3324	8.8525926437112	6.40503611780804
BA3194	9.68211371581436	6.77720928573593
BA3335	9.96822468421139	6.11633596300958
BA3199	9.4917929010063	7.06166102601644
BA3326	9.27569316532541	5.30886708091399
BA3285	8.72329447406972	6.35713479831954
BA3297	9.09230819306279	6.17989946486144
BA3227	9.11460476788528	7.03623900558414
BA3394	8.65006116973985	6.21933467933948
BA3412	8.93752128537319	6.21454243325922
BA3293	9.44239146973819	5.91637612602088
BA3250	9.21888429779212	5.83256616777847
BA3177	9.47769688223901	5.6412866944169
BA3315	8.96117775713075	4.798374704262
BA3182	8.91751782379931	5.85810717843667
BA3260	8.43758065182973	6.02077165309049
BA3369	9.24704173883127	5.69992958447881
BA3078	9.20475662343021	5.48023322260474
BA3386	9.71984209806913	6.57509033573893
BA3445	9.4000752436972	4.87235166783045
BA3452	8.57129520837751	5.46001022094073
BA3176	9.29229417829056	6.55914586158058
BA3258	8.64449262965366	4.16634381840989
