#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature centerID, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000000 avec le test ANOVA
 Abundance   TotalKmers  NormalizedExpression centerID
 46.000000 9.476463e+09              4.854132        6
377.172414 8.147961e+09             46.290403        1
571.344828 1.333923e+10             42.831923        1
135.000000 9.840911e+09             13.718242        5
114.655172 9.280434e+09             12.354506        5
135.758621 8.566528e+09             15.847567        1
 84.896552 1.306337e+10              6.498823        1
429.793103 1.134920e+10             37.869906        1
 10.689655 9.651607e+09              1.107552        1
 21.413793 1.071946e+10              1.997657        2
288.241379 1.130116e+10             25.505472        1
177.724138 1.087497e+10             16.342494        5
234.620690 1.111997e+10             21.099032        1
254.551724 1.325000e+10             19.211452        5
116.034483 1.269244e+10              9.142017        7
 77.793103 1.344911e+10              5.784256        5
 61.275862 8.174919e+09              7.495592        2
 18.172414 1.106665e+10              1.642088        5
 19.310345 8.305332e+09              2.325054        2
116.068966 9.900148e+09             11.723962        8
103.620690 8.843945e+09             11.716569        5
171.241379 1.222447e+10             14.008084        1
 88.689655 6.721034e+09             13.195835        2
453.310345 1.269887e+10             35.696915        1
314.551724 1.233934e+10             25.491771        1
391.068966 8.923147e+09             43.826350        1
375.034483 1.264142e+10             29.667123        1
539.482759 1.185453e+10             45.508568        1
189.965517 5.072799e+09             37.447871        1
185.655172 6.363310e+09             29.175879        1
351.103448 9.067227e+09             38.722250        1
366.655172 9.820734e+09             37.334802        1
160.896552 1.249729e+10             12.874515        1
402.172414 7.614978e+09             52.813336        1
252.620690 8.005594e+09             31.555521        1
414.137931 1.231039e+10             33.641328        1
389.241379 9.354164e+09             41.611561        3
205.655172 8.833061e+09             23.282436        3
 47.137931 9.221331e+09              5.111836        8
343.000000 1.102149e+10             31.121018        1
329.517241 1.285754e+10             25.628321        1
354.241379 8.908070e+09             39.766345        3
 23.517241 1.215164e+10              1.935314        1
465.172414 8.157287e+09             57.025385        1
 28.862069 7.402556e+09              3.898933        5
179.551724 1.072766e+10             16.737261        1
 40.206897 5.793404e+09              6.940117        5
 17.103448 7.661637e+09              2.232349        7
 60.137931 8.738210e+09              6.882180        5
261.310345 1.071934e+10             24.377463        1
211.758621 9.495128e+09             22.301818        1
152.965517 8.403008e+09             18.203661        1
284.758621 9.745327e+09             29.220016        1
 22.068966 4.579619e+09              4.818952        7
343.965517 7.774889e+09             44.240570        1
311.931034 7.373008e+09             42.307160        8
 26.620690 9.835948e+09              2.706469        7
133.586207 9.101451e+09             14.677463        1
 54.517241 7.489154e+09              7.279493        5
612.965517 1.259415e+10             48.670671        1
